	SS	PromoterDistance	DistTerm	Distance	sameStrand	DownDistance	sameDownStrand	AAAA/TTTT	AAAC/GTTT	AAAG/CTTT	AAAT/ATTT	AACA/TGTT	AACC/GGTT	AACG/CGTT	AACT/AGTT	AAGA/TCTT	AAGC/GCTT	AAGG/CCTT	AAGT/ACTT	AATA/TATT	AATC/GATT	AATG/CATT	AATT/AATT	ACAA/TTGT	ACAC/GTGT	ACAG/CTGT	ACAT/ATGT	ACCA/TGGT	ACCC/GGGT	ACCG/CGGT	ACCT/AGGT	ACGA/TCGT	ACGC/GCGT	ACGG/CCGT	ACGT/ACGT	ACTA/TAGT	ACTC/GAGT	ACTG/CAGT	AGAA/TTCT	AGAC/GTCT	AGAG/CTCT	AGAT/ATCT	AGCA/TGCT	AGCC/GGCT	AGCG/CGCT	AGCT/AGCT	AGGA/TCCT	AGGC/GCCT	AGGG/CCCT	AGTA/TACT	AGTC/GACT	AGTG/CACT	ATAA/TTAT	ATAC/GTAT	ATAG/CTAT	ATAT/ATAT	ATCA/TGAT	ATCC/GGAT	ATCG/CGAT	ATGA/TCAT	ATGC/GCAT	ATGG/CCAT	ATTA/TAAT	ATTC/GAAT	ATTG/CAAT	CAAA/TTTG	CAAC/GTTG	CAAG/CTTG	CACA/TGTG	CACC/GGTG	CACG/CGTG	CAGA/TCTG	CAGC/GCTG	CAGG/CCTG	CATA/TATG	CATC/GATG	CATG/CATG	CCAA/TTGG	CCAC/GTGG	CCAG/CTGG	CCCA/TGGG	CCCC/GGGG	CCCG/CGGG	CCGA/TCGG	CCGC/GCGG	CCGG/CCGG	CCTA/TAGG	CCTC/GAGG	CGAA/TTCG	CGAC/GTCG	CGAG/CTCG	CGCA/TGCG	CGCC/GGCG	CGCG/CGCG	CGGA/TCCG	CGGC/GCCG	CGTA/TACG	CGTC/GACG	CTAA/TTAG	CTAC/GTAG	CTAG/CTAG	CTCA/TGAG	CTCC/GGAG	CTGA/TCAG	CTGC/GCAG	CTTA/TAAG	CTTC/GAAG	GAAA/TTTC	GAAC/GTTC	GACA/TGTC	GACC/GGTC	GAGA/TCTC	GAGC/GCTC	GATA/TATC	GATC/GATC	GCAA/TTGC	GCAC/GTGC	GCCA/TGGC	GCCC/GGGC	GCGA/TCGC	GCGC/GCGC	GCTA/TAGC	GGAA/TTCC	GGAC/GTCC	GGCA/TGCC	GGCC/GGCC	GGGA/TCCC	GGTA/TACC	GTAA/TTAC	GTAC/GTAC	GTCA/TGAC	GTGA/TCAC	GTTA/TAAC	TAAA/TTTA	TACA/TGTA	TAGA/TCTA	TATA/TATA	TCAA/TTGA	TCCA/TGGA	TCGA/TCGA	TGAA/TTCA	TGCA/TGCA	TTAA/TTAA
s208288	-174.1	0	14	-14	1	68	0	0.0024509803921568627	0.004901960784313725	0.007352941176470588	0.0024509803921568627	0.004901960784313725	0.004901960784313725	0.00980392156862745	0.0	0.0024509803921568627	0.0196078431372549	0.004901960784313725	0.004901960784313725	0.0	0.0024509803921568627	0.007352941176470588	0.0024509803921568627	0.0	0.0024509803921568627	0.00980392156862745	0.0	0.0	0.00980392156862745	0.012254901960784314	0.004901960784313725	0.0024509803921568627	0.014705882352941176	0.01715686274509804	0.0024509803921568627	0.0	0.0024509803921568627	0.004901960784313725	0.004901960784313725	0.004901960784313725	0.004901960784313725	0.0	0.012254901960784314	0.00980392156862745	0.00980392156862745	0.0024509803921568627	0.00980392156862745	0.0196078431372549	0.00980392156862745	0.0024509803921568627	0.00980392156862745	0.0	0.0024509803921568627	0.0	0.0	0.0	0.004901960784313725	0.00980392156862745	0.004901960784313725	0.0024509803921568627	0.004901960784313725	0.00980392156862745	0.0	0.007352941176470588	0.004901960784313725	0.004901960784313725	0.004901960784313725	0.007352941176470588	0.004901960784313725	0.012254901960784314	0.014705882352941176	0.007352941176470588	0.004901960784313725	0.0196078431372549	0.0	0.00980392156862745	0.0	0.0024509803921568627	0.00980392156862745	0.0	0.0	0.012254901960784314	0.0196078431372549	0.014705882352941176	0.0196078431372549	0.014705882352941176	0.00980392156862745	0.00980392156862745	0.00980392156862745	0.00980392156862745	0.007352941176470588	0.014705882352941176	0.03431372549019608	0.024509803921568627	0.01715686274509804	0.03431372549019608	0.0	0.014705882352941176	0.0024509803921568627	0.004901960784313725	0.004901960784313725	0.0024509803921568627	0.007352941176470588	0.004901960784313725	0.022058823529411763	0.007352941176470588	0.007352941176470588	0.00980392156862745	0.004901960784313725	0.0024509803921568627	0.0	0.0024509803921568627	0.007352941176470588	0.0024509803921568627	0.0024509803921568627	0.01715686274509804	0.014705882352941176	0.014705882352941176	0.01715686274509804	0.014705882352941176	0.029411764705882353	0.004901960784313725	0.012254901960784314	0.007352941176470588	0.01715686274509804	0.012254901960784314	0.0024509803921568627	0.00980392156862745	0.007352941176470588	0.0	0.004901960784313725	0.004901960784313725	0.004901960784313725	0.0	0.0	0.0024509803921568627	0.0	0.0024509803921568627	0.007352941176470588	0.0	0.0024509803921568627	0.007352941176470588	0.0
s493036	-30.9	-545	445	-1217	0	379	1	0.015384615384615385	0.007692307692307693	0.015384615384615385	0.015384615384615385	0.023076923076923078	0.0	0.007692307692307693	0.0	0.007692307692307693	0.007692307692307693	0.007692307692307693	0.0	0.007692307692307693	0.007692307692307693	0.015384615384615385	0.007692307692307693	0.015384615384615385	0.015384615384615385	0.0	0.0	0.0	0.015384615384615385	0.0	0.0	0.015384615384615385	0.0	0.007692307692307693	0.0	0.0	0.007692307692307693	0.0	0.0	0.0	0.007692307692307693	0.007692307692307693	0.0	0.007692307692307693	0.007692307692307693	0.0	0.0	0.0	0.038461538461538464	0.0	0.0	0.007692307692307693	0.0	0.007692307692307693	0.007692307692307693	0.0	0.007692307692307693	0.03076923076923077	0.015384615384615385	0.03076923076923077	0.023076923076923078	0.007692307692307693	0.007692307692307693	0.007692307692307693	0.015384615384615385	0.0	0.023076923076923078	0.0	0.007692307692307693	0.007692307692307693	0.0	0.0	0.0	0.0	0.007692307692307693	0.038461538461538464	0.0	0.007692307692307693	0.0	0.0	0.015384615384615385	0.007692307692307693	0.007692307692307693	0.0	0.015384615384615385	0.015384615384615385	0.015384615384615385	0.015384615384615385	0.007692307692307693	0.0	0.0	0.015384615384615385	0.0	0.007692307692307693	0.03076923076923077	0.015384615384615385	0.007692307692307693	0.007692307692307693	0.0	0.0	0.007692307692307693	0.007692307692307693	0.015384615384615385	0.0	0.0	0.0	0.007692307692307693	0.023076923076923078	0.0	0.0	0.0	0.0	0.007692307692307693	0.0	0.007692307692307693	0.007692307692307693	0.007692307692307693	0.0	0.015384615384615385	0.007692307692307693	0.007692307692307693	0.0	0.0	0.007692307692307693	0.007692307692307693	0.007692307692307693	0.023076923076923078	0.007692307692307693	0.007692307692307693	0.0	0.0	0.0	0.0	0.015384615384615385	0.0	0.007692307692307693	0.0	0.007692307692307693	0.0	0.0	0.03076923076923077	0.007692307692307693	0.007692307692307693
s604653	-117.6	-10	36	-292	0	18	1	0.00821917808219178	0.008219178082191782	0.0027397260273972603	0.010958904109589041	0.005479452054794521	0.010958904109589041	0.008219178082191782	0.010958904109589041	0.005479452054794521	0.008219178082191782	0.0027397260273972603	0.0	0.0027397260273972603	0.01643835616438356	0.005479452054794521	0.0	0.0027397260273972603	0.005479452054794521	0.005479452054794521	0.008219178082191782	0.0027397260273972603	0.010958904109589041	0.010958904109589041	0.008219178082191782	0.016438356164383564	0.0136986301369863	0.010958904109589041	0.005479452054794521	0.016438356164383564	0.0	0.0136986301369863	0.005479452054794521	0.005479452054794521	0.005479452054794521	0.0027397260273972603	0.0027397260273972603	0.010958904109589041	0.016438356164383564	0.0	0.005479452054794521	0.00821917808219178	0.0136986301369863	0.0	0.008219178082191782	0.010958904109589041	0.0	0.005479452054794521	0.0	0.0	0.005479452054794521	0.0	0.010958904109589041	0.0027397260273972603	0.0027397260273972603	0.0027397260273972603	0.0027397260273972603	0.005479452054794521	0.005479452054794521	0.005479452054794521	0.0027397260273972603	0.0027397260273972603	0.0027397260273972603	0.0027397260273972603	0.005479452054794521	0.008219178082191782	0.008219178082191782	0.010958904109589041	0.0	0.0	0.005479452054794521	0.0	0.005479452054794521	0.016438356164383564	0.0027397260273972603	0.00821917808219178	0.010958904109589041	0.0027397260273972603	0.021917808219178082	0.0027397260273972603	0.008219178082191782	0.0136986301369863	0.016438356164383564	0.030136986301369864	0.005479452054794521	0.008219178082191782	0.021917808219178082	0.00821917808219178	0.0027397260273972603	0.016438356164383564	0.010958904109589041	0.0273972602739726	0.005479452054794521	0.00821917808219178	0.0136986301369863	0.0	0.005479452054794521	0.005479452054794521	0.0136986301369863	0.005479452054794521	0.005479452054794521	0.008219178082191782	0.0136986301369863	0.010958904109589041	0.0136986301369863	0.0	0.0027397260273972603	0.0027397260273972603	0.0	0.00821917808219178	0.005479452054794521	0.008219178082191782	0.0136986301369863	0.021917808219178082	0.0027397260273972603	0.010958904109589041	0.005479452054794521	0.0136986301369863	0.008219178082191782	0.0027397260273972603	0.005479452054794521	0.005479452054794521	0.005479452054794521	0.0	0.010958904109589041	0.008219178082191782	0.010958904109589041	0.008219178082191782	0.0027397260273972603	0.005479452054794521	0.0	0.005479452054794521	0.010958904109589041	0.010958904109589041	0.005479452054794521	0.005479452054794521	0.00821917808219178
s906133	-30.0	0	1000	-121	0	228	1	0.015503875968992248	0.007751937984496124	0.0	0.007751937984496124	0.023255813953488372	0.007751937984496124	0.0	0.0	0.0	0.0	0.0	0.007751937984496124	0.015503875968992248	0.007751937984496124	0.015503875968992248	0.0	0.0	0.007751937984496124	0.007751937984496124	0.015503875968992248	0.0	0.007751937984496124	0.031007751937984496	0.0	0.007751937984496124	0.0	0.007751937984496124	0.0	0.0	0.0	0.007751937984496124	0.007751937984496124	0.0	0.007751937984496124	0.007751937984496124	0.007751937984496124	0.0	0.0	0.007751937984496124	0.0	0.007751937984496124	0.007751937984496124	0.0	0.0	0.015503875968992248	0.007751937984496124	0.007751937984496124	0.007751937984496124	0.0	0.015503875968992248	0.007751937984496124	0.007751937984496124	0.015503875968992248	0.007751937984496124	0.031007751937984496	0.007751937984496124	0.007751937984496124	0.015503875968992248	0.0	0.007751937984496124	0.0	0.0	0.015503875968992248	0.015503875968992248	0.007751937984496124	0.015503875968992248	0.0	0.0	0.007751937984496124	0.023255813953488372	0.0	0.007751937984496124	0.007751937984496124	0.007751937984496124	0.015503875968992248	0.007751937984496124	0.015503875968992248	0.0	0.023255813953488372	0.0	0.015503875968992248	0.015503875968992248	0.0	0.007751937984496124	0.007751937984496124	0.0	0.0	0.0	0.031007751937984496	0.0	0.0	0.007751937984496124	0.0	0.0	0.0	0.007751937984496124	0.007751937984496124	0.007751937984496124	0.0	0.007751937984496124	0.007751937984496124	0.015503875968992248	0.007751937984496124	0.007751937984496124	0.0	0.007751937984496124	0.007751937984496124	0.007751937984496124	0.023255813953488372	0.015503875968992248	0.023255813953488372	0.007751937984496124	0.007751937984496124	0.0	0.0	0.007751937984496124	0.0	0.046511627906976744	0.007751937984496124	0.007751937984496124	0.007751937984496124	0.0	0.0	0.015503875968992248	0.015503875968992248	0.0	0.007751937984496124	0.0	0.015503875968992248	0.0	0.0	0.015503875968992248	0.0	0.007751937984496124	0.0	0.0
s973160	-33.1	-232	1000	-112	0	61	1	0.0	0.0	0.0	0.016	0.0	0.008	0.016	0.0	0.0	0.016	0.0	0.0	0.0	0.008	0.024	0.0	0.0	0.0	0.0	0.016	0.0	0.0	0.024	0.0	0.024	0.016	0.008	0.0	0.0	0.008	0.0	0.0	0.0	0.008	0.0	0.016	0.0	0.008	0.008	0.0	0.016	0.016	0.0	0.0	0.008	0.016	0.0	0.008	0.0	0.016	0.016	0.008	0.016	0.008	0.008	0.008	0.008	0.0	0.0	0.008	0.0	0.008	0.008	0.008	0.008	0.016	0.016	0.016	0.008	0.0	0.0	0.0	0.016	0.008	0.032	0.008	0.008	0.016	0.016	0.0	0.016	0.008	0.024	0.0	0.0	0.016	0.016	0.016	0.008	0.0	0.024	0.0	0.0	0.0	0.016	0.0	0.008	0.016	0.0	0.008	0.0	0.016	0.0	0.008	0.0	0.0	0.008	0.008	0.0	0.024	0.016	0.008	0.008	0.008	0.008	0.016	0.008	0.016	0.008	0.024	0.0	0.008	0.0	0.0	0.008	0.0	0.016	0.008	0.0	0.0	0.008	0.0	0.0	0.008	0.008	0.0
s2044929	-77.6	-81	9	-32	1	74	1	0.0	0.004424778761061947	0.0	0.01327433628318584	0.004424778761061947	0.022123893805309734	0.004424778761061947	0.008849557522123894	0.0	0.004424778761061947	0.01327433628318584	0.004424778761061947	0.004424778761061947	0.0	0.004424778761061947	0.01327433628318584	0.004424778761061947	0.004424778761061947	0.008849557522123894	0.008849557522123894	0.017699115044247787	0.004424778761061947	0.008849557522123894	0.01327433628318584	0.004424778761061947	0.004424778761061947	0.01327433628318584	0.0	0.0	0.004424778761061947	0.01327433628318584	0.004424778761061947	0.004424778761061947	0.004424778761061947	0.0	0.01327433628318584	0.0	0.004424778761061947	0.004424778761061947	0.008849557522123894	0.01327433628318584	0.004424778761061947	0.0	0.004424778761061947	0.008849557522123894	0.0	0.0	0.0	0.008849557522123894	0.008849557522123894	0.004424778761061947	0.008849557522123894	0.004424778761061947	0.01327433628318584	0.004424778761061947	0.0	0.008849557522123894	0.01327433628318584	0.008849557522123894	0.008849557522123894	0.01327433628318584	0.008849557522123894	0.004424778761061947	0.008849557522123894	0.01327433628318584	0.008849557522123894	0.017699115044247787	0.004424778761061947	0.01327433628318584	0.004424778761061947	0.022123893805309734	0.004424778761061947	0.004424778761061947	0.0	0.008849557522123894	0.01327433628318584	0.004424778761061947	0.01327433628318584	0.004424778761061947	0.004424778761061947	0.004424778761061947	0.01327433628318584	0.008849557522123894	0.004424778761061947	0.01327433628318584	0.017699115044247787	0.01327433628318584	0.004424778761061947	0.01327433628318584	0.0	0.008849557522123894	0.004424778761061947	0.004424778761061947	0.004424778761061947	0.004424778761061947	0.0	0.02654867256637168	0.01327433628318584	0.0	0.008849557522123894	0.008849557522123894	0.022123893805309734	0.004424778761061947	0.01327433628318584	0.0	0.0	0.0	0.004424778761061947	0.004424778761061947	0.017699115044247787	0.017699115044247787	0.008849557522123894	0.008849557522123894	0.017699115044247787	0.01327433628318584	0.01327433628318584	0.0	0.01327433628318584	0.008849557522123894	0.004424778761061947	0.004424778761061947	0.0	0.004424778761061947	0.017699115044247787	0.004424778761061947	0.004424778761061947	0.0	0.008849557522123894	0.0	0.004424778761061947	0.01327433628318584	0.0	0.008849557522123894	0.017699115044247787	0.004424778761061947	0.0
s2044980	-69.8	-132	6	-83	1	71	1	0.0	0.0	0.0	0.011235955056179775	0.0	0.028089887640449437	0.0	0.0056179775280898875	0.0	0.0	0.016853932584269662	0.0056179775280898875	0.0056179775280898875	0.0	0.0056179775280898875	0.011235955056179775	0.0056179775280898875	0.0	0.0056179775280898875	0.011235955056179775	0.016853932584269662	0.0056179775280898875	0.0056179775280898875	0.016853932584269662	0.0	0.0056179775280898875	0.011235955056179775	0.0	0.0	0.0056179775280898875	0.0056179775280898875	0.0056179775280898875	0.0056179775280898875	0.0056179775280898875	0.0	0.016853932584269662	0.0	0.0056179775280898875	0.0	0.011235955056179775	0.02247191011235955	0.0056179775280898875	0.0	0.0	0.011235955056179775	0.0	0.0	0.0	0.011235955056179775	0.0056179775280898875	0.0056179775280898875	0.0	0.0056179775280898875	0.011235955056179775	0.0056179775280898875	0.0	0.011235955056179775	0.011235955056179775	0.0056179775280898875	0.0056179775280898875	0.016853932584269662	0.0056179775280898875	0.0	0.011235955056179775	0.016853932584269662	0.0056179775280898875	0.02247191011235955	0.0056179775280898875	0.011235955056179775	0.0056179775280898875	0.02247191011235955	0.0	0.0056179775280898875	0.0	0.011235955056179775	0.016853932584269662	0.0056179775280898875	0.016853932584269662	0.0056179775280898875	0.011235955056179775	0.0056179775280898875	0.011235955056179775	0.0056179775280898875	0.0	0.011235955056179775	0.016853932584269662	0.016853932584269662	0.0056179775280898875	0.016853932584269662	0.0	0.0056179775280898875	0.0056179775280898875	0.0056179775280898875	0.0056179775280898875	0.0056179775280898875	0.0	0.02247191011235955	0.016853932584269662	0.0	0.011235955056179775	0.0056179775280898875	0.02247191011235955	0.0056179775280898875	0.011235955056179775	0.0	0.0	0.0	0.0	0.0056179775280898875	0.02247191011235955	0.016853932584269662	0.011235955056179775	0.011235955056179775	0.016853932584269662	0.016853932584269662	0.016853932584269662	0.0	0.016853932584269662	0.016853932584269662	0.0056179775280898875	0.0056179775280898875	0.0	0.0056179775280898875	0.011235955056179775	0.0056179775280898875	0.0056179775280898875	0.0	0.011235955056179775	0.0	0.0056179775280898875	0.0056179775280898875	0.0	0.0	0.016853932584269662	0.0056179775280898875	0.0
s2086860	-32.4	0	494	-65	1	41	1	0.038461538461538464	0.0	0.015384615384615385	0.0	0.0	0.015384615384615385	0.007692307692307693	0.015384615384615385	0.007692307692307693	0.0	0.03076923076923077	0.007692307692307693	0.0	0.007692307692307693	0.0	0.0	0.007692307692307693	0.0	0.015384615384615385	0.0	0.007692307692307693	0.0	0.007692307692307693	0.007692307692307693	0.015384615384615385	0.007692307692307693	0.007692307692307693	0.007692307692307693	0.0	0.007692307692307693	0.007692307692307693	0.03076923076923077	0.023076923076923078	0.0	0.0	0.007692307692307693	0.023076923076923078	0.0	0.0	0.0	0.007692307692307693	0.015384615384615385	0.0	0.0	0.007692307692307693	0.0	0.0	0.0	0.0	0.007692307692307693	0.007692307692307693	0.023076923076923078	0.0	0.0	0.03076923076923077	0.0	0.007692307692307693	0.0	0.0	0.007692307692307693	0.007692307692307693	0.0	0.015384615384615385	0.015384615384615385	0.03076923076923077	0.007692307692307693	0.0	0.0	0.015384615384615385	0.007692307692307693	0.007692307692307693	0.007692307692307693	0.007692307692307693	0.0	0.0	0.0	0.0	0.007692307692307693	0.0	0.0	0.0	0.007692307692307693	0.007692307692307693	0.0	0.007692307692307693	0.015384615384615385	0.0	0.0	0.007692307692307693	0.007692307692307693	0.015384615384615385	0.0	0.007692307692307693	0.015384615384615385	0.007692307692307693	0.0	0.007692307692307693	0.015384615384615385	0.007692307692307693	0.015384615384615385	0.015384615384615385	0.03076923076923077	0.015384615384615385	0.0	0.0	0.0	0.0	0.007692307692307693	0.0	0.015384615384615385	0.023076923076923078	0.015384615384615385	0.007692307692307693	0.0	0.023076923076923078	0.015384615384615385	0.0	0.0	0.007692307692307693	0.0	0.0	0.007692307692307693	0.0	0.0	0.015384615384615385	0.0	0.0	0.007692307692307693	0.015384615384615385	0.0	0.0	0.023076923076923078	0.007692307692307693	0.015384615384615385	0.007692307692307693	0.0
s2116036	-82.0	-812	19	0	1	0	1	0.0	0.0027472527472527475	0.008241758241758242	0.008241758241758242	0.01098901098901099	0.005494505494505495	0.008241758241758242	0.008241758241758242	0.016483516483516484	0.038461538461538464	0.008241758241758242	0.0027472527472527475	0.005494505494505495	0.0	0.0027472527472527475	0.005494505494505495	0.01098901098901099	0.005494505494505495	0.005494505494505495	0.005494505494505495	0.01098901098901099	0.0027472527472527475	0.01098901098901099	0.0027472527472527475	0.0027472527472527475	0.016483516483516484	0.005494505494505495	0.0	0.005494505494505495	0.0027472527472527475	0.008241758241758242	0.016483516483516484	0.008241758241758242	0.005494505494505495	0.0	0.03296703296703297	0.013736263736263736	0.016483516483516484	0.016483516483516484	0.005494505494505495	0.008241758241758242	0.0	0.0027472527472527475	0.008241758241758242	0.0	0.0027472527472527475	0.0	0.0027472527472527475	0.0	0.0027472527472527475	0.0027472527472527475	0.005494505494505495	0.008241758241758242	0.0027472527472527475	0.0027472527472527475	0.008241758241758242	0.0	0.0027472527472527475	0.005494505494505495	0.008241758241758242	0.019230769230769232	0.008241758241758242	0.016483516483516484	0.008241758241758242	0.008241758241758242	0.046703296703296704	0.0	0.0	0.005494505494505495	0.005494505494505495	0.008241758241758242	0.008241758241758242	0.008241758241758242	0.0	0.0	0.0027472527472527475	0.008241758241758242	0.0027472527472527475	0.013736263736263736	0.0027472527472527475	0.005494505494505495	0.024725274725274728	0.008241758241758242	0.0027472527472527475	0.013736263736263736	0.0027472527472527475	0.0	0.008241758241758242	0.02197802197802198	0.0	0.008241758241758242	0.01098901098901099	0.0	0.0	0.0027472527472527475	0.008241758241758242	0.005494505494505495	0.04395604395604395	0.008241758241758242	0.030219780219780223	0.01098901098901099	0.01098901098901099	0.005494505494505495	0.005494505494505495	0.0027472527472527475	0.008241758241758242	0.0	0.0027472527472527475	0.01098901098901099	0.019230769230769232	0.013736263736263736	0.0	0.013736263736263738	0.0	0.0027472527472527475	0.005494505494505495	0.0	0.024725274725274728	0.0027472527472527475	0.0	0.0	0.005494505494505495	0.0	0.01098901098901099	0.0	0.01098901098901099	0.0027472527472527475	0.0027472527472527475	0.0027472527472527475	0.0	0.005494505494505495	0.0027472527472527475	0.008241758241758242	0.0027472527472527475	0.0027472527472527475	0.005494505494505495
s2669749	-76.5	-1000	1000	-121	1	131	0	0.029508196721311476	0.006557377049180328	0.009836065573770493	0.009836065573770491	0.006557377049180328	0.003278688524590164	0.009836065573770493	0.006557377049180328	0.009836065573770491	0.009836065573770493	0.003278688524590164	0.009836065573770491	0.019672131147540982	0.006557377049180328	0.003278688524590164	0.0	0.006557377049180328	0.003278688524590164	0.0	0.009836065573770493	0.0	0.009836065573770491	0.013114754098360656	0.0	0.006557377049180328	0.003278688524590164	0.019672131147540985	0.013114754098360656	0.0	0.003278688524590164	0.003278688524590164	0.013114754098360656	0.009836065573770491	0.003278688524590164	0.006557377049180328	0.006557377049180328	0.0	0.009836065573770493	0.0	0.0	0.003278688524590164	0.0	0.0	0.006557377049180328	0.003278688524590164	0.009836065573770493	0.0	0.006557377049180328	0.006557377049180328	0.006557377049180328	0.006557377049180328	0.006557377049180328	0.006557377049180328	0.01639344262295082	0.0	0.003278688524590164	0.009836065573770491	0.006557377049180328	0.0	0.006557377049180328	0.006557377049180328	0.009836065573770493	0.009836065573770491	0.01639344262295082	0.009836065573770491	0.0	0.0	0.003278688524590164	0.006557377049180328	0.009836065573770493	0.006557377049180328	0.003278688524590164	0.0	0.003278688524590164	0.01639344262295082	0.02622950819672131	0.013114754098360656	0.02622950819672131	0.01639344262295082	0.0	0.0	0.013114754098360656	0.019672131147540982	0.0	0.003278688524590164	0.01639344262295082	0.006557377049180328	0.019672131147540985	0.03278688524590164	0.003278688524590164	0.02622950819672131	0.0	0.006557377049180328	0.0	0.003278688524590164	0.003278688524590164	0.003278688524590164	0.009836065573770491	0.006557377049180328	0.009836065573770491	0.019672131147540982	0.013114754098360656	0.003278688524590164	0.006557377049180328	0.003278688524590164	0.003278688524590164	0.006557377049180328	0.003278688524590164	0.003278688524590164	0.01639344262295082	0.006557377049180328	0.009836065573770493	0.006557377049180328	0.003278688524590164	0.003278688524590164	0.013114754098360656	0.003278688524590164	0.009836065573770491	0.013114754098360656	0.006557377049180328	0.003278688524590164	0.0	0.0	0.009836065573770491	0.01639344262295082	0.0	0.006557377049180328	0.0	0.009836065573770491	0.0	0.006557377049180328	0.0	0.006557377049180328	0.013114754098360656	0.013114754098360656	0.003278688524590164
