	SS	PromoterDistance	DistTerm	Distance	sameStrand	DownDistance	sameDownStrand	AAAA/TTTT	AAAC/GTTT	AAAG/CTTT	AAAT/ATTT	AACA/TGTT	AACC/GGTT	AACG/CGTT	AACT/AGTT	AAGA/TCTT	AAGC/GCTT	AAGG/CCTT	AAGT/ACTT	AATA/TATT	AATC/GATT	AATG/CATT	AATT/AATT	ACAA/TTGT	ACAC/GTGT	ACAG/CTGT	ACAT/ATGT	ACCA/TGGT	ACCC/GGGT	ACCG/CGGT	ACCT/AGGT	ACGA/TCGT	ACGC/GCGT	ACGG/CCGT	ACGT/ACGT	ACTA/TAGT	ACTC/GAGT	ACTG/CAGT	AGAA/TTCT	AGAC/GTCT	AGAG/CTCT	AGAT/ATCT	AGCA/TGCT	AGCC/GGCT	AGCG/CGCT	AGCT/AGCT	AGGA/TCCT	AGGC/GCCT	AGGG/CCCT	AGTA/TACT	AGTC/GACT	AGTG/CACT	ATAA/TTAT	ATAC/GTAT	ATAG/CTAT	ATAT/ATAT	ATCA/TGAT	ATCC/GGAT	ATCG/CGAT	ATGA/TCAT	ATGC/GCAT	ATGG/CCAT	ATTA/TAAT	ATTC/GAAT	ATTG/CAAT	CAAA/TTTG	CAAC/GTTG	CAAG/CTTG	CACA/TGTG	CACC/GGTG	CACG/CGTG	CAGA/TCTG	CAGC/GCTG	CAGG/CCTG	CATA/TATG	CATC/GATG	CATG/CATG	CCAA/TTGG	CCAC/GTGG	CCAG/CTGG	CCCA/TGGG	CCCC/GGGG	CCCG/CGGG	CCGA/TCGG	CCGC/GCGG	CCGG/CCGG	CCTA/TAGG	CCTC/GAGG	CGAA/TTCG	CGAC/GTCG	CGAG/CTCG	CGCA/TGCG	CGCC/GGCG	CGCG/CGCG	CGGA/TCCG	CGGC/GCCG	CGTA/TACG	CGTC/GACG	CTAA/TTAG	CTAC/GTAG	CTAG/CTAG	CTCA/TGAG	CTCC/GGAG	CTGA/TCAG	CTGC/GCAG	CTTA/TAAG	CTTC/GAAG	GAAA/TTTC	GAAC/GTTC	GACA/TGTC	GACC/GGTC	GAGA/TCTC	GAGC/GCTC	GATA/TATC	GATC/GATC	GCAA/TTGC	GCAC/GTGC	GCCA/TGGC	GCCC/GGGC	GCGA/TCGC	GCGC/GCGC	GCTA/TAGC	GGAA/TTCC	GGAC/GTCC	GGCA/TGCC	GGCC/GGCC	GGGA/TCCC	GGTA/TACC	GTAA/TTAC	GTAC/GTAC	GTCA/TGAC	GTGA/TCAC	GTTA/TAAC	TAAA/TTTA	TACA/TGTA	TAGA/TCTA	TATA/TATA	TCAA/TTGA	TCCA/TGGA	TCGA/TCGA	TGAA/TTCA	TGCA/TGCA	TTAA/TTAA
B_subtilis_RAND_21	-47.6	0	1000	0	1	0	1	0.017605633802816902	0.01056338028169014	0.01056338028169014	0.007042253521126761	0.007042253521126761	0.007042253521126761	0.0035211267605633804	0.0	0.01056338028169014	0.017605633802816902	0.014084507042253521	0.01056338028169014	0.02112676056338028	0.007042253521126761	0.0	0.007042253521126761	0.01056338028169014	0.0	0.01056338028169014	0.0035211267605633804	0.007042253521126761	0.007042253521126761	0.007042253521126761	0.0035211267605633804	0.0035211267605633804	0.0	0.017605633802816902	0.0035211267605633804	0.0	0.0035211267605633804	0.0035211267605633804	0.017605633802816902	0.007042253521126761	0.007042253521126761	0.0	0.01056338028169014	0.007042253521126761	0.007042253521126761	0.0035211267605633804	0.024647887323943664	0.0035211267605633804	0.007042253521126761	0.0	0.0035211267605633804	0.014084507042253521	0.0	0.014084507042253521	0.0035211267605633804	0.017605633802816902	0.02112676056338028	0.014084507042253521	0.014084507042253521	0.007042253521126761	0.007042253521126761	0.01056338028169014	0.014084507042253521	0.01056338028169014	0.01056338028169014	0.007042253521126761	0.0035211267605633804	0.014084507042253521	0.0	0.0035211267605633804	0.007042253521126761	0.01056338028169014	0.007042253521126761	0.0035211267605633804	0.0035211267605633804	0.014084507042253521	0.0035211267605633804	0.0035211267605633804	0.0035211267605633804	0.007042253521126761	0.007042253521126761	0.0035211267605633804	0.007042253521126761	0.007042253521126761	0.0035211267605633804	0.0035211267605633804	0.0035211267605633804	0.017605633802816902	0.0	0.007042253521126761	0.0035211267605633804	0.0	0.0035211267605633804	0.0035211267605633804	0.01056338028169014	0.01056338028169014	0.0035211267605633804	0.014084507042253521	0.007042253521126761	0.0	0.0	0.007042253521126761	0.014084507042253521	0.0035211267605633804	0.0035211267605633804	0.007042253521126761	0.017605633802816902	0.01056338028169014	0.0	0.007042253521126761	0.007042253521126761	0.0035211267605633804	0.007042253521126761	0.007042253521126761	0.01056338028169014	0.007042253521126761	0.0035211267605633804	0.0	0.007042253521126761	0.014084507042253521	0.0	0.0	0.014084507042253521	0.01056338028169014	0.01056338028169014	0.0	0.007042253521126761	0.007042253521126761	0.007042253521126761	0.0	0.007042253521126761	0.017605633802816902	0.0035211267605633804	0.01056338028169014	0.01056338028169014	0.007042253521126761	0.01056338028169014	0.014084507042253521	0.01056338028169014	0.0	0.007042253521126761	0.0	0.01056338028169014
B_subtilis_RAND_13	-41.61	-42	610	0	0	0	0	0.01675977653631285	0.0111731843575419	0.013966480446927373	0.008379888268156424	0.002793296089385475	0.0111731843575419	0.008379888268156424	0.00558659217877095	0.013966480446927373	0.0223463687150838	0.002793296089385475	0.002793296089385475	0.00558659217877095	0.002793296089385475	0.008379888268156424	0.0	0.0	0.008379888268156424	0.013966480446927373	0.013966480446927373	0.002793296089385475	0.00558659217877095	0.0111731843575419	0.00558659217877095	0.008379888268156424	0.002793296089385475	0.008379888268156424	0.002793296089385475	0.002793296089385475	0.008379888268156424	0.008379888268156424	0.0111731843575419	0.00558659217877095	0.0	0.008379888268156424	0.0111731843575419	0.013966480446927375	0.0111731843575419	0.008379888268156424	0.008379888268156424	0.008379888268156424	0.00558659217877095	0.008379888268156424	0.008379888268156424	0.0	0.008379888268156424	0.00558659217877095	0.013966480446927373	0.002793296089385475	0.00558659217877095	0.002793296089385475	0.008379888268156424	0.01675977653631285	0.0111731843575419	0.00558659217877095	0.002793296089385475	0.00558659217877095	0.0	0.00558659217877095	0.002793296089385475	0.0	0.019553072625698324	0.00558659217877095	0.008379888268156424	0.002793296089385475	0.01675977653631285	0.013966480446927373	0.0223463687150838	0.0111731843575419	0.002793296089385475	0.0	0.00558659217877095	0.01675977653631285	0.002793296089385475	0.00558659217877095	0.008379888268156424	0.0111731843575419	0.013966480446927375	0.002793296089385475	0.00558659217877095	0.00558659217877095	0.013966480446927373	0.0111731843575419	0.00558659217877095	0.002793296089385475	0.013966480446927373	0.0	0.008379888268156424	0.0111731843575419	0.0	0.008379888268156424	0.002793296089385475	0.002793296089385475	0.0	0.00558659217877095	0.013966480446927375	0.008379888268156424	0.002793296089385475	0.00558659217877095	0.0223463687150838	0.01675977653631285	0.008379888268156424	0.008379888268156424	0.00558659217877095	0.002793296089385475	0.008379888268156424	0.0	0.00558659217877095	0.00558659217877095	0.008379888268156424	0.0111731843575419	0.00558659217877095	0.008379888268156424	0.0	0.00558659217877095	0.013966480446927373	0.002793296089385475	0.008379888268156424	0.0	0.00558659217877095	0.002793296089385475	0.002793296089385475	0.002793296089385475	0.0111731843575419	0.008379888268156424	0.00558659217877095	0.0111731843575419	0.00558659217877095	0.00558659217877095	0.002793296089385475	0.002793296089385475	0.0111731843575419	0.00558659217877095	0.013966480446927375	0.002793296089385475	0.00558659217877095
B_subtilis_RAND_23	-23.84	0	397	0	1	0	1	0.02	0.012	0.004	0.02	0.004	0.008	0.016	0.004	0.008	0.02	0.008	0.0	0.012	0.004	0.012	0.0	0.004	0.008	0.0	0.008	0.008	0.004	0.004	0.004	0.004	0.004	0.012	0.008	0.004	0.0	0.008	0.0	0.0	0.004	0.012	0.0	0.0	0.02	0.012	0.016	0.004	0.0	0.004	0.004	0.0	0.0	0.02	0.004	0.012	0.008	0.012	0.012	0.024	0.012	0.012	0.0	0.004	0.004	0.016	0.012	0.016	0.0	0.012	0.008	0.004	0.012	0.004	0.02	0.016	0.004	0.0	0.004	0.012	0.0	0.0	0.012	0.0	0.012	0.004	0.0	0.012	0.0	0.008	0.008	0.016	0.012	0.0	0.004	0.012	0.008	0.004	0.0	0.0	0.0	0.012	0.004	0.004	0.012	0.0	0.016	0.02	0.008	0.004	0.0	0.004	0.012	0.008	0.008	0.02	0.008	0.012	0.004	0.0	0.016	0.0	0.02	0.0	0.02	0.0	0.004	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.012	0.0	0.004	0.024	0.008	0.012	0.028	0.008	0.0
B_subtilis_RAND_34	-61.01	0	448	0	1	0	1	0.014084507042253521	0.007042253521126761	0.017605633802816902	0.01056338028169014	0.01056338028169014	0.0035211267605633804	0.0035211267605633804	0.007042253521126761	0.014084507042253521	0.02112676056338028	0.0035211267605633804	0.02112676056338028	0.01056338028169014	0.007042253521126761	0.01056338028169014	0.0	0.01056338028169014	0.0035211267605633804	0.007042253521126761	0.0035211267605633804	0.0035211267605633804	0.0	0.0035211267605633804	0.007042253521126761	0.0035211267605633804	0.007042253521126761	0.0	0.0	0.0	0.0	0.007042253521126761	0.01056338028169014	0.0	0.0035211267605633804	0.014084507042253521	0.01056338028169014	0.014084507042253521	0.014084507042253521	0.0	0.014084507042253521	0.017605633802816902	0.0	0.007042253521126761	0.007042253521126761	0.007042253521126761	0.014084507042253521	0.0	0.007042253521126761	0.007042253521126761	0.01056338028169014	0.007042253521126761	0.007042253521126761	0.0035211267605633804	0.014084507042253521	0.017605633802816902	0.007042253521126761	0.007042253521126761	0.0035211267605633804	0.01056338028169014	0.0035211267605633804	0.02112676056338028	0.007042253521126761	0.007042253521126761	0.0035211267605633804	0.007042253521126761	0.007042253521126761	0.017605633802816902	0.007042253521126761	0.007042253521126761	0.007042253521126761	0.01056338028169014	0.01056338028169014	0.0	0.01056338028169014	0.0035211267605633804	0.0	0.007042253521126761	0.014084507042253521	0.0035211267605633804	0.0035211267605633804	0.014084507042253521	0.007042253521126761	0.0	0.0035211267605633804	0.007042253521126761	0.014084507042253521	0.0	0.01056338028169014	0.014084507042253521	0.0	0.0035211267605633804	0.0035211267605633804	0.0	0.0	0.01056338028169014	0.007042253521126761	0.017605633802816902	0.014084507042253521	0.007042253521126761	0.017605633802816902	0.014084507042253521	0.007042253521126761	0.0035211267605633804	0.0035211267605633804	0.007042253521126761	0.0035211267605633804	0.017605633802816902	0.0035211267605633804	0.0035211267605633804	0.01056338028169014	0.01056338028169014	0.0035211267605633804	0.007042253521126761	0.0035211267605633804	0.007042253521126761	0.028169014084507043	0.0035211267605633804	0.017605633802816902	0.0	0.007042253521126761	0.0	0.0	0.0035211267605633804	0.014084507042253521	0.0	0.007042253521126761	0.01056338028169014	0.0	0.0	0.0	0.014084507042253521	0.014084507042253521	0.0	0.0	0.0035211267605633804	0.007042253521126761
B_subtilis_RAND_35	-4.9	0	654	0	1	0	1	0.06976744186046512	0.046511627906976744	0.023255813953488372	0.0	0.0	0.0	0.046511627906976744	0.0	0.023255813953488372	0.0	0.0	0.0	0.0	0.0	0.023255813953488372	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023255813953488372	0.023255813953488372	0.0	0.046511627906976744	0.0	0.023255813953488372	0.0	0.0	0.023255813953488372	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023255813953488372	0.0	0.023255813953488372	0.0	0.023255813953488372	0.023255813953488372	0.0	0.0	0.0	0.023255813953488372	0.0	0.0	0.0	0.0	0.023255813953488372	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023255813953488372	0.0	0.0	0.023255813953488372	0.0	0.023255813953488372	0.0	0.0	0.023255813953488372	0.0	0.023255813953488372	0.046511627906976744	0.023255813953488372	0.0	0.0	0.0	0.0	0.0	0.023255813953488372	0.0	0.023255813953488372	0.0	0.0	0.023255813953488372	0.0	0.0	0.023255813953488372	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023255813953488372	0.0	0.0	0.0	0.023255813953488372	0.0	0.046511627906976744	0.0	0.0	0.046511627906976744	0.0	0.0	0.046511627906976744	0.023255813953488372	0.0	0.0	0.0	0.0	0.0
B_subtilis_RAND_36	-74.51	-425	1000	0	1	0	1	0.02387267904509284	0.01326259946949602	0.005305039787798408	0.021220159151193633	0.010610079575596816	0.005305039787798408	0.010610079575596816	0.0	0.005305039787798408	0.0	0.015915119363395226	0.002652519893899204	0.010610079575596816	0.021220159151193633	0.023872679045092837	0.002652519893899204	0.007957559681697613	0.002652519893899204	0.005305039787798408	0.005305039787798408	0.005305039787798408	0.0	0.015915119363395226	0.007957559681697613	0.005305039787798408	0.007957559681697613	0.007957559681697613	0.0	0.002652519893899204	0.002652519893899204	0.007957559681697613	0.013262599469496022	0.0	0.0	0.007957559681697613	0.013262599469496022	0.0	0.005305039787798408	0.0	0.007957559681697613	0.002652519893899204	0.005305039787798408	0.005305039787798408	0.005305039787798408	0.005305039787798408	0.015915119363395226	0.005305039787798408	0.0	0.010610079575596816	0.015915119363395226	0.007957559681697613	0.01856763925729443	0.015915119363395226	0.015915119363395226	0.005305039787798408	0.01326259946949602	0.01326259946949602	0.01326259946949602	0.01326259946949602	0.002652519893899204	0.005305039787798408	0.0	0.01856763925729443	0.002652519893899204	0.015915119363395226	0.015915119363395226	0.007957559681697613	0.005305039787798408	0.013262599469496022	0.0	0.010610079575596816	0.0	0.02387267904509284	0.002652519893899204	0.005305039787798408	0.002652519893899204	0.010610079575596816	0.010610079575596816	0.002652519893899204	0.0	0.0	0.007957559681697613	0.002652519893899204	0.0	0.007957559681697613	0.013262599469496022	0.002652519893899204	0.005305039787798408	0.013262599469496022	0.002652519893899204	0.005305039787798408	0.002652519893899204	0.002652519893899204	0.0	0.002652519893899204	0.0	0.007957559681697613	0.007957559681697613	0.007957559681697613	0.005305039787798408	0.021220159151193636	0.010610079575596816	0.005305039787798408	0.002652519893899204	0.0	0.0	0.010610079575596816	0.002652519893899204	0.013262599469496022	0.010610079575596816	0.01856763925729443	0.005305039787798408	0.01326259946949602	0.0	0.002652519893899204	0.015915119363395226	0.007957559681697613	0.015915119363395226	0.005305039787798408	0.005305039787798408	0.002652519893899204	0.002652519893899204	0.002652519893899204	0.007957559681697613	0.013262599469496022	0.0	0.005305039787798408	0.005305039787798408	0.0	0.007957559681697613	0.002652519893899204	0.01326259946949602	0.0	0.01326259946949602	0.005305039787798408	0.002652519893899204
B_subtilis_RAND_1	-15.1	-509	1000	0	0	0	0	0.03614457831325302	0.012048192771084338	0.024096385542168676	0.024096385542168676	0.024096385542168676	0.0	0.012048192771084338	0.0	0.012048192771084338	0.024096385542168676	0.0	0.012048192771084338	0.024096385542168676	0.012048192771084338	0.012048192771084338	0.0	0.012048192771084338	0.0	0.012048192771084338	0.0	0.0	0.0	0.012048192771084338	0.0	0.0	0.012048192771084338	0.0	0.0	0.0	0.0	0.0	0.024096385542168676	0.0	0.0	0.0	0.012048192771084338	0.024096385542168676	0.012048192771084338	0.0	0.012048192771084338	0.024096385542168676	0.0	0.0	0.0	0.012048192771084338	0.012048192771084338	0.0	0.012048192771084338	0.012048192771084338	0.03614457831325302	0.0	0.012048192771084338	0.0	0.012048192771084338	0.012048192771084338	0.0	0.012048192771084338	0.012048192771084338	0.03614457831325302	0.012048192771084338	0.012048192771084338	0.0	0.0	0.0	0.0	0.012048192771084338	0.03614457831325302	0.012048192771084338	0.0	0.0	0.0	0.012048192771084338	0.0	0.012048192771084338	0.0	0.0	0.012048192771084338	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012048192771084338	0.012048192771084338	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012048192771084338	0.012048192771084338	0.012048192771084338	0.0	0.012048192771084338	0.012048192771084338	0.012048192771084338	0.0	0.012048192771084338	0.0	0.012048192771084338	0.012048192771084338	0.012048192771084338	0.024096385542168676	0.0	0.012048192771084338	0.0	0.0	0.012048192771084338	0.0	0.012048192771084338	0.012048192771084338	0.0	0.0	0.012048192771084338	0.0	0.0	0.0	0.0	0.0	0.0	0.012048192771084338	0.0	0.012048192771084338	0.0	0.03614457831325302	0.0	0.0	0.012048192771084338	0.012048192771084338	0.0
B_subtilis_RAND_2	-13.8	0	1000	0	0	0	0	0.0	0.0	0.024096385542168676	0.012048192771084338	0.012048192771084338	0.0	0.0	0.012048192771084338	0.012048192771084338	0.012048192771084338	0.012048192771084338	0.012048192771084338	0.012048192771084338	0.024096385542168676	0.012048192771084338	0.012048192771084338	0.012048192771084338	0.012048192771084338	0.012048192771084338	0.0	0.03614457831325302	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012048192771084338	0.012048192771084338	0.012048192771084338	0.012048192771084338	0.0	0.0	0.0	0.03614457831325302	0.0	0.0	0.0	0.0	0.0	0.012048192771084338	0.0	0.0	0.012048192771084338	0.024096385542168676	0.024096385542168676	0.0	0.0	0.012048192771084338	0.03614457831325302	0.04819277108433735	0.012048192771084338	0.0	0.024096385542168676	0.024096385542168676	0.0	0.0	0.012048192771084338	0.0	0.024096385542168676	0.0	0.012048192771084338	0.012048192771084338	0.024096385542168676	0.0	0.0	0.0	0.012048192771084338	0.0	0.0	0.0	0.012048192771084338	0.0	0.024096385542168676	0.0	0.012048192771084338	0.012048192771084338	0.0	0.0	0.0	0.0	0.0	0.012048192771084338	0.03614457831325302	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012048192771084338	0.0	0.012048192771084338	0.012048192771084338	0.0	0.0	0.012048192771084338	0.012048192771084338	0.0	0.0	0.012048192771084338	0.0	0.024096385542168676	0.0	0.012048192771084338	0.0	0.0	0.0	0.0	0.012048192771084338	0.012048192771084338	0.024096385542168676	0.012048192771084338	0.0	0.0	0.012048192771084338	0.0	0.0	0.0	0.0	0.012048192771084338	0.012048192771084338	0.0	0.0	0.012048192771084338	0.0	0.0	0.0	0.0	0.024096385542168676
B_subtilis_RAND_3	-81.6	0	134	0	1	0	1	0.03631284916201117	0.013966480446927375	0.0111731843575419	0.01675977653631285	0.008379888268156424	0.0	0.0111731843575419	0.002793296089385475	0.0111731843575419	0.01675977653631285	0.008379888268156424	0.0	0.008379888268156424	0.0111731843575419	0.013966480446927373	0.0111731843575419	0.0111731843575419	0.0	0.00558659217877095	0.002793296089385475	0.0	0.0	0.00558659217877095	0.0	0.008379888268156424	0.00558659217877095	0.002793296089385475	0.002793296089385475	0.0	0.0	0.002793296089385475	0.013966480446927373	0.008379888268156424	0.0	0.01675977653631285	0.013966480446927375	0.008379888268156424	0.0111731843575419	0.00558659217877095	0.002793296089385475	0.0111731843575419	0.002793296089385475	0.0	0.0	0.0	0.013966480446927375	0.00558659217877095	0.008379888268156424	0.00558659217877095	0.00558659217877095	0.013966480446927373	0.0111731843575419	0.008379888268156424	0.01675977653631285	0.013966480446927375	0.0111731843575419	0.019553072625698324	0.008379888268156424	0.008379888268156424	0.002793296089385475	0.013966480446927373	0.0	0.002793296089385475	0.002793296089385475	0.0111731843575419	0.019553072625698324	0.00558659217877095	0.00558659217877095	0.0111731843575419	0.00558659217877095	0.0	0.0	0.00558659217877095	0.002793296089385475	0.0	0.002793296089385475	0.013966480446927373	0.019553072625698324	0.008379888268156424	0.002793296089385475	0.0	0.013966480446927375	0.002793296089385475	0.00558659217877095	0.008379888268156424	0.013966480446927373	0.002793296089385475	0.0111731843575419	0.0335195530726257	0.002793296089385475	0.00558659217877095	0.002793296089385475	0.0	0.0	0.008379888268156424	0.002793296089385475	0.013966480446927373	0.013966480446927375	0.002793296089385475	0.008379888268156424	0.0223463687150838	0.0	0.0111731843575419	0.0	0.008379888268156424	0.008379888268156424	0.019553072625698324	0.002793296089385475	0.019553072625698324	0.002793296089385475	0.00558659217877095	0.002793296089385475	0.00558659217877095	0.002793296089385475	0.0	0.0111731843575419	0.002793296089385475	0.019553072625698324	0.00558659217877095	0.00558659217877095	0.002793296089385475	0.002793296089385475	0.0	0.002793296089385475	0.002793296089385475	0.00558659217877095	0.0111731843575419	0.0	0.008379888268156424	0.002793296089385475	0.002793296089385475	0.0111731843575419	0.002793296089385475	0.0111731843575419	0.00558659217877095	0.00558659217877095
B_subtilis_RAND_4	-18.8	-367	728	-34	1	0	0	0.01904761904761905	0.01904761904761905	0.0	0.009523809523809525	0.009523809523809525	0.0	0.01904761904761905	0.009523809523809525	0.01904761904761905	0.028571428571428574	0.0	0.0	0.009523809523809525	0.009523809523809525	0.009523809523809525	0.0	0.009523809523809525	0.0	0.01904761904761905	0.009523809523809525	0.0	0.0	0.0	0.0	0.009523809523809525	0.009523809523809525	0.0	0.009523809523809525	0.0	0.009523809523809525	0.01904761904761905	0.009523809523809525	0.0	0.009523809523809525	0.0	0.0	0.009523809523809525	0.009523809523809525	0.01904761904761905	0.0	0.009523809523809525	0.009523809523809525	0.0	0.0	0.01904761904761905	0.009523809523809525	0.0	0.009523809523809525	0.009523809523809525	0.009523809523809525	0.009523809523809525	0.009523809523809525	0.028571428571428574	0.0	0.0	0.009523809523809525	0.009523809523809525	0.0	0.0	0.009523809523809525	0.028571428571428574	0.009523809523809525	0.009523809523809525	0.0	0.0	0.01904761904761905	0.01904761904761905	0.01904761904761905	0.009523809523809525	0.0	0.0	0.009523809523809525	0.009523809523809525	0.009523809523809525	0.009523809523809525	0.0	0.0	0.009523809523809525	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009523809523809525	0.0	0.0	0.009523809523809525	0.009523809523809525	0.009523809523809525	0.0	0.0	0.0	0.0	0.0	0.01904761904761905	0.009523809523809525	0.009523809523809525	0.009523809523809525	0.009523809523809525	0.009523809523809525	0.009523809523809525	0.0	0.0	0.0	0.009523809523809525	0.0	0.028571428571428574	0.01904761904761905	0.009523809523809525	0.009523809523809525	0.0	0.0	0.009523809523809525	0.0	0.0	0.01904761904761905	0.0	0.009523809523809525	0.0	0.01904761904761905	0.0	0.01904761904761905	0.009523809523809525	0.0	0.028571428571428574	0.009523809523809525	0.0	0.0	0.0	0.0	0.0	0.028571428571428574	0.01904761904761905	0.009523809523809525
