	SS	PromoterDistance	DistTerm	Distance	sameStrand	DownDistance	sameDownStrand	AAAA/TTTT	AAAC/GTTT	AAAG/CTTT	AAAT/ATTT	AACA/TGTT	AACC/GGTT	AACG/CGTT	AACT/AGTT	AAGA/TCTT	AAGC/GCTT	AAGG/CCTT	AAGT/ACTT	AATA/TATT	AATC/GATT	AATG/CATT	AATT/AATT	ACAA/TTGT	ACAC/GTGT	ACAG/CTGT	ACAT/ATGT	ACCA/TGGT	ACCC/GGGT	ACCG/CGGT	ACCT/AGGT	ACGA/TCGT	ACGC/GCGT	ACGG/CCGT	ACGT/ACGT	ACTA/TAGT	ACTC/GAGT	ACTG/CAGT	AGAA/TTCT	AGAC/GTCT	AGAG/CTCT	AGAT/ATCT	AGCA/TGCT	AGCC/GGCT	AGCG/CGCT	AGCT/AGCT	AGGA/TCCT	AGGC/GCCT	AGGG/CCCT	AGTA/TACT	AGTC/GACT	AGTG/CACT	ATAA/TTAT	ATAC/GTAT	ATAG/CTAT	ATAT/ATAT	ATCA/TGAT	ATCC/GGAT	ATCG/CGAT	ATGA/TCAT	ATGC/GCAT	ATGG/CCAT	ATTA/TAAT	ATTC/GAAT	ATTG/CAAT	CAAA/TTTG	CAAC/GTTG	CAAG/CTTG	CACA/TGTG	CACC/GGTG	CACG/CGTG	CAGA/TCTG	CAGC/GCTG	CAGG/CCTG	CATA/TATG	CATC/GATG	CATG/CATG	CCAA/TTGG	CCAC/GTGG	CCAG/CTGG	CCCA/TGGG	CCCC/GGGG	CCCG/CGGG	CCGA/TCGG	CCGC/GCGG	CCGG/CCGG	CCTA/TAGG	CCTC/GAGG	CGAA/TTCG	CGAC/GTCG	CGAG/CTCG	CGCA/TGCG	CGCC/GGCG	CGCG/CGCG	CGGA/TCCG	CGGC/GCCG	CGTA/TACG	CGTC/GACG	CTAA/TTAG	CTAC/GTAG	CTAG/CTAG	CTCA/TGAG	CTCC/GGAG	CTGA/TCAG	CTGC/GCAG	CTTA/TAAG	CTTC/GAAG	GAAA/TTTC	GAAC/GTTC	GACA/TGTC	GACC/GGTC	GAGA/TCTC	GAGC/GCTC	GATA/TATC	GATC/GATC	GCAA/TTGC	GCAC/GTGC	GCCA/TGGC	GCCC/GGGC	GCGA/TCGC	GCGC/GCGC	GCTA/TAGC	GGAA/TTCC	GGAC/GTCC	GGCA/TGCC	GGCC/GGCC	GGGA/TCCC	GGTA/TACC	GTAA/TTAC	GTAC/GTAC	GTCA/TGAC	GTGA/TCAC	GTTA/TAAC	TAAA/TTTA	TACA/TGTA	TAGA/TCTA	TATA/TATA	TCAA/TTGA	TCCA/TGGA	TCGA/TCGA	TGAA/TTCA	TGCA/TGCA	TTAA/TTAA
s26533	-32.9	-156	74	-197	1	179	1	0.0	0.020202020202020204	0.0	0.0	0.0	0.030303030303030304	0.0	0.0	0.0	0.010101010101010102	0.010101010101010102	0.010101010101010102	0.0	0.0	0.020202020202020204	0.010101010101010102	0.0	0.0	0.0	0.020202020202020204	0.010101010101010102	0.020202020202020204	0.0	0.020202020202020204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010101010101010102	0.0	0.020202020202020204	0.0	0.0	0.0	0.020202020202020204	0.010101010101010102	0.010101010101010102	0.0	0.0	0.010101010101010102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.030303030303030304	0.010101010101010102	0.020202020202020204	0.010101010101010102	0.020202020202020204	0.010101010101010102	0.010101010101010102	0.010101010101010102	0.0	0.010101010101010102	0.0	0.0	0.0	0.010101010101010102	0.04040404040404041	0.0	0.0	0.030303030303030304	0.010101010101010102	0.0	0.010101010101010102	0.030303030303030304	0.0	0.0	0.010101010101010102	0.010101010101010102	0.010101010101010102	0.0	0.010101010101010102	0.0	0.0	0.010101010101010102	0.030303030303030304	0.0	0.0	0.020202020202020204	0.020202020202020204	0.0	0.0	0.0	0.0	0.0	0.010101010101010102	0.0	0.010101010101010102	0.030303030303030304	0.010101010101010102	0.020202020202020204	0.010101010101010102	0.010101010101010102	0.010101010101010102	0.020202020202020204	0.010101010101010102	0.010101010101010102	0.0	0.0	0.020202020202020204	0.010101010101010102	0.0	0.010101010101010102	0.0	0.010101010101010102	0.0	0.030303030303030304	0.020202020202020204	0.020202020202020204	0.010101010101010102	0.010101010101010102	0.0	0.0	0.0	0.010101010101010102	0.010101010101010102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.030303030303030304	0.0	0.010101010101010102
s474413	-11.9	-217	1000	-189	0	232	0	0.04819277108433735	0.012048192771084338	0.024096385542168676	0.0	0.024096385542168676	0.0	0.012048192771084338	0.0	0.012048192771084338	0.024096385542168676	0.0	0.012048192771084338	0.0	0.012048192771084338	0.0	0.012048192771084338	0.04819277108433735	0.024096385542168676	0.0	0.0	0.0	0.0	0.012048192771084338	0.012048192771084338	0.024096385542168676	0.0	0.0	0.0	0.0	0.0	0.012048192771084338	0.0	0.012048192771084338	0.012048192771084338	0.0	0.0	0.03614457831325302	0.0	0.0	0.0	0.0	0.012048192771084338	0.0	0.012048192771084338	0.012048192771084338	0.0	0.0	0.0	0.0	0.0	0.0	0.012048192771084338	0.0	0.0	0.0	0.0	0.012048192771084338	0.024096385542168676	0.012048192771084338	0.012048192771084338	0.012048192771084338	0.024096385542168676	0.012048192771084338	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012048192771084338	0.024096385542168676	0.012048192771084338	0.012048192771084338	0.012048192771084338	0.024096385542168676	0.0	0.0	0.012048192771084338	0.012048192771084338	0.012048192771084338	0.012048192771084338	0.03614457831325302	0.0	0.012048192771084338	0.0	0.012048192771084338	0.0	0.012048192771084338	0.012048192771084338	0.0	0.012048192771084338	0.0	0.012048192771084338	0.012048192771084338	0.012048192771084338	0.012048192771084338	0.0	0.012048192771084338	0.012048192771084338	0.0	0.0	0.0	0.0	0.0	0.012048192771084338	0.0	0.012048192771084338	0.0	0.0	0.0	0.0	0.0	0.0	0.012048192771084338	0.012048192771084338	0.0	0.012048192771084338	0.024096385542168676	0.0	0.012048192771084338	0.012048192771084338	0.0	0.0	0.012048192771084338	0.0	0.0	0.024096385542168676	0.0	0.0
s559894	-3.4	-160	632	-431	1	171	0	0.060240963855421686	0.012048192771084338	0.024096385542168676	0.0	0.012048192771084338	0.0	0.0	0.0	0.012048192771084338	0.012048192771084338	0.024096385542168676	0.012048192771084338	0.0	0.012048192771084338	0.012048192771084338	0.0	0.024096385542168676	0.012048192771084338	0.0	0.0	0.0	0.0	0.0	0.024096385542168676	0.0	0.0	0.024096385542168676	0.0	0.012048192771084338	0.0	0.012048192771084338	0.0	0.0	0.024096385542168676	0.0	0.0	0.024096385542168676	0.0	0.0	0.03614457831325302	0.0	0.012048192771084338	0.012048192771084338	0.0	0.012048192771084338	0.0	0.024096385542168676	0.0	0.0	0.012048192771084338	0.024096385542168676	0.0	0.012048192771084338	0.0	0.012048192771084338	0.0	0.012048192771084338	0.012048192771084338	0.0	0.0	0.012048192771084338	0.012048192771084338	0.0	0.012048192771084338	0.0	0.0	0.012048192771084338	0.0	0.012048192771084338	0.0	0.0	0.0	0.012048192771084338	0.0	0.0	0.0	0.0	0.0	0.0	0.024096385542168676	0.012048192771084338	0.0	0.0	0.0	0.0	0.0	0.0	0.012048192771084338	0.012048192771084338	0.012048192771084338	0.0	0.024096385542168676	0.012048192771084338	0.0	0.0	0.012048192771084338	0.012048192771084338	0.0	0.012048192771084338	0.012048192771084338	0.012048192771084338	0.0	0.012048192771084338	0.0	0.012048192771084338	0.012048192771084338	0.012048192771084338	0.0	0.0	0.012048192771084338	0.012048192771084338	0.012048192771084338	0.0	0.0	0.0	0.012048192771084338	0.012048192771084338	0.012048192771084338	0.0	0.0	0.024096385542168676	0.012048192771084338	0.0	0.0	0.012048192771084338	0.0	0.024096385542168676	0.0	0.0	0.0	0.0	0.012048192771084338	0.0	0.024096385542168676	0.0	0.0
s2069822	-80.7	0	0	0	1	0	1	0.024	0.008	0.012	0.004	0.008	0.008	0.004	0.008	0.004	0.008	0.016	0.008	0.008	0.008	0.02	0.0	0.004	0.004	0.008	0.012	0.008	0.012	0.0	0.016	0.004	0.0	0.0	0.004	0.0	0.008	0.004	0.012	0.008	0.004	0.0	0.028	0.012	0.0	0.0	0.0	0.016	0.028	0.004	0.004	0.004	0.008	0.004	0.02	0.004	0.008	0.008	0.012	0.008	0.016	0.004	0.02	0.004	0.008	0.012	0.012	0.016	0.004	0.012	0.0	0.008	0.0	0.008	0.004	0.016	0.0	0.004	0.004	0.004	0.004	0.012	0.008	0.008	0.0	0.004	0.02	0.016	0.0	0.004	0.016	0.0	0.004	0.0	0.0	0.004	0.004	0.004	0.008	0.008	0.004	0.016	0.008	0.008	0.0	0.004	0.004	0.008	0.008	0.004	0.008	0.0	0.02	0.004	0.0	0.024	0.004	0.0	0.012	0.004	0.0	0.012	0.004	0.0	0.008	0.004	0.016	0.008	0.004	0.004	0.008	0.008	0.0	0.004	0.008	0.012	0.012	0.016	0.004	0.008	0.008	0.004	0.004
s2079095	-43.7	-2	0	-470	1	11	0	0.0	0.01904761904761905	0.01904761904761905	0.0	0.0	0.0	0.01904761904761905	0.0	0.009523809523809525	0.009523809523809525	0.01904761904761905	0.0	0.009523809523809525	0.0	0.009523809523809525	0.009523809523809525	0.009523809523809525	0.0380952380952381	0.0	0.028571428571428574	0.009523809523809525	0.0	0.0	0.0	0.009523809523809525	0.01904761904761905	0.009523809523809525	0.01904761904761905	0.0	0.0	0.0	0.0	0.009523809523809525	0.0	0.0	0.0	0.009523809523809525	0.0	0.009523809523809525	0.0	0.0380952380952381	0.0	0.0	0.0	0.0	0.0	0.009523809523809525	0.0	0.0	0.0	0.0	0.028571428571428574	0.009523809523809525	0.01904761904761905	0.0	0.0	0.01904761904761905	0.01904761904761905	0.028571428571428574	0.0	0.0	0.047619047619047616	0.009523809523809525	0.01904761904761905	0.0	0.009523809523809525	0.0	0.0	0.028571428571428574	0.009523809523809525	0.0	0.01904761904761905	0.0	0.0	0.0	0.0	0.009523809523809525	0.0	0.0	0.009523809523809525	0.009523809523809525	0.009523809523809525	0.0	0.0	0.009523809523809525	0.01904761904761905	0.0	0.0	0.01904761904761905	0.01904761904761905	0.01904761904761905	0.009523809523809525	0.0	0.0	0.01904761904761905	0.0	0.009523809523809525	0.0	0.01904761904761905	0.0	0.0	0.0	0.0	0.0	0.0	0.009523809523809525	0.0	0.0	0.028571428571428574	0.01904761904761905	0.009523809523809525	0.0	0.009523809523809525	0.0	0.0	0.0	0.0	0.0380952380952381	0.0	0.0	0.0	0.01904761904761905	0.009523809523809525	0.0	0.0	0.0	0.009523809523809525	0.028571428571428574	0.0	0.0	0.009523809523809525	0.0	0.0	0.009523809523809525	0.009523809523809525	0.0
s2095927	-39.0	0	0	-143	1	237	1	0.01639344262295082	0.03278688524590164	0.0273224043715847	0.0	0.01092896174863388	0.01092896174863388	0.01092896174863388	0.01639344262295082	0.01639344262295082	0.01639344262295082	0.00546448087431694	0.0273224043715847	0.01092896174863388	0.0	0.01092896174863388	0.00546448087431694	0.01092896174863388	0.00546448087431694	0.01092896174863388	0.00546448087431694	0.01092896174863388	0.00546448087431694	0.0	0.00546448087431694	0.00546448087431694	0.00546448087431694	0.00546448087431694	0.01092896174863388	0.0	0.01092896174863388	0.0	0.01639344262295082	0.00546448087431694	0.00546448087431694	0.0	0.0	0.00546448087431694	0.00546448087431694	0.01092896174863388	0.01639344262295082	0.00546448087431694	0.00546448087431694	0.01092896174863388	0.0	0.01092896174863388	0.00546448087431694	0.01092896174863388	0.00546448087431694	0.00546448087431694	0.0	0.0	0.00546448087431694	0.00546448087431694	0.01092896174863388	0.00546448087431694	0.01639344262295082	0.00546448087431694	0.01092896174863388	0.01639344262295082	0.0	0.01092896174863388	0.00546448087431694	0.01092896174863388	0.0	0.01092896174863388	0.00546448087431694	0.00546448087431694	0.00546448087431694	0.0	0.00546448087431694	0.0	0.01639344262295082	0.0	0.00546448087431694	0.0	0.0	0.0	0.0	0.00546448087431694	0.00546448087431694	0.01639344262295082	0.01092896174863388	0.00546448087431694	0.0	0.00546448087431694	0.0	0.0	0.00546448087431694	0.01092896174863388	0.01639344262295082	0.01092896174863388	0.0	0.01092896174863388	0.0	0.00546448087431694	0.01639344262295082	0.0	0.01092896174863388	0.01639344262295082	0.01092896174863388	0.01639344262295082	0.00546448087431694	0.01092896174863388	0.0	0.0	0.0	0.00546448087431694	0.0	0.02185792349726776	0.00546448087431694	0.0	0.0	0.00546448087431694	0.0	0.01092896174863388	0.01092896174863388	0.00546448087431694	0.01092896174863388	0.0	0.00546448087431694	0.0	0.01092896174863388	0.0	0.00546448087431694	0.0	0.01092896174863388	0.0273224043715847	0.00546448087431694	0.0	0.00546448087431694	0.00546448087431694	0.00546448087431694	0.00546448087431694	0.0	0.01639344262295082	0.0273224043715847
s2273535	-74.53	-3	0	0	1	0	1	0.024647887323943664	0.01056338028169014	0.017605633802816902	0.017605633802816902	0.01056338028169014	0.0035211267605633804	0.007042253521126761	0.007042253521126761	0.014084507042253521	0.01056338028169014	0.02112676056338028	0.0035211267605633804	0.014084507042253521	0.014084507042253521	0.017605633802816902	0.0035211267605633804	0.014084507042253521	0.007042253521126761	0.007042253521126761	0.0035211267605633804	0.0035211267605633804	0.014084507042253521	0.0035211267605633804	0.007042253521126761	0.007042253521126761	0.0035211267605633804	0.0035211267605633804	0.0035211267605633804	0.0	0.01056338028169014	0.0035211267605633804	0.0035211267605633804	0.01056338028169014	0.0035211267605633804	0.007042253521126761	0.014084507042253521	0.01056338028169014	0.0	0.0035211267605633804	0.0	0.007042253521126761	0.028169014084507043	0.0	0.007042253521126761	0.0035211267605633804	0.01056338028169014	0.0035211267605633804	0.007042253521126761	0.007042253521126761	0.03169014084507042	0.007042253521126761	0.0	0.028169014084507043	0.0	0.0035211267605633804	0.017605633802816902	0.0035211267605633804	0.014084507042253521	0.02464788732394366	0.01056338028169014	0.02112676056338028	0.0	0.014084507042253521	0.0	0.007042253521126761	0.0035211267605633804	0.01056338028169014	0.007042253521126761	0.01056338028169014	0.0	0.014084507042253521	0.0035211267605633804	0.007042253521126761	0.007042253521126761	0.007042253521126761	0.0	0.0	0.0035211267605633804	0.0	0.01056338028169014	0.0	0.0035211267605633804	0.0	0.0035211267605633804	0.0035211267605633804	0.0035211267605633804	0.0	0.0035211267605633804	0.0	0.007042253521126761	0.007042253521126761	0.0035211267605633804	0.007042253521126761	0.0	0.014084507042253521	0.0035211267605633804	0.0035211267605633804	0.007042253521126761	0.0	0.01056338028169014	0.01056338028169014	0.0	0.007042253521126761	0.0035211267605633804	0.0	0.014084507042253521	0.007042253521126761	0.007042253521126761	0.01056338028169014	0.0035211267605633804	0.01056338028169014	0.007042253521126761	0.0	0.0	0.0035211267605633804	0.007042253521126761	0.0035211267605633804	0.0035211267605633804	0.0035211267605633804	0.014084507042253521	0.007042253521126761	0.007042253521126761	0.0035211267605633804	0.01056338028169014	0.0035211267605633804	0.007042253521126761	0.01056338028169014	0.01056338028169014	0.0035211267605633804	0.0035211267605633804	0.03169014084507042	0.0035211267605633804	0.0	0.01056338028169014	0.0	0.007042253521126761
s2331333	-79.9	-7	37	-102	1	66	1	0.01326259946949602	0.010610079575596816	0.013262599469496022	0.007957559681697613	0.007957559681697613	0.007957559681697613	0.013262599469496022	0.0	0.010610079575596816	0.010610079575596816	0.007957559681697613	0.010610079575596816	0.0	0.007957559681697613	0.005305039787798408	0.005305039787798408	0.002652519893899204	0.002652519893899204	0.013262599469496022	0.002652519893899204	0.005305039787798408	0.007957559681697613	0.005305039787798408	0.005305039787798408	0.010610079575596816	0.002652519893899204	0.015915119363395226	0.005305039787798408	0.005305039787798408	0.007957559681697613	0.007957559681697613	0.015915119363395226	0.007957559681697613	0.010610079575596816	0.015915119363395226	0.007957559681697613	0.013262599469496022	0.007957559681697613	0.002652519893899204	0.010610079575596816	0.010610079575596816	0.007957559681697613	0.007957559681697613	0.010610079575596816	0.01326259946949602	0.002652519893899204	0.002652519893899204	0.002652519893899204	0.002652519893899204	0.005305039787798408	0.005305039787798408	0.005305039787798408	0.007957559681697613	0.007957559681697613	0.01326259946949602	0.002652519893899204	0.010610079575596816	0.002652519893899204	0.010610079575596816	0.002652519893899204	0.005305039787798408	0.002652519893899204	0.007957559681697613	0.005305039787798408	0.013262599469496022	0.010610079575596816	0.005305039787798408	0.005305039787798408	0.010610079575596816	0.005305039787798408	0.005305039787798408	0.005305039787798408	0.0	0.002652519893899204	0.005305039787798408	0.005305039787798408	0.005305039787798408	0.005305039787798408	0.0	0.010610079575596816	0.010610079575596816	0.013262599469496022	0.0	0.013262599469496022	0.002652519893899204	0.002652519893899204	0.002652519893899204	0.007957559681697613	0.007957559681697613	0.010610079575596816	0.007957559681697613	0.002652519893899204	0.01326259946949602	0.007957559681697613	0.015915119363395226	0.002652519893899204	0.010610079575596816	0.01326259946949602	0.007957559681697613	0.013262599469496022	0.015915119363395226	0.013262599469496022	0.002652519893899204	0.0	0.015915119363395226	0.007957559681697613	0.007957559681697613	0.002652519893899204	0.005305039787798408	0.010610079575596816	0.007957559681697613	0.005305039787798408	0.010610079575596816	0.0	0.005305039787798408	0.015915119363395226	0.005305039787798408	0.015915119363395226	0.0	0.002652519893899204	0.007957559681697613	0.007957559681697613	0.005305039787798408	0.007957559681697613	0.010610079575596816	0.002652519893899204	0.005305039787798408	0.007957559681697613	0.013262599469496022	0.0	0.007957559681697613	0.007957559681697613	0.002652519893899204	0.007957559681697613	0.005305039787798408	0.002652519893899204
s2523728	-13.2	-849	1000	0	0	0	0	0.0	0.0	0.023255813953488372	0.023255813953488372	0.0	0.0	0.0	0.0	0.023255813953488372	0.0	0.0	0.0	0.023255813953488372	0.046511627906976744	0.0	0.0	0.023255813953488372	0.046511627906976744	0.0	0.0	0.023255813953488372	0.0	0.0	0.023255813953488372	0.023255813953488372	0.0	0.0	0.0	0.0	0.0	0.023255813953488372	0.0	0.023255813953488372	0.0	0.023255813953488372	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023255813953488372	0.0	0.0	0.0	0.023255813953488372	0.0	0.0	0.023255813953488372	0.0	0.023255813953488372	0.0	0.023255813953488372	0.0	0.046511627906976744	0.0	0.0	0.046511627906976744	0.0	0.0	0.046511627906976744	0.046511627906976744	0.0	0.0	0.0	0.0	0.0	0.023255813953488372	0.0	0.023255813953488372	0.046511627906976744	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023255813953488372	0.0	0.023255813953488372	0.0	0.0	0.0	0.0	0.023255813953488372	0.0	0.0	0.0	0.0	0.0	0.023255813953488372	0.0	0.0	0.0	0.0	0.0	0.023255813953488372	0.0	0.046511627906976744	0.0	0.0	0.0	0.0	0.0	0.0	0.046511627906976744	0.0	0.0	0.0	0.023255813953488372	0.0	0.0	0.0	0.0	0.0	0.0	0.023255813953488372	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s2678733	-83.0	0	0	0	1	0	1	0.0037174721189591076	0.0	0.02973977695167286	0.022304832713754646	0.018587360594795536	0.0037174721189591076	0.0	0.0037174721189591076	0.011152416356877323	0.022304832713754646	0.01486988847583643	0.018587360594795536	0.01486988847583643	0.0	0.022304832713754646	0.0037174721189591076	0.0037174721189591076	0.0037174721189591076	0.0037174721189591076	0.011152416356877323	0.0	0.022304832713754646	0.007434944237918215	0.0	0.0	0.0	0.0	0.0037174721189591076	0.0	0.0037174721189591076	0.0037174721189591076	0.007434944237918215	0.011152416356877323	0.0037174721189591076	0.0037174721189591076	0.01486988847583643	0.01486988847583643	0.0	0.0037174721189591076	0.0037174721189591076	0.0	0.026022304832713755	0.011152416356877323	0.007434944237918215	0.0037174721189591076	0.026022304832713755	0.007434944237918215	0.007434944237918215	0.007434944237918215	0.007434944237918215	0.0037174721189591076	0.0	0.022304832713754646	0.01486988847583643	0.0037174721189591076	0.011152416356877323	0.0037174721189591076	0.007434944237918215	0.0037174721189591076	0.022304832713754646	0.018587360594795536	0.0	0.007434944237918215	0.007434944237918215	0.0037174721189591076	0.0037174721189591076	0.0037174721189591076	0.0037174721189591076	0.011152416356877323	0.007434944237918215	0.007434944237918215	0.0037174721189591076	0.007434944237918215	0.007434944237918215	0.011152416356877323	0.007434944237918215	0.007434944237918215	0.007434944237918215	0.007434944237918215	0.0037174721189591076	0.007434944237918215	0.0037174721189591076	0.0	0.0037174721189591076	0.0	0.007434944237918215	0.0	0.0	0.011152416356877323	0.0	0.0	0.0037174721189591076	0.0	0.0	0.01486988847583643	0.0037174721189591076	0.0037174721189591076	0.0	0.011152416356877323	0.007434944237918215	0.022304832713754646	0.0	0.0037174721189591076	0.01486988847583643	0.0037174721189591076	0.011152416356877323	0.0037174721189591076	0.0	0.01486988847583643	0.0037174721189591076	0.01486988847583643	0.01486988847583643	0.0	0.0	0.0	0.0	0.0	0.011152416356877323	0.0037174721189591076	0.0037174721189591076	0.0037174721189591076	0.007434944237918215	0.0	0.01486988847583643	0.007434944237918215	0.0037174721189591076	0.026022304832713755	0.0	0.007434944237918215	0.01486988847583643	0.026022304832713755	0.0	0.0	0.022304832713754646	0.0037174721189591076	0.007434944237918215
