	SS	PromoterDistance	DistTerm	Distance	sameStrand	DownDistance	sameDownStrand	AAAA/TTTT	AAAC/GTTT	AAAG/CTTT	AAAT/ATTT	AACA/TGTT	AACC/GGTT	AACG/CGTT	AACT/AGTT	AAGA/TCTT	AAGC/GCTT	AAGG/CCTT	AAGT/ACTT	AATA/TATT	AATC/GATT	AATG/CATT	AATT/AATT	ACAA/TTGT	ACAC/GTGT	ACAG/CTGT	ACAT/ATGT	ACCA/TGGT	ACCC/GGGT	ACCG/CGGT	ACCT/AGGT	ACGA/TCGT	ACGC/GCGT	ACGG/CCGT	ACGT/ACGT	ACTA/TAGT	ACTC/GAGT	ACTG/CAGT	AGAA/TTCT	AGAC/GTCT	AGAG/CTCT	AGAT/ATCT	AGCA/TGCT	AGCC/GGCT	AGCG/CGCT	AGCT/AGCT	AGGA/TCCT	AGGC/GCCT	AGGG/CCCT	AGTA/TACT	AGTC/GACT	AGTG/CACT	ATAA/TTAT	ATAC/GTAT	ATAG/CTAT	ATAT/ATAT	ATCA/TGAT	ATCC/GGAT	ATCG/CGAT	ATGA/TCAT	ATGC/GCAT	ATGG/CCAT	ATTA/TAAT	ATTC/GAAT	ATTG/CAAT	CAAA/TTTG	CAAC/GTTG	CAAG/CTTG	CACA/TGTG	CACC/GGTG	CACG/CGTG	CAGA/TCTG	CAGC/GCTG	CAGG/CCTG	CATA/TATG	CATC/GATG	CATG/CATG	CCAA/TTGG	CCAC/GTGG	CCAG/CTGG	CCCA/TGGG	CCCC/GGGG	CCCG/CGGG	CCGA/TCGG	CCGC/GCGG	CCGG/CCGG	CCTA/TAGG	CCTC/GAGG	CGAA/TTCG	CGAC/GTCG	CGAG/CTCG	CGCA/TGCG	CGCC/GGCG	CGCG/CGCG	CGGA/TCCG	CGGC/GCCG	CGTA/TACG	CGTC/GACG	CTAA/TTAG	CTAC/GTAG	CTAG/CTAG	CTCA/TGAG	CTCC/GGAG	CTGA/TCAG	CTGC/GCAG	CTTA/TAAG	CTTC/GAAG	GAAA/TTTC	GAAC/GTTC	GACA/TGTC	GACC/GGTC	GAGA/TCTC	GAGC/GCTC	GATA/TATC	GATC/GATC	GCAA/TTGC	GCAC/GTGC	GCCA/TGGC	GCCC/GGGC	GCGA/TCGC	GCGC/GCGC	GCTA/TAGC	GGAA/TTCC	GGAC/GTCC	GGCA/TGCC	GGCC/GGCC	GGGA/TCCC	GGTA/TACC	GTAA/TTAC	GTAC/GTAC	GTCA/TGAC	GTGA/TCAC	GTTA/TAAC	TAAA/TTTA	TACA/TGTA	TAGA/TCTA	TATA/TATA	TCAA/TTGA	TCCA/TGGA	TCGA/TCGA	TGAA/TTCA	TGCA/TGCA	TTAA/TTAA
C_crescentus_RAND_10	-44.8	-1000	1000	0	1	0	1	0.0	0.006289308176100629	0.0	0.0	0.0	0.012578616352201259	0.012578616352201259	0.0	0.0	0.006289308176100629	0.01886792452830189	0.0	0.0	0.0	0.0	0	0.006289308176100629	0.0	0.012578616352201259	0.006289308176100629	0.012578616352201259	0.0	0.01886792452830189	0.006289308176100629	0.0	0.01886792452830189	0.01886792452830189	0.0	0.0	0.0	0.006289308176100629	0.0	0.0	0.0	0.006289308176100629	0.006289308176100629	0.01886792452830189	0.012578616352201259	0.0	0.012578616352201259	0.01886792452830189	0.012578616352201259	0.006289308176100629	0.0	0.0	0.0	0.012578616352201259	0.0	0.0	0.012578616352201259	0.006289308176100629	0.012578616352201259	0.018867924528301886	0.006289308176100629	0.0	0	0.0	0.0	0.0	0.006289308176100629	0.018867924528301886	0.006289308176100629	0.006289308176100629	0.006289308176100629	0.006289308176100629	0.018867924528301886	0.025157232704402517	0.006289308176100629	0.01886792452830189	0.006289308176100629	0.012578616352201259	0.006289308176100629	0.025157232704402517	0.006289308176100629	0.012578616352201259	0.006289308176100629	0.006289308176100629	0.03773584905660378	0.0	0.006289308176100629	0.0	0.012578616352201259	0.012578616352201259	0.006289308176100629	0.012578616352201259	0.0440251572327044	0.006289308176100629	0.006289308176100629	0.031446540880503145	0.012578616352201259	0.006289308176100629	0.0	0.012578616352201259	0	0.0	0.0	0.0	0.01886792452830189	0	0.006289308176100629	0.006289308176100629	0.012578616352201259	0.006289308176100629	0.012578616352201259	0.0	0.006289308176100629	0.006289308176100629	0.006289308176100629	0.006289308176100629	0.006289308176100629	0.025157232704402517	0.025157232704402517	0.012578616352201259	0.006289308176100629	0.006289308176100629	0.006289308176100629	0.006289308176100629	0.006289308176100629	0.012578616352201259	0.0	0.006289308176100629	0.0	0.006289308176100629	0.006289308176100629	0.006289308176100629	0.0	0	0.012578616352201259	0.0	0	0.0	0.0	0.012578616352201259	0.006289308176100629	0.006289308176100629	0
C_crescentus_RAND_20	-133.5	-1000	1000	0	0	0	0	0.0	0.0	0.0	0.0	0.002564102564102564	0.002564102564102564	0.0	0.005128205128205128	0.002564102564102564	0.005128205128205128	0.01282051282051282	0.005128205128205128	0.0	0.0	0.002564102564102564	0	0.0	0.0	0.007692307692307693	0.005128205128205128	0.015384615384615385	0.002564102564102564	0.01282051282051282	0.010256410256410256	0.002564102564102564	0.007692307692307693	0.005128205128205128	0.0	0.0	0.002564102564102564	0.002564102564102564	0.010256410256410256	0.002564102564102564	0.0	0.01282051282051282	0.010256410256410256	0.01282051282051282	0.002564102564102564	0.010256410256410256	0.010256410256410256	0.020512820512820513	0.005128205128205128	0.0	0.005128205128205128	0.0	0.0	0.0	0.007692307692307693	0.0	0.01282051282051282	0.005128205128205128	0.010256410256410256	0.002564102564102564	0.010256410256410256	0.007692307692307693	0	0.0	0.002564102564102564	0.0	0.002564102564102564	0.007692307692307693	0.002564102564102564	0.015384615384615385	0.002564102564102564	0.015384615384615385	0.028205128205128206	0.02564102564102564	0.005128205128205128	0.017948717948717947	0.0	0.007692307692307693	0.007692307692307693	0.035897435897435895	0.010256410256410256	0.007692307692307693	0.01282051282051282	0.015384615384615385	0.017948717948717947	0.017948717948717947	0.002564102564102564	0.005128205128205128	0.010256410256410256	0.020512820512820513	0.017948717948717947	0.015384615384615385	0.04358974358974359	0.0	0.007692307692307693	0.041025641025641026	0.0	0.01282051282051282	0.0	0.0	0	0.0	0.002564102564102564	0.015384615384615384	0.01282051282051282	0	0.017948717948717947	0.0	0.007692307692307693	0.007692307692307693	0.023076923076923078	0.007692307692307693	0.005128205128205128	0.002564102564102564	0.010256410256410256	0.0	0.007692307692307693	0.02564102564102564	0.02564102564102564	0.02564102564102564	0.005128205128205128	0.005128205128205128	0.0	0.015384615384615385	0.005128205128205128	0.02564102564102564	0.0	0.0	0.0	0.0	0.010256410256410256	0.005128205128205128	0.0	0	0.0	0.0	0	0.005128205128205128	0.005128205128205128	0.007692307692307693	0.005128205128205128	0.0	0
C_crescentus_RAND_21	-12.2	-1000	1000	0	1	0	1	0.0136986301369863	0.0	0.0273972602739726	0.0	0.0	0.0	0.0	0.0	0.0	0.0273972602739726	0.0136986301369863	0.0136986301369863	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0136986301369863	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0136986301369863	0.0	0.0	0.0	0.0273972602739726	0.0273972602739726	0.0	0.0136986301369863	0.0136986301369863	0.0136986301369863	0.0	0.0136986301369863	0.0	0.0	0.0	0.0	0.0	0.0	0.0136986301369863	0.0547945205479452	0.0	0.0136986301369863	0.0	0	0.0	0.0	0.0273972602739726	0.0	0.0	0.0	0.0	0.0	0.0	0.0136986301369863	0.0136986301369863	0.0	0.0136986301369863	0.0	0.0136986301369863	0.0	0.0	0.0136986301369863	0.0273972602739726	0.0136986301369863	0.0410958904109589	0.0	0.0	0.0	0.0136986301369863	0.0273972602739726	0.0	0.0410958904109589	0.0273972602739726	0.0410958904109589	0.0136986301369863	0.0136986301369863	0.0136986301369863	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0273972602739726	0	0.0273972602739726	0.0	0.0	0.0	0.0136986301369863	0.0136986301369863	0.0136986301369863	0.0	0.0273972602739726	0.0136986301369863	0.0	0.0	0.0410958904109589	0.0547945205479452	0.0410958904109589	0.0	0.0	0.0136986301369863	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0.0136986301369863	0.0	0.0136986301369863	0
C_crescentus_RAND_1	-0.8	-1000	1000	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.013157894736842105	0.0	0.039473684210526314	0.0	0.013157894736842105	0.0	0.0	0.0	0.0	0	0.0	0.013157894736842105	0.0	0.0	0.02631578947368421	0.0	0.0	0.0	0.013157894736842105	0.02631578947368421	0.0	0.0	0.0	0.0	0.0	0.013157894736842105	0.02631578947368421	0.0	0.013157894736842105	0.013157894736842105	0.0	0.02631578947368421	0.0	0.0	0.0	0.039473684210526314	0.0	0.0	0.0	0.013157894736842105	0.0	0.0	0.0	0.013157894736842105	0.013157894736842105	0.013157894736842105	0.0	0.0	0.013157894736842105	0	0.0	0.0	0.0	0.0	0.02631578947368421	0.0	0.013157894736842105	0.013157894736842105	0.013157894736842105	0.02631578947368421	0.0	0.0	0.013157894736842105	0.0	0.0	0.0	0.02631578947368421	0.013157894736842105	0.039473684210526314	0.0	0.013157894736842105	0.02631578947368421	0.0	0.0	0.013157894736842105	0.013157894736842105	0.013157894736842105	0.0	0.013157894736842105	0.02631578947368421	0.02631578947368421	0.013157894736842105	0.013157894736842105	0.0	0.013157894736842105	0.0	0.0	0	0.013157894736842105	0.013157894736842105	0.0	0.013157894736842105	0	0.02631578947368421	0.0	0.0	0.013157894736842105	0.013157894736842105	0.0	0.013157894736842105	0.013157894736842105	0.013157894736842105	0.0	0.013157894736842105	0.0	0.039473684210526314	0.013157894736842105	0.02631578947368421	0.0	0.0	0.0	0.0	0.013157894736842105	0.013157894736842105	0.0	0.0	0.0	0.0	0.0	0.013157894736842105	0	0.0	0.0	0	0.02631578947368421	0.0	0.0	0.0	0.0	0
C_crescentus_RAND_2	-21.6	-1000	1000	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013157894736842105	0.0	0.013157894736842105	0.02631578947368421	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.013157894736842105	0.013157894736842105	0.0	0.013157894736842105	0.0	0.0	0.0	0.013157894736842105	0.0	0.0	0.0	0.013157894736842105	0.0	0.013157894736842105	0.0	0.0	0.013157894736842105	0.013157894736842105	0.0	0.0	0.0	0.02631578947368421	0.039473684210526314	0.0	0.0	0.0	0.0	0.0	0.013157894736842105	0.0	0.02631578947368421	0.0	0.013157894736842105	0.02631578947368421	0.013157894736842105	0.0	0	0.0	0.0	0.0	0.0	0.02631578947368421	0.0	0.013157894736842105	0.013157894736842105	0.0	0.0	0.013157894736842105	0.013157894736842105	0.013157894736842105	0.013157894736842105	0.02631578947368421	0.0	0.0	0.013157894736842105	0.013157894736842105	0.013157894736842105	0.02631578947368421	0.013157894736842105	0.0	0.0	0.02631578947368421	0.02631578947368421	0.0	0.039473684210526314	0.0	0.039473684210526314	0.0	0.0	0.02631578947368421	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.02631578947368421	0	0.013157894736842105	0.0	0.013157894736842105	0.013157894736842105	0.013157894736842105	0.0	0.013157894736842105	0.0	0.013157894736842105	0.0	0.013157894736842105	0.0	0.06578947368421052	0.02631578947368421	0.0	0.0	0.0	0.0	0.013157894736842105	0.02631578947368421	0.0	0.0	0.0	0.0	0.013157894736842105	0.013157894736842105	0.0	0	0.0	0.013157894736842105	0	0.0	0.0	0.013157894736842105	0.0	0.013157894736842105	0
C_crescentus_RAND_3	-61.2	-1000	1000	0	0	0	0	0.0	0.0	0.0	0.0	0.006289308176100629	0.0	0.0	0.006289308176100629	0.0	0.0	0.018867924528301886	0.0	0.0	0.0	0.0	0	0.0	0.0	0.006289308176100629	0.006289308176100629	0.012578616352201259	0.0	0.012578616352201259	0.006289308176100629	0.0	0.01886792452830189	0.0	0.006289308176100629	0.0	0.006289308176100629	0.0	0.012578616352201259	0.0	0.0	0.006289308176100629	0.006289308176100629	0.006289308176100629	0.006289308176100629	0.0	0.006289308176100629	0.025157232704402517	0.006289308176100629	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006289308176100629	0.0	0.025157232704402517	0.006289308176100629	0.006289308176100629	0.006289308176100629	0	0.0	0.0	0.0	0.0	0.006289308176100629	0.0	0.012578616352201259	0.012578616352201259	0.0	0.012578616352201259	0.012578616352201259	0.0	0.025157232704402517	0.0	0.006289308176100629	0.01886792452830189	0.006289308176100629	0.012578616352201259	0.0	0.0	0.018867924528301886	0.012578616352201259	0.03773584905660377	0.0	0.012578616352201259	0.006289308176100629	0.01886792452830189	0.03773584905660377	0.006289308176100629	0.08805031446540881	0.018867924528301886	0.006289308176100629	0.08805031446540881	0.0	0.012578616352201259	0.0	0.0	0	0.0	0.006289308176100629	0.006289308176100629	0.006289308176100629	0	0.012578616352201259	0.0	0.012578616352201259	0.006289308176100629	0.01886792452830189	0.018867924528301886	0.006289308176100629	0.0	0.006289308176100629	0.0	0.0	0.012578616352201259	0.01886792452830189	0.04402515723270441	0.031446540880503145	0.0	0.0	0.006289308176100629	0.0	0.025157232704402517	0.0	0.0	0.0	0.0	0.012578616352201259	0.006289308176100629	0.0	0	0.0	0.0	0	0.0	0.0	0.012578616352201259	0.006289308176100629	0.0	0
C_crescentus_RAND_4	-19.7	-1000	1000	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0273972602739726	0.0	0.0136986301369863	0.0136986301369863	0.0	0.0136986301369863	0.0	0.0136986301369863	0.0	0	0.0136986301369863	0.0136986301369863	0.0	0.0	0.0136986301369863	0.0	0.0	0.0	0.0	0.0136986301369863	0.0	0.0136986301369863	0.0	0.0	0.0	0.0136986301369863	0.0	0.0	0.0	0.0136986301369863	0.0	0.0273972602739726	0.0	0.0136986301369863	0.0273972602739726	0.0	0.0	0.0	0.0136986301369863	0.0	0.0	0.0	0.0	0.0	0.0	0.0136986301369863	0.0	0.0	0.0	0	0.0136986301369863	0.0	0.0	0.0136986301369863	0.0410958904109589	0.0	0.0136986301369863	0.0	0.0	0.0136986301369863	0.0273972602739726	0.0	0.0	0.0	0.0410958904109589	0.0	0.0136986301369863	0.0	0.0	0.0136986301369863	0.0136986301369863	0.0136986301369863	0.0	0.0	0.0136986301369863	0.0	0.0273972602739726	0.0	0.0136986301369863	0.0821917808219178	0.0410958904109589	0.0	0.0136986301369863	0.0	0.0136986301369863	0.0	0.0	0	0.0	0.0136986301369863	0.0136986301369863	0.0136986301369863	0	0.0	0.0	0.0136986301369863	0.0273972602739726	0.0	0.0	0.0136986301369863	0.0	0.0	0.0	0.0136986301369863	0.0273972602739726	0.0136986301369863	0.0136986301369863	0.0821917808219178	0.0	0.0	0.0136986301369863	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0136986301369863	0.0136986301369863	0.0136986301369863	0.0	0
C_crescentus_RAND_5	-119.1	-1000	1000	0	1	0	1	0.0	0.0	0.0	0.0	0.0	0.005128205128205128	0.007692307692307693	0.002564102564102564	0.010256410256410256	0.01282051282051282	0.01282051282051282	0.007692307692307693	0.0	0.002564102564102564	0.002564102564102564	0	0.002564102564102564	0.005128205128205128	0.01282051282051282	0.007692307692307693	0.002564102564102564	0.002564102564102564	0.015384615384615385	0.005128205128205128	0.005128205128205128	0.007692307692307693	0.015384615384615385	0.005128205128205128	0.0	0.002564102564102564	0.005128205128205128	0.010256410256410256	0.002564102564102564	0.0	0.007692307692307693	0.005128205128205128	0.010256410256410256	0.010256410256410256	0.007692307692307693	0.007692307692307693	0.007692307692307693	0.0	0.0	0.010256410256410256	0.002564102564102564	0.0	0.0	0.0	0.0	0.010256410256410256	0.005128205128205128	0.020512820512820513	0.015384615384615384	0.002564102564102564	0.017948717948717947	0	0.0	0.005128205128205128	0.0	0.005128205128205128	0.01794871794871795	0.0	0.007692307692307693	0.015384615384615385	0.005128205128205128	0.020512820512820513	0.005128205128205128	0.0	0.02564102564102564	0.007692307692307693	0.005128205128205128	0.007692307692307693	0.010256410256410256	0.005128205128205128	0.0	0.01282051282051282	0.020512820512820513	0.017948717948717947	0.007692307692307693	0.0	0.002564102564102564	0.007692307692307693	0.035897435897435895	0.010256410256410256	0.007692307692307693	0.030769230769230767	0.015384615384615385	0.015384615384615385	0.02564102564102564	0.0	0.01282051282051282	0.0	0.002564102564102564	0	0.005128205128205128	0.0	0.002564102564102564	0.010256410256410256	0	0.02564102564102564	0.0	0.010256410256410256	0.02564102564102564	0.01282051282051282	0.002564102564102564	0.007692307692307693	0.0	0.007692307692307693	0.010256410256410256	0.007692307692307693	0.028205128205128206	0.015384615384615385	0.028205128205128206	0.01282051282051282	0.0	0.007692307692307693	0.015384615384615385	0.007692307692307693	0.015384615384615385	0.0	0.0	0.0	0.0	0.007692307692307693	0.005128205128205128	0.0	0	0.002564102564102564	0.002564102564102564	0	0.010256410256410256	0.005128205128205128	0.010256410256410256	0.010256410256410256	0.005128205128205128	0
C_crescentus_RAND_6	-21.5	0	1000	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.013888888888888888	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.013888888888888888	0.027777777777777776	0.013888888888888888	0.0	0.0	0.0	0.013888888888888888	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.027777777777777776	0.0	0.0	0.0	0.027777777777777776	0.0	0.0	0.0	0.0	0.0	0.0	0.013888888888888888	0.0	0.013888888888888888	0.0	0.0	0.013888888888888888	0.013888888888888888	0.027777777777777776	0	0.0	0.0	0.0	0.013888888888888888	0.0	0.0	0.027777777777777776	0.0	0.0	0.0	0.0	0.013888888888888888	0.013888888888888888	0.013888888888888888	0.0	0.013888888888888888	0.0	0.013888888888888888	0.013888888888888888	0.041666666666666664	0.013888888888888888	0.041666666666666664	0.027777777777777776	0.013888888888888888	0.013888888888888888	0.0	0.013888888888888888	0.027777777777777776	0.0	0.06944444444444445	0.05555555555555555	0.0	0.05555555555555555	0.013888888888888888	0.0	0.0	0.013888888888888888	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.027777777777777776	0.0	0.013888888888888888	0.0	0.0	0.013888888888888888	0.0	0.013888888888888888	0.027777777777777776	0.027777777777777776	0.05555555555555555	0.013888888888888888	0.0	0.0	0.027777777777777776	0.0	0.0	0.0	0.0	0.0	0.013888888888888888	0.013888888888888888	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0
C_crescentus_RAND_7	-21.9	-1000	1000	0	1	0	1	0.0	0.0	0.0	0.013333333333333334	0.013333333333333334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02666666666666667	0.0	0	0.013333333333333334	0.0	0.0	0.0	0.0	0.02666666666666667	0.0	0.013333333333333334	0.013333333333333334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013333333333333334	0.0	0.013333333333333334	0.02666666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013333333333333334	0.0	0.02666666666666667	0.02666666666666667	0.06666666666666667	0.0	0.013333333333333334	0.0	0	0.0	0.013333333333333334	0.0	0.0	0.0	0.0	0.02666666666666667	0.0	0.013333333333333334	0.02666666666666667	0.013333333333333334	0.0	0.013333333333333334	0.0	0.0	0.0	0.02666666666666667	0.0	0.0	0.04	0.013333333333333334	0.05333333333333334	0.0	0.0	0.0	0.013333333333333334	0.013333333333333334	0.0	0.013333333333333334	0.02666666666666667	0.04	0.0	0.02666666666666667	0.0	0.013333333333333334	0.0	0.0	0	0.0	0.0	0.02666666666666667	0.0	0	0.0	0.013333333333333334	0.0	0.0	0.013333333333333334	0.0	0.0	0.013333333333333334	0.04	0.0	0.0	0.0	0.013333333333333334	0.06666666666666667	0.013333333333333334	0.013333333333333334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02666666666666667	0.02666666666666667	0.0	0	0.0	0.0	0	0.0	0.02666666666666667	0.0	0.0	0.0	0
