	SS	PromoterDistance	DistTerm	Distance	sameStrand	DownDistance	sameDownStrand	AAAA/TTTT	AAAC/GTTT	AAAG/CTTT	AAAT/ATTT	AACA/TGTT	AACC/GGTT	AACG/CGTT	AACT/AGTT	AAGA/TCTT	AAGC/GCTT	AAGG/CCTT	AAGT/ACTT	AATA/TATT	AATC/GATT	AATG/CATT	AATT/AATT	ACAA/TTGT	ACAC/GTGT	ACAG/CTGT	ACAT/ATGT	ACCA/TGGT	ACCC/GGGT	ACCG/CGGT	ACCT/AGGT	ACGA/TCGT	ACGC/GCGT	ACGG/CCGT	ACGT/ACGT	ACTA/TAGT	ACTC/GAGT	ACTG/CAGT	AGAA/TTCT	AGAC/GTCT	AGAG/CTCT	AGAT/ATCT	AGCA/TGCT	AGCC/GGCT	AGCG/CGCT	AGCT/AGCT	AGGA/TCCT	AGGC/GCCT	AGGG/CCCT	AGTA/TACT	AGTC/GACT	AGTG/CACT	ATAA/TTAT	ATAC/GTAT	ATAG/CTAT	ATAT/ATAT	ATCA/TGAT	ATCC/GGAT	ATCG/CGAT	ATGA/TCAT	ATGC/GCAT	ATGG/CCAT	ATTA/TAAT	ATTC/GAAT	ATTG/CAAT	CAAA/TTTG	CAAC/GTTG	CAAG/CTTG	CACA/TGTG	CACC/GGTG	CACG/CGTG	CAGA/TCTG	CAGC/GCTG	CAGG/CCTG	CATA/TATG	CATC/GATG	CATG/CATG	CCAA/TTGG	CCAC/GTGG	CCAG/CTGG	CCCA/TGGG	CCCC/GGGG	CCCG/CGGG	CCGA/TCGG	CCGC/GCGG	CCGG/CCGG	CCTA/TAGG	CCTC/GAGG	CGAA/TTCG	CGAC/GTCG	CGAG/CTCG	CGCA/TGCG	CGCC/GGCG	CGCG/CGCG	CGGA/TCCG	CGGC/GCCG	CGTA/TACG	CGTC/GACG	CTAA/TTAG	CTAC/GTAG	CTAG/CTAG	CTCA/TGAG	CTCC/GGAG	CTGA/TCAG	CTGC/GCAG	CTTA/TAAG	CTTC/GAAG	GAAA/TTTC	GAAC/GTTC	GACA/TGTC	GACC/GGTC	GAGA/TCTC	GAGC/GCTC	GATA/TATC	GATC/GATC	GCAA/TTGC	GCAC/GTGC	GCCA/TGGC	GCCC/GGGC	GCGA/TCGC	GCGC/GCGC	GCTA/TAGC	GGAA/TTCC	GGAC/GTCC	GGCA/TGCC	GGCC/GGCC	GGGA/TCCC	GGTA/TACC	GTAA/TTAC	GTAC/GTAC	GTCA/TGAC	GTGA/TCAC	GTTA/TAAC	TAAA/TTTA	TACA/TGTA	TAGA/TCTA	TATA/TATA	TCAA/TTGA	TCCA/TGGA	TCGA/TCGA	TGAA/TTCA	TGCA/TGCA	TTAA/TTAA
s16349	-35.5	-150	1000	-173	0	595	1	0.024390243902439025	0.016260162601626018	0.024390243902439025	0.024390243902439025	0.0	0.008130081300813009	0.0	0.008130081300813009	0.016260162601626018	0.008130081300813009	0.008130081300813009	0.008130081300813009	0.008130081300813009	0.0	0.024390243902439025	0.008130081300813009	0.016260162601626018	0.008130081300813009	0.0	0.016260162601626018	0.0	0.016260162601626018	0.0	0.016260162601626018	0.008130081300813009	0.0	0.0	0.0	0.0	0.008130081300813009	0.0	0.008130081300813009	0.016260162601626018	0.016260162601626018	0.0	0.024390243902439025	0.0	0.0	0.0	0.024390243902439025	0.008130081300813009	0.0	0.0	0.008130081300813009	0.0	0.008130081300813009	0.008130081300813009	0.008130081300813009	0.008130081300813009	0.008130081300813009	0.0	0.008130081300813009	0.024390243902439025	0.0	0.0	0.0	0.008130081300813009	0.016260162601626018	0.032520325203252036	0.0	0.016260162601626018	0.008130081300813009	0.008130081300813009	0.0	0.0	0.0	0.032520325203252036	0.008130081300813009	0.008130081300813009	0.0	0.016260162601626018	0.0	0.0	0.016260162601626018	0.0	0.016260162601626018	0.0	0.0	0.008130081300813009	0.008130081300813009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008130081300813009	0.008130081300813009	0.0	0.0	0.016260162601626018	0.0	0.008130081300813009	0.024390243902439025	0.008130081300813009	0.0	0.024390243902439025	0.0	0.024390243902439025	0.016260162601626018	0.016260162601626018	0.008130081300813009	0.008130081300813009	0.0	0.024390243902439025	0.0	0.0	0.0	0.0	0.0	0.008130081300813009	0.016260162601626018	0.024390243902439025	0.008130081300813009	0.0	0.016260162601626018	0.0	0.0	0.0	0.016260162601626018	0.008130081300813009	0.0	0.008130081300813009	0.008130081300813009	0.0	0.008130081300813009	0.008130081300813009	0.0	0.0	0.008130081300813009	0.008130081300813009	0.0
s16891	-0.34	0	1000	-715	1	83	0	0.11827956989247312	0.0	0.03225806451612903	0.03225806451612903	0.0	0.010752688172043012	0.0	0.010752688172043012	0.03225806451612903	0.010752688172043012	0.010752688172043012	0.010752688172043012	0.010752688172043012	0.010752688172043012	0.021505376344086023	0.010752688172043012	0.0	0.010752688172043012	0.0	0.0	0.0	0.0	0.010752688172043012	0.0	0.0	0.010752688172043012	0.010752688172043012	0.0	0.0	0.010752688172043012	0.0	0.021505376344086023	0.0	0.043010752688172046	0.0	0.0	0.0	0.010752688172043012	0.0	0.010752688172043012	0.0	0.021505376344086023	0.0	0.021505376344086023	0.0	0.021505376344086023	0.0	0.0	0.0	0.010752688172043012	0.0	0.0	0.03225806451612903	0.0	0.0	0.021505376344086023	0.010752688172043012	0.0	0.0	0.0	0.0	0.010752688172043012	0.010752688172043012	0.0	0.010752688172043012	0.0	0.0	0.010752688172043012	0.0	0.0	0.0	0.0	0.010752688172043012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021505376344086023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010752688172043012	0.010752688172043012	0.010752688172043012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03225806451612903	0.010752688172043012	0.010752688172043012	0.0	0.0	0.010752688172043012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021505376344086023	0.021505376344086023	0.0	0.0	0.021505376344086023	0.0	0.010752688172043012	0.0	0.010752688172043012	0.010752688172043012	0.010752688172043012	0.05376344086021506	0.0	0.010752688172043012	0.0	0.0	0.010752688172043012	0.0	0.021505376344086023	0.0	0.021505376344086023
s53029	-35.6	0	0	-17	1	190	0	0.01904761904761905	0.009523809523809525	0.009523809523809525	0.0	0.009523809523809525	0.009523809523809525	0.009523809523809525	0.01904761904761905	0.01904761904761905	0.01904761904761905	0.0	0.009523809523809525	0.01904761904761905	0.0	0.0	0.0	0.009523809523809525	0.01904761904761905	0.009523809523809525	0.0	0.009523809523809525	0.0	0.009523809523809525	0.0	0.0	0.009523809523809525	0.009523809523809525	0.0	0.009523809523809525	0.01904761904761905	0.009523809523809525	0.02857142857142857	0.0	0.01904761904761905	0.01904761904761905	0.0	0.01904761904761905	0.0	0.009523809523809525	0.0	0.0	0.009523809523809525	0.0	0.028571428571428574	0.009523809523809525	0.0	0.01904761904761905	0.009523809523809525	0.0	0.0	0.0	0.0	0.0	0.0	0.028571428571428574	0.0	0.01904761904761905	0.0	0.009523809523809525	0.009523809523809525	0.01904761904761905	0.009523809523809525	0.0	0.0	0.009523809523809525	0.0	0.009523809523809525	0.0	0.009523809523809525	0.009523809523809525	0.01904761904761905	0.0	0.009523809523809525	0.0	0.02857142857142857	0.0	0.0	0.0	0.009523809523809525	0.0	0.0	0.0	0.0	0.0	0.0	0.009523809523809525	0.0	0.009523809523809525	0.009523809523809525	0.009523809523809525	0.0	0.01904761904761905	0.0	0.009523809523809525	0.0	0.01904761904761905	0.009523809523809525	0.0	0.0	0.01904761904761905	0.0	0.009523809523809525	0.0	0.0	0.01904761904761905	0.0	0.009523809523809525	0.0	0.0	0.0	0.01904761904761905	0.0	0.0	0.0	0.01904761904761905	0.01904761904761905	0.009523809523809525	0.0	0.0	0.009523809523809525	0.009523809523809525	0.0	0.009523809523809525	0.01904761904761905	0.0	0.01904761904761905	0.0	0.01904761904761905	0.01904761904761905	0.0	0.009523809523809525	0.02857142857142857	0.0	0.0	0.0	0.0
s64860	-32.6	-563	0	-114	1	143	1	0.060240963855421686	0.024096385542168676	0.04819277108433735	0.0	0.012048192771084338	0.0	0.0	0.012048192771084338	0.04819277108433735	0.0	0.03614457831325302	0.012048192771084338	0.0	0.0	0.0	0.0	0.012048192771084338	0.0	0.03614457831325302	0.012048192771084338	0.0	0.012048192771084338	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012048192771084338	0.024096385542168676	0.03614457831325302	0.024096385542168676	0.0	0.0	0.024096385542168676	0.0	0.0	0.03614457831325301	0.012048192771084338	0.03614457831325302	0.0	0.012048192771084338	0.0	0.0	0.0	0.0	0.0	0.0	0.012048192771084338	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012048192771084338	0.0	0.024096385542168676	0.0	0.0	0.0	0.0	0.024096385542168676	0.0	0.0	0.012048192771084338	0.0	0.012048192771084338	0.0	0.0	0.012048192771084338	0.0	0.0	0.0	0.0	0.0	0.03614457831325302	0.012048192771084338	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024096385542168676	0.0	0.012048192771084338	0.0	0.0	0.024096385542168676	0.0	0.04819277108433735	0.0	0.03614457831325302	0.012048192771084338	0.024096385542168676	0.0	0.0	0.0	0.0	0.0	0.0	0.012048192771084338	0.0	0.0	0.0	0.024096385542168676	0.012048192771084338	0.0	0.0	0.024096385542168676	0.0	0.0	0.0	0.012048192771084338	0.0	0.0	0.0	0.0	0.012048192771084338	0.0	0.012048192771084338	0.0	0.0	0.0	0.0	0.012048192771084338
s126536	-9.1	0	1000	-245	1	39	0	0.010101010101010102	0.010101010101010102	0.010101010101010102	0.04040404040404041	0.020202020202020204	0.0	0.0	0.020202020202020204	0.020202020202020204	0.010101010101010102	0.010101010101010102	0.0	0.020202020202020204	0.04040404040404041	0.010101010101010102	0.010101010101010102	0.020202020202020204	0.0	0.0	0.010101010101010102	0.0	0.010101010101010102	0.0	0.0	0.0	0.0	0.0	0.0	0.020202020202020204	0.0	0.0	0.0	0.0	0.04040404040404041	0.020202020202020204	0.0	0.0	0.010101010101010102	0.0	0.020202020202020204	0.010101010101010102	0.010101010101010102	0.0	0.0	0.0	0.030303030303030304	0.0	0.020202020202020204	0.0	0.010101010101010102	0.030303030303030304	0.0	0.010101010101010102	0.0	0.0	0.020202020202020204	0.010101010101010102	0.020202020202020204	0.020202020202020204	0.010101010101010102	0.0	0.010101010101010102	0.0	0.0	0.010101010101010102	0.0	0.0	0.0	0.010101010101010102	0.0	0.010101010101010102	0.0	0.010101010101010102	0.020202020202020204	0.0	0.0	0.0	0.0	0.0	0.010101010101010102	0.020202020202020204	0.0	0.0	0.0	0.0	0.010101010101010102	0.0	0.0	0.0	0.0	0.0	0.010101010101010102	0.010101010101010102	0.0	0.0	0.0	0.0	0.0	0.020202020202020204	0.010101010101010102	0.010101010101010102	0.0	0.0	0.0	0.020202020202020204	0.0	0.010101010101010102	0.0	0.0	0.010101010101010102	0.0	0.0	0.0	0.010101010101010102	0.0	0.010101010101010102	0.0	0.0	0.0	0.020202020202020204	0.010101010101010102	0.0	0.0	0.0	0.0	0.020202020202020204	0.04040404040404041	0.0	0.010101010101010102	0.010101010101010102	0.020202020202020204	0.0	0.0	0.020202020202020204	0.0	0.030303030303030304
s140853	-19.3	-723	0	-96	0	6	0	0.0	0.0	0.07692307692307693	0.0	0.0	0.0	0.0	0.0	0.0	0.07692307692307693	0.05128205128205128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02564102564102564	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05128205128205128	0.05128205128205128	0.0	0.02564102564102564	0.07692307692307693	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05128205128205128	0.0	0.02564102564102564	0.0	0.0	0.0	0.0	0.02564102564102564	0.02564102564102564	0.0	0.0	0.0	0.02564102564102564	0.0	0.02564102564102564	0.05128205128205128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02564102564102564	0.02564102564102564	0.0	0.0	0.02564102564102564	0.02564102564102564	0.0	0.0	0.02564102564102564	0.0	0.02564102564102564	0.0	0.0	0.05128205128205128	0.0	0.0	0.05128205128205128	0.0	0.0	0.0	0.02564102564102564	0.02564102564102564	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02564102564102564	0.0	0.0
s214321	-5.4	0	806	-151	0	222	1	0.06329113924050633	0.02531645569620253	0.012658227848101266	0.0379746835443038	0.012658227848101266	0.0	0.0	0.02531645569620253	0.012658227848101266	0.0	0.012658227848101266	0.012658227848101266	0.02531645569620253	0.02531645569620253	0.02531645569620253	0.0	0.0	0.0	0.012658227848101266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02531645569620253	0.0	0.0	0.05063291139240506	0.0	0.0379746835443038	0.0	0.012658227848101266	0.0	0.0	0.0	0.012658227848101266	0.0	0.012658227848101266	0.0	0.0	0.012658227848101266	0.02531645569620253	0.0	0.012658227848101266	0.012658227848101266	0.0	0.012658227848101266	0.02531645569620253	0.0	0.012658227848101266	0.0	0.0	0.012658227848101266	0.02531645569620253	0.012658227848101266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012658227848101266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02531645569620253	0.0	0.012658227848101266	0.0	0.0	0.0	0.0	0.02531645569620253	0.0	0.0379746835443038	0.012658227848101266	0.0	0.0	0.05063291139240506	0.0	0.012658227848101266	0.0	0.02531645569620253	0.012658227848101266	0.0	0.012658227848101266	0.0	0.0	0.012658227848101266	0.0	0.0	0.012658227848101266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02531645569620253	0.0	0.02531645569620253	0.012658227848101266	0.012658227848101266	0.0	0.012658227848101266	0.012658227848101266	0.012658227848101266	0.0
s217101	-13.2	-217	1000	-438	0	54	1	0.024096385542168676	0.0	0.012048192771084338	0.024096385542168676	0.0	0.012048192771084338	0.012048192771084338	0.0	0.024096385542168676	0.012048192771084338	0.012048192771084338	0.0	0.0	0.012048192771084338	0.012048192771084338	0.0	0.0	0.0	0.0	0.012048192771084338	0.012048192771084338	0.0	0.024096385542168676	0.0	0.012048192771084338	0.012048192771084338	0.024096385542168676	0.0	0.0	0.0	0.0	0.024096385542168676	0.012048192771084338	0.0	0.0	0.0	0.0	0.012048192771084338	0.0	0.012048192771084338	0.012048192771084338	0.024096385542168676	0.0	0.0	0.0	0.0	0.024096385542168676	0.012048192771084338	0.0	0.0	0.024096385542168676	0.0	0.012048192771084338	0.0	0.012048192771084338	0.0	0.0	0.0	0.0	0.012048192771084338	0.012048192771084338	0.012048192771084338	0.0	0.0	0.012048192771084338	0.0	0.0	0.012048192771084338	0.012048192771084338	0.0	0.012048192771084338	0.0	0.012048192771084338	0.0	0.012048192771084338	0.0	0.0	0.0	0.012048192771084338	0.012048192771084338	0.024096385542168676	0.012048192771084338	0.0	0.0	0.0	0.0	0.012048192771084338	0.012048192771084338	0.012048192771084338	0.024096385542168676	0.012048192771084338	0.0	0.012048192771084338	0.0	0.012048192771084338	0.012048192771084338	0.0	0.0	0.012048192771084338	0.024096385542168676	0.024096385542168676	0.012048192771084338	0.0	0.012048192771084338	0.0	0.0	0.0	0.0	0.0	0.012048192771084338	0.012048192771084338	0.0	0.0	0.012048192771084338	0.012048192771084338	0.012048192771084338	0.012048192771084338	0.012048192771084338	0.012048192771084338	0.024096385542168676	0.012048192771084338	0.0	0.0	0.0	0.0	0.0	0.012048192771084338	0.0	0.0	0.012048192771084338	0.012048192771084338	0.012048192771084338	0.0	0.012048192771084338	0.0	0.012048192771084338
s220679	-4.5	0	1000	0	1	96	1	0.0	0.0	0.016129032258064516	0.016129032258064516	0.03225806451612903	0.0	0.0	0.0	0.016129032258064516	0.0	0.016129032258064516	0.0	0.016129032258064516	0.016129032258064516	0.0	0.016129032258064516	0.03225806451612903	0.03225806451612903	0.03225806451612903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016129032258064516	0.016129032258064516	0.0	0.016129032258064516	0.0	0.016129032258064516	0.016129032258064516	0.03225806451612903	0.0	0.0	0.0	0.0	0.0	0.04838709677419355	0.016129032258064516	0.0	0.016129032258064516	0.0	0.016129032258064516	0.0	0.0	0.03225806451612903	0.0	0.016129032258064516	0.016129032258064516	0.016129032258064516	0.0	0.03225806451612903	0.0	0.03225806451612903	0.0	0.0	0.0	0.04838709677419355	0.016129032258064516	0.03225806451612903	0.0	0.0	0.0	0.0	0.016129032258064516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016129032258064516	0.0	0.0	0.0	0.0	0.0	0.0	0.016129032258064516	0.0	0.0	0.0	0.016129032258064516	0.0	0.016129032258064516	0.016129032258064516	0.0	0.0	0.0	0.016129032258064516	0.0	0.016129032258064516	0.016129032258064516	0.0	0.0	0.016129032258064516	0.0	0.0	0.0	0.0	0.016129032258064516	0.0	0.016129032258064516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03225806451612903	0.016129032258064516	0.016129032258064516	0.016129032258064516	0.0	0.016129032258064516	0.0	0.0	0.016129032258064516	0.0
s342838	-49.1	-62	663	-175	1	763	0	0.02830188679245283	0.018867924528301886	0.0	0.018867924528301886	0.009433962264150943	0.009433962264150943	0.009433962264150943	0.009433962264150943	0.03773584905660377	0.0	0.009433962264150943	0.0	0.009433962264150943	0.018867924528301886	0.0	0.0	0.0	0.009433962264150943	0.018867924528301886	0.0	0.0	0.0	0.009433962264150943	0.009433962264150943	0.018867924528301886	0.0	0.0	0.0	0.009433962264150943	0.018867924528301886	0.0	0.03773584905660377	0.0	0.018867924528301886	0.009433962264150943	0.0	0.0	0.0	0.0	0.018867924528301886	0.02830188679245283	0.0	0.0	0.009433962264150943	0.009433962264150943	0.009433962264150943	0.009433962264150943	0.009433962264150943	0.0	0.0	0.009433962264150943	0.0	0.0	0.009433962264150943	0.009433962264150943	0.0	0.009433962264150943	0.0	0.018867924528301886	0.0	0.018867924528301886	0.0	0.009433962264150943	0.009433962264150943	0.018867924528301886	0.0	0.0	0.018867924528301886	0.0	0.0	0.02830188679245283	0.018867924528301886	0.0	0.02830188679245283	0.018867924528301886	0.0	0.009433962264150943	0.0	0.0	0.018867924528301886	0.02830188679245283	0.009433962264150943	0.0	0.018867924528301886	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009433962264150943	0.0	0.018867924528301886	0.0	0.0	0.0	0.02830188679245283	0.018867924528301886	0.009433962264150943	0.009433962264150943	0.0	0.009433962264150943	0.0	0.0	0.0	0.009433962264150943	0.0	0.0	0.0	0.0	0.0	0.0	0.018867924528301886	0.018867924528301886	0.018867924528301886	0.009433962264150943	0.02830188679245283	0.0	0.0	0.0	0.0	0.0	0.009433962264150943	0.0	0.009433962264150943	0.0	0.0	0.0	0.02830188679245283	0.0	0.0	0.0	0.0
