	SS	PromoterDistance	DistTerm	Distance	sameStrand	DownDistance	sameDownStrand	AAAA/TTTT	AAAC/GTTT	AAAG/CTTT	AAAT/ATTT	AACA/TGTT	AACC/GGTT	AACG/CGTT	AACT/AGTT	AAGA/TCTT	AAGC/GCTT	AAGG/CCTT	AAGT/ACTT	AATA/TATT	AATC/GATT	AATG/CATT	AATT/AATT	ACAA/TTGT	ACAC/GTGT	ACAG/CTGT	ACAT/ATGT	ACCA/TGGT	ACCC/GGGT	ACCG/CGGT	ACCT/AGGT	ACGA/TCGT	ACGC/GCGT	ACGG/CCGT	ACGT/ACGT	ACTA/TAGT	ACTC/GAGT	ACTG/CAGT	AGAA/TTCT	AGAC/GTCT	AGAG/CTCT	AGAT/ATCT	AGCA/TGCT	AGCC/GGCT	AGCG/CGCT	AGCT/AGCT	AGGA/TCCT	AGGC/GCCT	AGGG/CCCT	AGTA/TACT	AGTC/GACT	AGTG/CACT	ATAA/TTAT	ATAC/GTAT	ATAG/CTAT	ATAT/ATAT	ATCA/TGAT	ATCC/GGAT	ATCG/CGAT	ATGA/TCAT	ATGC/GCAT	ATGG/CCAT	ATTA/TAAT	ATTC/GAAT	ATTG/CAAT	CAAA/TTTG	CAAC/GTTG	CAAG/CTTG	CACA/TGTG	CACC/GGTG	CACG/CGTG	CAGA/TCTG	CAGC/GCTG	CAGG/CCTG	CATA/TATG	CATC/GATG	CATG/CATG	CCAA/TTGG	CCAC/GTGG	CCAG/CTGG	CCCA/TGGG	CCCC/GGGG	CCCG/CGGG	CCGA/TCGG	CCGC/GCGG	CCGG/CCGG	CCTA/TAGG	CCTC/GAGG	CGAA/TTCG	CGAC/GTCG	CGAG/CTCG	CGCA/TGCG	CGCC/GGCG	CGCG/CGCG	CGGA/TCCG	CGGC/GCCG	CGTA/TACG	CGTC/GACG	CTAA/TTAG	CTAC/GTAG	CTAG/CTAG	CTCA/TGAG	CTCC/GGAG	CTGA/TCAG	CTGC/GCAG	CTTA/TAAG	CTTC/GAAG	GAAA/TTTC	GAAC/GTTC	GACA/TGTC	GACC/GGTC	GAGA/TCTC	GAGC/GCTC	GATA/TATC	GATC/GATC	GCAA/TTGC	GCAC/GTGC	GCCA/TGGC	GCCC/GGGC	GCGA/TCGC	GCGC/GCGC	GCTA/TAGC	GGAA/TTCC	GGAC/GTCC	GGCA/TGCC	GGCC/GGCC	GGGA/TCCC	GGTA/TACC	GTAA/TTAC	GTAC/GTAC	GTCA/TGAC	GTGA/TCAC	GTTA/TAAC	TAAA/TTTA	TACA/TGTA	TAGA/TCTA	TATA/TATA	TCAA/TTGA	TCCA/TGGA	TCGA/TCGA	TGAA/TTCA	TGCA/TGCA	TTAA/TTAA
s14080	-23.6	-150	0	-2	1	0	1	0.03529411764705882	0.011764705882352941	0.011764705882352941	0.023529411764705882	0.0	0.0	0.011764705882352941	0.0	0.011764705882352941	0.0	0.011764705882352941	0.0	0.0	0.0	0.011764705882352941	0.03529411764705882	0.0	0.011764705882352941	0.0	0.0	0.0	0.011764705882352941	0.0	0.0	0.0	0.0	0.03529411764705882	0.0	0.0	0.0	0.011764705882352941	0.0	0.0	0.011764705882352941	0.011764705882352941	0.0	0.0	0.0	0.0	0.011764705882352941	0.0	0.03529411764705882	0.011764705882352941	0.0	0.0	0.023529411764705882	0.011764705882352941	0.011764705882352941	0.0	0.0	0.0	0.0	0.011764705882352941	0.011764705882352941	0.0	0.023529411764705882	0.023529411764705882	0.011764705882352941	0.0	0.0	0.0	0.0	0.0	0.023529411764705882	0.0	0.0	0.0	0.0	0.011764705882352941	0.0	0.0	0.0	0.0	0.0	0.023529411764705882	0.03529411764705882	0.0	0.011764705882352941	0.0	0.023529411764705882	0.011764705882352941	0.011764705882352941	0.0	0.0	0.0	0.03529411764705882	0.0	0.011764705882352941	0.0	0.0	0.0	0.0	0.0	0.011764705882352941	0.0	0.011764705882352941	0.011764705882352941	0.0	0.0	0.011764705882352941	0.011764705882352941	0.0	0.011764705882352941	0.0	0.011764705882352941	0.0	0.0	0.0	0.011764705882352941	0.011764705882352941	0.0	0.047058823529411764	0.011764705882352941	0.0	0.0	0.023529411764705882	0.0	0.011764705882352941	0.0	0.011764705882352941	0.011764705882352941	0.011764705882352941	0.0	0.011764705882352941	0.0	0.0	0.03529411764705882	0.0	0.011764705882352941	0.023529411764705882	0.0	0.0	0.0	0.011764705882352941	0.011764705882352941	0.011764705882352941
s16952	-21.6	0	1000	0	0	483	1	0.0392156862745098	0.0	0.0196078431372549	0.0196078431372549	0.0	0.0196078431372549	0.0	0.0	0.0	0.0196078431372549	0.0	0.0	0.0196078431372549	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0196078431372549	0.0196078431372549	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0196078431372549	0.0	0.0196078431372549	0.0	0.0	0.0	0.0196078431372549	0.0196078431372549	0.0	0.0	0.0196078431372549	0.0392156862745098	0.0	0.0	0.0	0.0196078431372549	0.0	0.0	0.0196078431372549	0.0392156862745098	0.0392156862745098	0.0	0.0	0.0	0.0196078431372549	0.0196078431372549	0.0	0.0	0.0	0.0	0.0196078431372549	0.0	0.0	0.0	0.0	0.0	0.0196078431372549	0.0	0.0196078431372549	0.0196078431372549	0.0	0.0	0.0	0.0	0.0	0.0196078431372549	0.0392156862745098	0.0392156862745098	0.0	0.0	0.0196078431372549	0.0392156862745098	0.0	0.0	0.0392156862745098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0196078431372549	0.0196078431372549	0.0	0.0	0.0	0.0196078431372549	0.0	0.0	0.0	0.0	0.0	0.0196078431372549	0.0	0.0	0.0	0.0	0.0196078431372549	0.0	0.0	0.0	0.0	0.0	0.0	0.0196078431372549	0.0	0.0196078431372549	0.0196078431372549	0.0	0.0	0.0196078431372549	0.0	0.0196078431372549	0.0	0.0	0.0196078431372549	0.0196078431372549	0.0	0.0	0.0196078431372549	0.0	0.0
s75516	-26.2	0	1000	-37	1	36	1	0.011235955056179775	0.0	0.0	0.02247191011235955	0.0	0.011235955056179775	0.02247191011235955	0.0	0.0	0.0	0.011235955056179775	0.0	0.011235955056179775	0.011235955056179775	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02247191011235955	0.0	0.011235955056179775	0.0	0.056179775280898875	0.02247191011235955	0.0	0.0	0.0	0.0	0.02247191011235955	0.0	0.0	0.0	0.0	0.011235955056179775	0.011235955056179775	0.0	0.011235955056179775	0.011235955056179775	0.011235955056179775	0.0	0.0	0.0	0.011235955056179775	0.011235955056179775	0.0	0.0	0.011235955056179775	0.033707865168539325	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011235955056179775	0.011235955056179775	0.0	0.0	0.011235955056179775	0.02247191011235955	0.0	0.011235955056179775	0.011235955056179775	0.0	0.0	0.0	0.0	0.011235955056179775	0.0	0.0	0.011235955056179775	0.02247191011235955	0.0	0.0	0.02247191011235955	0.0	0.011235955056179775	0.02247191011235955	0.011235955056179775	0.0	0.011235955056179775	0.02247191011235955	0.02247191011235955	0.02247191011235955	0.02247191011235955	0.02247191011235955	0.011235955056179775	0.0	0.0	0.0	0.033707865168539325	0.011235955056179775	0.02247191011235955	0.0	0.0	0.011235955056179775	0.011235955056179775	0.02247191011235955	0.0	0.0	0.02247191011235955	0.011235955056179775	0.011235955056179775	0.011235955056179775	0.0	0.02247191011235955	0.011235955056179775	0.0	0.011235955056179775	0.011235955056179775	0.0	0.0	0.0	0.011235955056179775	0.0	0.011235955056179775	0.011235955056179775	0.0	0.011235955056179775	0.0	0.0	0.011235955056179775	0.0	0.0	0.0	0.0	0.02247191011235955	0.0	0.011235955056179775	0.0	0.0	0.0
s77367	-65.4	0	0	0	1	0	1	0.03587443946188341	0.008968609865470852	0.004484304932735426	0.008968609865470852	0.0	0.017937219730941704	0.008968609865470852	0.013452914798206279	0.0	0.013452914798206279	0.008968609865470852	0.013452914798206279	0.008968609865470852	0.013452914798206279	0.0	0.004484304932735426	0.008968609865470852	0.008968609865470852	0.004484304932735426	0.004484304932735426	0.02242152466367713	0.008968609865470852	0.008968609865470852	0.004484304932735426	0.004484304932735426	0.013452914798206279	0.0	0.0	0.004484304932735426	0.004484304932735426	0.017937219730941704	0.004484304932735426	0.0	0.0	0.004484304932735426	0.026905829596412557	0.0	0.008968609865470852	0.0	0.004484304932735426	0.004484304932735426	0.004484304932735426	0.004484304932735426	0.013452914798206279	0.008968609865470852	0.008968609865470852	0.008968609865470852	0.004484304932735426	0.0	0.017937219730941704	0.004484304932735426	0.004484304932735426	0.013452914798206279	0.017937219730941704	0.008968609865470852	0.008968609865470852	0.004484304932735426	0.008968609865470852	0.0	0.02242152466367713	0.013452914798206279	0.017937219730941704	0.013452914798206279	0.0	0.008968609865470852	0.022421524663677132	0.008968609865470852	0.0	0.013452914798206279	0.013452914798206279	0.008968609865470852	0.008968609865470852	0.013452914798206279	0.013452914798206279	0.013452914798206279	0.004484304932735426	0.0	0.013452914798206279	0.0	0.0	0.0	0.004484304932735426	0.004484304932735426	0.0	0.013452914798206279	0.004484304932735426	0.004484304932735426	0.0	0.0	0.0	0.008968609865470852	0.0	0.0	0.0	0.004484304932735426	0.0	0.022421524663677132	0.017937219730941704	0.004484304932735426	0.013452914798206279	0.004484304932735426	0.0	0.004484304932735426	0.004484304932735426	0.0	0.0	0.004484304932735426	0.0	0.017937219730941704	0.013452914798206279	0.004484304932735426	0.004484304932735426	0.008968609865470852	0.0	0.0	0.0	0.008968609865470852	0.008968609865470852	0.0	0.008968609865470852	0.008968609865470852	0.008968609865470852	0.0	0.017937219730941704	0.008968609865470852	0.008968609865470852	0.013452914798206279	0.004484304932735426	0.0	0.004484304932735426	0.008968609865470852	0.0	0.0	0.013452914798206279	0.008968609865470852	0.008968609865470852
s122697	-39.4	0	1000	0	0	160	0	0.006369426751592357	0.0	0.012738853503184714	0.019108280254777073	0.0	0.0	0.012738853503184714	0.0	0.025477707006369428	0.025477707006369428	0.006369426751592357	0.006369426751592357	0.006369426751592357	0.006369426751592357	0.0	0.012738853503184714	0.0	0.0	0.006369426751592357	0.0	0.0	0.006369426751592357	0.006369426751592357	0.0	0.019108280254777073	0.012738853503184714	0.006369426751592357	0.0	0.006369426751592357	0.0	0.0	0.03184713375796178	0.006369426751592357	0.019108280254777073	0.006369426751592357	0.019108280254777073	0.012738853503184714	0.01910828025477707	0.0	0.0	0.006369426751592357	0.0	0.0	0.006369426751592357	0.0	0.012738853503184714	0.0	0.0	0.006369426751592357	0.0	0.0	0.025477707006369428	0.0	0.01910828025477707	0.012738853503184714	0.012738853503184714	0.006369426751592357	0.0	0.012738853503184714	0.006369426751592357	0.0	0.0	0.0	0.012738853503184714	0.025477707006369428	0.0	0.0	0.012738853503184714	0.01910828025477707	0.0	0.0	0.0	0.012738853503184714	0.0	0.0	0.006369426751592357	0.0	0.012738853503184714	0.012738853503184714	0.0	0.0	0.01910828025477707	0.019108280254777073	0.006369426751592357	0.019108280254777073	0.012738853503184714	0.012738853503184714	0.006369426751592357	0.025477707006369428	0.0	0.012738853503184714	0.006369426751592357	0.0	0.0	0.006369426751592357	0.006369426751592357	0.0	0.006369426751592357	0.006369426751592357	0.044585987261146494	0.012738853503184714	0.006369426751592357	0.006369426751592357	0.0	0.012738853503184714	0.025477707006369428	0.006369426751592357	0.0	0.012738853503184714	0.0	0.019108280254777073	0.0	0.025477707006369428	0.012738853503184714	0.0	0.006369426751592357	0.0	0.0	0.012738853503184714	0.0	0.006369426751592357	0.006369426751592357	0.0	0.0	0.012738853503184714	0.0	0.006369426751592357	0.0	0.0	0.0	0.006369426751592357	0.006369426751592357	0.012738853503184714	0.012738853503184714	0.0	0.0
s189712	-38.9	-1000	927	-207	0	27	1	0.0	0.0	0.015151515151515152	0.007575757575757576	0.015151515151515152	0.007575757575757576	0.0	0.0	0.0	0.007575757575757576	0.007575757575757576	0.015151515151515152	0.015151515151515152	0.007575757575757576	0.007575757575757576	0.0	0.022727272727272728	0.03787878787878788	0.007575757575757576	0.007575757575757576	0.0	0.015151515151515152	0.007575757575757576	0.0	0.007575757575757576	0.0	0.007575757575757576	0.015151515151515152	0.0	0.0	0.007575757575757576	0.0	0.007575757575757576	0.0	0.007575757575757576	0.0	0.0	0.007575757575757576	0.0	0.0	0.007575757575757576	0.007575757575757576	0.0	0.015151515151515152	0.007575757575757576	0.007575757575757576	0.030303030303030304	0.0	0.015151515151515152	0.0	0.015151515151515152	0.015151515151515152	0.0	0.007575757575757576	0.015151515151515152	0.007575757575757576	0.007575757575757576	0.007575757575757576	0.015151515151515152	0.007575757575757576	0.0	0.03787878787878788	0.007575757575757576	0.015151515151515152	0.007575757575757576	0.0	0.0	0.022727272727272728	0.0	0.0	0.007575757575757576	0.007575757575757576	0.007575757575757576	0.015151515151515152	0.015151515151515152	0.007575757575757576	0.022727272727272728	0.0	0.007575757575757576	0.0	0.007575757575757576	0.007575757575757576	0.015151515151515152	0.0	0.0	0.0	0.0	0.022727272727272728	0.007575757575757576	0.022727272727272728	0.007575757575757576	0.0	0.0	0.0	0.007575757575757576	0.007575757575757576	0.0	0.0	0.0	0.015151515151515152	0.007575757575757576	0.0	0.007575757575757576	0.007575757575757576	0.007575757575757576	0.0	0.015151515151515152	0.007575757575757576	0.0	0.015151515151515152	0.0	0.007575757575757576	0.007575757575757576	0.0	0.0	0.022727272727272728	0.015151515151515152	0.022727272727272728	0.0	0.007575757575757576	0.007575757575757576	0.015151515151515152	0.0	0.0	0.007575757575757576	0.015151515151515152	0.0	0.015151515151515152	0.0	0.007575757575757576	0.0	0.022727272727272728	0.0	0.0	0.0	0.0
s238462	-6.6	0	1000	0	0	0	0	0.0743801652892562	0.024793388429752067	0.008264462809917356	0.03305785123966942	0.008264462809917356	0.008264462809917356	0.01652892561983471	0.0	0.008264462809917356	0.008264462809917356	0.01652892561983471	0.008264462809917356	0.024793388429752067	0.024793388429752067	0.01652892561983471	0.01652892561983471	0.0	0.0	0.01652892561983471	0.024793388429752067	0.0	0.0	0.008264462809917356	0.008264462809917356	0.024793388429752067	0.0	0.0	0.0	0.008264462809917356	0.0	0.0	0.024793388429752067	0.008264462809917356	0.0	0.0	0.008264462809917356	0.0	0.0	0.0	0.008264462809917356	0.0	0.0	0.008264462809917356	0.008264462809917356	0.0	0.01652892561983471	0.0	0.0	0.008264462809917356	0.024793388429752067	0.0	0.008264462809917356	0.024793388429752067	0.0	0.0	0.024793388429752067	0.03305785123966942	0.008264462809917356	0.008264462809917356	0.008264462809917356	0.0	0.01652892561983471	0.0	0.0	0.01652892561983471	0.0	0.0	0.0	0.0	0.01652892561983471	0.0	0.008264462809917356	0.0	0.0	0.0	0.0	0.008264462809917356	0.0	0.0	0.0	0.0	0.024793388429752067	0.008264462809917356	0.0	0.0	0.008264462809917356	0.0	0.0	0.0	0.008264462809917356	0.0	0.0	0.008264462809917356	0.0	0.0	0.0	0.0	0.0	0.01652892561983471	0.01652892561983471	0.024793388429752067	0.0	0.01652892561983471	0.0	0.0	0.0	0.008264462809917356	0.0	0.0	0.008264462809917356	0.008264462809917356	0.0	0.008264462809917356	0.0	0.0	0.008264462809917356	0.0	0.0	0.0	0.0	0.008264462809917356	0.024793388429752067	0.0	0.008264462809917356	0.0	0.0	0.03305785123966942	0.008264462809917356	0.0	0.0	0.024793388429752067	0.0	0.0	0.01652892561983471	0.0	0.01652892561983471
s457952	-13.0	-725	1000	0	0	0	0	0.0	0.0	0.0	0.03773584905660377	0.0	0.0	0.0	0.0	0.018867924528301886	0.0	0.0	0.018867924528301886	0.018867924528301886	0.03773584905660377	0.0	0.0	0.03773584905660377	0.0	0.018867924528301886	0.018867924528301886	0.018867924528301886	0.0	0.0	0.0	0.018867924528301886	0.018867924528301886	0.0	0.0	0.0	0.0	0.0	0.018867924528301886	0.03773584905660377	0.0	0.018867924528301886	0.0	0.0	0.018867924528301886	0.0	0.0	0.0	0.0	0.0	0.018867924528301886	0.0	0.0	0.018867924528301886	0.0	0.0	0.0	0.0	0.05660377358490566	0.018867924528301886	0.0	0.0	0.0	0.0	0.018867924528301886	0.0	0.0	0.018867924528301886	0.0	0.0	0.018867924528301886	0.018867924528301886	0.018867924528301886	0.0	0.0	0.03773584905660377	0.0	0.0	0.018867924528301886	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018867924528301886	0.018867924528301886	0.0	0.0	0.0	0.0	0.0	0.018867924528301886	0.0	0.0	0.018867924528301886	0.0	0.0	0.0	0.018867924528301886	0.0	0.018867924528301886	0.0	0.03773584905660377	0.0	0.05660377358490566	0.0	0.018867924528301886	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018867924528301886	0.018867924528301886	0.0	0.018867924528301886	0.0	0.0	0.0	0.018867924528301886	0.018867924528301886	0.0	0.0	0.0	0.03773584905660377	0.018867924528301886	0.0	0.0
s475672	-30.0	-354	173	0	1	0	1	0.0	0.00909090909090909	0.00909090909090909	0.01818181818181818	0.02727272727272727	0.00909090909090909	0.01818181818181818	0.00909090909090909	0.0	0.00909090909090909	0.0	0.0	0.01818181818181818	0.00909090909090909	0.01818181818181818	0.0	0.01818181818181818	0.0	0.01818181818181818	0.00909090909090909	0.00909090909090909	0.00909090909090909	0.02727272727272727	0.0	0.0	0.01818181818181818	0.01818181818181818	0.0	0.0	0.00909090909090909	0.00909090909090909	0.01818181818181818	0.0	0.0	0.00909090909090909	0.0	0.00909090909090909	0.0	0.00909090909090909	0.0	0.0	0.0	0.0	0.0	0.00909090909090909	0.00909090909090909	0.02727272727272727	0.0	0.0	0.00909090909090909	0.0	0.01818181818181818	0.01818181818181818	0.0	0.0	0.00909090909090909	0.01818181818181818	0.0	0.01818181818181818	0.00909090909090909	0.0	0.0	0.00909090909090909	0.00909090909090909	0.02727272727272727	0.01818181818181818	0.0	0.0	0.00909090909090909	0.0	0.0	0.0	0.00909090909090909	0.0	0.0	0.00909090909090909	0.01818181818181818	0.00909090909090909	0.00909090909090909	0.0	0.0	0.00909090909090909	0.0	0.0	0.00909090909090909	0.00909090909090909	0.01818181818181818	0.0	0.02727272727272727	0.00909090909090909	0.0	0.0	0.0	0.0	0.00909090909090909	0.0	0.01818181818181818	0.00909090909090909	0.0	0.0	0.0	0.03636363636363636	0.01818181818181818	0.0	0.0	0.0	0.01818181818181818	0.0	0.0	0.00909090909090909	0.0	0.0	0.00909090909090909	0.00909090909090909	0.0	0.0	0.0	0.00909090909090909	0.0	0.0	0.02727272727272727	0.00909090909090909	0.0	0.01818181818181818	0.01818181818181818	0.00909090909090909	0.01818181818181818	0.0	0.0	0.0	0.00909090909090909	0.0	0.0	0.03636363636363636	0.0	0.00909090909090909
s506428	-1.9	-844	65	0	1	0	1	0.0	0.01282051282051282	0.02564102564102564	0.0	0.01282051282051282	0.01282051282051282	0.0	0.0	0.0	0.02564102564102564	0.01282051282051282	0.01282051282051282	0.02564102564102564	0.0	0.0	0.0	0.01282051282051282	0.0	0.0	0.01282051282051282	0.0	0.0	0.02564102564102564	0.0	0.0	0.01282051282051282	0.0	0.0	0.0	0.0	0.0	0.01282051282051282	0.0	0.0	0.0	0.01282051282051282	0.02564102564102564	0.01282051282051282	0.0	0.0	0.01282051282051282	0.0	0.0	0.0	0.01282051282051282	0.02564102564102564	0.02564102564102564	0.01282051282051282	0.01282051282051282	0.02564102564102564	0.02564102564102564	0.0	0.0	0.01282051282051282	0.0	0.0	0.01282051282051282	0.01282051282051282	0.01282051282051282	0.0	0.01282051282051282	0.01282051282051282	0.0	0.0	0.01282051282051282	0.01282051282051282	0.0	0.01282051282051282	0.01282051282051282	0.0	0.0	0.0	0.01282051282051282	0.0	0.0	0.01282051282051282	0.01282051282051282	0.01282051282051282	0.02564102564102564	0.0	0.0	0.01282051282051282	0.0	0.0	0.0	0.01282051282051282	0.01282051282051282	0.01282051282051282	0.02564102564102564	0.01282051282051282	0.0	0.0	0.0	0.0	0.0	0.0	0.01282051282051282	0.0	0.0	0.01282051282051282	0.02564102564102564	0.0	0.0	0.0	0.0	0.0	0.038461538461538464	0.0	0.0	0.01282051282051282	0.0	0.01282051282051282	0.0	0.01282051282051282	0.01282051282051282	0.0	0.0	0.01282051282051282	0.0	0.0	0.01282051282051282	0.0	0.0	0.0	0.01282051282051282	0.01282051282051282	0.01282051282051282	0.0	0.0	0.01282051282051282	0.02564102564102564	0.01282051282051282	0.0	0.02564102564102564	0.0	0.0
