	SS	PromoterDistance	DistTerm	Distance	sameStrand	DownDistance	sameDownStrand	AAAA/TTTT	AAAC/GTTT	AAAG/CTTT	AAAT/ATTT	AACA/TGTT	AACC/GGTT	AACG/CGTT	AACT/AGTT	AAGA/TCTT	AAGC/GCTT	AAGG/CCTT	AAGT/ACTT	AATA/TATT	AATC/GATT	AATG/CATT	AATT/AATT	ACAA/TTGT	ACAC/GTGT	ACAG/CTGT	ACAT/ATGT	ACCA/TGGT	ACCC/GGGT	ACCG/CGGT	ACCT/AGGT	ACGA/TCGT	ACGC/GCGT	ACGG/CCGT	ACGT/ACGT	ACTA/TAGT	ACTC/GAGT	ACTG/CAGT	AGAA/TTCT	AGAC/GTCT	AGAG/CTCT	AGAT/ATCT	AGCA/TGCT	AGCC/GGCT	AGCG/CGCT	AGCT/AGCT	AGGA/TCCT	AGGC/GCCT	AGGG/CCCT	AGTA/TACT	AGTC/GACT	AGTG/CACT	ATAA/TTAT	ATAC/GTAT	ATAG/CTAT	ATAT/ATAT	ATCA/TGAT	ATCC/GGAT	ATCG/CGAT	ATGA/TCAT	ATGC/GCAT	ATGG/CCAT	ATTA/TAAT	ATTC/GAAT	ATTG/CAAT	CAAA/TTTG	CAAC/GTTG	CAAG/CTTG	CACA/TGTG	CACC/GGTG	CACG/CGTG	CAGA/TCTG	CAGC/GCTG	CAGG/CCTG	CATA/TATG	CATC/GATG	CATG/CATG	CCAA/TTGG	CCAC/GTGG	CCAG/CTGG	CCCA/TGGG	CCCC/GGGG	CCCG/CGGG	CCGA/TCGG	CCGC/GCGG	CCGG/CCGG	CCTA/TAGG	CCTC/GAGG	CGAA/TTCG	CGAC/GTCG	CGAG/CTCG	CGCA/TGCG	CGCC/GGCG	CGCG/CGCG	CGGA/TCCG	CGGC/GCCG	CGTA/TACG	CGTC/GACG	CTAA/TTAG	CTAC/GTAG	CTAG/CTAG	CTCA/TGAG	CTCC/GGAG	CTGA/TCAG	CTGC/GCAG	CTTA/TAAG	CTTC/GAAG	GAAA/TTTC	GAAC/GTTC	GACA/TGTC	GACC/GGTC	GAGA/TCTC	GAGC/GCTC	GATA/TATC	GATC/GATC	GCAA/TTGC	GCAC/GTGC	GCCA/TGGC	GCCC/GGGC	GCGA/TCGC	GCGC/GCGC	GCTA/TAGC	GGAA/TTCC	GGAC/GTCC	GGCA/TGCC	GGCC/GGCC	GGGA/TCCC	GGTA/TACC	GTAA/TTAC	GTAC/GTAC	GTCA/TGAC	GTGA/TCAC	GTTA/TAAC	TAAA/TTTA	TACA/TGTA	TAGA/TCTA	TATA/TATA	TCAA/TTGA	TCCA/TGGA	TCGA/TCGA	TGAA/TTCA	TGCA/TGCA	TTAA/TTAA
H_pylori_RAND_53	-14.5	-363	1000	0	1	0	1	0.0718232044198895	0.027624309392265192	0.022099447513812154	0.03314917127071823	0.0	0.016574585635359115	0.0	0.011049723756906077	0.022099447513812154	0.022099447513812154	0.016574585635359115	0.0055248618784530384	0.016574585635359115	0.0055248618784530384	0.016574585635359115	0.016574585635359115	0.0	0.0	0.0	0.0055248618784530384	0.0	0.011049723756906077	0.0	0.0055248618784530384	0.0	0.0	0.0	0.0	0.0055248618784530384	0.0055248618784530384	0.0	0.016574585635359115	0.0	0.022099447513812154	0.0055248618784530384	0.0055248618784530384	0.0	0.0055248618784530384	0.016574585635359115	0.0055248618784530384	0.0	0.022099447513812154	0.0055248618784530384	0.0	0.0	0.022099447513812154	0.0055248618784530384	0.0055248618784530384	0.0055248618784530384	0.0055248618784530384	0.011049723756906077	0.0	0.0	0.016574585635359115	0.0055248618784530384	0.022099447513812154	0.016574585635359115	0.0	0.03314917127071823	0.0	0.0055248618784530384	0.0	0.0	0.0	0.0	0.0055248618784530384	0.0	0.011049723756906077	0.0	0.0	0.011049723756906077	0.0	0.0055248618784530384	0.011049723756906077	0.016574585635359115	0.0	0.0	0.0055248618784530384	0.0	0.011049723756906077	0.0055248618784530384	0.0	0.0	0.0	0.011049723756906077	0.0	0.0	0.0055248618784530384	0.0	0.0	0.0	0.016574585635359115	0.0055248618784530384	0.0	0.0055248618784530384	0.011049723756906077	0.0	0.0	0.03867403314917127	0.0	0.016574585635359115	0.0	0.0	0.0	0.016574585635359115	0.011049723756906077	0.0055248618784530384	0.0055248618784530384	0.011049723756906077	0.0	0.0	0.0055248618784530384	0.0	0.0055248618784530384	0.0055248618784530384	0.011049723756906077	0.0	0.0055248618784530384	0.0	0.011049723756906077	0.0	0.0	0.0	0.0	0.0	0.0	0.03314917127071823	0.0055248618784530384	0.0055248618784530384	0.0055248618784530384	0.016574585635359115	0.011049723756906077	0.0	0.0055248618784530384	0.0055248618784530384	0.027624309392265192
H_pylori_RAND_65	-20.5	0	1000	0	0	0	0	0.033613445378151266	0.012605042016806723	0.029411764705882353	0.01680672268907563	0.004201680672268907	0.008403361344537815	0.012605042016806723	0.008403361344537815	0.004201680672268907	0.01680672268907563	0.012605042016806723	0.01680672268907563	0.01680672268907563	0.0	0.004201680672268907	0.008403361344537815	0.004201680672268907	0.004201680672268907	0.0	0.004201680672268907	0.004201680672268907	0.004201680672268907	0.012605042016806723	0.0	0.0	0.008403361344537815	0.0	0.004201680672268907	0.008403361344537815	0.008403361344537815	0.004201680672268907	0.008403361344537815	0.0	0.004201680672268907	0.008403361344537815	0.004201680672268907	0.012605042016806723	0.01680672268907563	0.004201680672268907	0.004201680672268907	0.008403361344537815	0.01680672268907563	0.008403361344537815	0.0	0.021008403361344536	0.025210084033613446	0.004201680672268907	0.01680672268907563	0.0	0.008403361344537815	0.0	0.004201680672268907	0.0	0.012605042016806723	0.004201680672268907	0.008403361344537815	0.008403361344537815	0.004201680672268907	0.02100840336134454	0.008403361344537815	0.012605042016806723	0.0	0.008403361344537815	0.004201680672268907	0.0	0.0	0.004201680672268907	0.0	0.008403361344537815	0.004201680672268907	0.012605042016806723	0.01680672268907563	0.0	0.012605042016806723	0.008403361344537815	0.0	0.008403361344537815	0.008403361344537815	0.0	0.008403361344537815	0.004201680672268907	0.012605042016806723	0.004201680672268907	0.0	0.004201680672268907	0.008403361344537815	0.0	0.0	0.004201680672268907	0.0	0.0	0.004201680672268907	0.004201680672268907	0.012605042016806723	0.012605042016806723	0.004201680672268907	0.004201680672268907	0.004201680672268907	0.0	0.008403361344537815	0.012605042016806723	0.004201680672268907	0.004201680672268907	0.004201680672268907	0.008403361344537815	0.0	0.012605042016806723	0.0	0.012605042016806723	0.0	0.008403361344537815	0.02100840336134454	0.012605042016806723	0.0	0.025210084033613446	0.008403361344537815	0.0	0.012605042016806723	0.004201680672268907	0.004201680672268907	0.0	0.004201680672268907	0.0	0.004201680672268907	0.012605042016806723	0.008403361344537815	0.025210084033613446	0.004201680672268907	0.008403361344537815	0.008403361344537815	0.01680672268907563	0.008403361344537815	0.0	0.008403361344537815	0.004201680672268907	0.004201680672268907
H_pylori_RAND_69	-13.9	-89	255	0	1	297	0	0.08641975308641975	0.04938271604938271	0.012345679012345678	0.037037037037037035	0.012345679012345678	0.012345679012345678	0.024691358024691357	0.0	0.037037037037037035	0.012345679012345678	0.024691358024691357	0.0	0.0	0.0	0.0	0.024691358024691357	0.0	0.012345679012345678	0.0	0.0	0.012345679012345678	0.0	0.0	0.012345679012345678	0.0	0.024691358024691357	0.0	0.0	0.012345679012345678	0.0	0.0	0.037037037037037035	0.0	0.012345679012345678	0.0	0.0	0.012345679012345678	0.024691358024691357	0.0	0.0	0.012345679012345678	0.012345679012345678	0.0	0.0	0.012345679012345678	0.0	0.0	0.0	0.0	0.012345679012345678	0.0	0.0	0.012345679012345678	0.0	0.0	0.012345679012345678	0.0	0.0	0.012345679012345678	0.0	0.024691358024691357	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012345679012345678	0.0	0.012345679012345678	0.0	0.0	0.0	0.012345679012345678	0.0	0.0	0.0	0.0	0.024691358024691357	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04938271604938271	0.012345679012345678	0.0	0.0	0.0	0.0	0.0	0.037037037037037035	0.0	0.06172839506172839	0.012345679012345678	0.0	0.0	0.0	0.012345679012345678	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012345679012345678	0.012345679012345678	0.0	0.0	0.0	0.012345679012345678	0.012345679012345678	0.0	0.0	0.0	0.0	0.0	0.024691358024691357	0.0	0.012345679012345678	0.0	0.024691358024691357	0.0	0.0	0.024691358024691357	0.0	0.012345679012345678
H_pylori_RAND_96	-11.8	0	675	0	1	0	1	0.038461538461538464	0.016483516483516484	0.005494505494505495	0.027472527472527472	0.0	0.01098901098901099	0.02197802197802198	0.005494505494505495	0.0	0.016483516483516484	0.005494505494505495	0.01098901098901099	0.01098901098901099	0.027472527472527472	0.005494505494505495	0.005494505494505495	0.005494505494505495	0.016483516483516484	0.0	0.005494505494505495	0.0	0.016483516483516484	0.01098901098901099	0.0	0.005494505494505495	0.016483516483516484	0.005494505494505495	0.0	0.005494505494505495	0.005494505494505495	0.0	0.0	0.005494505494505495	0.01098901098901099	0.005494505494505495	0.005494505494505495	0.016483516483516484	0.016483516483516484	0.0	0.005494505494505495	0.0	0.005494505494505495	0.0	0.0	0.01098901098901099	0.01098901098901099	0.005494505494505495	0.0	0.005494505494505495	0.016483516483516484	0.016483516483516484	0.016483516483516484	0.01098901098901099	0.0	0.016483516483516484	0.01098901098901099	0.0	0.016483516483516484	0.01098901098901099	0.005494505494505495	0.016483516483516484	0.005494505494505495	0.005494505494505495	0.0	0.0	0.01098901098901099	0.0	0.005494505494505495	0.0	0.01098901098901099	0.02197802197802198	0.0	0.005494505494505495	0.01098901098901099	0.01098901098901099	0.01098901098901099	0.005494505494505495	0.0	0.005494505494505495	0.005494505494505495	0.0	0.0	0.005494505494505495	0.0	0.005494505494505495	0.005494505494505495	0.0	0.0	0.0	0.0	0.005494505494505495	0.016483516483516484	0.005494505494505495	0.005494505494505495	0.0	0.005494505494505495	0.005494505494505495	0.0	0.01098901098901099	0.0	0.01098901098901099	0.0	0.016483516483516484	0.0	0.005494505494505495	0.005494505494505495	0.01098901098901099	0.01098901098901099	0.005494505494505495	0.005494505494505495	0.016483516483516484	0.005494505494505495	0.01098901098901099	0.0	0.005494505494505495	0.0	0.005494505494505495	0.0	0.0	0.005494505494505495	0.01098901098901099	0.005494505494505495	0.0	0.005494505494505495	0.0	0.016483516483516484	0.027472527472527472	0.005494505494505495	0.016483516483516484	0.0	0.016483516483516484	0.016483516483516484	0.0	0.01098901098901099	0.0	0.016483516483516484
H_pylori_RAND_124	-5.6	-271	1000	0	1	0	1	0.058394160583941604	0.014598540145985401	0.014598540145985401	0.014598540145985401	0.0	0.0	0.021897810218978103	0.0072992700729927005	0.014598540145985401	0.021897810218978103	0.0072992700729927005	0.0	0.014598540145985401	0.014598540145985401	0.0	0.0072992700729927005	0.021897810218978103	0.0072992700729927005	0.0	0.0	0.0	0.0072992700729927005	0.0072992700729927005	0.0	0.021897810218978103	0.014598540145985401	0.0	0.0	0.0	0.0072992700729927005	0.0	0.0072992700729927005	0.0072992700729927005	0.014598540145985401	0.014598540145985401	0.0072992700729927005	0.0072992700729927005	0.021897810218978103	0.0	0.0072992700729927005	0.0072992700729927005	0.021897810218978103	0.0	0.0	0.0	0.0	0.0	0.029197080291970802	0.0	0.0072992700729927005	0.0072992700729927005	0.0072992700729927005	0.0072992700729927005	0.0072992700729927005	0.0072992700729927005	0.014598540145985401	0.0072992700729927005	0.0072992700729927005	0.021897810218978103	0.014598540145985401	0.014598540145985401	0.0072992700729927005	0.014598540145985401	0.014598540145985401	0.0	0.0	0.0	0.0072992700729927005	0.0	0.0072992700729927005	0.014598540145985401	0.0072992700729927005	0.0	0.0072992700729927005	0.0072992700729927005	0.0	0.0	0.0072992700729927005	0.0	0.021897810218978103	0.0072992700729927005	0.0072992700729927005	0.0072992700729927005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014598540145985401	0.0	0.0072992700729927005	0.0072992700729927005	0.0072992700729927005	0.0	0.0	0.0072992700729927005	0.0072992700729927005	0.014598540145985401	0.0	0.021897810218978103	0.0	0.0072992700729927005	0.0072992700729927005	0.0072992700729927005	0.0072992700729927005	0.014598540145985401	0.014598540145985401	0.0072992700729927005	0.0072992700729927005	0.0	0.0	0.014598540145985401	0.0072992700729927005	0.0072992700729927005	0.0	0.0072992700729927005	0.0072992700729927005	0.0	0.0	0.0	0.0	0.0072992700729927005	0.0	0.0072992700729927005	0.0	0.021897810218978103	0.0	0.0072992700729927005	0.014598540145985401	0.0	0.0072992700729927005	0.014598540145985401	0.0072992700729927005
H_pylori_RAND_130	-22.6	0	1000	0	0	31	1	0.07234042553191489	0.029787234042553193	0.02127659574468085	0.03404255319148936	0.00851063829787234	0.0	0.01702127659574468	0.00851063829787234	0.00425531914893617	0.012765957446808512	0.00425531914893617	0.0	0.01702127659574468	0.012765957446808512	0.00851063829787234	0.01702127659574468	0.00851063829787234	0.00425531914893617	0.0	0.00851063829787234	0.00851063829787234	0.012765957446808512	0.00425531914893617	0.00425531914893617	0.00851063829787234	0.012765957446808512	0.0	0.0	0.00851063829787234	0.00425531914893617	0.00425531914893617	0.02127659574468085	0.00425531914893617	0.0	0.00425531914893617	0.00851063829787234	0.00425531914893617	0.00851063829787234	0.0	0.0	0.00425531914893617	0.00851063829787234	0.0	0.00425531914893617	0.0	0.01702127659574468	0.00851063829787234	0.012765957446808512	0.00425531914893617	0.01276595744680851	0.00425531914893617	0.00851063829787234	0.00425531914893617	0.012765957446808512	0.012765957446808512	0.012765957446808512	0.01702127659574468	0.01276595744680851	0.01702127659574468	0.0	0.0	0.00425531914893617	0.012765957446808512	0.00425531914893617	0.00425531914893617	0.00425531914893617	0.00425531914893617	0.00851063829787234	0.01276595744680851	0.00425531914893617	0.00851063829787234	0.0	0.00425531914893617	0.00851063829787234	0.01702127659574468	0.0	0.00425531914893617	0.00425531914893617	0.00425531914893617	0.00425531914893617	0.00425531914893617	0.00425531914893617	0.0	0.0	0.00425531914893617	0.00425531914893617	0.0	0.00425531914893617	0.00851063829787234	0.0	0.0	0.01702127659574468	0.00425531914893617	0.0	0.012765957446808512	0.0	0.00425531914893617	0.00851063829787234	0.0	0.0	0.01702127659574468	0.0	0.00425531914893617	0.0	0.00425531914893617	0.0	0.00425531914893617	0.0	0.00425531914893617	0.0	0.00851063829787234	0.0	0.0	0.0	0.00425531914893617	0.0	0.00425531914893617	0.012765957446808512	0.0	0.00425531914893617	0.01702127659574468	0.00851063829787234	0.0	0.0	0.01702127659574468	0.00425531914893617	0.05106382978723405	0.00425531914893617	0.01702127659574468	0.00851063829787234	0.00851063829787234	0.0	0.0	0.00851063829787234	0.0	0.01276595744680851
H_pylori_RAND_139	0.3	-421	1000	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045454545454545456	0.0	0.0	0.045454545454545456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045454545454545456	0.0	0.0	0.045454545454545456	0.0	0.0	0.0	0.0	0.045454545454545456	0.0	0.045454545454545456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045454545454545456	0.045454545454545456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045454545454545456	0.0	0.0	0.0	0.0	0.0	0.045454545454545456	0.0	0.045454545454545456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045454545454545456	0.045454545454545456	0.0	0.045454545454545456	0.045454545454545456	0.0	0.0	0.0	0.045454545454545456	0.0	0.0	0.0	0.0	0.045454545454545456	0.0	0.0	0.0	0.045454545454545456	0.0	0.0	0.0	0.0	0.045454545454545456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045454545454545456	0.045454545454545456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045454545454545456	0.0	0.0	0.0	0.0
H_pylori_RAND_4	-11.4	0	1000	0	0	0	0	0.029411764705882353	0.029411764705882353	0.0	0.0	0.044117647058823525	0.014705882352941176	0.0	0.0	0.0	0.0	0.058823529411764705	0.0	0.0	0.0	0.014705882352941176	0.014705882352941176	0.029411764705882353	0.014705882352941176	0.0	0.014705882352941176	0.029411764705882353	0.029411764705882353	0.0	0.014705882352941176	0.0	0.0	0.0	0.0	0.0	0.014705882352941176	0.0	0.0	0.0	0.014705882352941176	0.0	0.0	0.014705882352941176	0.014705882352941176	0.0	0.0	0.014705882352941176	0.044117647058823525	0.014705882352941176	0.0	0.0	0.0	0.0	0.0	0.0	0.014705882352941176	0.0	0.014705882352941176	0.0	0.0	0.0	0.029411764705882353	0.0	0.014705882352941176	0.014705882352941176	0.029411764705882353	0.0	0.014705882352941176	0.029411764705882353	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029411764705882353	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014705882352941176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014705882352941176	0.0	0.014705882352941176	0.014705882352941176	0.014705882352941176	0.0	0.0	0.058823529411764705	0.0	0.0	0.0	0.0	0.0	0.014705882352941176	0.0	0.0	0.014705882352941176	0.0	0.0	0.0	0.0	0.014705882352941176	0.0	0.029411764705882353	0.0	0.0	0.0	0.0	0.014705882352941176	0.014705882352941176	0.029411764705882353	0.0	0.0	0.0	0.0	0.014705882352941176	0.0	0.0	0.0	0.029411764705882353	0.0	0.0	0.0	0.0	0.029411764705882353
H_pylori_RAND_8	-24.6	0	1000	0	0	0	0	0.053691275167785234	0.03355704697986577	0.013422818791946308	0.006711409395973154	0.020134228187919462	0.006711409395973154	0.0	0.006711409395973154	0.013422818791946308	0.006711409395973154	0.0	0.013422818791946308	0.013422818791946308	0.006711409395973154	0.03355704697986577	0.0	0.0	0.013422818791946308	0.006711409395973154	0.020134228187919462	0.013422818791946308	0.0	0.0	0.0	0.0	0.006711409395973154	0.026845637583892617	0.0	0.0	0.0	0.0	0.020134228187919462	0.013422818791946308	0.006711409395973154	0.006711409395973154	0.020134228187919462	0.006711409395973154	0.006711409395973154	0.0	0.0	0.0	0.0	0.0	0.0	0.006711409395973154	0.020134228187919462	0.006711409395973154	0.026845637583892617	0.0	0.03355704697986577	0.006711409395973154	0.0	0.020134228187919462	0.0	0.013422818791946308	0.013422818791946308	0.020134228187919462	0.013422818791946308	0.013422818791946308	0.0	0.0	0.006711409395973154	0.006711409395973154	0.026845637583892617	0.006711409395973154	0.0	0.0	0.006711409395973154	0.013422818791946308	0.0	0.0	0.0	0.0	0.0	0.006711409395973154	0.006711409395973154	0.0	0.0	0.0	0.0	0.0	0.006711409395973154	0.0	0.0	0.0	0.006711409395973154	0.0	0.013422818791946308	0.006711409395973154	0.0	0.006711409395973154	0.006711409395973154	0.0	0.006711409395973154	0.0	0.0	0.0	0.0	0.006711409395973154	0.013422818791946308	0.026845637583892617	0.0	0.006711409395973154	0.0	0.006711409395973154	0.0	0.006711409395973154	0.006711409395973154	0.0	0.020134228187919462	0.0	0.006711409395973154	0.006711409395973154	0.0	0.026845637583892617	0.006711409395973154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013422818791946308	0.0	0.020134228187919462	0.006711409395973154	0.020134228187919462	0.013422818791946308	0.026845637583892617	0.0	0.0	0.026845637583892617	0.0	0.006711409395973154
H_pylori_RAND_10	-2.5	-418	1000	0	0	0	0	0.029411764705882353	0.0	0.014705882352941176	0.014705882352941176	0.0	0.014705882352941176	0.0	0.0	0.0	0.029411764705882353	0.014705882352941176	0.0	0.014705882352941176	0.014705882352941176	0.014705882352941176	0.0	0.0	0.0	0.0	0.0	0.0	0.014705882352941176	0.0	0.0	0.0	0.0	0.014705882352941176	0.0	0.0	0.0	0.014705882352941176	0.0	0.0	0.014705882352941176	0.014705882352941176	0.044117647058823525	0.014705882352941176	0.014705882352941176	0.0	0.0	0.0	0.014705882352941176	0.0	0.0	0.014705882352941176	0.014705882352941176	0.0	0.029411764705882353	0.014705882352941176	0.029411764705882353	0.0	0.0	0.029411764705882353	0.029411764705882353	0.014705882352941176	0.0	0.014705882352941176	0.014705882352941176	0.0	0.0	0.014705882352941176	0.0	0.0	0.014705882352941176	0.0	0.0	0.0	0.014705882352941176	0.014705882352941176	0.014705882352941176	0.0	0.014705882352941176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014705882352941176	0.0	0.0	0.0	0.014705882352941176	0.0	0.0	0.0	0.0	0.0	0.0	0.014705882352941176	0.0	0.014705882352941176	0.0	0.014705882352941176	0.014705882352941176	0.014705882352941176	0.0	0.0	0.0	0.014705882352941176	0.029411764705882353	0.014705882352941176	0.0	0.014705882352941176	0.0	0.014705882352941176	0.0	0.014705882352941176	0.0	0.014705882352941176	0.014705882352941176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014705882352941176	0.014705882352941176	0.014705882352941176	0.0	0.014705882352941176	0.014705882352941176	0.014705882352941176	0.014705882352941176	0.0	0.029411764705882353	0.0	0.014705882352941176
