	SS	PromoterDistance	DistTerm	Distance	sameStrand	DownDistance	sameDownStrand	AAAA/TTTT	AAAC/GTTT	AAAG/CTTT	AAAT/ATTT	AACA/TGTT	AACC/GGTT	AACG/CGTT	AACT/AGTT	AAGA/TCTT	AAGC/GCTT	AAGG/CCTT	AAGT/ACTT	AATA/TATT	AATC/GATT	AATG/CATT	AATT/AATT	ACAA/TTGT	ACAC/GTGT	ACAG/CTGT	ACAT/ATGT	ACCA/TGGT	ACCC/GGGT	ACCG/CGGT	ACCT/AGGT	ACGA/TCGT	ACGC/GCGT	ACGG/CCGT	ACGT/ACGT	ACTA/TAGT	ACTC/GAGT	ACTG/CAGT	AGAA/TTCT	AGAC/GTCT	AGAG/CTCT	AGAT/ATCT	AGCA/TGCT	AGCC/GGCT	AGCG/CGCT	AGCT/AGCT	AGGA/TCCT	AGGC/GCCT	AGGG/CCCT	AGTA/TACT	AGTC/GACT	AGTG/CACT	ATAA/TTAT	ATAC/GTAT	ATAG/CTAT	ATAT/ATAT	ATCA/TGAT	ATCC/GGAT	ATCG/CGAT	ATGA/TCAT	ATGC/GCAT	ATGG/CCAT	ATTA/TAAT	ATTC/GAAT	ATTG/CAAT	CAAA/TTTG	CAAC/GTTG	CAAG/CTTG	CACA/TGTG	CACC/GGTG	CACG/CGTG	CAGA/TCTG	CAGC/GCTG	CAGG/CCTG	CATA/TATG	CATC/GATG	CATG/CATG	CCAA/TTGG	CCAC/GTGG	CCAG/CTGG	CCCA/TGGG	CCCC/GGGG	CCCG/CGGG	CCGA/TCGG	CCGC/GCGG	CCGG/CCGG	CCTA/TAGG	CCTC/GAGG	CGAA/TTCG	CGAC/GTCG	CGAG/CTCG	CGCA/TGCG	CGCC/GGCG	CGCG/CGCG	CGGA/TCCG	CGGC/GCCG	CGTA/TACG	CGTC/GACG	CTAA/TTAG	CTAC/GTAG	CTAG/CTAG	CTCA/TGAG	CTCC/GGAG	CTGA/TCAG	CTGC/GCAG	CTTA/TAAG	CTTC/GAAG	GAAA/TTTC	GAAC/GTTC	GACA/TGTC	GACC/GGTC	GAGA/TCTC	GAGC/GCTC	GATA/TATC	GATC/GATC	GCAA/TTGC	GCAC/GTGC	GCCA/TGGC	GCCC/GGGC	GCGA/TCGC	GCGC/GCGC	GCTA/TAGC	GGAA/TTCC	GGAC/GTCC	GGCA/TGCC	GGCC/GGCC	GGGA/TCCC	GGTA/TACC	GTAA/TTAC	GTAC/GTAC	GTCA/TGAC	GTGA/TCAC	GTTA/TAAC	TAAA/TTTA	TACA/TGTA	TAGA/TCTA	TATA/TATA	TCAA/TTGA	TCCA/TGGA	TCGA/TCGA	TGAA/TTCA	TGCA/TGCA	TTAA/TTAA
s16659	-26.3	-6	1000	-49	0	104	0	0.010309278350515464	0.0	0.0	0.030927835051546393	0.0	0.0	0.010309278350515464	0.0	0.010309278350515464	0.010309278350515464	0.010309278350515464	0.0	0.041237113402061855	0.010309278350515464	0.0	0.010309278350515464	0.010309278350515464	0.010309278350515464	0.010309278350515464	0.0	0.0	0.020618556701030927	0.0	0.010309278350515464	0.0	0.010309278350515464	0.0	0	0.0	0.010309278350515464	0.0	0.010309278350515464	0.010309278350515464	0.010309278350515464	0.010309278350515464	0.010309278350515464	0.010309278350515464	0.010309278350515464	0.0	0.030927835051546393	0.010309278350515464	0.030927835051546393	0.0	0.010309278350515464	0.0	0.010309278350515464	0.010309278350515464	0.030927835051546393	0.0	0.0	0.010309278350515464	0.0	0.0	0.010309278350515464	0.010309278350515464	0.010309278350515464	0.020618556701030927	0.010309278350515464	0.0	0.0	0.010309278350515464	0.020618556701030927	0.0	0.0	0.020618556701030927	0.010309278350515464	0.010309278350515464	0.010309278350515464	0.010309278350515464	0.0	0.0	0.0	0.0	0.0	0.010309278350515464	0.0	0.0	0.0	0.0	0.061855670103092786	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.041237113402061855	0.010309278350515464	0.0	0.0	0.010309278350515464	0.020618556701030927	0.010309278350515464	0.010309278350515464	0.010309278350515464	0.010309278350515464	0.0	0.0	0.010309278350515464	0.0	0.0	0.0	0.0	0.010309278350515464	0.010309278350515464	0.010309278350515464	0.0	0.0	0.0	0.010309278350515464	0.010309278350515464	0.010309278350515464	0.010309278350515464	0.0	0.010309278350515464	0.020618556701030927	0.010309278350515464	0	0.0	0.0	0.010309278350515464	0.020618556701030927	0.010309278350515464	0.010309278350515464	0.0	0.0	0.0	0.0	0.020618556701030927	0.010309278350515464	0.0
s141579	-9.9	0	1000	-267	1	396	1	0.0	0.02	0.02	0.02	0.0	0.0	0.02	0.0	0.02	0.0	0.02	0.02	0.0	0.04	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.02	0.0	0	0.0	0.0	0.0	0.02	0.02	0.0	0.0	0.02	0.0	0.02	0.0	0.02	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.02	0.02	0.02	0.02	0.0	0.0	0.04	0.02	0.02	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.04	0.02	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.04	0.0	0.0	0.0	0.02	0.0	0.02	0.04	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.04	0.02	0.0	0.02	0.0	0.02	0.0	0.0	0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.02	0.0	0.02	0.0	0.02
s141649	-44.8	0	1000	-337	1	195	1	0.011049723756906077	0.011049723756906077	0.022099447513812154	0.0055248618784530384	0.0055248618784530384	0.0055248618784530384	0.0055248618784530384	0.016574585635359115	0.0055248618784530384	0.022099447513812154	0.0055248618784530384	0.011049723756906077	0.0	0.011049723756906077	0.0055248618784530384	0.0	0.0	0.011049723756906077	0.011049723756906077	0.016574585635359115	0.0055248618784530384	0.0	0.0	0.0	0.016574585635359115	0.016574585635359115	0.0	0	0.0055248618784530384	0.016574585635359115	0.0055248618784530384	0.011049723756906077	0.011049723756906077	0.03314917127071823	0.016574585635359115	0.0	0.0055248618784530384	0.011049723756906077	0.0055248618784530384	0.011049723756906077	0.0055248618784530384	0.011049723756906077	0.0055248618784530384	0.0055248618784530384	0.011049723756906077	0.0	0.016574585635359115	0.011049723756906077	0.0	0.011049723756906077	0.0055248618784530384	0.016574585635359115	0.0	0.0055248618784530384	0.0	0.0	0.011049723756906077	0.0055248618784530384	0.022099447513812154	0.0055248618784530384	0.0	0.022099447513812154	0.0	0.0055248618784530384	0.011049723756906077	0.0	0.0	0.0	0.016574585635359115	0.0	0.03314917127071823	0.0	0.0	0.011049723756906077	0.0	0.0	0.0	0.0	0.0	0.022099447513812154	0.0	0.0055248618784530384	0.0	0.0	0.0055248618784530384	0.016574585635359115	0.0	0.0	0.0	0.016574585635359115	0.0055248618784530384	0.0055248618784530384	0.0055248618784530384	0.011049723756906077	0.011049723756906077	0.016574585635359115	0.0055248618784530384	0.0	0.0055248618784530384	0.016574585635359115	0.0055248618784530384	0.0055248618784530384	0.0	0.0	0.03867403314917127	0.0055248618784530384	0.022099447513812154	0.0	0.0	0.0	0.0055248618784530384	0.011049723756906077	0.0055248618784530384	0.0055248618784530384	0.0	0.011049723756906077	0.0	0.0	0.0	0.011049723756906077	0.0	0.011049723756906077	0	0.0	0.027624309392265192	0.011049723756906077	0.011049723756906077	0.011049723756906077	0.016574585635359115	0.0055248618784530384	0.0	0.011049723756906077	0.0	0.011049723756906077	0.0	0.0055248618784530384
s141756	-4.0	-2	1000	-444	1	247	1	0.0	0.045454545454545456	0.0	0.0	0.0	0.045454545454545456	0.0	0.045454545454545456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045454545454545456	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.09090909090909091	0.0	0.045454545454545456	0.0	0.09090909090909091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045454545454545456	0.0	0.0	0.045454545454545456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045454545454545456	0.0	0.0	0.0	0.0	0.0	0.045454545454545456	0.0	0.0	0.0	0.0	0.0	0.045454545454545456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045454545454545456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045454545454545456	0.045454545454545456	0.0	0.0	0.0	0.0	0.0	0.045454545454545456	0.0	0.0	0.09090909090909091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045454545454545456	0.0	0.0	0	0.0	0.045454545454545456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s146665	-9.4	0	272	-88	0	106	1	0.05128205128205128	0.02564102564102564	0.0	0.02564102564102564	0.02564102564102564	0.0	0.0	0.02564102564102564	0.02564102564102564	0.0	0.0	0.0	0.0	0.02564102564102564	0.02564102564102564	0.0	0.02564102564102564	0.02564102564102564	0.0	0.0	0.0	0.02564102564102564	0.0	0.0	0.0	0.0	0.0	0	0.0	0.02564102564102564	0.0	0.0	0.0	0.02564102564102564	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05128205128205128	0.0	0.0	0.0	0.02564102564102564	0.0	0.0	0.0	0.02564102564102564	0.0	0.0	0.02564102564102564	0.0	0.0	0.0	0.02564102564102564	0.0	0.02564102564102564	0.02564102564102564	0.0	0.0	0.02564102564102564	0.0	0.0	0.0	0.0	0.02564102564102564	0.0	0.0	0.0	0.0	0.0	0.0	0.07692307692307693	0.0	0.0	0.0	0.0	0.05128205128205128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02564102564102564	0.02564102564102564	0.0	0.0	0.0	0.0	0.0	0.02564102564102564	0.0	0.02564102564102564	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02564102564102564	0.0	0.0	0.0	0.02564102564102564	0.0	0.0	0	0.0	0.0	0.02564102564102564	0.0	0.02564102564102564	0.0	0.0	0.02564102564102564	0.0	0.0	0.02564102564102564	0.0	0.0
s170022	-48.8	0	0	-221	1	492	0	0.0053475935828877	0.0160427807486631	0.021390374331550804	0.0106951871657754	0.0053475935828877	0.0053475935828877	0.0106951871657754	0.0160427807486631	0.0053475935828877	0.0160427807486631	0.0053475935828877	0.0160427807486631	0.0	0.0160427807486631	0.0106951871657754	0.0	0.0053475935828877	0.0106951871657754	0.0106951871657754	0.0160427807486631	0.0053475935828877	0.0	0.0	0.0053475935828877	0.0	0.026737967914438505	0.0	0	0.0	0.0106951871657754	0.0	0.0053475935828877	0.0053475935828877	0.0106951871657754	0.0106951871657754	0.0	0.0106951871657754	0.0213903743315508	0.0053475935828877	0.0106951871657754	0.0106951871657754	0.0160427807486631	0.0	0.0	0.0106951871657754	0.0106951871657754	0.0053475935828877	0.0053475935828877	0.0053475935828877	0.0160427807486631	0.0053475935828877	0.0053475935828877	0.0106951871657754	0.0053475935828877	0.0	0.0053475935828877	0.0053475935828877	0.0053475935828877	0.026737967914438505	0.0106951871657754	0.0	0.016042780748663103	0.0	0.0	0.0106951871657754	0.0053475935828877	0.0053475935828877	0.0106951871657754	0.0106951871657754	0.0	0.026737967914438505	0.0	0.0	0.0160427807486631	0.0106951871657754	0.0	0.0	0.0	0.0	0.0320855614973262	0.0	0.0	0.0	0.0	0.0106951871657754	0.0106951871657754	0.0	0.0	0.0	0.0106951871657754	0.0053475935828877	0.0106951871657754	0.0106951871657754	0.0106951871657754	0.0160427807486631	0.0053475935828877	0.0053475935828877	0.0053475935828877	0.0053475935828877	0.0160427807486631	0.0053475935828877	0.0053475935828877	0.0	0.0053475935828877	0.0106951871657754	0.0106951871657754	0.0106951871657754	0.0	0.0053475935828877	0.0053475935828877	0.0	0.0106951871657754	0.0053475935828877	0.0053475935828877	0.0106951871657754	0.021390374331550804	0.0053475935828877	0.0	0.0	0.0213903743315508	0.0	0.0106951871657754	0	0.0	0.0160427807486631	0.0053475935828877	0.0160427807486631	0.021390374331550804	0.0053475935828877	0.0053475935828877	0.0053475935828877	0.0053475935828877	0.0	0.0053475935828877	0.0053475935828877	0.0
s244684	-8.6	0	160	-306	1	320	0	0.03296703296703297	0.01098901098901099	0.03296703296703297	0.01098901098901099	0.01098901098901099	0.01098901098901099	0.0	0.0	0.01098901098901099	0.02197802197802198	0.0	0.0	0.04395604395604396	0.01098901098901099	0.0	0.01098901098901099	0.02197802197802198	0.02197802197802198	0.0	0.01098901098901099	0.01098901098901099	0.0	0.01098901098901099	0.0	0.01098901098901099	0.02197802197802198	0.0	0	0.0	0.0	0.0	0.0	0.0	0.01098901098901099	0.0	0.02197802197802198	0.01098901098901099	0.02197802197802198	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07692307692307693	0.01098901098901099	0.02197802197802198	0.0	0.01098901098901099	0.0	0.0	0.0	0.02197802197802198	0.01098901098901099	0.04395604395604396	0.01098901098901099	0.01098901098901099	0.02197802197802198	0.0	0.0	0.03296703296703297	0.0	0.03296703296703297	0.0	0.0	0.0	0.02197802197802198	0.0	0.01098901098901099	0.0	0.01098901098901099	0.0	0.0	0.0	0.0	0.0	0.01098901098901099	0.0	0.0	0.0	0.01098901098901099	0.0	0.0	0.01098901098901099	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01098901098901099	0.0	0.0	0.0	0.0	0.0	0.01098901098901099	0.0	0.0	0.0	0.0	0.0	0.0	0.01098901098901099	0.0	0.0	0.01098901098901099	0.02197802197802198	0.01098901098901099	0.0	0.0	0.0	0.02197802197802198	0.0	0.0	0.0	0.0	0.0	0.01098901098901099	0.0	0	0.0	0.01098901098901099	0.01098901098901099	0.03296703296703297	0.01098901098901099	0.01098901098901099	0.02197802197802198	0.0	0.0	0.0	0.0	0.01098901098901099	0.01098901098901099
s244842	0.0	-2	1	-464	1	161	0	0.09782608695652173	0.043478260869565216	0.010869565217391304	0.03260869565217391	0.03260869565217391	0.05434782608695652	0.0	0.0	0.0	0.010869565217391304	0.0	0.021739130434782608	0.010869565217391304	0.0	0.0	0.010869565217391304	0.043478260869565216	0.03260869565217391	0.0	0.0	0.021739130434782608	0.010869565217391304	0.010869565217391304	0.021739130434782608	0.0	0.0	0.0	0	0.010869565217391304	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010869565217391304	0.010869565217391304	0.0	0.0	0.0	0.010869565217391304	0.021739130434782608	0.010869565217391304	0.010869565217391304	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010869565217391304	0.0	0.0	0.0	0.043478260869565216	0.021739130434782608	0.010869565217391304	0.010869565217391304	0.010869565217391304	0.0	0.0	0.0	0.0	0.010869565217391304	0.0	0.0	0.010869565217391304	0.010869565217391304	0.0	0.010869565217391304	0.0	0.0	0.0	0.010869565217391304	0.0	0.03260869565217391	0.0	0.0	0.0	0.0	0.010869565217391304	0.0	0.0	0.0	0.0	0.0	0.0	0.03260869565217391	0.010869565217391304	0.0	0.0	0.0	0.0	0.0	0.0	0.010869565217391304	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010869565217391304	0.0	0.0	0.0	0.0	0.0	0.010869565217391304	0.0	0.010869565217391304	0.0	0.0	0.0	0.0	0.010869565217391304	0	0.0	0.0	0.021739130434782608	0.05434782608695652	0.03260869565217391	0.0	0.0	0.010869565217391304	0.0	0.0	0.010869565217391304	0.0	0.010869565217391304
s330152	-19.7	0	1000	-61	0	189	0	0.05327868852459017	0.00819672131147541	0.032786885245901634	0.012295081967213115	0.00819672131147541	0.004098360655737705	0.00819672131147541	0.00819672131147541	0.020491803278688527	0.02868852459016393	0.012295081967213115	0.0	0.020491803278688527	0.00819672131147541	0.00819672131147541	0.012295081967213115	0.00819672131147541	0.004098360655737705	0.00819672131147541	0.0	0.00819672131147541	0.004098360655737705	0.004098360655737705	0.0	0.004098360655737705	0.00819672131147541	0.004098360655737705	0	0.00819672131147541	0.004098360655737705	0.0	0.012295081967213115	0.004098360655737705	0.01639344262295082	0.00819672131147541	0.004098360655737705	0.020491803278688523	0.02459016393442623	0.0	0.004098360655737705	0.01639344262295082	0.004098360655737705	0.004098360655737705	0.0	0.0	0.03278688524590164	0.00819672131147541	0.00819672131147541	0.0	0.02459016393442623	0.0	0.00819672131147541	0.01639344262295082	0.00819672131147541	0.004098360655737705	0.01639344262295082	0.012295081967213115	0.020491803278688527	0.004098360655737705	0.004098360655737705	0.00819672131147541	0.004098360655737705	0.00819672131147541	0.004098360655737705	0.004098360655737705	0.0	0.004098360655737705	0.012295081967213115	0.00819672131147541	0.0	0.004098360655737705	0.00819672131147541	0.0	0.00819672131147541	0.004098360655737705	0.004098360655737705	0.0	0.004098360655737705	0.0	0.004098360655737705	0.004098360655737705	0.0	0.0	0.004098360655737705	0.012295081967213115	0.0	0.0	0.0	0.0	0.004098360655737705	0.0	0.00819672131147541	0.0	0.00819672131147541	0.0	0.004098360655737705	0.0	0.0	0.01639344262295082	0.004098360655737705	0.00819672131147541	0.004098360655737705	0.004098360655737705	0.0	0.00819672131147541	0.00819672131147541	0.01639344262295082	0.004098360655737705	0.004098360655737705	0.0	0.0	0.012295081967213115	0.00819672131147541	0.00819672131147541	0.012295081967213115	0.0	0.0	0.0	0.004098360655737705	0.0	0.004098360655737705	0.00819672131147541	0	0.0	0.004098360655737705	0.01639344262295082	0.04098360655737705	0.004098360655737705	0.00819672131147541	0.0	0.020491803278688527	0.0	0.0	0.01639344262295082	0.0	0.020491803278688523
s369477	-22.4	-1000	1000	-40	0	560	1	0.09166666666666666	0.025	0.008333333333333333	0.041666666666666664	0.016666666666666666	0.016666666666666666	0.008333333333333333	0.0	0.0	0.016666666666666666	0.03333333333333333	0.0	0.016666666666666666	0.008333333333333333	0.008333333333333333	0.008333333333333333	0.016666666666666666	0.0	0.0	0.008333333333333333	0.0	0.025	0.008333333333333333	0.008333333333333333	0.008333333333333333	0.0	0.0	0	0.0	0.0	0.008333333333333333	0.008333333333333333	0.008333333333333333	0.0	0.008333333333333333	0.0	0.008333333333333333	0.016666666666666666	0.0	0.0	0.008333333333333333	0.025	0.0	0.008333333333333333	0.0	0.04166666666666667	0.0	0.03333333333333333	0.008333333333333333	0.008333333333333333	0.0	0.008333333333333333	0.0	0.008333333333333333	0.0	0.008333333333333333	0.0	0.0	0.016666666666666666	0.0	0.016666666666666666	0.0	0.008333333333333333	0.0	0.0	0.0	0.0	0.0	0.008333333333333333	0.0	0.0	0.0	0.008333333333333333	0.0	0.0	0.0	0.0	0.008333333333333333	0.0	0.008333333333333333	0.0	0.0	0.0	0.008333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.025	0.0	0.008333333333333333	0.0	0.0	0.008333333333333333	0.0	0.008333333333333333	0.008333333333333333	0.0	0.0	0.008333333333333333	0.016666666666666666	0.0	0.008333333333333333	0.0	0.008333333333333333	0.0	0.0	0.016666666666666666	0.0	0.0	0.008333333333333333	0.016666666666666666	0	0.008333333333333333	0.0	0.016666666666666666	0.05	0.008333333333333333	0.025	0.03333333333333333	0.016666666666666666	0.0	0.0	0.0	0.0	0.016666666666666666
