	SS	PromoterDistance	DistTerm	Distance	sameStrand	DownDistance	sameDownStrand	AAAA/TTTT	AAAC/GTTT	AAAG/CTTT	AAAT/ATTT	AACA/TGTT	AACC/GGTT	AACG/CGTT	AACT/AGTT	AAGA/TCTT	AAGC/GCTT	AAGG/CCTT	AAGT/ACTT	AATA/TATT	AATC/GATT	AATG/CATT	AATT/AATT	ACAA/TTGT	ACAC/GTGT	ACAG/CTGT	ACAT/ATGT	ACCA/TGGT	ACCC/GGGT	ACCG/CGGT	ACCT/AGGT	ACGA/TCGT	ACGC/GCGT	ACGG/CCGT	ACGT/ACGT	ACTA/TAGT	ACTC/GAGT	ACTG/CAGT	AGAA/TTCT	AGAC/GTCT	AGAG/CTCT	AGAT/ATCT	AGCA/TGCT	AGCC/GGCT	AGCG/CGCT	AGCT/AGCT	AGGA/TCCT	AGGC/GCCT	AGGG/CCCT	AGTA/TACT	AGTC/GACT	AGTG/CACT	ATAA/TTAT	ATAC/GTAT	ATAG/CTAT	ATAT/ATAT	ATCA/TGAT	ATCC/GGAT	ATCG/CGAT	ATGA/TCAT	ATGC/GCAT	ATGG/CCAT	ATTA/TAAT	ATTC/GAAT	ATTG/CAAT	CAAA/TTTG	CAAC/GTTG	CAAG/CTTG	CACA/TGTG	CACC/GGTG	CACG/CGTG	CAGA/TCTG	CAGC/GCTG	CAGG/CCTG	CATA/TATG	CATC/GATG	CATG/CATG	CCAA/TTGG	CCAC/GTGG	CCAG/CTGG	CCCA/TGGG	CCCC/GGGG	CCCG/CGGG	CCGA/TCGG	CCGC/GCGG	CCGG/CCGG	CCTA/TAGG	CCTC/GAGG	CGAA/TTCG	CGAC/GTCG	CGAG/CTCG	CGCA/TGCG	CGCC/GGCG	CGCG/CGCG	CGGA/TCCG	CGGC/GCCG	CGTA/TACG	CGTC/GACG	CTAA/TTAG	CTAC/GTAG	CTAG/CTAG	CTCA/TGAG	CTCC/GGAG	CTGA/TCAG	CTGC/GCAG	CTTA/TAAG	CTTC/GAAG	GAAA/TTTC	GAAC/GTTC	GACA/TGTC	GACC/GGTC	GAGA/TCTC	GAGC/GCTC	GATA/TATC	GATC/GATC	GCAA/TTGC	GCAC/GTGC	GCCA/TGGC	GCCC/GGGC	GCGA/TCGC	GCGC/GCGC	GCTA/TAGC	GGAA/TTCC	GGAC/GTCC	GGCA/TGCC	GGCC/GGCC	GGGA/TCCC	GGTA/TACC	GTAA/TTAC	GTAC/GTAC	GTCA/TGAC	GTGA/TCAC	GTTA/TAAC	TAAA/TTTA	TACA/TGTA	TAGA/TCTA	TATA/TATA	TCAA/TTGA	TCCA/TGGA	TCGA/TCGA	TGAA/TTCA	TGCA/TGCA	TTAA/TTAA
s31997	-25.7	-521	0	-35	1	90	1	0.06542056074766354	0.02803738317757009	0.018691588785046728	0.009345794392523364	0.0	0.0	0.0	0.037383177570093455	0.0	0.009345794392523364	0.037383177570093455	0.028037383177570093	0.018691588785046728	0.018691588785046728	0.0	0.018691588785046728	0.037383177570093455	0.0	0.0	0.0	0.0	0.0	0.018691588785046728	0.0	0.0	0.0	0.0	0.0	0.009345794392523364	0.018691588785046728	0.0	0.009345794392523364	0.0	0.0	0.0	0.018691588785046728	0.0	0.0	0.0	0.02803738317757009	0.0	0.018691588785046728	0.009345794392523364	0.009345794392523364	0.0	0.0	0.009345794392523364	0.009345794392523364	0.009345794392523364	0.009345794392523364	0.009345794392523364	0.0	0.0	0.0	0.0	0.018691588785046728	0.009345794392523364	0.02803738317757009	0.018691588785046728	0.0	0.02803738317757009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009345794392523364	0.0	0.0	0.0	0.0	0.0	0.018691588785046728	0.0	0.0	0.009345794392523364	0.0	0.0	0.018691588785046728	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02803738317757009	0.0	0.0	0.0	0.018691588785046728	0.0	0.0	0.018691588785046728	0.009345794392523364	0.0	0.009345794392523364	0.009345794392523364	0.018691588785046728	0.0	0.0	0.0	0.0	0.018691588785046728	0.0	0.0	0.0	0.0	0.0	0.009345794392523364	0.018691588785046728	0.009345794392523364	0.0	0.0	0.018691588785046728	0.0	0.02803738317757009	0.0	0.0	0.0	0.0	0.037383177570093455	0.02803738317757009	0.009345794392523364	0.009345794392523364	0.009345794392523364	0.009345794392523364	0.0	0.0	0.0	0.009345794392523364
s172171	-20.8	0	0	-164	1	635	0	0.010638297872340425	0.031914893617021274	0.010638297872340425	0.02127659574468085	0.031914893617021274	0.0	0.010638297872340425	0.0	0.0	0.0	0.0	0.010638297872340425	0.02127659574468085	0.010638297872340425	0.031914893617021274	0.0	0.02127659574468085	0.0	0.010638297872340425	0.02127659574468085	0.010638297872340425	0.0	0.0	0.0	0.0	0.031914893617021274	0.0	0.0	0.0	0.0	0.0	0.02127659574468085	0.010638297872340425	0.0	0.010638297872340425	0.0	0.0	0.0425531914893617	0.0	0.010638297872340425	0.0	0.0	0.0	0.0	0.010638297872340425	0.02127659574468085	0.02127659574468085	0.02127659574468085	0.0	0.0	0.0	0.0	0.0	0.0	0.031914893617021274	0.010638297872340425	0.031914893617021274	0.010638297872340425	0.0	0.010638297872340425	0.0	0.0	0.0	0.0	0.010638297872340425	0.010638297872340425	0.0	0.02127659574468085	0.0	0.0	0.0	0.0	0.0	0.010638297872340425	0.0	0.0	0.0	0.010638297872340425	0.0	0.0	0.010638297872340425	0.010638297872340425	0.0	0.010638297872340425	0.02127659574468085	0.0	0.0	0.0	0.0	0.02127659574468085	0.0	0.02127659574468085	0.010638297872340425	0.0	0.0	0.010638297872340425	0.0	0.010638297872340425	0.0	0.0	0.02127659574468085	0.0	0.010638297872340425	0.0	0.0	0.010638297872340425	0.0	0.0	0.0	0.010638297872340425	0.0	0.0	0.02127659574468085	0.0	0.02127659574468085	0.02127659574468085	0.0	0.0	0.0	0.010638297872340425	0.010638297872340425	0.010638297872340425	0.0	0.0	0.0	0.0	0.0425531914893617	0.010638297872340425	0.031914893617021274	0.010638297872340425	0.0	0.010638297872340425	0.0	0.0	0.0	0.0
s231884	-28.5	0	574	-119	1	668	1	0.09345794392523364	0.037383177570093455	0.037383177570093455	0.009345794392523364	0.028037383177570093	0.018691588785046728	0.0	0.009345794392523364	0.018691588785046728	0.018691588785046728	0.028037383177570093	0.0	0.0	0.0	0.02803738317757009	0.0	0.018691588785046728	0.018691588785046728	0.0	0.009345794392523364	0.02803738317757009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018691588785046728	0.018691588785046728	0.018691588785046728	0.0	0.0	0.009345794392523364	0.009345794392523364	0.0	0.0	0.009345794392523364	0.0	0.0	0.028037383177570093	0.009345794392523364	0.0	0.018691588785046728	0.0	0.0	0.0	0.0	0.0	0.009345794392523364	0.0	0.018691588785046728	0.0	0.0	0.0	0.018691588785046728	0.0	0.02803738317757009	0.009345794392523364	0.009345794392523364	0.018691588785046728	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009345794392523364	0.018691588785046728	0.018691588785046728	0.009345794392523364	0.009345794392523364	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018691588785046728	0.0	0.0	0.0	0.018691588785046728	0.0	0.0	0.009345794392523364	0.009345794392523364	0.028037383177570093	0.0	0.0	0.009345794392523364	0.0	0.0	0.0	0.009345794392523364	0.009345794392523364	0.0	0.0	0.0	0.0	0.0	0.009345794392523364	0.018691588785046728	0.0	0.0	0.0	0.037383177570093455	0.0	0.009345794392523364	0.0	0.009345794392523364	0.0	0.009345794392523364	0.028037383177570093	0.0	0.009345794392523364	0.0	0.009345794392523364	0.009345794392523364	0.0	0.018691588785046728	0.0	0.0
s232086	-28.4	-2	371	-321	1	465	1	0.10185185185185185	0.037037037037037035	0.037037037037037035	0.009259259259259259	0.027777777777777776	0.018518518518518517	0.0	0.009259259259259259	0.018518518518518517	0.018518518518518517	0.027777777777777776	0.0	0.0	0.0	0.027777777777777776	0.0	0.018518518518518517	0.018518518518518517	0.0	0.009259259259259259	0.027777777777777776	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018518518518518517	0.018518518518518517	0.018518518518518517	0.0	0.0	0.009259259259259259	0.009259259259259259	0.0	0.0	0.009259259259259259	0.0	0.0	0.027777777777777776	0.009259259259259259	0.0	0.018518518518518517	0.0	0.0	0.0	0.0	0.0	0.009259259259259259	0.0	0.018518518518518517	0.0	0.0	0.0	0.018518518518518517	0.0	0.037037037037037035	0.009259259259259259	0.009259259259259259	0.018518518518518517	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009259259259259259	0.018518518518518517	0.018518518518518517	0.009259259259259259	0.009259259259259259	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018518518518518517	0.0	0.0	0.0	0.018518518518518517	0.0	0.0	0.009259259259259259	0.009259259259259259	0.027777777777777776	0.0	0.0	0.009259259259259259	0.0	0.0	0.0	0.009259259259259259	0.009259259259259259	0.0	0.0	0.0	0.0	0.0	0.009259259259259259	0.018518518518518517	0.0	0.0	0.0	0.037037037037037035	0.0	0.009259259259259259	0.0	0.009259259259259259	0.0	0.009259259259259259	0.018518518518518517	0.0	0.009259259259259259	0.0	0.009259259259259259	0.009259259259259259	0.0	0.018518518518518517	0.0	0.0
s232289	-24.4	-2	168	-524	1	262	1	0.1111111111111111	0.037037037037037035	0.037037037037037035	0.018518518518518517	0.027777777777777776	0.018518518518518517	0.0	0.009259259259259259	0.009259259259259259	0.018518518518518517	0.027777777777777776	0.0	0.0	0.009259259259259259	0.027777777777777776	0.0	0.018518518518518517	0.009259259259259259	0.0	0.009259259259259259	0.018518518518518517	0.0	0.009259259259259259	0.0	0.0	0.0	0.0	0.0	0.0	0.018518518518518517	0.018518518518518517	0.018518518518518517	0.0	0.0	0.0	0.009259259259259259	0.0	0.0	0.009259259259259259	0.0	0.0	0.027777777777777776	0.009259259259259259	0.0	0.018518518518518517	0.0	0.0	0.0	0.0	0.0	0.009259259259259259	0.0	0.018518518518518517	0.0	0.0	0.0	0.018518518518518517	0.0	0.037037037037037035	0.009259259259259259	0.009259259259259259	0.009259259259259259	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009259259259259259	0.009259259259259259	0.018518518518518517	0.009259259259259259	0.009259259259259259	0.0	0.0	0.009259259259259259	0.0	0.0	0.0	0.0	0.0	0.0	0.009259259259259259	0.0	0.0	0.0	0.0	0.0	0.0	0.018518518518518517	0.0	0.0	0.0	0.018518518518518517	0.0	0.0	0.009259259259259259	0.0	0.037037037037037035	0.0	0.0	0.009259259259259259	0.0	0.0	0.0	0.0	0.009259259259259259	0.009259259259259259	0.0	0.0	0.0	0.0	0.009259259259259259	0.018518518518518517	0.0	0.0	0.0	0.037037037037037035	0.0	0.009259259259259259	0.0	0.009259259259259259	0.0	0.009259259259259259	0.018518518518518517	0.0	0.009259259259259259	0.0	0.009259259259259259	0.009259259259259259	0.0	0.018518518518518517	0.0	0.0
s232492	-27.7	0	0	-727	1	57	1	0.1090909090909091	0.045454545454545456	0.02727272727272727	0.01818181818181818	0.03636363636363636	0.01818181818181818	0.0	0.00909090909090909	0.00909090909090909	0.00909090909090909	0.02727272727272727	0.0	0.0	0.00909090909090909	0.02727272727272727	0.0	0.02727272727272727	0.0	0.0	0.00909090909090909	0.0	0.0	0.02727272727272727	0.0	0.0	0.0	0.0	0.0	0.0	0.01818181818181818	0.0	0.02727272727272727	0.0	0.0	0.0	0.0	0.0	0.0	0.00909090909090909	0.0	0.0	0.02727272727272727	0.00909090909090909	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00909090909090909	0.01818181818181818	0.01818181818181818	0.01818181818181818	0.0	0.0	0.01818181818181818	0.0	0.03636363636363636	0.00909090909090909	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01818181818181818	0.0	0.00909090909090909	0.0	0.0	0.00909090909090909	0.02727272727272727	0.0	0.01818181818181818	0.01818181818181818	0.0	0.0	0.0	0.0	0.0	0.0	0.01818181818181818	0.0	0.0	0.00909090909090909	0.0	0.0	0.0	0.01818181818181818	0.0	0.0	0.0	0.02727272727272727	0.0	0.0	0.00909090909090909	0.00909090909090909	0.02727272727272727	0.0	0.0	0.00909090909090909	0.00909090909090909	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00909090909090909	0.00909090909090909	0.0	0.0	0.0	0.03636363636363636	0.0	0.00909090909090909	0.0	0.00909090909090909	0.0	0.00909090909090909	0.01818181818181818	0.0	0.00909090909090909	0.0	0.00909090909090909	0.0	0.0	0.01818181818181818	0.0	0.0
s271029	-15.87	0	0	-53	1	138	1	0.03896103896103896	0.006493506493506494	0.032467532467532464	0.006493506493506494	0.006493506493506494	0.006493506493506494	0.01948051948051948	0.006493506493506494	0.045454545454545456	0.006493506493506494	0.012987012987012988	0.006493506493506494	0.012987012987012988	0.01948051948051948	0.006493506493506494	0.0	0.006493506493506494	0.006493506493506494	0.006493506493506494	0.0	0.006493506493506494	0.0	0.012987012987012988	0.012987012987012988	0.0	0.006493506493506494	0.006493506493506494	0.012987012987012988	0.006493506493506494	0.0	0.006493506493506494	0.032467532467532464	0.012987012987012988	0.0	0.01948051948051948	0.006493506493506494	0.0	0.006493506493506494	0.006493506493506494	0.012987012987012988	0.0	0.006493506493506494	0.006493506493506494	0.006493506493506494	0.0	0.006493506493506494	0.012987012987012988	0.012987012987012988	0.012987012987012988	0.012987012987012988	0.006493506493506494	0.0	0.006493506493506494	0.012987012987012988	0.0	0.006493506493506494	0.006493506493506494	0.012987012987012988	0.0	0.006493506493506494	0.01948051948051948	0.0	0.012987012987012988	0.0	0.006493506493506494	0.0	0.006493506493506494	0.012987012987012988	0.0	0.0	0.006493506493506494	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006493506493506494	0.006493506493506494	0.006493506493506494	0.0	0.0	0.0	0.0	0.0	0.0	0.006493506493506494	0.0	0.006493506493506494	0.012987012987012988	0.006493506493506494	0.006493506493506494	0.006493506493506494	0.012987012987012988	0.0	0.006493506493506494	0.006493506493506494	0.006493506493506494	0.012987012987012988	0.032467532467532464	0.006493506493506494	0.012987012987012988	0.0	0.0	0.006493506493506494	0.01948051948051948	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012987012987012988	0.006493506493506494	0.01948051948051948	0.0	0.0	0.006493506493506494	0.012987012987012988	0.006493506493506494	0.0	0.0	0.006493506493506494	0.01948051948051948	0.012987012987012988	0.0	0.012987012987012988	0.006493506493506494	0.025974025974025976	0.0	0.0	0.01948051948051948	0.006493506493506494	0.012987012987012988
s357509	-20.8	0	949	0	0	0	0	0.010638297872340425	0.031914893617021274	0.010638297872340425	0.02127659574468085	0.031914893617021274	0.0	0.010638297872340425	0.0	0.0	0.0	0.0	0.010638297872340425	0.02127659574468085	0.02127659574468085	0.031914893617021274	0.0	0.02127659574468085	0.0	0.010638297872340425	0.02127659574468085	0.010638297872340425	0.0	0.0	0.0	0.0	0.031914893617021274	0.0	0.0	0.0	0.0	0.0	0.02127659574468085	0.010638297872340425	0.0	0.010638297872340425	0.0	0.0	0.0425531914893617	0.0	0.010638297872340425	0.0	0.0	0.0	0.0	0.010638297872340425	0.02127659574468085	0.02127659574468085	0.02127659574468085	0.0	0.0	0.0	0.0	0.0	0.0	0.031914893617021274	0.010638297872340425	0.031914893617021274	0.010638297872340425	0.0	0.010638297872340425	0.0	0.0	0.0	0.0	0.010638297872340425	0.010638297872340425	0.0	0.02127659574468085	0.0	0.0	0.0	0.0	0.0	0.010638297872340425	0.0	0.0	0.0	0.0	0.0	0.0	0.010638297872340425	0.010638297872340425	0.0	0.010638297872340425	0.02127659574468085	0.0	0.0	0.0	0.0	0.02127659574468085	0.0	0.02127659574468085	0.010638297872340425	0.0	0.0	0.010638297872340425	0.0	0.010638297872340425	0.0	0.0	0.02127659574468085	0.0	0.010638297872340425	0.0	0.0	0.010638297872340425	0.0	0.0	0.0	0.010638297872340425	0.0	0.0	0.02127659574468085	0.0	0.02127659574468085	0.02127659574468085	0.0	0.0	0.0	0.010638297872340425	0.010638297872340425	0.010638297872340425	0.0	0.0	0.0	0.0	0.0425531914893617	0.010638297872340425	0.031914893617021274	0.010638297872340425	0.0	0.010638297872340425	0.0	0.0	0.0	0.0
s357516	-20.8	0	956	0	0	0	0	0.020202020202020204	0.030303030303030304	0.010101010101010102	0.030303030303030304	0.030303030303030304	0.0	0.010101010101010102	0.0	0.0	0.0	0.0	0.010101010101010102	0.020202020202020204	0.030303030303030304	0.030303030303030304	0.0	0.010101010101010102	0.0	0.010101010101010102	0.020202020202020204	0.010101010101010102	0.0	0.0	0.0	0.010101010101010102	0.030303030303030304	0.0	0.0	0.0	0.0	0.0	0.020202020202020204	0.0	0.0	0.010101010101010102	0.0	0.0	0.04040404040404041	0.0	0.010101010101010102	0.0	0.0	0.0	0.0	0.010101010101010102	0.020202020202020204	0.020202020202020204	0.020202020202020204	0.0	0.0	0.010101010101010102	0.010101010101010102	0.0	0.0	0.030303030303030304	0.010101010101010102	0.030303030303030304	0.010101010101010102	0.010101010101010102	0.0	0.0	0.0	0.0	0.0	0.0	0.010101010101010102	0.0	0.020202020202020204	0.0	0.0	0.010101010101010102	0.0	0.0	0.010101010101010102	0.0	0.0	0.0	0.0	0.0	0.0	0.010101010101010102	0.010101010101010102	0.0	0.010101010101010102	0.010101010101010102	0.0	0.0	0.0	0.0	0.030303030303030304	0.0	0.020202020202020204	0.010101010101010102	0.0	0.0	0.010101010101010102	0.0	0.0	0.0	0.0	0.020202020202020204	0.0	0.0	0.0	0.0	0.010101010101010102	0.0	0.0	0.0	0.010101010101010102	0.0	0.0	0.020202020202020204	0.0	0.020202020202020204	0.020202020202020204	0.0	0.0	0.0	0.010101010101010102	0.010101010101010102	0.020202020202020204	0.0	0.0	0.0	0.0	0.050505050505050504	0.010101010101010102	0.030303030303030304	0.010101010101010102	0.0	0.020202020202020204	0.0	0.0	0.0	0.0
s388520	-7.5	0	843	0	1	100	1	0.07608695652173914	0.02717391304347826	0.005434782608695652	0.03804347826086957	0.016304347826086956	0.0	0.010869565217391304	0.016304347826086956	0.005434782608695652	0.005434782608695652	0.005434782608695652	0.010869565217391304	0.02717391304347826	0.010869565217391304	0.03260869565217391	0.005434782608695652	0.016304347826086956	0.0	0.0	0.03804347826086957	0.0	0.0	0.0	0.005434782608695652	0.010869565217391304	0.0	0.0	0.0	0.02717391304347826	0.005434782608695652	0.0	0.0	0.0	0.0	0.005434782608695652	0.005434782608695652	0.010869565217391304	0.0	0.0	0.0	0.0	0.005434782608695652	0.016304347826086956	0.0	0.005434782608695652	0.03260869565217391	0.010869565217391304	0.016304347826086956	0.005434782608695652	0.010869565217391304	0.005434782608695652	0.0	0.016304347826086956	0.005434782608695652	0.010869565217391304	0.03260869565217391	0.010869565217391304	0.0	0.016304347826086956	0.010869565217391304	0.010869565217391304	0.0	0.0	0.0	0.0	0.0	0.0	0.021739130434782608	0.005434782608695652	0.005434782608695652	0.005434782608695652	0.0	0.0	0.005434782608695652	0.0	0.005434782608695652	0.005434782608695652	0.0	0.0	0.0	0.005434782608695652	0.010869565217391304	0.005434782608695652	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016304347826086956	0.005434782608695652	0.0	0.0	0.010869565217391304	0.0	0.0	0.010869565217391304	0.0	0.016304347826086956	0.0	0.016304347826086956	0.0	0.0	0.0	0.010869565217391304	0.0	0.0	0.0	0.005434782608695652	0.005434782608695652	0.0	0.0	0.010869565217391304	0.0	0.0	0.0	0.0	0.010869565217391304	0.005434782608695652	0.005434782608695652	0.010869565217391304	0.010869565217391304	0.005434782608695652	0.005434782608695652	0.03804347826086957	0.021739130434782608	0.0	0.005434782608695652	0.016304347826086956	0.005434782608695652	0.0	0.016304347826086956	0.0	0.016304347826086956
