	SS	PromoterDistance	DistTerm	Distance	sameStrand	DownDistance	sameDownStrand	AAAA/TTTT	AAAC/GTTT	AAAG/CTTT	AAAT/ATTT	AACA/TGTT	AACC/GGTT	AACG/CGTT	AACT/AGTT	AAGA/TCTT	AAGC/GCTT	AAGG/CCTT	AAGT/ACTT	AATA/TATT	AATC/GATT	AATG/CATT	AATT/AATT	ACAA/TTGT	ACAC/GTGT	ACAG/CTGT	ACAT/ATGT	ACCA/TGGT	ACCC/GGGT	ACCG/CGGT	ACCT/AGGT	ACGA/TCGT	ACGC/GCGT	ACGG/CCGT	ACGT/ACGT	ACTA/TAGT	ACTC/GAGT	ACTG/CAGT	AGAA/TTCT	AGAC/GTCT	AGAG/CTCT	AGAT/ATCT	AGCA/TGCT	AGCC/GGCT	AGCG/CGCT	AGCT/AGCT	AGGA/TCCT	AGGC/GCCT	AGGG/CCCT	AGTA/TACT	AGTC/GACT	AGTG/CACT	ATAA/TTAT	ATAC/GTAT	ATAG/CTAT	ATAT/ATAT	ATCA/TGAT	ATCC/GGAT	ATCG/CGAT	ATGA/TCAT	ATGC/GCAT	ATGG/CCAT	ATTA/TAAT	ATTC/GAAT	ATTG/CAAT	CAAA/TTTG	CAAC/GTTG	CAAG/CTTG	CACA/TGTG	CACC/GGTG	CACG/CGTG	CAGA/TCTG	CAGC/GCTG	CAGG/CCTG	CATA/TATG	CATC/GATG	CATG/CATG	CCAA/TTGG	CCAC/GTGG	CCAG/CTGG	CCCA/TGGG	CCCC/GGGG	CCCG/CGGG	CCGA/TCGG	CCGC/GCGG	CCGG/CCGG	CCTA/TAGG	CCTC/GAGG	CGAA/TTCG	CGAC/GTCG	CGAG/CTCG	CGCA/TGCG	CGCC/GGCG	CGCG/CGCG	CGGA/TCCG	CGGC/GCCG	CGTA/TACG	CGTC/GACG	CTAA/TTAG	CTAC/GTAG	CTAG/CTAG	CTCA/TGAG	CTCC/GGAG	CTGA/TCAG	CTGC/GCAG	CTTA/TAAG	CTTC/GAAG	GAAA/TTTC	GAAC/GTTC	GACA/TGTC	GACC/GGTC	GAGA/TCTC	GAGC/GCTC	GATA/TATC	GATC/GATC	GCAA/TTGC	GCAC/GTGC	GCCA/TGGC	GCCC/GGGC	GCGA/TCGC	GCGC/GCGC	GCTA/TAGC	GGAA/TTCC	GGAC/GTCC	GGCA/TGCC	GGCC/GGCC	GGGA/TCCC	GGTA/TACC	GTAA/TTAC	GTAC/GTAC	GTCA/TGAC	GTGA/TCAC	GTTA/TAAC	TAAA/TTTA	TACA/TGTA	TAGA/TCTA	TATA/TATA	TCAA/TTGA	TCCA/TGGA	TCGA/TCGA	TGAA/TTCA	TGCA/TGCA	TTAA/TTAA
P_aeruginosa_PA01_RAND_10	-67.7	-1000	1000	0	0	106	0	0.0051813471502590676	0.0051813471502590676	0.0051813471502590676	0.0	0.0	0.015544041450777202	0.0	0.0051813471502590676	0.0	0.0051813471502590676	0.010362694300518135	0.0	0.0	0.0051813471502590676	0.0	0.0	0.0051813471502590676	0.0	0.010362694300518135	0.0	0.015544041450777202	0.0	0.010362694300518135	0.02072538860103627	0.0	0.0	0.0051813471502590676	0.0	0.0	0.0	0.010362694300518135	0.0051813471502590676	0.0	0.0	0.015544041450777202	0.025906735751295335	0.0051813471502590676	0.03626943005181347	0.0051813471502590676	0.0051813471502590676	0.0051813471502590676	0.0	0.0	0.0051813471502590676	0.0	0.0	0.0	0.0	0.0	0.0051813471502590676	0.010362694300518135	0.015544041450777202	0.0051813471502590676	0.010362694300518135	0.0051813471502590676	0.0	0.0	0.0051813471502590676	0.0	0.010362694300518135	0.0051813471502590676	0.0051813471502590676	0.010362694300518135	0.0	0.010362694300518135	0.04145077720207253	0.015544041450777202	0.0	0.02072538860103627	0.0	0.0	0.010362694300518135	0.03626943005181347	0.0	0.0	0.010362694300518135	0.015544041450777202	0.02590673575129534	0.0051813471502590676	0.0	0.0051813471502590676	0.0	0.02590673575129534	0.0051813471502590676	0.02072538860103627	0.031088082901554404	0.015544041450777202	0.02590673575129534	0.010362694300518135	0.0	0.0051813471502590676	0.0	0.010362694300518135	0.0	0.0051813471502590676	0.02590673575129534	0.0051813471502590676	0.02072538860103627	0.0	0.010362694300518135	0.010362694300518135	0.0051813471502590676	0.010362694300518135	0.010362694300518135	0.010362694300518135	0.02072538860103627	0.0	0.010362694300518135	0.010362694300518135	0.0051813471502590676	0.015544041450777202	0.0051813471502590676	0.02072538860103627	0.03626943005181347	0.010362694300518135	0.015544041450777202	0.0051813471502590676	0.0	0.0	0.0051813471502590676	0.010362694300518135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0051813471502590676	0.02072538860103627	0.0051813471502590676	0.0051813471502590676	0.0	0
P_aeruginosa_PA01_RAND_12	-67.0	-1000	1000	0	1	0	1	0.0	0.0	0.006756756756756757	0.006756756756756757	0.013513513513513514	0.006756756756756757	0.0	0.0	0.013513513513513514	0.013513513513513514	0.013513513513513514	0.0	0.0	0.0	0.013513513513513514	0.0	0.0	0.006756756756756757	0.0	0.013513513513513514	0.013513513513513514	0.02027027027027027	0.013513513513513514	0.006756756756756757	0.0	0.0	0.006756756756756757	0.0	0.0	0.0	0.006756756756756757	0.013513513513513514	0.0	0.0	0.0	0.013513513513513514	0.006756756756756757	0.013513513513513514	0.0	0.006756756756756757	0.013513513513513514	0.013513513513513514	0.0	0.0	0.006756756756756757	0.0	0.0	0.0	0.0	0.006756756756756757	0.0	0.0	0.013513513513513514	0.02027027027027027	0.013513513513513514	0.0	0.0	0.006756756756756757	0.0	0.0	0.013513513513513514	0.006756756756756757	0.02027027027027027	0.006756756756756757	0.0	0.013513513513513514	0.02027027027027027	0.0	0.006756756756756757	0.02027027027027027	0.0	0.02027027027027027	0.033783783783783786	0.013513513513513514	0.02702702702702703	0.02027027027027027	0.013513513513513514	0.02702702702702703	0.006756756756756757	0.0	0.006756756756756757	0.013513513513513514	0.0	0.006756756756756757	0.006756756756756757	0.02702702702702703	0.006756756756756757	0.0	0.02702702702702703	0.0	0.0	0.0	0.0	0.0	0.006756756756756757	0.0	0.006756756756756757	0.0	0.0	0.02027027027027027	0.013513513513513514	0.02027027027027027	0.0	0.02027027027027027	0.0	0.006756756756756757	0.0	0.0	0.006756756756756757	0.006756756756756757	0.033783783783783786	0.02702702702702703	0.006756756756756757	0.013513513513513514	0.0	0.013513513513513514	0.0	0.013513513513513514	0.02702702702702703	0.0	0.0	0.0	0.0	0.02027027027027027	0.013513513513513514	0.0	0.0	0.0	0.0	0.0	0.013513513513513514	0.006756756756756757	0.0	0.013513513513513514	0.0	0
P_aeruginosa_PA01_RAND_51	-36.6	-1000	1000	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.010416666666666666	0.010416666666666666	0.0	0.0	0.0	0.010416666666666666	0.0	0.0	0.010416666666666666	0.0	0.010416666666666666	0.0	0.0	0.0	0.0	0.0	0.010416666666666666	0.010416666666666666	0.010416666666666666	0.010416666666666666	0.020833333333333332	0.010416666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010416666666666666	0.020833333333333332	0.0	0.03125	0.0	0.0	0.010416666666666666	0.010416666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.020833333333333332	0.0	0.0	0.0	0.0	0.0	0.0	0.020833333333333332	0.010416666666666666	0.0	0.020833333333333332	0.0	0.0	0.020833333333333332	0.020833333333333332	0.0	0.041666666666666664	0.010416666666666666	0.0	0.0	0.0	0.010416666666666666	0.010416666666666666	0.041666666666666664	0.041666666666666664	0.010416666666666666	0.020833333333333332	0.010416666666666666	0.041666666666666664	0.0	0.0	0.010416666666666666	0.03125	0.010416666666666666	0.010416666666666666	0.0	0.0625	0.0	0.0	0.03125	0.0	0.010416666666666666	0.0	0.0	0.0	0.0	0.020833333333333332	0.0	0.010416666666666666	0.0	0.010416666666666666	0.0	0.0	0.0	0.0	0.010416666666666666	0.010416666666666666	0.0	0.010416666666666666	0.020833333333333332	0.010416666666666666	0.020833333333333332	0.041666666666666664	0.010416666666666666	0.010416666666666666	0.0	0.0	0.0	0.020833333333333332	0.010416666666666666	0.020833333333333332	0.0	0.0	0.0	0.0	0.020833333333333332	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010416666666666666	0.0	0.0	0
P_aeruginosa_PA01_RAND_1	-48.84	-1000	1000	0	0	0	0	0.0	0.005681818181818182	0.0	0.0	0.0	0.005681818181818182	0.022727272727272728	0.0	0.005681818181818182	0.011363636363636364	0.0	0.0	0.0	0.0	0.0	0.0	0.005681818181818182	0.0	0.011363636363636364	0.0	0.0	0.005681818181818182	0.011363636363636364	0.022727272727272728	0.0	0.02840909090909091	0.011363636363636364	0.0	0.0	0.0	0.011363636363636364	0.005681818181818182	0.005681818181818182	0.0	0.011363636363636364	0.0	0.005681818181818182	0.017045454545454544	0.005681818181818182	0.005681818181818182	0.022727272727272728	0.0	0.005681818181818182	0.005681818181818182	0.0	0.0	0.005681818181818182	0.005681818181818182	0.0	0.0	0.005681818181818182	0.022727272727272728	0.005681818181818182	0.005681818181818182	0.005681818181818182	0.0	0.0	0.0	0.0	0.011363636363636364	0.005681818181818182	0.0	0.0	0.005681818181818182	0.0	0.017045454545454544	0.03409090909090909	0.0	0.005681818181818182	0.005681818181818182	0.0	0.0	0.028409090909090908	0.005681818181818182	0.005681818181818182	0.011363636363636364	0.005681818181818182	0.017045454545454544	0.011363636363636364	0.005681818181818182	0.011363636363636364	0.005681818181818182	0.011363636363636364	0.011363636363636364	0.017045454545454544	0.03409090909090909	0.03409090909090909	0.011363636363636364	0.017045454545454544	0.011363636363636364	0.0	0.0	0.011363636363636364	0.0	0.0	0.011363636363636364	0.0	0.022727272727272728	0.0	0.011363636363636364	0.005681818181818182	0.011363636363636364	0.005681818181818182	0.022727272727272728	0.011363636363636364	0.0	0.011363636363636364	0.011363636363636364	0.005681818181818182	0.0	0.011363636363636364	0.005681818181818182	0.022727272727272728	0.03409090909090909	0.005681818181818182	0.005681818181818182	0.011363636363636364	0.005681818181818182	0.005681818181818182	0.0	0.011363636363636364	0.0	0.011363636363636364	0.005681818181818182	0.005681818181818182	0.0	0.0	0.011363636363636364	0.005681818181818182	0.0	0.005681818181818182	0.017045454545454544	0.011363636363636364	0.011363636363636364	0.005681818181818182	0
P_aeruginosa_PA01_RAND_2	-42.89	-1000	1000	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.013793103448275862	0.0	0.006896551724137931	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006896551724137931	0.0	0.013793103448275862	0.0	0.006896551724137931	0.0	0.034482758620689655	0.006896551724137931	0.0	0.006896551724137931	0.020689655172413793	0.0	0.0	0.006896551724137931	0.0	0.0	0.006896551724137931	0.020689655172413793	0.0	0.0	0.013793103448275862	0.0	0.0	0.006896551724137931	0.027586206896551724	0.013793103448275862	0.0	0.006896551724137931	0.0	0.0	0.006896551724137931	0.006896551724137931	0.0	0.006896551724137931	0.006896551724137931	0.020689655172413793	0.006896551724137931	0.013793103448275862	0.0	0.0	0.0	0.0	0.0	0.006896551724137931	0.0	0.006896551724137931	0.020689655172413793	0.006896551724137931	0.0	0.013793103448275862	0.020689655172413793	0.006896551724137931	0.013793103448275862	0.0	0.0	0.020689655172413793	0.013793103448275862	0.013793103448275862	0.0	0.006896551724137931	0.013793103448275862	0.034482758620689655	0.020689655172413793	0.020689655172413793	0.013793103448275862	0.006896551724137931	0.013793103448275862	0.0	0.020689655172413793	0.04827586206896552	0.020689655172413793	0.027586206896551724	0.041379310344827586	0.0	0.006896551724137931	0.0	0.006896551724137931	0.006896551724137931	0.0	0.013793103448275862	0.0	0.006896551724137931	0.0	0.006896551724137931	0.0	0.006896551724137931	0.0	0.020689655172413793	0.013793103448275862	0.0	0.006896551724137931	0.006896551724137931	0.0	0.006896551724137931	0.013793103448275862	0.027586206896551724	0.027586206896551724	0.020689655172413793	0.0	0.006896551724137931	0.006896551724137931	0.006896551724137931	0.020689655172413793	0.0	0.006896551724137931	0.0	0.0	0.006896551724137931	0.006896551724137931	0.0	0.0	0.006896551724137931	0.006896551724137931	0.0	0.0	0.0	0.0	0.0	0.0	0
P_aeruginosa_PA01_RAND_3	-101.2	-856	1000	0	0	0	0	0.0	0.003968253968253968	0.0	0.0	0.003968253968253968	0.011904761904761904	0.011904761904761904	0.003968253968253968	0.0	0.003968253968253968	0.0	0.0	0.0	0.003968253968253968	0.0	0.003968253968253968	0.003968253968253968	0.0	0.011904761904761904	0.0	0.007936507936507936	0.0	0.015873015873015872	0.003968253968253968	0.011904761904761904	0.011904761904761904	0.011904761904761904	0.0	0.0	0.007936507936507936	0.003968253968253968	0.0	0.015873015873015872	0.003968253968253968	0.007936507936507936	0.007936507936507936	0.015873015873015872	0.01984126984126984	0.003968253968253968	0.011904761904761904	0.015873015873015872	0.0	0.0	0.003968253968253968	0.003968253968253968	0.0	0.0	0.0	0.0	0.007936507936507936	0.0	0.023809523809523808	0.003968253968253968	0.007936507936507936	0.007936507936507936	0.0	0.003968253968253968	0.007936507936507936	0.003968253968253968	0.003968253968253968	0.0	0.0	0.011904761904761904	0.003968253968253968	0.015873015873015872	0.027777777777777776	0.015873015873015872	0.0	0.011904761904761904	0.003968253968253968	0.0	0.007936507936507936	0.023809523809523808	0.003968253968253968	0.003968253968253968	0.007936507936507936	0.01984126984126984	0.031746031746031744	0.007936507936507936	0.003968253968253968	0.011904761904761904	0.011904761904761904	0.011904761904761904	0.023809523809523808	0.003968253968253968	0.03968253968253968	0.003968253968253968	0.003968253968253968	0.051587301587301584	0.0	0.015873015873015872	0.0	0.0	0.003968253968253968	0.011904761904761904	0.007936507936507936	0.015873015873015872	0.011904761904761904	0.0	0.003968253968253968	0.0	0.023809523809523808	0.011904761904761904	0.003968253968253968	0.007936507936507936	0.01984126984126984	0.0	0.011904761904761904	0.007936507936507936	0.007936507936507936	0.023809523809523808	0.003968253968253968	0.023809523809523808	0.003968253968253968	0.0	0.01984126984126984	0.0	0.015873015873015872	0.011904761904761904	0.007936507936507936	0.0	0.0	0.0	0.007936507936507936	0.003968253968253968	0.0	0.0	0.0	0.003968253968253968	0.0	0.003968253968253968	0.003968253968253968	0.007936507936507936	0.0	0.003968253968253968	0
P_aeruginosa_PA01_RAND_4	-34.3	-757	1000	-85	1	0	0	0.0	0.014285714285714285	0.0	0.0	0.0	0.0	0.014285714285714285	0.0	0.0	0.02857142857142857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04285714285714286	0.0	0.014285714285714285	0.02857142857142857	0.0	0.0	0.0	0.0	0.0	0.0	0.014285714285714285	0.0	0.0	0.0	0.014285714285714285	0.014285714285714285	0.0	0.0	0.014285714285714285	0.014285714285714285	0.0	0.0	0.0	0.014285714285714285	0.0	0.0	0.0	0.014285714285714285	0.014285714285714285	0.02857142857142857	0.0	0.014285714285714285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014285714285714285	0.0	0.014285714285714285	0.0	0.014285714285714285	0.0	0.014285714285714285	0.0	0.0	0.0	0.0	0.0	0.0	0.014285714285714285	0.02857142857142857	0.02857142857142857	0.04285714285714286	0.0	0.014285714285714285	0.014285714285714285	0.04285714285714286	0.0	0.0	0.04285714285714286	0.014285714285714285	0.014285714285714285	0.07142857142857142	0.0	0.02857142857142857	0.0	0.0	0.0	0.0	0.014285714285714285	0.014285714285714285	0.014285714285714285	0.0	0.02857142857142857	0.0	0.0	0.0	0.02857142857142857	0.0	0.0	0.014285714285714285	0.014285714285714285	0.0	0.0	0.0	0.0	0.04285714285714286	0.0	0.0	0.014285714285714285	0.0	0.02857142857142857	0.0	0.02857142857142857	0.0	0.0	0.0	0.014285714285714285	0.014285714285714285	0.0	0.014285714285714285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
P_aeruginosa_PA01_RAND_5	-69.6	-1000	1000	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.006896551724137931	0.0	0.013793103448275862	0.006896551724137931	0.006896551724137931	0.0	0.0	0.0	0.0	0.0	0.0	0.006896551724137931	0.0	0.006896551724137931	0.027586206896551724	0.013793103448275862	0.013793103448275862	0.006896551724137931	0.006896551724137931	0.013793103448275862	0.013793103448275862	0.013793103448275862	0.0	0.0	0.0	0.013793103448275862	0.0	0.0	0.0	0.006896551724137931	0.0	0.006896551724137931	0.0	0.020689655172413793	0.006896551724137931	0.013793103448275862	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013793103448275862	0.020689655172413793	0.013793103448275862	0.0	0.013793103448275862	0.006896551724137931	0.0	0.0	0.0	0.0	0.006896551724137931	0.013793103448275862	0.013793103448275862	0.013793103448275862	0.027586206896551724	0.0	0.006896551724137931	0.013793103448275862	0.0	0.020689655172413793	0.006896551724137931	0.0	0.027586206896551724	0.006896551724137931	0.006896551724137931	0.0	0.006896551724137931	0.034482758620689655	0.027586206896551724	0.0	0.0	0.027586206896551724	0.0	0.04827586206896552	0.013793103448275862	0.006896551724137931	0.027586206896551724	0.013793103448275862	0.006896551724137931	0.04827586206896552	0.0	0.027586206896551724	0.0	0.0	0.0	0.0	0.013793103448275862	0.006896551724137931	0.006896551724137931	0.0	0.013793103448275862	0.0	0.0	0.0	0.04827586206896552	0.0	0.0	0.0	0.013793103448275862	0.006896551724137931	0.006896551724137931	0.0	0.006896551724137931	0.013793103448275862	0.006896551724137931	0.0	0.0	0.006896551724137931	0.020689655172413793	0.006896551724137931	0.006896551724137931	0.0	0.0	0.0	0.020689655172413793	0.013793103448275862	0.0	0.0	0.0	0.0	0.0	0.013793103448275862	0.006896551724137931	0.006896551724137931	0.0	0.0	0
P_aeruginosa_PA01_RAND_6	-46.2	-101	86	0	1	0	1	0.0	0.0	0.0	0.0	0.017391304347826087	0.0	0.008695652173913044	0.0	0.017391304347826087	0.0	0.008695652173913044	0.0	0.0	0.0	0.0	0.0	0.0	0.008695652173913044	0.017391304347826087	0.0	0.008695652173913044	0.0	0.017391304347826087	0.0	0.008695652173913044	0.008695652173913044	0.008695652173913044	0.0	0.0	0.0	0.0	0.008695652173913044	0.008695652173913044	0.008695652173913044	0.02608695652173913	0.0	0.017391304347826087	0.026086956521739132	0.008695652173913044	0.017391304347826087	0.008695652173913044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02608695652173913	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008695652173913044	0.008695652173913044	0.0	0.017391304347826087	0.0	0.017391304347826087	0.02608695652173913	0.008695652173913044	0.0	0.0	0.0	0.0	0.008695652173913044	0.034782608695652174	0.0	0.0	0.0	0.026086956521739132	0.034782608695652174	0.008695652173913044	0.0	0.008695652173913044	0.008695652173913044	0.008695652173913044	0.043478260869565216	0.0	0.0608695652173913	0.008695652173913044	0.008695652173913044	0.0608695652173913	0.0	0.017391304347826087	0.0	0.0	0.0	0.0	0.008695652173913044	0.0	0.0	0.0	0.017391304347826087	0.0	0.017391304347826087	0.008695652173913044	0.008695652173913044	0.017391304347826087	0.034782608695652174	0.0	0.02608695652173913	0.008695652173913044	0.0	0.017391304347826087	0.0	0.034782608695652174	0.017391304347826087	0.0	0.008695652173913044	0.017391304347826087	0.008695652173913044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008695652173913044	0.008695652173913044	0.008695652173913044	0.008695652173913044	0.0	0
P_aeruginosa_PA01_RAND_7	-50.8	-1000	1000	0	0	0	0	0.0	0.0	0.0	0.0	0.007518796992481203	0.0	0.015037593984962405	0.0	0.0	0.0	0.007518796992481203	0.0	0.0	0.0	0.0	0.0	0.0	0.007518796992481203	0.0	0.007518796992481203	0.03759398496240601	0.0	0.022556390977443608	0.0	0.0	0.03759398496240601	0.03007518796992481	0.0	0.0	0.0	0.007518796992481203	0.0	0.0	0.0	0.007518796992481203	0.0	0.0	0.007518796992481203	0.0	0.015037593984962405	0.015037593984962405	0.007518796992481203	0.0	0.0	0.007518796992481203	0.0	0.007518796992481203	0.0	0.0	0.015037593984962405	0.007518796992481203	0.007518796992481203	0.0	0.007518796992481203	0.007518796992481203	0.0	0.0	0.0	0.0	0.015037593984962405	0.007518796992481203	0.0	0.05263157894736842	0.03007518796992481	0.0	0.007518796992481203	0.022556390977443608	0.0	0.015037593984962405	0.007518796992481203	0.015037593984962405	0.045112781954887216	0.015037593984962405	0.007518796992481203	0.0	0.0	0.0	0.0	0.03007518796992481	0.0	0.007518796992481203	0.0	0.0	0.007518796992481203	0.007518796992481203	0.022556390977443608	0.007518796992481203	0.007518796992481203	0.06015037593984962	0.015037593984962405	0.007518796992481203	0.0	0.007518796992481203	0.0	0.0	0.007518796992481203	0.007518796992481203	0.015037593984962405	0.0	0.0	0.0	0.007518796992481203	0.007518796992481203	0.007518796992481203	0.0	0.0	0.007518796992481203	0.007518796992481203	0.0	0.03007518796992481	0.022556390977443608	0.015037593984962405	0.0	0.007518796992481203	0.0	0.007518796992481203	0.015037593984962405	0.03007518796992481	0.03007518796992481	0.0	0.0	0.0	0.0	0.007518796992481203	0.007518796992481203	0.0	0.0	0.0	0.007518796992481203	0.0	0.007518796992481203	0.015037593984962405	0.007518796992481203	0.0	0.007518796992481203	0
