	SS	PromoterDistance	DistTerm	Distance	sameStrand	DownDistance	sameDownStrand	AAAA/TTTT	AAAC/GTTT	AAAG/CTTT	AAAT/ATTT	AACA/TGTT	AACC/GGTT	AACG/CGTT	AACT/AGTT	AAGA/TCTT	AAGC/GCTT	AAGG/CCTT	AAGT/ACTT	AATA/TATT	AATC/GATT	AATG/CATT	AATT/AATT	ACAA/TTGT	ACAC/GTGT	ACAG/CTGT	ACAT/ATGT	ACCA/TGGT	ACCC/GGGT	ACCG/CGGT	ACCT/AGGT	ACGA/TCGT	ACGC/GCGT	ACGG/CCGT	ACGT/ACGT	ACTA/TAGT	ACTC/GAGT	ACTG/CAGT	AGAA/TTCT	AGAC/GTCT	AGAG/CTCT	AGAT/ATCT	AGCA/TGCT	AGCC/GGCT	AGCG/CGCT	AGCT/AGCT	AGGA/TCCT	AGGC/GCCT	AGGG/CCCT	AGTA/TACT	AGTC/GACT	AGTG/CACT	ATAA/TTAT	ATAC/GTAT	ATAG/CTAT	ATAT/ATAT	ATCA/TGAT	ATCC/GGAT	ATCG/CGAT	ATGA/TCAT	ATGC/GCAT	ATGG/CCAT	ATTA/TAAT	ATTC/GAAT	ATTG/CAAT	CAAA/TTTG	CAAC/GTTG	CAAG/CTTG	CACA/TGTG	CACC/GGTG	CACG/CGTG	CAGA/TCTG	CAGC/GCTG	CAGG/CCTG	CATA/TATG	CATC/GATG	CATG/CATG	CCAA/TTGG	CCAC/GTGG	CCAG/CTGG	CCCA/TGGG	CCCC/GGGG	CCCG/CGGG	CCGA/TCGG	CCGC/GCGG	CCGG/CCGG	CCTA/TAGG	CCTC/GAGG	CGAA/TTCG	CGAC/GTCG	CGAG/CTCG	CGCA/TGCG	CGCC/GGCG	CGCG/CGCG	CGGA/TCCG	CGGC/GCCG	CGTA/TACG	CGTC/GACG	CTAA/TTAG	CTAC/GTAG	CTAG/CTAG	CTCA/TGAG	CTCC/GGAG	CTGA/TCAG	CTGC/GCAG	CTTA/TAAG	CTTC/GAAG	GAAA/TTTC	GAAC/GTTC	GACA/TGTC	GACC/GGTC	GAGA/TCTC	GAGC/GCTC	GATA/TATC	GATC/GATC	GCAA/TTGC	GCAC/GTGC	GCCA/TGGC	GCCC/GGGC	GCGA/TCGC	GCGC/GCGC	GCTA/TAGC	GGAA/TTCC	GGAC/GTCC	GGCA/TGCC	GGCC/GGCC	GGGA/TCCC	GGTA/TACC	GTAA/TTAC	GTAC/GTAC	GTCA/TGAC	GTGA/TCAC	GTTA/TAAC	TAAA/TTTA	TACA/TGTA	TAGA/TCTA	TATA/TATA	TCAA/TTGA	TCCA/TGGA	TCGA/TCGA	TGAA/TTCA	TGCA/TGCA	TTAA/TTAA
s334549	-55.3	-222	1000	-95	1	6	0	0.07954545454545454	0.022727272727272728	0.005681818181818182	0.017045454545454544	0.028409090909090908	0.011363636363636364	0.022727272727272728	0.0	0.005681818181818182	0.011363636363636364	0.005681818181818182	0.0	0.005681818181818182	0.0	0.011363636363636364	0.005681818181818182	0.028409090909090908	0.017045454545454544	0.005681818181818182	0.005681818181818182	0.0	0.017045454545454544	0.0	0.005681818181818182	0.005681818181818182	0.022727272727272728	0.011363636363636364	0.0	0.0	0.005681818181818182	0.0	0.0	0.0	0.005681818181818182	0.005681818181818182	0.0	0.005681818181818182	0.005681818181818182	0.005681818181818182	0.005681818181818182	0.017045454545454544	0.017045454545454544	0.0	0.0	0.005681818181818182	0.005681818181818182	0.0	0.005681818181818182	0.0	0.0	0.0	0.0	0.005681818181818182	0.005681818181818182	0.005681818181818182	0.0	0.0	0.011363636363636364	0.011363636363636364	0.017045454545454544	0.005681818181818182	0.011363636363636364	0.005681818181818182	0.005681818181818182	0.0	0.0	0.017045454545454544	0.005681818181818182	0.005681818181818182	0.0	0.005681818181818182	0.005681818181818182	0.0	0.011363636363636364	0.011363636363636364	0.005681818181818182	0.011363636363636364	0.0	0.005681818181818182	0.005681818181818182	0.017045454545454544	0.022727272727272728	0.005681818181818182	0.011363636363636364	0.005681818181818182	0.017045454545454544	0.005681818181818182	0.005681818181818182	0.022727272727272728	0.0	0.011363636363636364	0.005681818181818182	0.005681818181818182	0.0	0.005681818181818182	0.005681818181818182	0.011363636363636364	0.0	0.005681818181818182	0.005681818181818182	0.022727272727272728	0.017045454545454544	0.0	0.0	0.0	0.005681818181818182	0.0	0.0	0.0	0.005681818181818182	0.005681818181818182	0.017045454545454544	0.011363636363636364	0.0	0.005681818181818182	0.0	0.005681818181818182	0.005681818181818182	0.017045454545454544	0.0	0.0	0.011363636363636364	0.0	0.0	0.0	0.005681818181818182	0.011363636363636364	0.017045454545454544	0.005681818181818182	0.0	0.011363636363636364	0.0	0.005681818181818182	0.022727272727272728	0.0	0.0
s586869	-32.8	-4	0	-207	0	27	0	0.025423728813559324	0.025423728813559324	0.01694915254237288	0.0	0.0	0.01694915254237288	0.0	0.00847457627118644	0.00847457627118644	0.00847457627118644	0.00847457627118644	0.0	0.00847457627118644	0.00847457627118644	0.00847457627118644	0.0	0.00847457627118644	0.0	0.0	0.01694915254237288	0.01694915254237288	0.01694915254237288	0.0	0.00847457627118644	0.0	0.00847457627118644	0.01694915254237288	0.0	0.0	0.00847457627118644	0.0	0.0	0.01694915254237288	0.00847457627118644	0.0	0.00847457627118644	0.0	0.00847457627118644	0.0	0.025423728813559324	0.00847457627118644	0.00847457627118644	0.0	0.0	0.0	0.0	0.00847457627118644	0.00847457627118644	0.0	0.0	0.03389830508474576	0.0	0.0	0.0	0.025423728813559324	0.0	0.00847457627118644	0.01694915254237288	0.025423728813559324	0.0	0.0	0.0	0.01694915254237288	0.00847457627118644	0.00847457627118644	0.0	0.025423728813559324	0.0	0.01694915254237288	0.00847457627118644	0.01694915254237288	0.01694915254237288	0.0	0.00847457627118644	0.01694915254237288	0.01694915254237288	0.0	0.01694915254237288	0.0	0.0	0.00847457627118644	0.0	0.0	0.0	0.01694915254237288	0.03389830508474576	0.0	0.01694915254237288	0.0	0.01694915254237288	0.0	0.0	0.00847457627118644	0.0	0.00847457627118644	0.0	0.01694915254237288	0.01694915254237288	0.0	0.00847457627118644	0.00847457627118644	0.0	0.025423728813559324	0.00847457627118644	0.0	0.0	0.00847457627118644	0.0	0.01694915254237288	0.00847457627118644	0.01694915254237288	0.00847457627118644	0.0	0.01694915254237288	0.00847457627118644	0.025423728813559324	0.00847457627118644	0.0	0.0	0.00847457627118644	0.0	0.0	0.0	0.00847457627118644	0.0	0.0	0.0	0.0	0.00847457627118644	0.0	0.0	0.01694915254237288	0.0	0.0	0.00847457627118644	0.0
s901521	-91.77	-16	18	-476	1	62	1	0.005747126436781609	0.014367816091954023	0.0	0.005747126436781609	0.005747126436781609	0.008620689655172414	0.008620689655172414	0.02586206896551724	0.0	0.008620689655172414	0.0	0.008620689655172414	0.0	0.008620689655172414	0.0028735632183908046	0.0028735632183908046	0.005747126436781609	0.0	0.014367816091954023	0.0028735632183908046	0.0028735632183908046	0.008620689655172414	0.005747126436781609	0.0	0.011494252873563218	0.005747126436781609	0.005747126436781609	0.0028735632183908046	0.005747126436781609	0.014367816091954023	0.008620689655172414	0.008620689655172414	0.0028735632183908046	0.008620689655172414	0.0028735632183908046	0.017241379310344827	0.011494252873563218	0.017241379310344827	0.014367816091954023	0.005747126436781609	0.0028735632183908046	0.008620689655172414	0.0028735632183908046	0.005747126436781609	0.0028735632183908046	0.0028735632183908046	0.0028735632183908046	0.008620689655172414	0.0	0.0	0.011494252873563218	0.008620689655172414	0.0028735632183908046	0.014367816091954023	0.0	0.005747126436781609	0.005747126436781609	0.0	0.008620689655172414	0.008620689655172414	0.008620689655172414	0.0	0.0028735632183908046	0.0	0.005747126436781609	0.022988505747126436	0.008620689655172414	0.0028735632183908046	0.0028735632183908046	0.005747126436781609	0.008620689655172414	0.005747126436781609	0.008620689655172414	0.0	0.022988505747126436	0.011494252873563218	0.014367816091954023	0.017241379310344827	0.005747126436781609	0.005747126436781609	0.0028735632183908046	0.011494252873563218	0.014367816091954023	0.011494252873563218	0.0028735632183908046	0.017241379310344827	0.0028735632183908046	0.008620689655172414	0.022988505747126436	0.008620689655172414	0.011494252873563218	0.008620689655172414	0.014367816091954023	0.008620689655172414	0.008620689655172414	0.011494252873563218	0.005747126436781609	0.017241379310344827	0.008620689655172414	0.0	0.0028735632183908046	0.014367816091954023	0.005747126436781609	0.0	0.0028735632183908046	0.020114942528735632	0.005747126436781609	0.0028735632183908046	0.005747126436781609	0.0028735632183908046	0.014367816091954023	0.008620689655172414	0.014367816091954023	0.0028735632183908046	0.022988505747126436	0.0	0.0028735632183908046	0.014367816091954023	0.0028735632183908046	0.005747126436781609	0.005747126436781609	0.011494252873563218	0.0	0.0028735632183908046	0.0	0.011494252873563218	0.008620689655172414	0.011494252873563218	0.014367816091954023	0.0028735632183908046	0.005747126436781609	0.005747126436781609	0.0028735632183908046	0.0028735632183908046	0.0028735632183908046	0.005747126436781609
s1436545	-30.0	-1000	0	-149	1	45	1	0.0	0.0	0.0	0.0	0.0	0.04285714285714286	0.0	0.0	0.0	0.0	0.0	0.0	0.014285714285714285	0.0	0.02857142857142857	0.0	0.0	0.0	0.0	0.0	0.0	0.04285714285714286	0.014285714285714285	0.0	0.0	0.014285714285714285	0.0	0.0	0.0	0.014285714285714285	0.0	0.014285714285714285	0.0	0.0	0.0	0.0	0.014285714285714285	0.014285714285714285	0.014285714285714285	0.0	0.014285714285714285	0.014285714285714285	0.0	0.0	0.014285714285714285	0.014285714285714285	0.0	0.014285714285714285	0.0	0.0	0.0	0.0	0.0	0.014285714285714285	0.02857142857142857	0.02857142857142857	0.014285714285714285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02857142857142857	0.0	0.014285714285714285	0.0	0.0	0.0	0.014285714285714285	0.02857142857142857	0.0	0.0	0.04285714285714286	0.014285714285714285	0.05714285714285714	0.0	0.0	0.02857142857142857	0.014285714285714285	0.0	0.02857142857142857	0.0	0.05714285714285714	0.0	0.014285714285714285	0.0	0.0	0.014285714285714285	0.014285714285714285	0.0	0.0	0.0	0.014285714285714285	0.0	0.0	0.0	0.0	0.0	0.02857142857142857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04285714285714286	0.014285714285714285	0.0	0.0	0.02857142857142857	0.014285714285714285	0.014285714285714285	0.0	0.0	0.0	0.014285714285714285	0.014285714285714285	0.0	0.0	0.0	0.014285714285714285	0.0	0.0	0.0	0.0	0.0	0.02857142857142857	0.014285714285714285	0.0	0.0	0.0
s1668942	-35.5	-8	1000	-111	1	45	0	0.0	0.0	0.0	0.0	0.010416666666666666	0.010416666666666666	0.010416666666666666	0.0	0.0	0.010416666666666666	0.010416666666666666	0.0	0.0	0.010416666666666666	0.0	0.0	0.0	0.020833333333333332	0.010416666666666666	0.010416666666666666	0.010416666666666666	0.020833333333333332	0.010416666666666666	0.020833333333333332	0.020833333333333332	0.0	0.010416666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010416666666666666	0.020833333333333332	0.010416666666666666	0.0	0.010416666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.020833333333333332	0.0	0.0	0.0	0.010416666666666666	0.0	0.0	0.0	0.020833333333333332	0.0	0.03125	0.010416666666666666	0.010416666666666666	0.0	0.03125	0.020833333333333332	0.0	0.010416666666666666	0.0	0.0	0.020833333333333332	0.020833333333333332	0.0	0.05208333333333333	0.05208333333333333	0.010416666666666666	0.03125	0.020833333333333332	0.0	0.0	0.0	0.010416666666666666	0.0	0.010416666666666666	0.010416666666666666	0.0	0.020833333333333332	0.010416666666666666	0.0	0.010416666666666666	0.0	0.0	0.0	0.0	0.0	0.010416666666666666	0.010416666666666666	0.0	0.020833333333333332	0.0	0.010416666666666666	0.010416666666666666	0.03125	0.0	0.0	0.0	0.0	0.010416666666666666	0.010416666666666666	0.03125	0.010416666666666666	0.0	0.0	0.0	0.03125	0.020833333333333332	0.010416666666666666	0.010416666666666666	0.020833333333333332	0.010416666666666666	0.010416666666666666	0.0	0.020833333333333332	0.0	0.0	0.0	0.0	0.0	0.0	0.010416666666666666	0.0	0.0	0.0	0.0	0.0
s1928666	-58.0	-1000	0	-41	1	92	1	0.0	0.007518796992481203	0.015037593984962405	0.0	0.022556390977443608	0.007518796992481203	0.022556390977443608	0.007518796992481203	0.0	0.015037593984962405	0.007518796992481203	0.007518796992481203	0.0	0.007518796992481203	0.0	0.0	0.03007518796992481	0.0	0.015037593984962405	0.0	0.0	0.007518796992481203	0.007518796992481203	0.007518796992481203	0.015037593984962405	0.022556390977443608	0.015037593984962405	0.0	0.0	0.0	0.0	0.007518796992481203	0.0	0.0	0.0	0.015037593984962405	0.0	0.022556390977443608	0.0	0.007518796992481203	0.03759398496240601	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007518796992481203	0.0	0.0	0.0	0.0	0.0	0.007518796992481203	0.015037593984962405	0.03007518796992481	0.015037593984962405	0.0	0.0	0.007518796992481203	0.0	0.022556390977443608	0.03007518796992481	0.0	0.0	0.0	0.015037593984962405	0.0	0.015037593984962405	0.007518796992481203	0.0	0.03007518796992481	0.022556390977443608	0.015037593984962405	0.0	0.0	0.015037593984962405	0.007518796992481203	0.03007518796992481	0.007518796992481203	0.007518796992481203	0.045112781954887216	0.0	0.0	0.015037593984962405	0.0	0.022556390977443608	0.0	0.0	0.0	0.007518796992481203	0.007518796992481203	0.0	0.022556390977443608	0.0	0.0	0.007518796992481203	0.015037593984962405	0.022556390977443608	0.015037593984962405	0.007518796992481203	0.0	0.0	0.0	0.015037593984962405	0.007518796992481203	0.015037593984962405	0.0	0.0	0.022556390977443608	0.0	0.007518796992481203	0.03007518796992481	0.022556390977443608	0.0	0.03007518796992481	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007518796992481203	0.007518796992481203	0.007518796992481203	0.0	0.0	0.0
s2230417	-37.2	0	1000	-235	0	93	1	0.017045454545454544	0.005681818181818182	0.011363636363636364	0.017045454545454544	0.017045454545454544	0.017045454545454544	0.005681818181818182	0.0	0.0	0.017045454545454544	0.017045454545454544	0.0	0.011363636363636364	0.0	0.005681818181818182	0.005681818181818182	0.017045454545454544	0.005681818181818182	0.022727272727272728	0.0	0.005681818181818182	0.011363636363636364	0.005681818181818182	0.011363636363636364	0.005681818181818182	0.0	0.011363636363636364	0.0	0.0	0.0	0.0	0.0	0.005681818181818182	0.0	0.005681818181818182	0.011363636363636364	0.017045454545454544	0.011363636363636364	0.005681818181818182	0.0	0.02840909090909091	0.017045454545454544	0.0	0.0	0.0	0.005681818181818182	0.0	0.0	0.005681818181818182	0.0	0.0	0.005681818181818182	0.0	0.005681818181818182	0.005681818181818182	0.0	0.0	0.011363636363636364	0.005681818181818182	0.022727272727272728	0.011363636363636364	0.005681818181818182	0.017045454545454544	0.0	0.005681818181818182	0.022727272727272728	0.02840909090909091	0.0	0.005681818181818182	0.0	0.011363636363636364	0.0	0.022727272727272728	0.0	0.0	0.005681818181818182	0.0	0.011363636363636364	0.011363636363636364	0.005681818181818182	0.005681818181818182	0.017045454545454544	0.0	0.005681818181818182	0.005681818181818182	0.011363636363636364	0.011363636363636364	0.005681818181818182	0.028409090909090908	0.011363636363636364	0.0	0.005681818181818182	0.011363636363636364	0.0	0.0	0.005681818181818182	0.0	0.011363636363636364	0.005681818181818182	0.005681818181818182	0.017045454545454544	0.011363636363636364	0.005681818181818182	0.0	0.0	0.005681818181818182	0.005681818181818182	0.0	0.011363636363636364	0.011363636363636364	0.02840909090909091	0.011363636363636364	0.028409090909090908	0.005681818181818182	0.005681818181818182	0.005681818181818182	0.0	0.011363636363636364	0.028409090909090908	0.0	0.0	0.005681818181818182	0.005681818181818182	0.0	0.0	0.0	0.011363636363636364	0.017045454545454544	0.005681818181818182	0.0	0.011363636363636364	0.005681818181818182	0.0	0.011363636363636364	0.005681818181818182	0.0
s3299151	-50.3	0	1000	-231	0	223	1	0.0	0.017391304347826087	0.0	0.008695652173913044	0.0	0.017391304347826087	0.008695652173913044	0.0	0.008695652173913044	0.0	0.0	0.0	0.017391304347826087	0.0	0.0	0.0	0.0	0.008695652173913044	0.0	0.0	0.008695652173913044	0.034782608695652174	0.026086956521739132	0.0	0.0	0.026086956521739132	0.02608695652173913	0.0	0.0	0.008695652173913044	0.0	0.008695652173913044	0.0	0.0	0.0	0.0	0.017391304347826087	0.0	0.0	0.0	0.017391304347826087	0.008695652173913044	0.0	0.0	0.008695652173913044	0.0	0.043478260869565216	0.0	0.0	0.008695652173913044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008695652173913044	0.008695652173913044	0.008695652173913044	0.0	0.008695652173913044	0.0	0.017391304347826087	0.0	0.0	0.017391304347826087	0.0	0.0	0.0	0.017391304347826087	0.017391304347826087	0.0	0.017391304347826087	0.052173913043478265	0.043478260869565216	0.026086956521739132	0.0	0.02608695652173913	0.008695652173913044	0.0	0.008695652173913044	0.017391304347826087	0.0	0.008695652173913044	0.043478260869565216	0.0	0.008695652173913044	0.02608695652173913	0.017391304347826087	0.008695652173913044	0.008695652173913044	0.008695652173913044	0.0	0.0	0.017391304347826087	0.008695652173913044	0.008695652173913044	0.0	0.008695652173913044	0.008695652173913044	0.0	0.0	0.017391304347826087	0.0	0.008695652173913044	0.008695652173913044	0.0	0.008695652173913044	0.008695652173913044	0.008695652173913044	0.008695652173913044	0.0	0.017391304347826087	0.008695652173913044	0.0	0.008695652173913044	0.0	0.0	0.017391304347826087	0.034782608695652174	0.0	0.0	0.0	0.0	0.0	0.008695652173913044	0.0	0.0	0.008695652173913044	0.0	0.0	0.0	0.0	0.008695652173913044	0.0
s3318663	-33.6	-1000	0	-7	1	24	0	0.015544041450777202	0.010362694300518135	0.010362694300518135	0.0051813471502590676	0.015544041450777202	0.010362694300518135	0.0	0.0	0.0051813471502590676	0.0	0.02590673575129534	0.0051813471502590676	0.010362694300518135	0.010362694300518135	0.010362694300518135	0.0	0.0051813471502590676	0.0	0.010362694300518135	0.0051813471502590676	0.010362694300518135	0.02072538860103627	0.02072538860103627	0.015544041450777202	0.0051813471502590676	0.010362694300518135	0.0	0.0	0.0	0.0051813471502590676	0.015544041450777202	0.0051813471502590676	0.010362694300518135	0.0	0.010362694300518135	0.0	0.010362694300518135	0.0	0.0	0.015544041450777202	0.0	0.010362694300518135	0.015544041450777202	0.0	0.010362694300518135	0.0	0.015544041450777202	0.0	0.0	0.0	0.010362694300518135	0.0	0.010362694300518135	0.0051813471502590676	0.0051813471502590676	0.0051813471502590676	0.015544041450777202	0.0051813471502590676	0.010362694300518135	0.0	0.015544041450777202	0.0	0.0	0.0051813471502590676	0.015544041450777202	0.010362694300518135	0.0051813471502590676	0.0	0.0051813471502590676	0.0051813471502590676	0.015544041450777202	0.010362694300518135	0.031088082901554404	0.02072538860103627	0.031088082901554404	0.010362694300518135	0.0051813471502590676	0.015544041450777202	0.010362694300518135	0.0051813471502590676	0.0051813471502590676	0.0051813471502590676	0.0	0.0051813471502590676	0.010362694300518135	0.015544041450777202	0.010362694300518135	0.0051813471502590676	0.0	0.0051813471502590676	0.0051813471502590676	0.0051813471502590676	0.0	0.0	0.0	0.010362694300518135	0.0051813471502590676	0.0	0.0	0.0051813471502590676	0.0051813471502590676	0.015544041450777202	0.0051813471502590676	0.02072538860103627	0.0051813471502590676	0.0	0.0051813471502590676	0.0	0.0051813471502590676	0.0	0.015544041450777202	0.010362694300518135	0.0	0.010362694300518135	0.0	0.015544041450777202	0.010362694300518135	0.0	0.0	0.010362694300518135	0.036269430051813475	0.0	0.02072538860103627	0.010362694300518135	0.0051813471502590676	0.0	0.010362694300518135	0.0	0.0	0.0	0.0051813471502590676	0.015544041450777202	0.0	0.015544041450777202	0.0	0.0051813471502590676
s4057541	-53.7	-35	0	-60	0	220	1	0.020689655172413793	0.0	0.006896551724137931	0.0	0.006896551724137931	0.006896551724137931	0.0	0.0	0.006896551724137931	0.0	0.020689655172413793	0.0	0.013793103448275862	0.013793103448275862	0.0	0.0	0.0	0.006896551724137931	0.006896551724137931	0.0	0.0	0.020689655172413793	0.0	0.0	0.006896551724137931	0.013793103448275862	0.0	0.006896551724137931	0.0	0.013793103448275862	0.013793103448275862	0.0	0.0	0.006896551724137931	0.0	0.006896551724137931	0.0	0.006896551724137931	0.0	0.020689655172413793	0.006896551724137931	0.034482758620689655	0.0	0.006896551724137931	0.020689655172413793	0.0	0.006896551724137931	0.0	0.006896551724137931	0.020689655172413793	0.013793103448275862	0.020689655172413793	0.020689655172413793	0.0	0.0	0.013793103448275862	0.013793103448275862	0.0	0.0	0.006896551724137931	0.0	0.0	0.0	0.006896551724137931	0.0	0.0	0.027586206896551724	0.0	0.020689655172413793	0.0	0.0	0.006896551724137931	0.013793103448275862	0.013793103448275862	0.034482758620689655	0.027586206896551724	0.013793103448275862	0.013793103448275862	0.0	0.0	0.013793103448275862	0.006896551724137931	0.006896551724137931	0.006896551724137931	0.013793103448275862	0.027586206896551724	0.0	0.0	0.0	0.006896551724137931	0.020689655172413793	0.006896551724137931	0.0	0.0	0.0	0.020689655172413793	0.013793103448275862	0.006896551724137931	0.0	0.020689655172413793	0.0	0.006896551724137931	0.0	0.0	0.0	0.006896551724137931	0.006896551724137931	0.006896551724137931	0.006896551724137931	0.006896551724137931	0.006896551724137931	0.013793103448275862	0.020689655172413793	0.0	0.006896551724137931	0.020689655172413793	0.013793103448275862	0.0	0.0	0.041379310344827586	0.013793103448275862	0.006896551724137931	0.006896551724137931	0.006896551724137931	0.006896551724137931	0.0	0.0	0.006896551724137931	0.0	0.0	0.0	0.0	0.0	0.013793103448275862	0.0	0.0
