	SS	PromoterDistance	DistTerm	Distance	sameStrand	DownDistance	sameDownStrand	AAAA/TTTT	AAAC/GTTT	AAAG/CTTT	AAAT/ATTT	AACA/TGTT	AACC/GGTT	AACG/CGTT	AACT/AGTT	AAGA/TCTT	AAGC/GCTT	AAGG/CCTT	AAGT/ACTT	AATA/TATT	AATC/GATT	AATG/CATT	AATT/AATT	ACAA/TTGT	ACAC/GTGT	ACAG/CTGT	ACAT/ATGT	ACCA/TGGT	ACCC/GGGT	ACCG/CGGT	ACCT/AGGT	ACGA/TCGT	ACGC/GCGT	ACGG/CCGT	ACGT/ACGT	ACTA/TAGT	ACTC/GAGT	ACTG/CAGT	AGAA/TTCT	AGAC/GTCT	AGAG/CTCT	AGAT/ATCT	AGCA/TGCT	AGCC/GGCT	AGCG/CGCT	AGCT/AGCT	AGGA/TCCT	AGGC/GCCT	AGGG/CCCT	AGTA/TACT	AGTC/GACT	AGTG/CACT	ATAA/TTAT	ATAC/GTAT	ATAG/CTAT	ATAT/ATAT	ATCA/TGAT	ATCC/GGAT	ATCG/CGAT	ATGA/TCAT	ATGC/GCAT	ATGG/CCAT	ATTA/TAAT	ATTC/GAAT	ATTG/CAAT	CAAA/TTTG	CAAC/GTTG	CAAG/CTTG	CACA/TGTG	CACC/GGTG	CACG/CGTG	CAGA/TCTG	CAGC/GCTG	CAGG/CCTG	CATA/TATG	CATC/GATG	CATG/CATG	CCAA/TTGG	CCAC/GTGG	CCAG/CTGG	CCCA/TGGG	CCCC/GGGG	CCCG/CGGG	CCGA/TCGG	CCGC/GCGG	CCGG/CCGG	CCTA/TAGG	CCTC/GAGG	CGAA/TTCG	CGAC/GTCG	CGAG/CTCG	CGCA/TGCG	CGCC/GGCG	CGCG/CGCG	CGGA/TCCG	CGGC/GCCG	CGTA/TACG	CGTC/GACG	CTAA/TTAG	CTAC/GTAG	CTAG/CTAG	CTCA/TGAG	CTCC/GGAG	CTGA/TCAG	CTGC/GCAG	CTTA/TAAG	CTTC/GAAG	GAAA/TTTC	GAAC/GTTC	GACA/TGTC	GACC/GGTC	GAGA/TCTC	GAGC/GCTC	GATA/TATC	GATC/GATC	GCAA/TTGC	GCAC/GTGC	GCCA/TGGC	GCCC/GGGC	GCGA/TCGC	GCGC/GCGC	GCTA/TAGC	GGAA/TTCC	GGAC/GTCC	GGCA/TGCC	GGCC/GGCC	GGGA/TCCC	GGTA/TACC	GTAA/TTAC	GTAC/GTAC	GTCA/TGAC	GTGA/TCAC	GTTA/TAAC	TAAA/TTTA	TACA/TGTA	TAGA/TCTA	TATA/TATA	TCAA/TTGA	TCCA/TGGA	TCGA/TCGA	TGAA/TTCA	TGCA/TGCA	TTAA/TTAA
S_aureus_N315_RAND_2	-32.28	0	1000	0	0	0	0	0.02127659574468085	0.010638297872340425	0.015957446808510637	0.02127659574468085	0.015957446808510637	0.0026595744680851063	0.01329787234042553	0.005319148936170213	0.007978723404255319	0.007978723404255319	0.0	0.018617021276595744	0.018617021276595744	0.007978723404255319	0.005319148936170213	0.010638297872340425	0.010638297872340425	0.0026595744680851063	0.0	0.01329787234042553	0.0026595744680851063	0.005319148936170213	0.0	0.005319148936170213	0.005319148936170213	0.005319148936170213	0.007978723404255319	0.0026595744680851063	0.0026595744680851063	0.005319148936170213	0.0026595744680851063	0.010638297872340425	0.007978723404255319	0.013297872340425532	0.007978723404255319	0.007978723404255319	0.005319148936170213	0.0026595744680851063	0.0026595744680851063	0.005319148936170213	0.0	0.0	0.007978723404255319	0.005319148936170213	0.010638297872340425	0.02925531914893617	0.010638297872340425	0.007978723404255319	0.013297872340425532	0.010638297872340425	0.010638297872340425	0.02127659574468085	0.013297872340425532	0.005319148936170213	0.015957446808510637	0.010638297872340425	0.005319148936170213	0.015957446808510637	0.015957446808510637	0.010638297872340425	0.0026595744680851063	0.0026595744680851063	0.0026595744680851063	0.0026595744680851063	0.02127659574468085	0.0	0.0	0.023936170212765957	0.02127659574468085	0.0	0.0026595744680851063	0.0026595744680851063	0.0026595744680851063	0.005319148936170213	0.0026595744680851063	0.0026595744680851063	0.0026595744680851063	0.0	0.0	0.005319148936170213	0.005319148936170213	0.005319148936170213	0.0026595744680851063	0.0026595744680851063	0.010638297872340425	0.005319148936170213	0.005319148936170213	0.0026595744680851063	0.005319148936170213	0.007978723404255319	0.0	0.007978723404255319	0.005319148936170213	0.0	0.0026595744680851063	0.0026595744680851063	0.010638297872340425	0.010638297872340425	0.010638297872340425	0.005319148936170213	0.018617021276595744	0.0026595744680851063	0.005319148936170213	0.005319148936170213	0.0026595744680851063	0.007978723404255319	0.015957446808510637	0.0026595744680851063	0.023936170212765957	0.010638297872340425	0.007978723404255319	0.0026595744680851063	0.007978723404255319	0.007978723404255319	0.005319148936170213	0.0026595744680851063	0.0	0.005319148936170213	0.0	0.0	0.0026595744680851063	0.005319148936170213	0.0	0.005319148936170213	0.0026595744680851063	0.01329787234042553	0.01329787234042553	0.0026595744680851063	0.007978723404255319	0.007978723404255319	0.005319148936170213	0.007978723404255319	0.007978723404255319	0.013297872340425532	0.013297872340425532	0.0026595744680851063
S_aureus_N315_RAND_4	-40.9	0	378	0	0	165	0	0.058510638297872335	0.010638297872340425	0.026595744680851064	0.018617021276595744	0.010638297872340425	0.010638297872340425	0.005319148936170213	0.013297872340425532	0.015957446808510637	0.007978723404255319	0.013297872340425532	0.01329787234042553	0.02127659574468085	0.018617021276595744	0.0	0.0026595744680851063	0.01329787234042553	0.007978723404255319	0.0	0.015957446808510637	0.005319148936170213	0.0	0.0026595744680851063	0.007978723404255319	0.005319148936170213	0.0026595744680851063	0.0026595744680851063	0.0026595744680851063	0.02127659574468085	0.0026595744680851063	0.0026595744680851063	0.007978723404255319	0.010638297872340425	0.005319148936170213	0.01329787234042553	0.007978723404255319	0.0026595744680851063	0.0	0.005319148936170213	0.007978723404255319	0.0026595744680851063	0.0026595744680851063	0.01329787234042553	0.007978723404255319	0.005319148936170213	0.015957446808510637	0.01329787234042553	0.007978723404255319	0.005319148936170213	0.018617021276595744	0.007978723404255319	0.005319148936170213	0.007978723404255319	0.005319148936170213	0.007978723404255319	0.010638297872340425	0.007978723404255319	0.007978723404255319	0.015957446808510637	0.010638297872340425	0.010638297872340425	0.0026595744680851063	0.0	0.010638297872340425	0.007978723404255319	0.007978723404255319	0.0026595744680851063	0.013297872340425532	0.01329787234042553	0.005319148936170213	0.0	0.005319148936170213	0.0026595744680851063	0.0026595744680851063	0.0	0.0	0.0026595744680851063	0.0026595744680851063	0.0	0.0026595744680851063	0.0026595744680851063	0.005319148936170213	0.0026595744680851063	0.005319148936170213	0.0026595744680851063	0.0026595744680851063	0.0	0.0026595744680851063	0.0026595744680851063	0.0	0.0	0.015957446808510637	0.010638297872340425	0.0	0.0026595744680851063	0.0	0.007978723404255319	0.010638297872340425	0.005319148936170213	0.007978723404255319	0.010638297872340425	0.010638297872340425	0.01329787234042553	0.0	0.007978723404255319	0.0	0.01329787234042553	0.0	0.010638297872340425	0.0	0.005319148936170213	0.0	0.0	0.0	0.005319148936170213	0.010638297872340425	0.0	0.0	0.0026595744680851063	0.005319148936170213	0.005319148936170213	0.005319148936170213	0.0	0.007978723404255319	0.005319148936170213	0.007978723404255319	0.02925531914893617	0.010638297872340425	0.005319148936170213	0.0	0.023936170212765957	0.0026595744680851063	0.005319148936170213	0.015957446808510637	0.007978723404255319	0.007978723404255319
S_aureus_N315_RAND_5	-27.2	0	1000	0	0	0	0	0.03208556149732621	0.0	0.0	0.0481283422459893	0.0160427807486631	0.0053475935828877	0.0	0.0053475935828877	0.0053475935828877	0.0106951871657754	0.0	0.0053475935828877	0.0106951871657754	0.03208556149732621	0.0374331550802139	0.0106951871657754	0.03208556149732621	0.0	0.0053475935828877	0.026737967914438502	0.0	0.0053475935828877	0.0	0.0053475935828877	0.0	0.0	0.0	0.0	0.0	0.0	0.0053475935828877	0.0053475935828877	0.0	0.0053475935828877	0.0160427807486631	0.0106951871657754	0.0	0.0	0.0053475935828877	0.0	0.0053475935828877	0.0	0.0053475935828877	0.0	0.0	0.021390374331550804	0.0	0.0106951871657754	0.0053475935828877	0.021390374331550804	0.0053475935828877	0.0106951871657754	0.021390374331550804	0.0106951871657754	0.0053475935828877	0.0213903743315508	0.0	0.0320855614973262	0.026737967914438505	0.0106951871657754	0.016042780748663103	0.0106951871657754	0.0	0.0	0.0	0.0106951871657754	0.0	0.0106951871657754	0.0106951871657754	0.0053475935828877	0.0106951871657754	0.0053475935828877	0.0053475935828877	0.0106951871657754	0.0	0.0	0.0	0.0053475935828877	0.0	0.0106951871657754	0.0	0.0	0.0	0.0	0.0106951871657754	0.0053475935828877	0.0053475935828877	0.0	0.0053475935828877	0.0	0.0	0.0106951871657754	0.0053475935828877	0.0	0.0	0.0	0.0053475935828877	0.0	0.0053475935828877	0.0	0.0106951871657754	0.0	0.0106951871657754	0.0053475935828877	0.0053475935828877	0.0	0.0106951871657754	0.0	0.0374331550802139	0.0	0.0053475935828877	0.0053475935828877	0.0106951871657754	0.0053475935828877	0.0	0.0	0.0053475935828877	0.0160427807486631	0.0	0.0	0.0	0.0160427807486631	0.0053475935828877	0.0106951871657754	0.0053475935828877	0.0160427807486631	0.0160427807486631	0.026737967914438502	0.0160427807486631	0.0053475935828877	0.0053475935828877	0.0106951871657754	0.0	0.0053475935828877	0.0053475935828877	0.0053475935828877
S_aureus_N315_RAND_9	-48.5	-1000	1000	0	0	0	0	0.011204481792717087	0.01680672268907563	0.011204481792717087	0.03081232492997199	0.011204481792717087	0.0196078431372549	0.008403361344537815	0.0028011204481792717	0.008403361344537815	0.008403361344537815	0.0056022408963585435	0.0028011204481792717	0.0196078431372549	0.011204481792717087	0.0196078431372549	0.01680672268907563	0.0028011204481792717	0.0056022408963585435	0.011204481792717087	0.011204481792717087	0.0196078431372549	0.0028011204481792717	0.011204481792717087	0.011204481792717087	0.0028011204481792717	0.0056022408963585435	0.008403361344537815	0.0028011204481792717	0.0028011204481792717	0.0028011204481792717	0.0056022408963585435	0.011204481792717087	0.0028011204481792717	0.0	0.0056022408963585435	0.014005602240896357	0.0	0.0028011204481792717	0.011204481792717087	0.0056022408963585435	0.0028011204481792717	0.0028011204481792717	0.011204481792717087	0.0	0.0	0.022408963585434174	0.008403361344537815	0.0	0.0	0.014005602240896359	0.0056022408963585435	0.0028011204481792717	0.011204481792717087	0.011204481792717087	0.008403361344537815	0.0196078431372549	0.028011204481792718	0.0056022408963585435	0.014005602240896357	0.0056022408963585435	0.0056022408963585435	0.011204481792717087	0.014005602240896359	0.008403361344537815	0.0056022408963585435	0.022408963585434174	0.01680672268907563	0.0028011204481792717	0.008403361344537815	0.0056022408963585435	0.008403361344537815	0.0028011204481792717	0.011204481792717087	0.0028011204481792717	0.0	0.0	0.0056022408963585435	0.0	0.0	0.0	0.0	0.014005602240896359	0.0	0.0028011204481792717	0.0056022408963585435	0.0028011204481792717	0.0	0.0	0.0028011204481792717	0.0056022408963585435	0.0	0.008403361344537815	0.008403361344537815	0.0	0.0	0.0	0.008403361344537815	0.0196078431372549	0.0056022408963585435	0.0028011204481792717	0.01680672268907563	0.01680672268907563	0.0028011204481792717	0.0056022408963585435	0.0	0.0	0.008403361344537815	0.0	0.008403361344537815	0.0056022408963585435	0.0	0.0	0.0	0.0028011204481792717	0.008403361344537815	0.011204481792717087	0.0	0.0028011204481792717	0.0	0.0028011204481792717	0.0056022408963585435	0.0056022408963585435	0.0028011204481792717	0.0056022408963585435	0.0196078431372549	0.0028011204481792717	0.028011204481792715	0.0056022408963585435	0.0056022408963585435	0.0	0.008403361344537815	0.008403361344537815	0.0056022408963585435	0.028011204481792715	0.011204481792717087	0.008403361344537815
S_aureus_N315_RAND_12	-21.3	0	1000	0	0	0	0	0.045714285714285714	0.017142857142857144	0.022857142857142857	0.04	0.022857142857142857	0.0	0.011428571428571429	0.005714285714285714	0.011428571428571429	0.005714285714285714	0.0	0.022857142857142857	0.017142857142857144	0.017142857142857144	0.022857142857142857	0.011428571428571429	0.017142857142857144	0.005714285714285714	0.011428571428571429	0.011428571428571429	0.017142857142857144	0.0	0.005714285714285714	0.0	0.005714285714285714	0.0	0.0	0.005714285714285714	0.005714285714285714	0.0	0.005714285714285714	0.022857142857142857	0.005714285714285714	0.0	0.011428571428571429	0.005714285714285714	0.005714285714285714	0.0	0.0	0.011428571428571429	0.0	0.0	0.022857142857142857	0.0	0.005714285714285714	0.005714285714285714	0.011428571428571429	0.005714285714285714	0.011428571428571429	0.011428571428571429	0.005714285714285714	0.011428571428571429	0.011428571428571429	0.005714285714285714	0.011428571428571429	0.028571428571428574	0.0	0.011428571428571429	0.011428571428571429	0.005714285714285714	0.011428571428571429	0.0	0.011428571428571429	0.0	0.011428571428571429	0.0	0.0	0.005714285714285714	0.011428571428571429	0.0	0.0	0.005714285714285714	0.005714285714285714	0.0	0.0	0.0	0.005714285714285714	0.0	0.0	0.005714285714285714	0.005714285714285714	0.0	0.005714285714285714	0.005714285714285714	0.0	0.0	0.0	0.0	0.0	0.0	0.005714285714285714	0.011428571428571429	0.011428571428571429	0.0	0.0	0.005714285714285714	0.0	0.0	0.005714285714285714	0.0	0.017142857142857144	0.0	0.017142857142857144	0.005714285714285714	0.0	0.005714285714285714	0.011428571428571429	0.0	0.011428571428571429	0.0	0.005714285714285714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005714285714285714	0.011428571428571429	0.0	0.017142857142857144	0.005714285714285714	0.017142857142857144	0.045714285714285714	0.005714285714285714	0.017142857142857144	0.005714285714285714	0.011428571428571429	0.0	0.005714285714285714	0.0	0.005714285714285714	0.03428571428571429
S_aureus_N315_RAND_17	1.2	0	1000	0	0	0	0	0.05050505050505051	0.010101010101010102	0.0	0.05050505050505051	0.010101010101010102	0.0	0.010101010101010102	0.0	0.020202020202020204	0.0	0.0	0.010101010101010102	0.010101010101010102	0.020202020202020204	0.020202020202020204	0.020202020202020204	0.0	0.0	0.010101010101010102	0.010101010101010102	0.010101010101010102	0.0	0.0	0.0	0.010101010101010102	0.0	0.010101010101010102	0.0	0.020202020202020204	0.010101010101010102	0.0	0.010101010101010102	0.0	0.0	0.04040404040404041	0.0	0.0	0.010101010101010102	0.0	0.0	0.0	0.0	0.010101010101010102	0.020202020202020204	0.010101010101010102	0.020202020202020204	0.0	0.010101010101010102	0.010101010101010102	0.010101010101010102	0.0	0.010101010101010102	0.020202020202020204	0.0	0.010101010101010102	0.020202020202020204	0.010101010101010102	0.010101010101010102	0.010101010101010102	0.0	0.0	0.0	0.0	0.0	0.010101010101010102	0.0	0.0	0.020202020202020204	0.010101010101010102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010101010101010102	0.0	0.0	0.0	0.020202020202020204	0.010101010101010102	0.0	0.010101010101010102	0.0	0.0	0.0	0.020202020202020204	0.010101010101010102	0.0	0.0	0.010101010101010102	0.010101010101010102	0.020202020202020204	0.0	0.0	0.0	0.030303030303030304	0.0	0.020202020202020204	0.0	0.0	0.0	0.010101010101010102	0.0	0.020202020202020204	0.0	0.010101010101010102	0.0	0.0	0.0	0.010101010101010102	0.0	0.010101010101010102	0.0	0.0	0.0	0.010101010101010102	0.0	0.010101010101010102	0.030303030303030304	0.0	0.010101010101010102	0.010101010101010102	0.010101010101010102	0.030303030303030304	0.010101010101010102	0.010101010101010102	0.0	0.010101010101010102	0.0	0.010101010101010102	0.0	0.0	0.020202020202020204
S_aureus_N315_RAND_21	-5.9	-202	751	0	1	0	1	0.011111111111111112	0.022222222222222223	0.011111111111111112	0.022222222222222223	0.027777777777777776	0.011111111111111112	0.005555555555555556	0.011111111111111112	0.022222222222222223	0.011111111111111112	0.0	0.005555555555555556	0.022222222222222223	0.005555555555555556	0.027777777777777776	0.011111111111111112	0.027777777777777776	0.005555555555555556	0.0	0.011111111111111112	0.044444444444444446	0.0	0.0	0.0	0.005555555555555556	0.0	0.0	0.0	0.0	0.005555555555555556	0.005555555555555556	0.022222222222222223	0.0	0.005555555555555556	0.0	0.011111111111111112	0.0	0.005555555555555556	0.005555555555555556	0.0	0.005555555555555556	0.0	0.0	0.0	0.005555555555555556	0.02777777777777778	0.0	0.005555555555555556	0.011111111111111112	0.02777777777777778	0.0	0.0	0.011111111111111112	0.011111111111111112	0.03333333333333333	0.022222222222222223	0.011111111111111112	0.022222222222222223	0.011111111111111112	0.016666666666666666	0.005555555555555556	0.016666666666666666	0.022222222222222223	0.0	0.0	0.011111111111111112	0.0	0.022222222222222223	0.005555555555555556	0.005555555555555556	0.005555555555555556	0.016666666666666666	0.005555555555555556	0.0	0.0	0.0	0.0	0.0	0.0	0.005555555555555556	0.0	0.005555555555555556	0.0	0.0	0.005555555555555556	0.0	0.0	0.0	0.0	0.0	0.0	0.005555555555555556	0.0	0.0	0.0	0.005555555555555556	0.005555555555555556	0.005555555555555556	0.011111111111111112	0.011111111111111112	0.022222222222222223	0.005555555555555556	0.0	0.005555555555555556	0.005555555555555556	0.0	0.016666666666666666	0.0	0.016666666666666666	0.0	0.0	0.0	0.0	0.005555555555555556	0.005555555555555556	0.011111111111111112	0.0	0.005555555555555556	0.0	0.0	0.005555555555555556	0.005555555555555556	0.0	0.005555555555555556	0.022222222222222223	0.011111111111111112	0.016666666666666666	0.0	0.0	0.0	0.005555555555555556	0.016666666666666666	0.0	0.011111111111111112	0.005555555555555556	0.011111111111111112
S_aureus_N315_RAND_22	-16.6	0	1000	0	0	0	0	0.0053475935828877	0.0160427807486631	0.0053475935828877	0.0213903743315508	0.03208556149732621	0.0	0.0160427807486631	0.0	0.0160427807486631	0.0106951871657754	0.0106951871657754	0.0	0.021390374331550804	0.0053475935828877	0.0160427807486631	0.016042780748663103	0.0106951871657754	0.0106951871657754	0.0106951871657754	0.026737967914438502	0.0053475935828877	0.0	0.0	0.0160427807486631	0.0160427807486631	0.0053475935828877	0.0	0.0	0.0	0.0	0.0053475935828877	0.03208556149732621	0.0	0.0053475935828877	0.0106951871657754	0.0053475935828877	0.0053475935828877	0.0106951871657754	0.0	0.0106951871657754	0.0	0.0	0.0053475935828877	0.0	0.0	0.0053475935828877	0.0106951871657754	0.0	0.016042780748663103	0.0320855614973262	0.0	0.0160427807486631	0.0106951871657754	0.0	0.0053475935828877	0.0160427807486631	0.0160427807486631	0.0213903743315508	0.016042780748663103	0.0106951871657754	0.0053475935828877	0.0053475935828877	0.016042780748663103	0.0	0.0106951871657754	0.0053475935828877	0.0053475935828877	0.0	0.026737967914438502	0.0	0.0	0.0053475935828877	0.0106951871657754	0.0053475935828877	0.0	0.0	0.0	0.0	0.0	0.0053475935828877	0.0053475935828877	0.0106951871657754	0.0053475935828877	0.0	0.0	0.0	0.0	0.0	0.0	0.0053475935828877	0.0	0.0106951871657754	0.0	0.0053475935828877	0.0053475935828877	0.0	0.0053475935828877	0.0	0.016042780748663103	0.0106951871657754	0.016042780748663103	0.021390374331550804	0.0106951871657754	0.0	0.0053475935828877	0.0	0.0160427807486631	0.0053475935828877	0.0106951871657754	0.0	0.0053475935828877	0.0053475935828877	0.0053475935828877	0.0	0.0053475935828877	0.0053475935828877	0.0053475935828877	0.0053475935828877	0.0	0.0	0.0053475935828877	0.0053475935828877	0.0053475935828877	0.0	0.0053475935828877	0.0	0.0106951871657754	0.0106951871657754	0.0160427807486631	0.0053475935828877	0.0320855614973262	0.0053475935828877	0.0053475935828877	0.0160427807486631	0.0	0.0106951871657754
S_aureus_N315_RAND_23	-14.6	0	401	-460	0	84	0	0.04519774011299435	0.011299435028248588	0.005649717514124294	0.07344632768361582	0.01694915254237288	0.0	0.0	0.011299435028248588	0.0	0.0	0.005649717514124294	0.011299435028248588	0.022598870056497175	0.011299435028248588	0.011299435028248588	0.05084745762711865	0.04519774011299435	0.005649717514124294	0.011299435028248588	0.005649717514124294	0.0	0.0	0.0	0.0	0.005649717514124294	0.0	0.0	0.0	0.005649717514124294	0.0	0.022598870056497175	0.0	0.0	0.0	0.0	0.005649717514124294	0.0	0.0	0.0	0.0	0.005649717514124294	0.005649717514124294	0.022598870056497175	0.0	0.005649717514124294	0.022598870056497175	0.01694915254237288	0.005649717514124294	0.011299435028248588	0.01694915254237288	0.005649717514124294	0.005649717514124294	0.011299435028248588	0.005649717514124294	0.0	0.022598870056497175	0.011299435028248588	0.03389830508474576	0.03389830508474576	0.0	0.0	0.01694915254237288	0.0	0.0	0.0	0.0	0.0	0.005649717514124294	0.0	0.0	0.0	0.005649717514124294	0.0	0.005649717514124294	0.0	0.0	0.005649717514124294	0.0	0.0	0.0	0.005649717514124294	0.005649717514124294	0.0	0.0	0.0	0.0	0.0	0.005649717514124294	0.0	0.0	0.005649717514124294	0.005649717514124294	0.0	0.0	0.005649717514124294	0.0	0.011299435028248588	0.0	0.011299435028248588	0.0	0.01694915254237288	0.0	0.0	0.0	0.0	0.0	0.01694915254237288	0.0	0.005649717514124294	0.005649717514124294	0.0	0.005649717514124294	0.0	0.0	0.005649717514124294	0.005649717514124294	0.0	0.011299435028248588	0.0	0.005649717514124294	0.0	0.02824858757062147	0.005649717514124294	0.005649717514124294	0.005649717514124294	0.01694915254237288	0.03954802259887005	0.03389830508474576	0.0	0.011299435028248588	0.01694915254237288	0.0	0.0	0.01694915254237288	0.0	0.01694915254237288
S_aureus_N315_RAND_24	0.6	0	1000	0	0	0	0	0.031914893617021274	0.010638297872340425	0.0	0.031914893617021274	0.05319148936170212	0.0	0.010638297872340425	0.010638297872340425	0.0	0.0	0.0	0.010638297872340425	0.031914893617021274	0.02127659574468085	0.010638297872340425	0.010638297872340425	0.05319148936170212	0.010638297872340425	0.0	0.010638297872340425	0.010638297872340425	0.0	0.010638297872340425	0.0	0.0	0.0	0.010638297872340425	0.010638297872340425	0.010638297872340425	0.010638297872340425	0.010638297872340425	0.0	0.0	0.0	0.0	0.02127659574468085	0.0	0.0	0.0	0.0	0.0	0.0	0.02127659574468085	0.0	0.010638297872340425	0.02127659574468085	0.010638297872340425	0.010638297872340425	0.0	0.010638297872340425	0.0	0.010638297872340425	0.0	0.0	0.010638297872340425	0.010638297872340425	0.0	0.05319148936170213	0.0	0.031914893617021274	0.010638297872340425	0.0	0.010638297872340425	0.0	0.0	0.010638297872340425	0.0	0.010638297872340425	0.0	0.0	0.010638297872340425	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010638297872340425	0.0	0.0	0.0	0.0	0.0	0.02127659574468085	0.0	0.0	0.010638297872340425	0.0	0.0	0.0	0.0	0.02127659574468085	0.0	0.0	0.010638297872340425	0.0	0.0	0.010638297872340425	0.0	0.0	0.0	0.0	0.010638297872340425	0.010638297872340425	0.0	0.0	0.0	0.0	0.010638297872340425	0.0	0.010638297872340425	0.0	0.0	0.0	0.0	0.02127659574468085	0.010638297872340425	0.0	0.0	0.0425531914893617	0.031914893617021274	0.02127659574468085	0.0	0.0	0.02127659574468085	0.010638297872340425	0.010638297872340425	0.010638297872340425	0.010638297872340425	0.02127659574468085
