	SS	PromoterDistance	DistTerm	Distance	sameStrand	DownDistance	sameDownStrand	AAAA/TTTT	AAAC/GTTT	AAAG/CTTT	AAAT/ATTT	AACA/TGTT	AACC/GGTT	AACG/CGTT	AACT/AGTT	AAGA/TCTT	AAGC/GCTT	AAGG/CCTT	AAGT/ACTT	AATA/TATT	AATC/GATT	AATG/CATT	AATT/AATT	ACAA/TTGT	ACAC/GTGT	ACAG/CTGT	ACAT/ATGT	ACCA/TGGT	ACCC/GGGT	ACCG/CGGT	ACCT/AGGT	ACGA/TCGT	ACGC/GCGT	ACGG/CCGT	ACGT/ACGT	ACTA/TAGT	ACTC/GAGT	ACTG/CAGT	AGAA/TTCT	AGAC/GTCT	AGAG/CTCT	AGAT/ATCT	AGCA/TGCT	AGCC/GGCT	AGCG/CGCT	AGCT/AGCT	AGGA/TCCT	AGGC/GCCT	AGGG/CCCT	AGTA/TACT	AGTC/GACT	AGTG/CACT	ATAA/TTAT	ATAC/GTAT	ATAG/CTAT	ATAT/ATAT	ATCA/TGAT	ATCC/GGAT	ATCG/CGAT	ATGA/TCAT	ATGC/GCAT	ATGG/CCAT	ATTA/TAAT	ATTC/GAAT	ATTG/CAAT	CAAA/TTTG	CAAC/GTTG	CAAG/CTTG	CACA/TGTG	CACC/GGTG	CACG/CGTG	CAGA/TCTG	CAGC/GCTG	CAGG/CCTG	CATA/TATG	CATC/GATG	CATG/CATG	CCAA/TTGG	CCAC/GTGG	CCAG/CTGG	CCCA/TGGG	CCCC/GGGG	CCCG/CGGG	CCGA/TCGG	CCGC/GCGG	CCGG/CCGG	CCTA/TAGG	CCTC/GAGG	CGAA/TTCG	CGAC/GTCG	CGAG/CTCG	CGCA/TGCG	CGCC/GGCG	CGCG/CGCG	CGGA/TCCG	CGGC/GCCG	CGTA/TACG	CGTC/GACG	CTAA/TTAG	CTAC/GTAG	CTAG/CTAG	CTCA/TGAG	CTCC/GGAG	CTGA/TCAG	CTGC/GCAG	CTTA/TAAG	CTTC/GAAG	GAAA/TTTC	GAAC/GTTC	GACA/TGTC	GACC/GGTC	GAGA/TCTC	GAGC/GCTC	GATA/TATC	GATC/GATC	GCAA/TTGC	GCAC/GTGC	GCCA/TGGC	GCCC/GGGC	GCGA/TCGC	GCGC/GCGC	GCTA/TAGC	GGAA/TTCC	GGAC/GTCC	GGCA/TGCC	GGCC/GGCC	GGGA/TCCC	GGTA/TACC	GTAA/TTAC	GTAC/GTAC	GTCA/TGAC	GTGA/TCAC	GTTA/TAAC	TAAA/TTTA	TACA/TGTA	TAGA/TCTA	TATA/TATA	TCAA/TTGA	TCCA/TGGA	TCGA/TCGA	TGAA/TTCA	TGCA/TGCA	TTAA/TTAA
S_enterica_LT2_RAND_335	-43.1	-348	1000	0	1	0	1	0.020202020202020204	0.010101010101010102	0.020202020202020204	0.010101010101010102	0.005050505050505051	0.0	0.020202020202020204	0.0	0.015151515151515152	0.015151515151515152	0.005050505050505051	0.0	0.005050505050505051	0.010101010101010102	0.010101010101010102	0.005050505050505051	0.005050505050505051	0.0	0.015151515151515152	0.005050505050505051	0.0	0.0	0.005050505050505051	0.005050505050505051	0.005050505050505051	0.03535353535353535	0.020202020202020204	0.0	0.0	0.0	0.0	0.015151515151515152	0.0	0.0	0.005050505050505051	0.005050505050505051	0.005050505050505051	0.030303030303030304	0.005050505050505051	0.0	0.015151515151515152	0.0	0.0	0.0	0.0	0.005050505050505051	0.015151515151515152	0.0	0.0	0.005050505050505051	0.005050505050505051	0.015151515151515152	0.0	0.010101010101010102	0.010101010101010102	0.010101010101010102	0.010101010101010102	0.005050505050505051	0.020202020202020204	0.0	0.005050505050505051	0.005050505050505051	0.005050505050505051	0.010101010101010102	0.005050505050505051	0.025252525252525256	0.015151515151515152	0.010101010101010102	0.005050505050505051	0.0	0.005050505050505051	0.005050505050505051	0.015151515151515152	0.005050505050505051	0.0	0.015151515151515152	0.005050505050505051	0.015151515151515152	0.005050505050505051	0.0	0.0	0.0	0.005050505050505051	0.005050505050505051	0.010101010101010102	0.025252525252525256	0.0	0.010101010101010102	0.020202020202020204	0.020202020202020204	0.010101010101010102	0.005050505050505051	0.0	0.0	0.0	0.0	0.0	0.020202020202020204	0.005050505050505051	0.005050505050505051	0.010101010101010102	0.0	0.010101010101010102	0.005050505050505051	0.0	0.005050505050505051	0.005050505050505051	0.005050505050505051	0.010101010101010102	0.015151515151515152	0.020202020202020204	0.015151515151515152	0.005050505050505051	0.005050505050505051	0.005050505050505051	0.010101010101010102	0.010101010101010102	0.030303030303030304	0.005050505050505051	0.005050505050505051	0.0	0.010101010101010102	0.0	0.005050505050505051	0.0	0.015151515151515152	0.010101010101010102	0.005050505050505051	0.0	0.0	0.010101010101010102	0.010101010101010102	0.005050505050505051	0.0	0.005050505050505051	0.010101010101010102
S_enterica_LT2_RAND_68	-160.1	0	1000	0	1	0	1	0.008733624454148471	0.013100436681222707	0.010189228529839884	0.00727802037845706	0.008733624454148471	0.01455604075691412	0.004366812227074236	0.010189228529839884	0.010189228529839884	0.011644832605531296	0.008733624454148471	0.005822416302765648	0.010189228529839884	0.0072780203784570605	0.002911208151382824	0.001455604075691412	0.004366812227074236	0.002911208151382824	0.011644832605531296	0.008733624454148471	0.0072780203784570605	0.008733624454148471	0.013100436681222707	0.005822416302765648	0.005822416302765648	0.008733624454148471	0.00727802037845706	0.0	0.002911208151382824	0.005822416302765648	0.01455604075691412	0.00727802037845706	0.010189228529839884	0.004366812227074236	0.005822416302765648	0.00727802037845706	0.011644832605531296	0.018922852983988356	0.001455604075691412	0.001455604075691412	0.004366812227074236	0.002911208151382824	0.004366812227074236	0.011644832605531296	0.002911208151382824	0.005822416302765648	0.00727802037845706	0.001455604075691412	0.00727802037845706	0.011644832605531296	0.0072780203784570605	0.004366812227074236	0.010189228529839884	0.004366812227074236	0.005822416302765648	0.001455604075691412	0.004366812227074236	0.010189228529839884	0.01455604075691412	0.005822416302765648	0.002911208151382824	0.00727802037845706	0.005822416302765648	0.008733624454148471	0.010189228529839884	0.020378457059679767	0.002911208151382824	0.008733624454148471	0.008733624454148471	0.004366812227074236	0.010189228529839884	0.008733624454148471	0.011644832605531296	0.008733624454148471	0.002911208151382824	0.010189228529839884	0.01601164483260553	0.017467248908296942	0.004366812227074236	0.0	0.002911208151382824	0.013100436681222707	0.010189228529839884	0.004366812227074236	0.005822416302765648	0.01455604075691412	0.005822416302765648	0.005822416302765648	0.020378457059679767	0.005822416302765648	0.002911208151382824	0.004366812227074236	0.002911208151382824	0.0	0.0072780203784570605	0.002911208151382824	0.011644832605531296	0.013100436681222707	0.002911208151382824	0.020378457059679767	0.010189228529839884	0.008733624454148471	0.00727802037845706	0.011644832605531296	0.004366812227074236	0.005822416302765648	0.00727802037845706	0.002911208151382824	0.011644832605531296	0.001455604075691412	0.008733624454148471	0.00727802037845706	0.0072780203784570605	0.008733624454148471	0.002911208151382824	0.011644832605531296	0.002911208151382824	0.011644832605531296	0.001455604075691412	0.005822416302765648	0.002911208151382824	0.0072780203784570605	0.0	0.010189228529839884	0.011644832605531296	0.010189228529839884	0.005822416302765648	0.004366812227074236	0.002911208151382824	0.001455604075691412	0.00727802037845706	0.011644832605531296	0.001455604075691412	0.011644832605531296	0.002911208151382824	0.001455604075691412
S_enterica_LT2_RAND_143	-48.1	-1000	1000	0	1	0	1	0.014388489208633094	0.0035971223021582736	0.02158273381294964	0.01079136690647482	0.014388489208633094	0.007194244604316547	0.0035971223021582736	0.007194244604316547	0.007194244604316547	0.0035971223021582736	0.007194244604316547	0.01079136690647482	0.02158273381294964	0.014388489208633094	0.007194244604316547	0.0035971223021582736	0.021582733812949638	0.007194244604316547	0.007194244604316547	0.0	0.0035971223021582736	0.007194244604316547	0.007194244604316547	0.007194244604316547	0.0	0.007194244604316547	0.0	0.0	0.0	0.0035971223021582736	0.007194244604316547	0.007194244604316547	0.0	0.0	0.0035971223021582736	0.0035971223021582736	0.007194244604316547	0.025179856115107917	0.0035971223021582736	0.007194244604316547	0.007194244604316547	0.0035971223021582736	0.007194244604316547	0.0035971223021582736	0.0035971223021582736	0.014388489208633094	0.01079136690647482	0.0	0.007194244604316547	0.014388489208633094	0.017985611510791366	0.017985611510791366	0.0035971223021582736	0.007194244604316547	0.01079136690647482	0.014388489208633094	0.01079136690647482	0.014388489208633094	0.014388489208633094	0.02158273381294964	0.0	0.0035971223021582736	0.01079136690647482	0.0	0.0	0.025179856115107917	0.01079136690647482	0.0	0.007194244604316547	0.0035971223021582736	0.0035971223021582736	0.0035971223021582736	0.014388489208633094	0.01079136690647482	0.007194244604316547	0.007194244604316547	0.0035971223021582736	0.02158273381294964	0.0035971223021582736	0.0035971223021582736	0.0035971223021582736	0.0035971223021582736	0.0	0.007194244604316547	0.007194244604316547	0.014388489208633094	0.007194244604316547	0.014388489208633094	0.007194244604316547	0.0035971223021582736	0.0	0.0035971223021582736	0.0	0.0035971223021582736	0.0	0.01079136690647482	0.007194244604316547	0.01079136690647482	0.007194244604316547	0.0	0.014388489208633094	0.0	0.0	0.0	0.0035971223021582736	0.007194244604316547	0.017985611510791366	0.007194244604316547	0.01079136690647482	0.007194244604316547	0.014388489208633094	0.0035971223021582736	0.017985611510791366	0.007194244604316547	0.007194244604316547	0.007194244604316547	0.0	0.01079136690647482	0.0	0.01079136690647482	0.007194244604316547	0.017985611510791366	0.0035971223021582736	0.0035971223021582736	0.0	0.007194244604316547	0.007194244604316547	0.017985611510791366	0.0	0.0	0.014388489208633094	0.0035971223021582736	0.0035971223021582736	0.007194244604316547	0.007194244604316547	0.0
S_enterica_LT2_RAND_209	-35.34	-61	1000	0	0	0	0	0.0106951871657754	0.0	0.0106951871657754	0.0160427807486631	0.0106951871657754	0.016042780748663103	0.0	0.0053475935828877	0.0	0.0160427807486631	0.0053475935828877	0.0	0.0106951871657754	0.0106951871657754	0.016042780748663103	0.0053475935828877	0.0053475935828877	0.0	0.0053475935828877	0.0106951871657754	0.0106951871657754	0.0053475935828877	0.0053475935828877	0.0053475935828877	0.0	0.0106951871657754	0.0	0.0053475935828877	0.0	0.0	0.0106951871657754	0.0	0.0	0.0053475935828877	0.0106951871657754	0.0053475935828877	0.0053475935828877	0.0160427807486631	0.0053475935828877	0.0106951871657754	0.0	0.0	0.0	0.0053475935828877	0.0	0.0106951871657754	0.0053475935828877	0.0053475935828877	0.0106951871657754	0.021390374331550804	0.0106951871657754	0.0106951871657754	0.016042780748663103	0.0053475935828877	0.0160427807486631	0.0160427807486631	0.0053475935828877	0.0106951871657754	0.0160427807486631	0.0106951871657754	0.0	0.0053475935828877	0.0	0.0	0.0160427807486631	0.0106951871657754	0.0106951871657754	0.0106951871657754	0.0106951871657754	0.0053475935828877	0.0160427807486631	0.0053475935828877	0.0160427807486631	0.0053475935828877	0.0	0.0	0.0	0.0053475935828877	0.016042780748663103	0.0	0.0	0.0106951871657754	0.0106951871657754	0.0	0.0053475935828877	0.026737967914438505	0.016042780748663103	0.021390374331550804	0.0106951871657754	0.0106951871657754	0.0106951871657754	0.0	0.0	0.0	0.0053475935828877	0.0	0.0160427807486631	0.0106951871657754	0.0	0.0106951871657754	0.0	0.021390374331550804	0.0053475935828877	0.0106951871657754	0.0	0.0053475935828877	0.0106951871657754	0.0106951871657754	0.0053475935828877	0.0	0.021390374331550804	0.0	0.021390374331550804	0.0213903743315508	0.0053475935828877	0.026737967914438502	0.0106951871657754	0.0	0.0	0.0	0.0	0.0053475935828877	0.0	0.0106951871657754	0.0	0.0	0.0106951871657754	0.0	0.0	0.0053475935828877	0.0106951871657754	0.0160427807486631	0.0053475935828877	0.0053475935828877	0.0053475935828877	0.0053475935828877
S_enterica_LT2_RAND_212	-10.6	0	1000	0	0	0	0	0.0	0.0	0.0	0.010101010101010102	0.0	0.010101010101010102	0.0	0.0	0.020202020202020204	0.010101010101010102	0.0	0.010101010101010102	0.020202020202020204	0.010101010101010102	0.0	0.020202020202020204	0.0	0.010101010101010102	0.020202020202020204	0.0	0.010101010101010102	0.010101010101010102	0.0	0.010101010101010102	0.020202020202020204	0.0	0.0	0.0	0.0	0.0	0.0	0.020202020202020204	0.0	0.0	0.020202020202020204	0.010101010101010102	0.0	0.010101010101010102	0.0	0.0	0.0	0.020202020202020204	0.010101010101010102	0.0	0.0	0.020202020202020204	0.010101010101010102	0.0	0.0	0.030303030303030304	0.010101010101010102	0.020202020202020204	0.020202020202020204	0.010101010101010102	0.010101010101010102	0.010101010101010102	0.030303030303030304	0.020202020202020204	0.0	0.0	0.010101010101010102	0.0	0.010101010101010102	0.0	0.010101010101010102	0.010101010101010102	0.010101010101010102	0.0	0.04040404040404041	0.0	0.0	0.0	0.0	0.0	0.010101010101010102	0.020202020202020204	0.0	0.020202020202020204	0.010101010101010102	0.0	0.020202020202020204	0.010101010101010102	0.010101010101010102	0.010101010101010102	0.010101010101010102	0.010101010101010102	0.0	0.0	0.020202020202020204	0.010101010101010102	0.0	0.0	0.0	0.0	0.0	0.010101010101010102	0.0	0.010101010101010102	0.030303030303030304	0.0	0.010101010101010102	0.0	0.020202020202020204	0.0	0.0	0.0	0.010101010101010102	0.010101010101010102	0.010101010101010102	0.0	0.0	0.0	0.010101010101010102	0.0	0.0	0.0	0.010101010101010102	0.010101010101010102	0.0	0.030303030303030304	0.010101010101010102	0.010101010101010102	0.010101010101010102	0.0	0.0	0.010101010101010102	0.0	0.010101010101010102	0.0	0.0	0.020202020202020204	0.0	0.010101010101010102	0.010101010101010102	0.0	0.010101010101010102
S_enterica_LT2_RAND_305	-5.2	-42	1000	0	0	0	0	0.012987012987012988	0.012987012987012988	0.0	0.012987012987012988	0.0	0.025974025974025976	0.0	0.0	0.0	0.0	0.0	0.0	0.025974025974025976	0.012987012987012988	0.0	0.025974025974025976	0.0	0.0	0.0	0.0	0.025974025974025976	0.012987012987012988	0.012987012987012988	0.0	0.012987012987012988	0.0	0.012987012987012988	0.0	0.0	0.0	0.012987012987012988	0.0	0.0	0.0	0.0	0.012987012987012988	0.0	0.012987012987012988	0.0	0.0	0.0	0.0	0.0	0.0	0.012987012987012988	0.0	0.0	0.0	0.025974025974025976	0.012987012987012988	0.012987012987012988	0.012987012987012988	0.025974025974025976	0.0	0.025974025974025976	0.0	0.05194805194805195	0.025974025974025976	0.0	0.0	0.0	0.0	0.012987012987012988	0.012987012987012988	0.0	0.025974025974025976	0.0	0.0	0.0	0.025974025974025976	0.0	0.025974025974025976	0.025974025974025976	0.012987012987012988	0.0	0.012987012987012988	0.025974025974025976	0.012987012987012988	0.0	0.0	0.0	0.025974025974025976	0.012987012987012988	0.0	0.0	0.012987012987012988	0.0	0.012987012987012988	0.012987012987012988	0.0	0.012987012987012988	0.0	0.0	0.0	0.0	0.0	0.012987012987012988	0.0	0.0	0.0	0.025974025974025976	0.012987012987012988	0.0	0.012987012987012988	0.0	0.0	0.025974025974025976	0.0	0.025974025974025976	0.0	0.012987012987012988	0.0	0.012987012987012988	0.0	0.0	0.025974025974025976	0.0	0.012987012987012988	0.0	0.0	0.0	0.0	0.0	0.0	0.012987012987012988	0.0	0.0	0.0	0.0	0.0	0.0	0.025974025974025976	0.0	0.03896103896103896	0.0	0.0
S_enterica_LT2_RAND_309	-41.1	-1000	870	0	1	0	1	0.0078125	0.0	0.0078125	0.0234375	0.0	0.0078125	0.0078125	0.0	0.0078125	0.0078125	0.0	0.015625	0.0	0.0078125	0.0078125	0.015625	0.0	0.0	0.0078125	0.0078125	0.0	0.0	0.0078125	0.0	0.015625	0.0	0.0	0.0078125	0.0078125	0.0	0.0	0.015625	0.0	0.0078125	0.0078125	0.0078125	0.0078125	0.03125	0.0	0.0	0.0078125	0.0	0.0	0.0078125	0.015625	0.015625	0.0	0.015625	0.0	0.0078125	0.0078125	0.0078125	0.0	0.0078125	0.015625	0.0078125	0.0078125	0.0078125	0.0078125	0.0	0.0078125	0.0	0.0	0.015625	0.0078125	0.0078125	0.0078125	0.015625	0.0078125	0.0	0.0078125	0.0078125	0.0	0.0	0.0078125	0.0078125	0.0078125	0.0234375	0.0078125	0.0	0.0	0.0234375	0.0078125	0.0	0.015625	0.03125	0.015625	0.015625	0.015625	0.0078125	0.0	0.0078125	0.0078125	0.0	0.0	0.0078125	0.0078125	0.0078125	0.0	0.015625	0.0078125	0.0078125	0.0078125	0.0	0.0078125	0.015625	0.0	0.0078125	0.015625	0.0234375	0.0234375	0.0078125	0.015625	0.03125	0.015625	0.0	0.0078125	0.015625	0.0	0.0	0.0	0.0078125	0.0	0.0	0.0	0.0078125	0.015625	0.0078125	0.0078125	0.0078125	0.0	0.0078125	0.0	0.0	0.0078125	0.0
S_enterica_LT2_RAND_317	-43.5	0	1000	0	0	0	0	0.012295081967213115	0.0	0.00819672131147541	0.012295081967213115	0.004098360655737705	0.012295081967213115	0.004098360655737705	0.004098360655737705	0.00819672131147541	0.004098360655737705	0.0	0.00819672131147541	0.0	0.012295081967213115	0.004098360655737705	0.00819672131147541	0.0	0.004098360655737705	0.012295081967213115	0.004098360655737705	0.004098360655737705	0.01639344262295082	0.004098360655737705	0.012295081967213115	0.012295081967213115	0.012295081967213115	0.004098360655737705	0.0	0.0	0.004098360655737705	0.01639344262295082	0.0	0.004098360655737705	0.00819672131147541	0.0	0.012295081967213115	0.00819672131147541	0.012295081967213115	0.0	0.00819672131147541	0.0	0.004098360655737705	0.012295081967213115	0.00819672131147541	0.004098360655737705	0.004098360655737705	0.00819672131147541	0.0	0.0	0.02459016393442623	0.01639344262295082	0.01639344262295082	0.0	0.00819672131147541	0.0	0.004098360655737705	0.012295081967213115	0.004098360655737705	0.00819672131147541	0.01639344262295082	0.004098360655737705	0.00819672131147541	0.01639344262295082	0.00819672131147541	0.004098360655737705	0.00819672131147541	0.020491803278688527	0.004098360655737705	0.004098360655737705	0.0	0.00819672131147541	0.012295081967213115	0.00819672131147541	0.012295081967213115	0.012295081967213115	0.012295081967213115	0.0	0.020491803278688527	0.012295081967213115	0.004098360655737705	0.0	0.012295081967213115	0.004098360655737705	0.0	0.028688524590163935	0.004098360655737705	0.012295081967213115	0.012295081967213115	0.020491803278688523	0.00819672131147541	0.00819672131147541	0.012295081967213115	0.004098360655737705	0.0	0.0	0.004098360655737705	0.012295081967213115	0.020491803278688527	0.0	0.00819672131147541	0.004098360655737705	0.004098360655737705	0.004098360655737705	0.004098360655737705	0.0	0.00819672131147541	0.00819672131147541	0.01639344262295082	0.00819672131147541	0.00819672131147541	0.004098360655737705	0.004098360655737705	0.012295081967213115	0.012295081967213115	0.012295081967213115	0.00819672131147541	0.00819672131147541	0.00819672131147541	0.004098360655737705	0.00819672131147541	0.004098360655737705	0.0	0.00819672131147541	0.00819672131147541	0.012295081967213115	0.004098360655737705	0.00819672131147541	0.004098360655737705	0.0	0.0	0.01639344262295082	0.00819672131147541	0.004098360655737705	0.00819672131147541	0.0	0.0
S_enterica_LT2_RAND_326	-27.7	-694	1000	0	0	0	0	0.012658227848101266	0.012658227848101266	0.0	0.0	0.0	0.0	0.012658227848101266	0.0	0.0	0.05063291139240506	0.0	0.0	0.012658227848101266	0.0	0.0	0.0	0.0	0.0	0.012658227848101266	0.0	0.0	0.0	0.0	0.0	0.012658227848101266	0.0379746835443038	0.0	0.0	0.0	0.0	0.0	0.0	0.012658227848101266	0.0	0.0	0.0	0.012658227848101266	0.02531645569620253	0.0379746835443038	0.0	0.02531645569620253	0.0	0.0	0.0	0.0	0.0	0.012658227848101266	0.0	0.0	0.0	0.0	0.012658227848101266	0.0	0.012658227848101266	0.0	0.0	0.0	0.012658227848101266	0.0	0.0	0.012658227848101266	0.0	0.0	0.012658227848101266	0.012658227848101266	0.05063291139240506	0.012658227848101266	0.0	0.012658227848101266	0.0	0.012658227848101266	0.0	0.012658227848101266	0.0	0.0	0.0	0.012658227848101266	0.02531645569620253	0.012658227848101266	0.012658227848101266	0.0	0.02531645569620253	0.0	0.012658227848101266	0.012658227848101266	0.0379746835443038	0.012658227848101266	0.012658227848101266	0.05063291139240506	0.012658227848101266	0.012658227848101266	0.012658227848101266	0.0	0.0	0.0	0.0	0.012658227848101266	0.02531645569620253	0.012658227848101266	0.02531645569620253	0.012658227848101266	0.0	0.012658227848101266	0.0	0.0	0.012658227848101266	0.0	0.0	0.012658227848101266	0.012658227848101266	0.02531645569620253	0.0	0.012658227848101266	0.012658227848101266	0.0	0.012658227848101266	0.0	0.05063291139240506	0.0	0.0	0.0	0.0	0.0	0.012658227848101266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
S_enterica_LT2_RAND_337	-24.9	-1000	1000	0	0	0	0	0.006944444444444444	0.006944444444444444	0.013888888888888888	0.0	0.0	0.006944444444444444	0.006944444444444444	0.006944444444444444	0.013888888888888888	0.020833333333333332	0.006944444444444444	0.0	0.006944444444444444	0.0	0.027777777777777776	0.0	0.006944444444444444	0.0	0.0	0.006944444444444444	0.013888888888888888	0.006944444444444444	0.013888888888888888	0.0	0.0	0.013888888888888888	0.013888888888888888	0.0	0.0	0.006944444444444444	0.006944444444444444	0.006944444444444444	0.006944444444444444	0.006944444444444444	0.0	0.0	0.013888888888888888	0.006944444444444444	0.0	0.006944444444444444	0.006944444444444444	0.0	0.006944444444444444	0.0	0.0	0.006944444444444444	0.020833333333333332	0.0	0.006944444444444444	0.006944444444444444	0.013888888888888888	0.006944444444444444	0.027777777777777776	0.013888888888888888	0.013888888888888888	0.013888888888888888	0.006944444444444444	0.013888888888888888	0.006944444444444444	0.0	0.0	0.0	0.006944444444444444	0.013888888888888888	0.0	0.0	0.0	0.006944444444444444	0.013888888888888888	0.006944444444444444	0.0	0.020833333333333332	0.0	0.006944444444444444	0.013888888888888888	0.013888888888888888	0.020833333333333332	0.020833333333333332	0.013888888888888888	0.006944444444444444	0.0	0.013888888888888888	0.006944444444444444	0.0	0.013888888888888888	0.020833333333333332	0.006944444444444444	0.027777777777777776	0.027777777777777776	0.006944444444444444	0.006944444444444444	0.006944444444444444	0.0	0.0	0.0	0.0	0.0	0.006944444444444444	0.006944444444444444	0.020833333333333332	0.006944444444444444	0.013888888888888888	0.013888888888888888	0.013888888888888888	0.006944444444444444	0.0	0.013888888888888888	0.0	0.013888888888888888	0.0	0.013888888888888888	0.006944444444444444	0.006944444444444444	0.006944444444444444	0.0	0.020833333333333332	0.006944444444444444	0.006944444444444444	0.006944444444444444	0.006944444444444444	0.006944444444444444	0.0	0.0	0.013888888888888888	0.0	0.0	0.006944444444444444	0.0	0.0	0.006944444444444444	0.0	0.0	0.0	0.006944444444444444	0.006944444444444444	0.006944444444444444
