	SS	PromoterDistance	DistTerm	Distance	sameStrand	DownDistance	sameDownStrand	AAAA/TTTT	AAAC/GTTT	AAAG/CTTT	AAAT/ATTT	AACA/TGTT	AACC/GGTT	AACG/CGTT	AACT/AGTT	AAGA/TCTT	AAGC/GCTT	AAGG/CCTT	AAGT/ACTT	AATA/TATT	AATC/GATT	AATG/CATT	AATT/AATT	ACAA/TTGT	ACAC/GTGT	ACAG/CTGT	ACAT/ATGT	ACCA/TGGT	ACCC/GGGT	ACCG/CGGT	ACCT/AGGT	ACGA/TCGT	ACGC/GCGT	ACGG/CCGT	ACGT/ACGT	ACTA/TAGT	ACTC/GAGT	ACTG/CAGT	AGAA/TTCT	AGAC/GTCT	AGAG/CTCT	AGAT/ATCT	AGCA/TGCT	AGCC/GGCT	AGCG/CGCT	AGCT/AGCT	AGGA/TCCT	AGGC/GCCT	AGGG/CCCT	AGTA/TACT	AGTC/GACT	AGTG/CACT	ATAA/TTAT	ATAC/GTAT	ATAG/CTAT	ATAT/ATAT	ATCA/TGAT	ATCC/GGAT	ATCG/CGAT	ATGA/TCAT	ATGC/GCAT	ATGG/CCAT	ATTA/TAAT	ATTC/GAAT	ATTG/CAAT	CAAA/TTTG	CAAC/GTTG	CAAG/CTTG	CACA/TGTG	CACC/GGTG	CACG/CGTG	CAGA/TCTG	CAGC/GCTG	CAGG/CCTG	CATA/TATG	CATC/GATG	CATG/CATG	CCAA/TTGG	CCAC/GTGG	CCAG/CTGG	CCCA/TGGG	CCCC/GGGG	CCCG/CGGG	CCGA/TCGG	CCGC/GCGG	CCGG/CCGG	CCTA/TAGG	CCTC/GAGG	CGAA/TTCG	CGAC/GTCG	CGAG/CTCG	CGCA/TGCG	CGCC/GGCG	CGCG/CGCG	CGGA/TCCG	CGGC/GCCG	CGTA/TACG	CGTC/GACG	CTAA/TTAG	CTAC/GTAG	CTAG/CTAG	CTCA/TGAG	CTCC/GGAG	CTGA/TCAG	CTGC/GCAG	CTTA/TAAG	CTTC/GAAG	GAAA/TTTC	GAAC/GTTC	GACA/TGTC	GACC/GGTC	GAGA/TCTC	GAGC/GCTC	GATA/TATC	GATC/GATC	GCAA/TTGC	GCAC/GTGC	GCCA/TGGC	GCCC/GGGC	GCGA/TCGC	GCGC/GCGC	GCTA/TAGC	GGAA/TTCC	GGAC/GTCC	GGCA/TGCC	GGCC/GGCC	GGGA/TCCC	GGTA/TACC	GTAA/TTAC	GTAC/GTAC	GTCA/TGAC	GTGA/TCAC	GTTA/TAAC	TAAA/TTTA	TACA/TGTA	TAGA/TCTA	TATA/TATA	TCAA/TTGA	TCCA/TGGA	TCGA/TCGA	TGAA/TTCA	TGCA/TGCA	TTAA/TTAA
V_cholerae_RAND_314	-26.3	-739	1000	0	1	0	1	0.017241379310344827	0.02586206896551724	0.0	0.008620689655172414	0.017241379310344827	0.008620689655172414	0.017241379310344827	0.008620689655172414	0.008620689655172414	0.017241379310344827	0.0	0.0	0.008620689655172414	0.017241379310344827	0.008620689655172414	0.0	0.008620689655172414	0.017241379310344827	0.0	0.008620689655172414	0.02586206896551724	0.0	0.0	0.0	0.008620689655172414	0.017241379310344827	0.017241379310344827	0.0	0.008620689655172414	0.008620689655172414	0.0	0.008620689655172414	0.0	0.008620689655172414	0.0	0.017241379310344827	0.008620689655172414	0.0	0.008620689655172414	0.0	0.0	0.008620689655172414	0.0	0.0	0.008620689655172414	0.008620689655172414	0.017241379310344827	0.0	0.0	0.017241379310344827	0.0	0.017241379310344827	0.0	0.008620689655172414	0.008620689655172414	0.008620689655172414	0.008620689655172414	0.008620689655172414	0.017241379310344827	0.017241379310344827	0.008620689655172414	0.0	0.0	0.017241379310344827	0.0	0.02586206896551724	0.008620689655172414	0.008620689655172414	0.008620689655172414	0.0	0.008620689655172414	0.0	0.017241379310344827	0.0	0.0	0.008620689655172414	0.0	0.017241379310344827	0.0	0.0	0.0	0.02586206896551724	0.008620689655172414	0.0	0.017241379310344827	0.017241379310344827	0.017241379310344827	0.0	0.02586206896551724	0.008620689655172414	0.0	0.0	0.008620689655172414	0.0	0.0	0.0	0.008620689655172414	0.008620689655172414	0.0	0.017241379310344827	0.017241379310344827	0.0	0.0	0.008620689655172414	0.0	0.0	0.008620689655172414	0.0	0.02586206896551724	0.008620689655172414	0.008620689655172414	0.008620689655172414	0.034482758620689655	0.0	0.0	0.008620689655172414	0.0	0.017241379310344827	0.0	0.008620689655172414	0.008620689655172414	0.008620689655172414	0.0	0.0	0.0	0.008620689655172414	0.0	0.017241379310344827	0.008620689655172414	0.0	0.008620689655172414	0.0	0.0	0.0	0.0	0.0
V_cholerae_RAND_246	-39.0	-172	1000	-86	0	0	0	0.04424778761061947	0.017699115044247787	0.02654867256637168	0.008849557522123894	0.017699115044247787	0.02654867256637168	0.017699115044247787	0.0	0.008849557522123894	0.017699115044247787	0.0	0.008849557522123894	0.0	0.0	0.008849557522123894	0.008849557522123894	0.0	0.0	0.017699115044247787	0.0	0.02654867256637168	0.0	0.008849557522123894	0.0	0.0	0.017699115044247787	0.008849557522123894	0.0	0.0	0.0	0.008849557522123894	0.008849557522123894	0.0	0.0	0.0	0.008849557522123894	0.017699115044247787	0.017699115044247787	0.008849557522123894	0.0	0.008849557522123894	0.0	0.0	0.0	0.017699115044247787	0.0	0.0	0.0	0.0	0.0	0.008849557522123894	0.0	0.0	0.017699115044247787	0.0	0.008849557522123894	0.0	0.008849557522123894	0.017699115044247787	0.035398230088495575	0.0	0.0	0.0	0.008849557522123894	0.0	0.035398230088495575	0.008849557522123894	0.0	0.008849557522123894	0.0	0.008849557522123894	0.02654867256637168	0.008849557522123894	0.008849557522123894	0.035398230088495575	0.017699115044247787	0.008849557522123894	0.008849557522123894	0.0	0.0	0.0	0.017699115044247787	0.0	0.0	0.02654867256637168	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008849557522123894	0.008849557522123894	0.017699115044247787	0.008849557522123894	0.0	0.04424778761061947	0.008849557522123894	0.0	0.008849557522123894	0.0	0.008849557522123894	0.0	0.0	0.02654867256637168	0.0	0.008849557522123894	0.008849557522123894	0.008849557522123894	0.008849557522123894	0.0	0.0	0.0	0.008849557522123894	0.0	0.017699115044247787	0.0	0.0	0.0	0.008849557522123894	0.0	0.0	0.0	0.0	0.0	0.0	0.02654867256637168	0.0	0.0	0.02654867256637168	0.008849557522123894	0.008849557522123894
V_cholerae_RAND_255	0.0	-629	1000	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.07692307692307693	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07692307692307693	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07692307692307693	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07692307692307693	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07692307692307693	0.0	0.0	0.0	0.0	0.0	0.07692307692307693	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07692307692307693	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07692307692307693	0.07692307692307693	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07692307692307693	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07692307692307693	0.0	0.0	0.0	0.0	0.07692307692307693	0.0	0.0	0.0	0.0	0.07692307692307693
V_cholerae_RAND_263	-1.6	-23	1000	-175	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.08333333333333333	0.0	0.0	0.08333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08333333333333333	0.0	0.0	0.0	0.0	0.08333333333333333	0.0	0.0	0.0	0.0	0.08333333333333333	0.0	0.08333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.08333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08333333333333333	0.0	0.0	0.0	0.0	0.0	0.08333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08333333333333333	0.08333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
V_cholerae_RAND_278	-25.8	-770	1000	0	0	0	0	0.01764705882352941	0.01764705882352941	0.0058823529411764705	0.011764705882352941	0.0	0.0058823529411764705	0.011764705882352941	0.023529411764705882	0.0	0.0058823529411764705	0.0	0.023529411764705882	0.0	0.023529411764705882	0.011764705882352941	0.0058823529411764705	0.0	0.0058823529411764705	0.0058823529411764705	0.0	0.011764705882352941	0.0	0.0058823529411764705	0.0058823529411764705	0.0058823529411764705	0.0	0.0	0.0058823529411764705	0.0058823529411764705	0.023529411764705882	0.0058823529411764705	0.011764705882352941	0.0	0.011764705882352941	0.0	0.0058823529411764705	0.011764705882352941	0.0	0.0058823529411764705	0.0	0.0	0.011764705882352941	0.011764705882352941	0.011764705882352941	0.011764705882352941	0.0058823529411764705	0.0058823529411764705	0.0058823529411764705	0.0	0.023529411764705882	0.0058823529411764705	0.023529411764705882	0.01764705882352941	0.0	0.0058823529411764705	0.0	0.011764705882352941	0.023529411764705882	0.023529411764705882	0.011764705882352941	0.0058823529411764705	0.0058823529411764705	0.011764705882352941	0.0058823529411764705	0.0058823529411764705	0.011764705882352941	0.0058823529411764705	0.0	0.011764705882352941	0.0	0.011764705882352941	0.0058823529411764705	0.0058823529411764705	0.0058823529411764705	0.0	0.0	0.0058823529411764705	0.0	0.0058823529411764705	0.0058823529411764705	0.0058823529411764705	0.0	0.0	0.011764705882352941	0.0058823529411764705	0.0058823529411764705	0.0	0.0058823529411764705	0.0058823529411764705	0.0	0.0	0.011764705882352941	0.0	0.0	0.023529411764705882	0.0058823529411764705	0.01764705882352941	0.0	0.011764705882352941	0.0058823529411764705	0.0058823529411764705	0.011764705882352941	0.0	0.0058823529411764705	0.011764705882352941	0.011764705882352941	0.01764705882352941	0.0	0.023529411764705882	0.0058823529411764705	0.0058823529411764705	0.011764705882352941	0.011764705882352941	0.0	0.0	0.0058823529411764705	0.0	0.0058823529411764705	0.0	0.0058823529411764705	0.0	0.0	0.0058823529411764705	0.01764705882352941	0.01764705882352941	0.0	0.0058823529411764705	0.0058823529411764705	0.0058823529411764705	0.0	0.029411764705882353	0.0058823529411764705	0.0058823529411764705	0.01764705882352941	0.0058823529411764705	0.0
V_cholerae_RAND_291	-40.2	0	1000	0	0	0	0	0.034482758620689655	0.009852216748768473	0.0049261083743842365	0.029556650246305417	0.0	0.009852216748768473	0.0	0.009852216748768473	0.0	0.0	0.0	0.009852216748768473	0.009852216748768473	0.014778325123152709	0.0	0.014778325123152709	0.009852216748768473	0.009852216748768473	0.014778325123152709	0.0049261083743842365	0.019704433497536946	0.0049261083743842365	0.009852216748768473	0.0049261083743842365	0.0049261083743842365	0.009852216748768473	0.0049261083743842365	0.0	0.0049261083743842365	0.0	0.0049261083743842365	0.0049261083743842365	0.0049261083743842365	0.0	0.0049261083743842365	0.019704433497536946	0.0	0.014778325123152709	0.0	0.0	0.0049261083743842365	0.0	0.0049261083743842365	0.0	0.0049261083743842365	0.0049261083743842365	0.009852216748768473	0.0	0.0	0.009852216748768473	0.0049261083743842365	0.014778325123152709	0.0049261083743842365	0.0049261083743842365	0.0	0.009852216748768473	0.0049261083743842365	0.014778325123152709	0.014778325123152709	0.0049261083743842365	0.0049261083743842365	0.014778325123152709	0.019704433497536946	0.0	0.0049261083743842365	0.024630541871921183	0.009852216748768473	0.0	0.0049261083743842365	0.0049261083743842365	0.014778325123152709	0.014778325123152709	0.009852216748768473	0.009852216748768473	0.0049261083743842365	0.0049261083743842365	0.009852216748768473	0.014778325123152709	0.009852216748768473	0.0	0.0	0.009852216748768473	0.009852216748768473	0.014778325123152709	0.0049261083743842365	0.029556650246305417	0.009852216748768473	0.0049261083743842365	0.02955665024630542	0.0049261083743842365	0.014778325123152709	0.0049261083743842365	0.0049261083743842365	0.0	0.0	0.0	0.014778325123152709	0.0049261083743842365	0.0	0.0	0.019704433497536946	0.0049261083743842365	0.009852216748768473	0.0049261083743842365	0.009852216748768473	0.0049261083743842365	0.0049261083743842365	0.0049261083743842365	0.014778325123152709	0.0049261083743842365	0.0049261083743842365	0.0049261083743842365	0.02463054187192118	0.009852216748768473	0.0049261083743842365	0.0049261083743842365	0.0049261083743842365	0.0049261083743842365	0.0049261083743842365	0.0049261083743842365	0.0049261083743842365	0.009852216748768473	0.0	0.009852216748768473	0.009852216748768473	0.0	0.009852216748768473	0.009852216748768473	0.0	0.0	0.0	0.0049261083743842365	0.0049261083743842365	0.009852216748768473	0.0	0.0
V_cholerae_RAND_294	-30.5	-764	1000	0	1	0	1	0.008	0.016	0.008	0.008	0.016	0.016	0.016	0.0	0.0	0.024	0.0	0.016	0.016	0.008	0.008	0.0	0.0	0.0	0.0	0.016	0.032	0.016	0.008	0.0	0.008	0.016	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.016	0.016	0.008	0.008	0.0	0.0	0.0	0.0	0.008	0.008	0.016	0.0	0.0	0.0	0.008	0.0	0.016	0.0	0.0	0.008	0.008	0.016	0.0	0.016	0.016	0.032	0.0	0.032	0.0	0.008	0.016	0.0	0.0	0.016	0.0	0.024	0.024	0.008	0.016	0.008	0.008	0.008	0.008	0.008	0.0	0.0	0.0	0.024	0.0	0.016	0.008	0.024	0.008	0.008	0.0	0.008	0.0	0.0	0.0	0.008	0.008	0.0	0.016	0.0	0.0	0.008	0.016	0.0	0.016	0.0	0.016	0.0	0.0	0.008	0.008	0.008	0.008	0.024	0.016	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.008	0.0	0.008	0.0	0.0	0.0	0.032	0.008	0.0	0.024	0.0	0.0
V_cholerae_RAND_297	-6.4	-273	1000	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05555555555555555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05555555555555555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05555555555555555	0.0	0.0	0.0	0.05555555555555555	0.0	0.0	0.0	0.05555555555555555	0.0	0.0	0.0	0.0	0.0	0.0	0.05555555555555555	0.0	0.0	0.0	0.05555555555555555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05555555555555555	0.05555555555555555	0.0	0.0	0.0	0.0	0.05555555555555555	0.0	0.05555555555555555	0.0	0.0	0.05555555555555555	0.05555555555555555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05555555555555555	0.0	0.0	0.0	0.0	0.05555555555555555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05555555555555555	0.05555555555555555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05555555555555555	0.0	0.0	0.0	0.0	0.0
V_cholerae_RAND_305	-18.0	-1000	1000	0	0	0	0	0.03418803418803419	0.025641025641025644	0.008547008547008548	0.008547008547008548	0.0	0.008547008547008548	0.008547008547008548	0.0	0.0	0.008547008547008548	0.008547008547008548	0.008547008547008548	0.0	0.017094017094017096	0.008547008547008548	0.0	0.008547008547008548	0.0	0.0	0.0	0.008547008547008548	0.0	0.0	0.008547008547008548	0.008547008547008548	0.008547008547008548	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008547008547008548	0.017094017094017096	0.017094017094017096	0.008547008547008548	0.017094017094017096	0.008547008547008548	0.0	0.025641025641025644	0.0	0.0	0.0	0.008547008547008548	0.008547008547008548	0.0	0.017094017094017096	0.0	0.0	0.008547008547008548	0.025641025641025644	0.0	0.017094017094017096	0.0	0.0	0.0	0.017094017094017096	0.025641025641025644	0.0	0.017094017094017096	0.008547008547008548	0.008547008547008548	0.008547008547008548	0.0	0.02564102564102564	0.008547008547008548	0.0	0.008547008547008548	0.0	0.017094017094017096	0.02564102564102564	0.017094017094017096	0.0	0.0	0.008547008547008548	0.008547008547008548	0.008547008547008548	0.0	0.008547008547008548	0.008547008547008548	0.008547008547008548	0.0	0.0	0.017094017094017096	0.025641025641025644	0.008547008547008548	0.008547008547008548	0.0	0.0	0.0	0.0	0.0	0.008547008547008548	0.008547008547008548	0.017094017094017096	0.008547008547008548	0.008547008547008548	0.0	0.0	0.008547008547008548	0.0	0.0	0.0	0.008547008547008548	0.017094017094017096	0.025641025641025644	0.0	0.03418803418803419	0.008547008547008548	0.042735042735042736	0.0	0.008547008547008548	0.02564102564102564	0.008547008547008548	0.0	0.0	0.017094017094017096	0.008547008547008548	0.008547008547008548	0.0	0.0	0.0	0.0	0.0	0.0	0.008547008547008548	0.0	0.017094017094017096	0.0	0.0	0.008547008547008548	0.008547008547008548	0.0	0.008547008547008548	0.0
V_cholerae_RAND_312	-14.0	-58	1000	-3	0	0	1	0.007575757575757576	0.007575757575757576	0.022727272727272728	0.015151515151515152	0.022727272727272728	0.007575757575757576	0.015151515151515152	0.0	0.015151515151515152	0.015151515151515152	0.007575757575757576	0.0	0.03787878787878788	0.0	0.015151515151515152	0.0	0.022727272727272728	0.0	0.015151515151515152	0.0	0.0	0.0	0.007575757575757576	0.0	0.007575757575757576	0.0	0.0	0.015151515151515152	0.0	0.015151515151515152	0.0	0.015151515151515152	0.015151515151515152	0.015151515151515152	0.0	0.030303030303030304	0.007575757575757576	0.007575757575757576	0.007575757575757576	0.007575757575757576	0.0	0.0	0.007575757575757576	0.007575757575757576	0.0	0.015151515151515152	0.007575757575757576	0.015151515151515152	0.007575757575757576	0.0	0.007575757575757576	0.0	0.007575757575757576	0.022727272727272728	0.015151515151515152	0.007575757575757576	0.007575757575757576	0.022727272727272728	0.015151515151515152	0.0	0.007575757575757576	0.0	0.0	0.0	0.022727272727272728	0.0	0.0	0.015151515151515152	0.007575757575757576	0.007575757575757576	0.007575757575757576	0.0	0.0	0.0	0.0	0.0	0.0	0.007575757575757576	0.007575757575757576	0.0	0.0	0.015151515151515152	0.007575757575757576	0.015151515151515152	0.007575757575757576	0.007575757575757576	0.0	0.007575757575757576	0.007575757575757576	0.007575757575757576	0.015151515151515152	0.007575757575757576	0.0	0.0	0.007575757575757576	0.007575757575757576	0.0	0.007575757575757576	0.0	0.007575757575757576	0.015151515151515152	0.022727272727272728	0.007575757575757576	0.0	0.0	0.030303030303030304	0.0	0.0	0.007575757575757576	0.0	0.007575757575757576	0.0	0.015151515151515152	0.0	0.015151515151515152	0.015151515151515152	0.007575757575757576	0.0	0.0	0.0	0.0	0.015151515151515152	0.0	0.0	0.0	0.015151515151515152	0.015151515151515152	0.007575757575757576	0.007575757575757576	0.0	0.007575757575757576	0.015151515151515152	0.007575757575757576	0.007575757575757576	0.0	0.0
