	SS	PromoterDistance	DistTerm	Distance	sameStrand	DownDistance	sameDownStrand	AAAA/TTTT	AAAC/GTTT	AAAG/CTTT	AAAT/ATTT	AACA/TGTT	AACC/GGTT	AACG/CGTT	AACT/AGTT	AAGA/TCTT	AAGC/GCTT	AAGG/CCTT	AAGT/ACTT	AATA/TATT	AATC/GATT	AATG/CATT	AATT/AATT	ACAA/TTGT	ACAC/GTGT	ACAG/CTGT	ACAT/ATGT	ACCA/TGGT	ACCC/GGGT	ACCG/CGGT	ACCT/AGGT	ACGA/TCGT	ACGC/GCGT	ACGG/CCGT	ACGT/ACGT	ACTA/TAGT	ACTC/GAGT	ACTG/CAGT	AGAA/TTCT	AGAC/GTCT	AGAG/CTCT	AGAT/ATCT	AGCA/TGCT	AGCC/GGCT	AGCG/CGCT	AGCT/AGCT	AGGA/TCCT	AGGC/GCCT	AGGG/CCCT	AGTA/TACT	AGTC/GACT	AGTG/CACT	ATAA/TTAT	ATAC/GTAT	ATAG/CTAT	ATAT/ATAT	ATCA/TGAT	ATCC/GGAT	ATCG/CGAT	ATGA/TCAT	ATGC/GCAT	ATGG/CCAT	ATTA/TAAT	ATTC/GAAT	ATTG/CAAT	CAAA/TTTG	CAAC/GTTG	CAAG/CTTG	CACA/TGTG	CACC/GGTG	CACG/CGTG	CAGA/TCTG	CAGC/GCTG	CAGG/CCTG	CATA/TATG	CATC/GATG	CATG/CATG	CCAA/TTGG	CCAC/GTGG	CCAG/CTGG	CCCA/TGGG	CCCC/GGGG	CCCG/CGGG	CCGA/TCGG	CCGC/GCGG	CCGG/CCGG	CCTA/TAGG	CCTC/GAGG	CGAA/TTCG	CGAC/GTCG	CGAG/CTCG	CGCA/TGCG	CGCC/GGCG	CGCG/CGCG	CGGA/TCCG	CGGC/GCCG	CGTA/TACG	CGTC/GACG	CTAA/TTAG	CTAC/GTAG	CTAG/CTAG	CTCA/TGAG	CTCC/GGAG	CTGA/TCAG	CTGC/GCAG	CTTA/TAAG	CTTC/GAAG	GAAA/TTTC	GAAC/GTTC	GACA/TGTC	GACC/GGTC	GAGA/TCTC	GAGC/GCTC	GATA/TATC	GATC/GATC	GCAA/TTGC	GCAC/GTGC	GCCA/TGGC	GCCC/GGGC	GCGA/TCGC	GCGC/GCGC	GCTA/TAGC	GGAA/TTCC	GGAC/GTCC	GGCA/TGCC	GGCC/GGCC	GGGA/TCCC	GGTA/TACC	GTAA/TTAC	GTAC/GTAC	GTCA/TGAC	GTGA/TCAC	GTTA/TAAC	TAAA/TTTA	TACA/TGTA	TAGA/TCTA	TATA/TATA	TCAA/TTGA	TCCA/TGGA	TCGA/TCGA	TGAA/TTCA	TGCA/TGCA	TTAA/TTAA
s16673	-47.3	-949	1000	-124	0	68	0	0.0	0.016	0.0	0.0	0.008	0.0	0.024	0.024	0.0	0.008	0.008	0.024	0.0	0.008	0.0	0.0	0.008	0.008	0.0	0.008	0.0	0.008	0.008	0.008	0.016	0.008	0.0	0.0	0.008	0.016	0.0	0.0	0.0	0.0	0.008	0.008	0.0	0.016	0.008	0.008	0.008	0.008	0.008	0.008	0.008	0.008	0.0	0.016	0.0	0.008	0.008	0.0	0.016	0.008	0.008	0.0	0.0	0.008	0.008	0.016	0.024	0.008	0.016	0.0	0.0	0.016	0.008	0.016	0.008	0.008	0.032	0.0	0.0	0.024	0.024	0.0	0.0	0.016	0.0	0.016	0.0	0.008	0.016	0.0	0.0	0.024	0.008	0.0	0.008	0.0	0.0	0.0	0.016	0.0	0.016	0.016	0.0	0.024	0.0	0.016	0.0	0.024	0.008	0.0	0.0	0.016	0.008	0.0	0.008	0.0	0.008	0.0	0.016	0.008	0.0	0.008	0.0	0.0	0.0	0.016	0.008	0.0	0.0	0.0	0.024	0.0	0.008	0.0	0.008	0.0	0.008	0.008	0.0	0.024	0.016	0.0
s29783	-14.8	-355	1000	-249	1	161	0	0.02459016393442623	0.01639344262295082	0.00819672131147541	0.0	0.00819672131147541	0.01639344262295082	0.02459016393442623	0.01639344262295082	0.00819672131147541	0.0	0.0	0.01639344262295082	0.00819672131147541	0.0	0.01639344262295082	0.01639344262295082	0.0	0.00819672131147541	0.0	0.00819672131147541	0.01639344262295082	0.00819672131147541	0.0	0.00819672131147541	0.02459016393442623	0.02459016393442623	0.0	0.0	0.02459016393442623	0.0	0.0	0.00819672131147541	0.0	0.00819672131147541	0.00819672131147541	0.0	0.0	0.01639344262295082	0.0	0.0	0.0	0.00819672131147541	0.00819672131147541	0.00819672131147541	0.00819672131147541	0.00819672131147541	0.0	0.00819672131147541	0.00819672131147541	0.00819672131147541	0.0	0.00819672131147541	0.01639344262295082	0.00819672131147541	0.0	0.04098360655737705	0.00819672131147541	0.00819672131147541	0.00819672131147541	0.01639344262295082	0.00819672131147541	0.00819672131147541	0.0	0.00819672131147541	0.0	0.0	0.0	0.00819672131147541	0.00819672131147541	0.0	0.00819672131147541	0.00819672131147541	0.0	0.0	0.01639344262295082	0.00819672131147541	0.0	0.00819672131147541	0.0	0.01639344262295082	0.0	0.0	0.01639344262295082	0.01639344262295082	0.00819672131147541	0.00819672131147541	0.00819672131147541	0.0	0.0	0.0	0.01639344262295082	0.03278688524590164	0.0	0.00819672131147541	0.0	0.0	0.0	0.0	0.00819672131147541	0.0	0.0	0.02459016393442623	0.0	0.00819672131147541	0.0	0.01639344262295082	0.01639344262295082	0.0	0.00819672131147541	0.0	0.0	0.00819672131147541	0.01639344262295082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00819672131147541	0.01639344262295082	0.0	0.01639344262295082	0.00819672131147541	0.00819672131147541	0.01639344262295082	0.0	0.01639344262295082	0.0	0.02459016393442623	0.0	0.0	0.02459016393442623	0.0	0.00819672131147541
s102456	-33.0	-492	1000	-68	1	501	1	0.028985507246376812	0.007246376811594203	0.014492753623188406	0.007246376811594203	0.007246376811594203	0.014492753623188406	0.014492753623188406	0.007246376811594203	0.014492753623188406	0.007246376811594203	0.014492753623188406	0.021739130434782608	0.0	0.0	0.014492753623188406	0.007246376811594203	0.007246376811594203	0.014492753623188406	0.0	0.014492753623188406	0.007246376811594203	0.007246376811594203	0.007246376811594203	0.014492753623188406	0.007246376811594203	0.0	0.007246376811594203	0.007246376811594203	0.0	0.007246376811594203	0.007246376811594203	0.007246376811594203	0.0	0.0	0.0	0.021739130434782608	0.0	0.007246376811594203	0.0	0.007246376811594203	0.0	0.014492753623188406	0.0	0.014492753623188406	0.014492753623188406	0.007246376811594203	0.0	0.0	0.007246376811594203	0.0	0.0	0.021739130434782608	0.007246376811594203	0.007246376811594203	0.0	0.007246376811594203	0.0	0.014492753623188406	0.007246376811594203	0.0	0.014492753623188406	0.007246376811594203	0.014492753623188406	0.007246376811594203	0.0	0.0	0.014492753623188406	0.007246376811594203	0.007246376811594203	0.0	0.0	0.0	0.014492753623188406	0.0	0.0	0.0	0.007246376811594203	0.007246376811594203	0.0	0.007246376811594203	0.0	0.014492753623188406	0.007246376811594203	0.007246376811594203	0.007246376811594203	0.0	0.0	0.0	0.014492753623188406	0.0	0.007246376811594203	0.014492753623188406	0.007246376811594203	0.0	0.014492753623188406	0.0	0.0	0.007246376811594203	0.014492753623188406	0.014492753623188406	0.007246376811594203	0.028985507246376812	0.014492753623188406	0.0	0.0	0.014492753623188406	0.014492753623188406	0.0	0.014492753623188406	0.0	0.0	0.0	0.007246376811594203	0.0	0.014492753623188406	0.014492753623188406	0.007246376811594203	0.0	0.007246376811594203	0.007246376811594203	0.007246376811594203	0.007246376811594203	0.0	0.021739130434782608	0.028985507246376812	0.007246376811594203	0.014492753623188406	0.007246376811594203	0.0	0.0	0.014492753623188406	0.007246376811594203	0.014492753623188406	0.014492753623188406	0.0	0.007246376811594203
s102554	-7.7	-590	1000	-166	1	479	1	0.08064516129032258	0.0	0.03225806451612903	0.016129032258064516	0.0	0.0	0.0	0.0	0.0	0.04838709677419355	0.0	0.0	0.0	0.016129032258064516	0.03225806451612903	0.016129032258064516	0.0	0.03225806451612903	0.0	0.03225806451612903	0.016129032258064516	0.0	0.0	0.0	0.016129032258064516	0.0	0.0	0.0	0.0	0.0	0.016129032258064516	0.0	0.0	0.0	0.0	0.03225806451612903	0.0	0.016129032258064516	0.016129032258064516	0.0	0.0	0.0	0.0	0.0	0.016129032258064516	0.0	0.0	0.0	0.0	0.016129032258064516	0.0	0.0	0.0	0.0	0.0	0.016129032258064516	0.016129032258064516	0.03225806451612903	0.03225806451612903	0.0	0.0	0.016129032258064516	0.0	0.016129032258064516	0.0	0.0	0.0	0.0	0.0	0.0	0.016129032258064516	0.0	0.016129032258064516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016129032258064516	0.016129032258064516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016129032258064516	0.0	0.0	0.016129032258064516	0.0	0.0	0.0	0.0	0.016129032258064516	0.0	0.0	0.03225806451612903	0.0	0.0	0.016129032258064516	0.0	0.0	0.03225806451612903	0.0	0.0	0.0	0.016129032258064516	0.0	0.016129032258064516	0.016129032258064516	0.0	0.0	0.0	0.0	0.016129032258064516	0.03225806451612903	0.0	0.016129032258064516	0.016129032258064516	0.0	0.03225806451612903	0.016129032258064516	0.0	0.0	0.03225806451612903	0.016129032258064516	0.0	0.0	0.0	0.0
s106068	-27.4	0	1000	-167	1	466	0	0.03571428571428571	0.017857142857142856	0.017857142857142856	0.008928571428571428	0.017857142857142856	0.0	0.017857142857142856	0.0	0.017857142857142856	0.0	0.008928571428571428	0.0	0.008928571428571428	0.017857142857142856	0.008928571428571428	0.0	0.008928571428571428	0.0	0.008928571428571428	0.008928571428571428	0.008928571428571428	0.008928571428571428	0.0	0.017857142857142856	0.0	0.017857142857142856	0.0	0.008928571428571428	0.0	0.0	0.017857142857142856	0.008928571428571428	0.008928571428571428	0.008928571428571428	0.017857142857142856	0.0	0.017857142857142856	0.0	0.008928571428571428	0.0	0.008928571428571428	0.008928571428571428	0.0	0.017857142857142856	0.0	0.008928571428571428	0.0	0.008928571428571428	0.0	0.008928571428571428	0.008928571428571428	0.0	0.0	0.0	0.008928571428571428	0.008928571428571428	0.008928571428571428	0.008928571428571428	0.017857142857142856	0.0	0.0	0.0	0.008928571428571428	0.008928571428571428	0.017857142857142856	0.017857142857142856	0.0	0.0	0.008928571428571428	0.0	0.008928571428571428	0.0	0.017857142857142856	0.017857142857142856	0.017857142857142856	0.0	0.0	0.008928571428571428	0.0	0.017857142857142856	0.008928571428571428	0.0	0.0	0.008928571428571428	0.0	0.017857142857142856	0.008928571428571428	0.0	0.008928571428571428	0.008928571428571428	0.0	0.017857142857142856	0.008928571428571428	0.0	0.0	0.0	0.026785714285714284	0.0	0.008928571428571428	0.0	0.017857142857142856	0.008928571428571428	0.0	0.008928571428571428	0.0	0.008928571428571428	0.008928571428571428	0.0	0.0	0.0	0.0	0.017857142857142856	0.008928571428571428	0.0	0.008928571428571428	0.0	0.0	0.0	0.0	0.0	0.017857142857142856	0.008928571428571428	0.008928571428571428	0.017857142857142856	0.017857142857142856	0.008928571428571428	0.008928571428571428	0.008928571428571428	0.008928571428571428	0.0	0.008928571428571428	0.008928571428571428	0.0	0.026785714285714284	0.0	0.0
s108111	-10.6	-28	1000	-32	1	114	1	0.0	0.0	0.0	0.0	0.041666666666666664	0.0	0.0	0.0	0.0	0.0	0.041666666666666664	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.041666666666666664	0.0	0.0	0.0	0.0	0.041666666666666664	0.0	0.0	0.0	0.0	0.08333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.041666666666666664	0.0	0.0	0.0	0.0	0.08333333333333333	0.041666666666666664	0.0	0.041666666666666664	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.041666666666666664	0.0	0.0	0.0	0.0	0.0	0.041666666666666664	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08333333333333333	0.0	0.0	0.0	0.0	0.041666666666666664	0.0	0.0	0.0	0.0	0.041666666666666664	0.0	0.0	0.0	0.0	0.041666666666666664	0.0	0.0	0.041666666666666664	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.041666666666666664	0.0	0.041666666666666664	0.041666666666666664	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s134398	-19.7	0	1000	0	1	337	0	0.02040816326530612	0.02040816326530612	0.01020408163265306	0.01020408163265306	0.030612244897959183	0.02040816326530612	0.0	0.0	0.01020408163265306	0.0	0.02040816326530612	0.01020408163265306	0.0	0.030612244897959183	0.02040816326530612	0.0	0.02040816326530612	0.02040816326530612	0.0	0.01020408163265306	0.02040816326530612	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.030612244897959183	0.01020408163265306	0.0	0.0	0.01020408163265306	0.01020408163265306	0.0	0.0	0.0	0.02040816326530612	0.0	0.0	0.01020408163265306	0.01020408163265306	0.02040816326530612	0.02040816326530612	0.0	0.0	0.0	0.05102040816326531	0.0	0.01020408163265306	0.061224489795918366	0.0	0.01020408163265306	0.030612244897959183	0.0	0.01020408163265306	0.02040816326530612	0.01020408163265306	0.02040816326530612	0.0	0.0	0.0	0.0	0.0	0.0	0.02040816326530612	0.02040816326530612	0.01020408163265306	0.02040816326530612	0.0	0.0	0.01020408163265306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01020408163265306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01020408163265306	0.01020408163265306	0.0	0.030612244897959183	0.0	0.01020408163265306	0.01020408163265306	0.0	0.01020408163265306	0.0	0.01020408163265306	0.01020408163265306	0.0	0.01020408163265306	0.0	0.0	0.0	0.01020408163265306	0.01020408163265306	0.0	0.0	0.0	0.01020408163265306	0.01020408163265306	0.0	0.0	0.0	0.02040816326530612	0.0	0.01020408163265306	0.0	0.02040816326530612	0.01020408163265306	0.01020408163265306	0.0	0.0	0.02040816326530612	0.0	0.0	0.01020408163265306	0.0	0.01020408163265306
s136788	0.0	-1000	1000	-39	0	151	1	0.0	0.0	0.0	0.08333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08333333333333333	0.0	0.08333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08333333333333333	0.0	0.0	0.0	0.08333333333333333	0.0	0.08333333333333333	0.0	0.0	0.0	0.0	0.08333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08333333333333333	0.0	0.0	0.0	0.0	0.0	0.08333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s140898	-5.5	-302	1000	-35	1	149	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0
s145135	-36.7	0	1000	-164	0	35	1	0.02030456852791878	0.005076142131979695	0.01015228426395939	0.01015228426395939	0.005076142131979695	0.0	0.015228426395939087	0.02030456852791878	0.01015228426395939	0.01015228426395939	0.005076142131979695	0.01015228426395939	0.01015228426395939	0.005076142131979695	0.005076142131979695	0.0	0.0	0.01015228426395939	0.005076142131979695	0.0	0.01015228426395939	0.0	0.01015228426395939	0.005076142131979695	0.01015228426395939	0.01015228426395939	0.0	0.0	0.0	0.015228426395939085	0.030456852791878174	0.005076142131979695	0.005076142131979695	0.015228426395939085	0.005076142131979695	0.02030456852791878	0.015228426395939085	0.01015228426395939	0.005076142131979695	0.0	0.01015228426395939	0.005076142131979695	0.005076142131979695	0.01015228426395939	0.02030456852791878	0.005076142131979695	0.005076142131979695	0.005076142131979695	0.0	0.0	0.01015228426395939	0.0	0.0	0.01015228426395939	0.01015228426395939	0.0	0.005076142131979695	0.005076142131979695	0.005076142131979695	0.01015228426395939	0.005076142131979695	0.0	0.01015228426395939	0.0	0.0	0.02030456852791878	0.01015228426395939	0.005076142131979695	0.01015228426395939	0.0	0.005076142131979695	0.01015228426395939	0.02030456852791878	0.005076142131979695	0.0	0.0	0.005076142131979695	0.005076142131979695	0.01015228426395939	0.005076142131979695	0.0	0.015228426395939085	0.01015228426395939	0.01015228426395939	0.005076142131979695	0.0	0.005076142131979695	0.02030456852791878	0.0	0.0	0.005076142131979695	0.01015228426395939	0.005076142131979695	0.0	0.015228426395939085	0.005076142131979695	0.015228426395939087	0.02030456852791878	0.005076142131979695	0.01015228426395939	0.01015228426395939	0.015228426395939087	0.005076142131979695	0.005076142131979695	0.015228426395939085	0.015228426395939085	0.0	0.0	0.01015228426395939	0.01015228426395939	0.025380710659898477	0.0	0.0	0.005076142131979695	0.01015228426395939	0.015228426395939087	0.005076142131979695	0.01015228426395939	0.005076142131979695	0.01015228426395939	0.01015228426395939	0.01015228426395939	0.0	0.005076142131979695	0.0	0.01015228426395939	0.01015228426395939	0.005076142131979695	0.005076142131979695	0.0	0.01015228426395939	0.005076142131979695	0.01015228426395939	0.005076142131979695	0.005076142131979695	0.0
