	SS	PromoterDistance	DistTerm	Distance	sameStrand	DownDistance	sameDownStrand	AAAA/TTTT	AAAC/GTTT	AAAG/CTTT	AAAT/ATTT	AACA/TGTT	AACC/GGTT	AACG/CGTT	AACT/AGTT	AAGA/TCTT	AAGC/GCTT	AAGG/CCTT	AAGT/ACTT	AATA/TATT	AATC/GATT	AATG/CATT	AATT/AATT	ACAA/TTGT	ACAC/GTGT	ACAG/CTGT	ACAT/ATGT	ACCA/TGGT	ACCC/GGGT	ACCG/CGGT	ACCT/AGGT	ACGA/TCGT	ACGC/GCGT	ACGG/CCGT	ACGT/ACGT	ACTA/TAGT	ACTC/GAGT	ACTG/CAGT	AGAA/TTCT	AGAC/GTCT	AGAG/CTCT	AGAT/ATCT	AGCA/TGCT	AGCC/GGCT	AGCG/CGCT	AGCT/AGCT	AGGA/TCCT	AGGC/GCCT	AGGG/CCCT	AGTA/TACT	AGTC/GACT	AGTG/CACT	ATAA/TTAT	ATAC/GTAT	ATAG/CTAT	ATAT/ATAT	ATCA/TGAT	ATCC/GGAT	ATCG/CGAT	ATGA/TCAT	ATGC/GCAT	ATGG/CCAT	ATTA/TAAT	ATTC/GAAT	ATTG/CAAT	CAAA/TTTG	CAAC/GTTG	CAAG/CTTG	CACA/TGTG	CACC/GGTG	CACG/CGTG	CAGA/TCTG	CAGC/GCTG	CAGG/CCTG	CATA/TATG	CATC/GATG	CATG/CATG	CCAA/TTGG	CCAC/GTGG	CCAG/CTGG	CCCA/TGGG	CCCC/GGGG	CCCG/CGGG	CCGA/TCGG	CCGC/GCGG	CCGG/CCGG	CCTA/TAGG	CCTC/GAGG	CGAA/TTCG	CGAC/GTCG	CGAG/CTCG	CGCA/TGCG	CGCC/GGCG	CGCG/CGCG	CGGA/TCCG	CGGC/GCCG	CGTA/TACG	CGTC/GACG	CTAA/TTAG	CTAC/GTAG	CTAG/CTAG	CTCA/TGAG	CTCC/GGAG	CTGA/TCAG	CTGC/GCAG	CTTA/TAAG	CTTC/GAAG	GAAA/TTTC	GAAC/GTTC	GACA/TGTC	GACC/GGTC	GAGA/TCTC	GAGC/GCTC	GATA/TATC	GATC/GATC	GCAA/TTGC	GCAC/GTGC	GCCA/TGGC	GCCC/GGGC	GCGA/TCGC	GCGC/GCGC	GCTA/TAGC	GGAA/TTCC	GGAC/GTCC	GGCA/TGCC	GGCC/GGCC	GGGA/TCCC	GGTA/TACC	GTAA/TTAC	GTAC/GTAC	GTCA/TGAC	GTGA/TCAC	GTTA/TAAC	TAAA/TTTA	TACA/TGTA	TAGA/TCTA	TATA/TATA	TCAA/TTGA	TCCA/TGGA	TCGA/TCGA	TGAA/TTCA	TGCA/TGCA	TTAA/TTAA
s35214	-2.8	0	1000	-56	1	512	1	0.046511627906976744	0.046511627906976744	0.023255813953488372	0.0	0.0	0.0	0.023255813953488372	0.023255813953488372	0.023255813953488372	0.046511627906976744	0.0	0.023255813953488372	0.0	0.0	0.0	0.0	0.023255813953488372	0.023255813953488372	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023255813953488372	0.0	0.023255813953488372	0.023255813953488372	0.0	0.0	0.023255813953488372	0.0	0.023255813953488372	0.023255813953488372	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.046511627906976744	0.0	0.023255813953488372	0.0	0.0	0.0	0.0	0.0	0.023255813953488372	0.0	0.0	0.0	0.0	0.0	0.046511627906976744	0.0	0.023255813953488372	0.0	0.0	0.023255813953488372	0.0	0.0	0.0	0.023255813953488372	0.0	0.0	0.0	0.0	0.023255813953488372	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.046511627906976744	0.0	0.023255813953488372	0.0	0.046511627906976744	0.0	0.0	0.0	0.0	0.0	0.023255813953488372	0.023255813953488372	0.023255813953488372	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.046511627906976744	0.023255813953488372	0.0	0.0	0.0	0.0	0.0	0.023255813953488372	0.0	0.0	0.023255813953488372	0.0	0.023255813953488372
s88796	-26.5	-45	0	-5	0	34	1	0.0	0.0	0.0	0.021505376344086023	0.0	0.0	0.0	0.0	0.0	0.0	0.021505376344086023	0.0	0.043010752688172046	0.021505376344086023	0.010752688172043012	0.010752688172043012	0.0	0.0	0.021505376344086023	0.010752688172043012	0.0	0.0	0.0	0.0	0.0	0.0	0.010752688172043012	0.0	0.0	0.0	0.0	0.021505376344086023	0.0	0.0	0.010752688172043012	0.010752688172043012	0.010752688172043012	0.0	0.010752688172043012	0.010752688172043012	0.010752688172043012	0.03225806451612903	0.0	0.0	0.0	0.03225806451612903	0.0	0.021505376344086023	0.021505376344086023	0.010752688172043012	0.03225806451612903	0.0	0.010752688172043012	0.0	0.010752688172043012	0.03225806451612903	0.021505376344086023	0.021505376344086023	0.0	0.0	0.0	0.021505376344086023	0.0	0.0	0.021505376344086023	0.03225806451612903	0.021505376344086023	0.021505376344086023	0.0	0.0	0.010752688172043012	0.010752688172043012	0.010752688172043012	0.0	0.0	0.0	0.0	0.0	0.0	0.010752688172043012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010752688172043012	0.0	0.0	0.0	0.0	0.010752688172043012	0.03225806451612903	0.010752688172043012	0.0	0.021505376344086023	0.010752688172043012	0.0	0.010752688172043012	0.0	0.010752688172043012	0.0	0.03225806451612903	0.0	0.010752688172043012	0.010752688172043012	0.021505376344086023	0.0	0.0	0.0	0.010752688172043012	0.021505376344086023	0.0	0.021505376344086023	0.0	0.03225806451612903	0.0	0.0	0.0	0.021505376344086023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021505376344086023	0.0	0.010752688172043012	0.0	0.0
s96289	-19.5	0	0	-63	0	731	0	0.06666666666666667	0.013333333333333334	0.013333333333333334	0.013333333333333334	0.0	0.013333333333333334	0.02666666666666667	0.013333333333333334	0.013333333333333334	0.02666666666666667	0.02666666666666667	0.0	0.013333333333333334	0.013333333333333334	0.02666666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013333333333333334	0.0	0.0	0.02666666666666667	0.0	0.013333333333333334	0.0	0.0	0.0	0.0	0.0	0.02666666666666667	0.0	0.0	0.013333333333333334	0.013333333333333334	0.0	0.0	0.02666666666666667	0.0	0.0	0.0	0.02666666666666667	0.0	0.0	0.013333333333333334	0.013333333333333334	0.0	0.013333333333333334	0.0	0.02666666666666667	0.0	0.04	0.0	0.0	0.013333333333333334	0.013333333333333334	0.0	0.0	0.0	0.0	0.0	0.0	0.013333333333333334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013333333333333334	0.0	0.0	0.013333333333333334	0.0	0.0	0.0	0.02666666666666667	0.0	0.0	0.013333333333333334	0.0	0.0	0.013333333333333334	0.0	0.013333333333333334	0.0	0.02666666666666667	0.02666666666666667	0.0	0.013333333333333334	0.0	0.0	0.0	0.013333333333333334	0.04	0.0	0.013333333333333334	0.0	0.0	0.0	0.02666666666666667	0.0	0.0	0.02666666666666667	0.0	0.02666666666666667	0.0	0.02666666666666667	0.0	0.0	0.0	0.0	0.0	0.013333333333333334	0.013333333333333334	0.0	0.013333333333333334	0.0	0.013333333333333334	0.0	0.0	0.0	0.0	0.02666666666666667
s96844	-14.4	0	1000	-618	0	124	0	0.0	0.031496062992125984	0.0	0.015748031496062992	0.023622047244094488	0.007874015748031496	0.0	0.015748031496062992	0.007874015748031496	0.0	0.007874015748031496	0.0	0.015748031496062992	0.0	0.023622047244094488	0.015748031496062992	0.015748031496062992	0.0	0.007874015748031496	0.015748031496062992	0.007874015748031496	0.0	0.007874015748031496	0.015748031496062992	0.0	0.0	0.007874015748031496	0.0	0.015748031496062992	0.007874015748031496	0.015748031496062992	0.015748031496062992	0.0	0.0	0.0	0.0	0.0	0.0	0.007874015748031496	0.023622047244094488	0.0	0.007874015748031496	0.007874015748031496	0.015748031496062992	0.0	0.007874015748031496	0.015748031496062992	0.0	0.015748031496062992	0.015748031496062992	0.007874015748031496	0.0	0.015748031496062992	0.007874015748031496	0.0	0.031496062992125984	0.007874015748031496	0.015748031496062992	0.007874015748031496	0.015748031496062992	0.007874015748031496	0.007874015748031496	0.007874015748031496	0.007874015748031496	0.0	0.007874015748031496	0.031496062992125984	0.007874015748031496	0.007874015748031496	0.0	0.007874015748031496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007874015748031496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007874015748031496	0.023622047244094488	0.007874015748031496	0.0	0.007874015748031496	0.007874015748031496	0.023622047244094488	0.023622047244094488	0.0	0.007874015748031496	0.023622047244094488	0.0	0.0	0.0	0.007874015748031496	0.0	0.015748031496062992	0.0	0.007874015748031496	0.023622047244094488	0.0	0.0	0.0	0.0	0.007874015748031496	0.015748031496062992	0.0	0.0	0.0	0.007874015748031496	0.015748031496062992	0.007874015748031496	0.0	0.023622047244094488	0.0	0.007874015748031496	0.015748031496062992	0.007874015748031496	0.0	0.007874015748031496	0.015748031496062992	0.0	0.0	0.007874015748031496	0.031496062992125984	0.007874015748031496
s240788	-15.5	-2	985	-179	0	578	1	0.029850746268656716	0.022388059701492536	0.007462686567164179	0.007462686567164179	0.014925373134328358	0.007462686567164179	0.029850746268656716	0.022388059701492536	0.007462686567164179	0.014925373134328358	0.0	0.007462686567164179	0.0	0.022388059701492536	0.007462686567164179	0.007462686567164179	0.014925373134328358	0.0	0.007462686567164179	0.0	0.007462686567164179	0.007462686567164179	0.0	0.0	0.007462686567164179	0.007462686567164179	0.007462686567164179	0.014925373134328358	0.014925373134328358	0.014925373134328358	0.0	0.014925373134328358	0.0	0.014925373134328358	0.014925373134328358	0.007462686567164179	0.0	0.022388059701492536	0.007462686567164179	0.007462686567164179	0.0	0.007462686567164179	0.007462686567164179	0.007462686567164179	0.0	0.0	0.0	0.014925373134328358	0.0	0.007462686567164179	0.007462686567164179	0.0	0.007462686567164179	0.007462686567164179	0.0	0.007462686567164179	0.007462686567164179	0.022388059701492536	0.007462686567164179	0.022388059701492536	0.0	0.007462686567164179	0.007462686567164179	0.0	0.007462686567164179	0.014925373134328358	0.014925373134328358	0.007462686567164179	0.0	0.0	0.007462686567164179	0.0	0.007462686567164179	0.0	0.0	0.007462686567164179	0.0	0.007462686567164179	0.0	0.0	0.0	0.0	0.007462686567164179	0.0	0.0	0.007462686567164179	0.0	0.0	0.007462686567164179	0.014925373134328358	0.007462686567164179	0.022388059701492536	0.007462686567164179	0.0	0.014925373134328358	0.0	0.022388059701492536	0.0	0.007462686567164179	0.007462686567164179	0.022388059701492536	0.014925373134328358	0.0	0.0	0.007462686567164179	0.007462686567164179	0.007462686567164179	0.0	0.007462686567164179	0.0	0.007462686567164179	0.0	0.0	0.007462686567164179	0.007462686567164179	0.007462686567164179	0.0	0.007462686567164179	0.0	0.007462686567164179	0.0	0.014925373134328358	0.0	0.007462686567164179	0.014925373134328358	0.014925373134328358	0.007462686567164179	0.0	0.022388059701492536	0.0	0.022388059701492536	0.0	0.0	0.029850746268656716	0.0	0.0
s299123	-64.6	-1000	0	0	1	0	1	0.03791469194312796	0.014218009478672987	0.009478672985781991	0.014218009478672987	0.014218009478672985	0.009478672985781991	0.004739336492890996	0.009478672985781991	0.009478672985781991	0.009478672985781991	0.014218009478672985	0.009478672985781991	0.014218009478672987	0.014218009478672985	0.009478672985781991	0.004739336492890996	0.014218009478672987	0.004739336492890996	0.009478672985781991	0.009478672985781991	0.009478672985781991	0.009478672985781991	0.009478672985781991	0.0	0.014218009478672985	0.0	0.004739336492890996	0.004739336492890996	0.004739336492890996	0.014218009478672987	0.0	0.009478672985781991	0.004739336492890996	0.004739336492890996	0.009478672985781991	0.004739336492890996	0.018957345971563982	0.0	0.0	0.009478672985781991	0.014218009478672987	0.0	0.0	0.0	0.018957345971563982	0.023696682464454978	0.009478672985781991	0.004739336492890996	0.004739336492890996	0.014218009478672985	0.004739336492890996	0.0	0.004739336492890996	0.004739336492890996	0.0	0.02843601895734597	0.0	0.004739336492890996	0.004739336492890996	0.004739336492890996	0.009478672985781991	0.014218009478672987	0.018957345971563982	0.004739336492890996	0.014218009478672987	0.004739336492890996	0.0	0.009478672985781991	0.0	0.0	0.004739336492890996	0.014218009478672987	0.004739336492890996	0.004739336492890996	0.03317535545023697	0.014218009478672987	0.004739336492890996	0.014218009478672987	0.0	0.009478672985781991	0.0	0.014218009478672985	0.0	0.004739336492890996	0.009478672985781991	0.004739336492890996	0.004739336492890996	0.0	0.0	0.009478672985781991	0.009478672985781991	0.014218009478672987	0.0	0.004739336492890996	0.004739336492890996	0.0	0.0	0.004739336492890996	0.009478672985781991	0.009478672985781991	0.018957345971563982	0.009478672985781991	0.009478672985781991	0.0	0.0	0.0	0.014218009478672987	0.0	0.0	0.014218009478672987	0.004739336492890996	0.004739336492890996	0.0	0.004739336492890996	0.009478672985781991	0.004739336492890996	0.009478672985781991	0.0	0.0	0.004739336492890996	0.0	0.0	0.0	0.004739336492890996	0.023696682464454978	0.009478672985781991	0.009478672985781991	0.0	0.004739336492890996	0.004739336492890996	0.004739336492890996	0.004739336492890996	0.0	0.009478672985781991	0.004739336492890996	0.009478672985781991
s393716	-26.2	0	0	-58	1	137	1	0.06756756756756757	0.02702702702702703	0.013513513513513514	0.013513513513513514	0.0	0.013513513513513514	0.02702702702702703	0.0	0.0	0.02702702702702703	0.0	0.0	0.0	0.0	0.013513513513513514	0.013513513513513514	0.04054054054054054	0.013513513513513514	0.02702702702702703	0.0	0.013513513513513514	0.0	0.0	0.0	0.0	0.013513513513513514	0.0	0.013513513513513514	0.0	0.0	0.02702702702702703	0.0	0.013513513513513514	0.0	0.0	0.0	0.04054054054054054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02702702702702703	0.02702702702702703	0.013513513513513514	0.0	0.013513513513513514	0.013513513513513514	0.0	0.0	0.013513513513513514	0.0	0.0	0.013513513513513514	0.0	0.013513513513513514	0.04054054054054054	0.013513513513513514	0.0	0.013513513513513514	0.0	0.0	0.0	0.013513513513513514	0.0	0.0	0.0	0.0	0.013513513513513514	0.02702702702702703	0.0	0.0	0.0	0.0	0.0	0.013513513513513514	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013513513513513514	0.0	0.013513513513513514	0.013513513513513514	0.0	0.013513513513513514	0.0	0.0	0.0	0.0	0.013513513513513514	0.0	0.013513513513513514	0.013513513513513514	0.0	0.0	0.02702702702702703	0.0	0.0	0.0	0.013513513513513514	0.0	0.0	0.0	0.02702702702702703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013513513513513514	0.013513513513513514	0.0	0.0	0.013513513513513514	0.04054054054054054	0.013513513513513514	0.02702702702702703	0.013513513513513514	0.0	0.0	0.013513513513513514	0.0	0.0
s418699	-20.0	-634	1000	-250	0	55	1	0.047244094488188976	0.015748031496062992	0.015748031496062992	0.007874015748031496	0.03937007874015748	0.0	0.0	0.0	0.015748031496062992	0.0	0.015748031496062992	0.015748031496062992	0.015748031496062992	0.015748031496062992	0.015748031496062992	0.0	0.023622047244094488	0.007874015748031496	0.015748031496062992	0.0	0.007874015748031496	0.0	0.0	0.0	0.0	0.0	0.0	0.007874015748031496	0.007874015748031496	0.015748031496062992	0.0	0.0	0.015748031496062992	0.007874015748031496	0.023622047244094488	0.0	0.007874015748031496	0.0	0.0	0.023622047244094488	0.0	0.0	0.0	0.023622047244094488	0.015748031496062992	0.023622047244094488	0.007874015748031496	0.0	0.0	0.031496062992125984	0.015748031496062992	0.0	0.03937007874015748	0.0	0.015748031496062992	0.023622047244094488	0.0	0.015748031496062992	0.007874015748031496	0.007874015748031496	0.0	0.007874015748031496	0.007874015748031496	0.0	0.015748031496062992	0.007874015748031496	0.0	0.0	0.03937007874015748	0.0	0.007874015748031496	0.007874015748031496	0.007874015748031496	0.007874015748031496	0.0	0.0	0.0	0.0	0.0	0.0	0.007874015748031496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015748031496062992	0.0	0.007874015748031496	0.007874015748031496	0.0	0.007874015748031496	0.015748031496062992	0.0	0.0	0.023622047244094488	0.007874015748031496	0.015748031496062992	0.0	0.0	0.0	0.007874015748031496	0.0	0.015748031496062992	0.0	0.0	0.0	0.007874015748031496	0.0	0.0	0.0	0.0	0.015748031496062992	0.0	0.0	0.0	0.007874015748031496	0.0	0.0	0.0	0.007874015748031496	0.015748031496062992	0.015748031496062992	0.015748031496062992	0.0	0.007874015748031496	0.0	0.0	0.015748031496062992	0.0	0.007874015748031496	0.0	0.023622047244094488
s419866	-16.6	-159	0	-45	1	9	0	0.1111111111111111	0.044444444444444446	0.0	0.022222222222222223	0.0	0.044444444444444446	0.0	0.06666666666666667	0.0	0.0	0.0	0.0	0.044444444444444446	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.044444444444444446	0.0	0.0	0.0	0.0	0.0	0.06666666666666667	0.0	0.0	0.022222222222222223	0.0	0.0	0.022222222222222223	0.0	0.0	0.044444444444444446	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.044444444444444446	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022222222222222223	0.0	0.0	0.022222222222222223	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.044444444444444446	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.044444444444444446	0.0	0.044444444444444446	0.0	0.0	0.0	0.0	0.0	0.0	0.022222222222222223	0.022222222222222223	0.0	0.0	0.0	0.0	0.022222222222222223	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.044444444444444446	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.044444444444444446	0.022222222222222223	0.0	0.022222222222222223	0.0	0.022222222222222223	0.0	0.0	0.022222222222222223	0.0	0.0
s460771	-36.3	0	1000	-110	0	447	1	0.041237113402061855	0.0	0.010309278350515464	0.020618556701030927	0.015463917525773196	0.005154639175257732	0.0	0.005154639175257732	0.005154639175257732	0.010309278350515464	0.015463917525773196	0.010309278350515464	0.030927835051546393	0.005154639175257732	0.02577319587628866	0.005154639175257732	0.020618556701030927	0.015463917525773196	0.005154639175257732	0.015463917525773196	0.005154639175257732	0.005154639175257732	0.0	0.005154639175257732	0.005154639175257732	0.010309278350515464	0.005154639175257732	0.0	0.0	0.005154639175257732	0.005154639175257732	0.010309278350515464	0.005154639175257732	0.0	0.0	0.010309278350515464	0.0	0.0	0.010309278350515464	0.015463917525773196	0.010309278350515464	0.0	0.005154639175257732	0.005154639175257732	0.005154639175257732	0.02577319587628866	0.005154639175257732	0.005154639175257732	0.010309278350515464	0.03608247422680412	0.010309278350515464	0.0	0.020618556701030927	0.010309278350515464	0.005154639175257732	0.03608247422680412	0.005154639175257732	0.010309278350515464	0.015463917525773196	0.005154639175257732	0.005154639175257732	0.030927835051546393	0.010309278350515464	0.0	0.005154639175257732	0.0	0.005154639175257732	0.005154639175257732	0.010309278350515464	0.005154639175257732	0.0	0.005154639175257732	0.005154639175257732	0.010309278350515464	0.0	0.005154639175257732	0.0	0.0	0.0	0.010309278350515464	0.0	0.0	0.0	0.0	0.0	0.010309278350515464	0.0	0.0	0.0	0.015463917525773196	0.005154639175257732	0.020618556701030927	0.005154639175257732	0.0	0.005154639175257732	0.005154639175257732	0.005154639175257732	0.0	0.020618556701030927	0.005154639175257732	0.005154639175257732	0.010309278350515464	0.005154639175257732	0.0	0.0	0.005154639175257732	0.010309278350515464	0.010309278350515464	0.005154639175257732	0.005154639175257732	0.0	0.0	0.0	0.0	0.015463917525773196	0.005154639175257732	0.005154639175257732	0.0	0.0	0.010309278350515464	0.0	0.015463917525773196	0.0	0.005154639175257732	0.020618556701030927	0.010309278350515464	0.010309278350515464	0.005154639175257732	0.005154639175257732	0.005154639175257732	0.010309278350515464	0.0	0.0	0.010309278350515464	0.005154639175257732	0.005154639175257732
