id	SS	PromoterDistance	DistTerm	Distance	sameStrand	DownDistance	sameDownStrand	AAAA/TTTT	AAAC/GTTT	AAAG/CTTT	AAAT/ATTT	AACA/TGTT	AACC/GGTT	AACG/CGTT	AACT/AGTT	AAGA/TCTT	AAGC/GCTT	AAGG/CCTT	AAGT/ACTT	AATA/TATT	AATC/GATT	AATG/CATT	AATT/AATT	ACAA/TTGT	ACAC/GTGT	ACAG/CTGT	ACAT/ATGT	ACCA/TGGT	ACCC/GGGT	ACCG/CGGT	ACCT/AGGT	ACGA/TCGT	ACGC/GCGT	ACGG/CCGT	ACGT/ACGT	ACTA/TAGT	ACTC/GAGT	ACTG/CAGT	AGAA/TTCT	AGAC/GTCT	AGAG/CTCT	AGAT/ATCT	AGCA/TGCT	AGCC/GGCT	AGCG/CGCT	AGCT/AGCT	AGGA/TCCT	AGGC/GCCT	AGGG/CCCT	AGTA/TACT	AGTC/GACT	AGTG/CACT	ATAA/TTAT	ATAC/GTAT	ATAG/CTAT	ATAT/ATAT	ATCA/TGAT	ATCC/GGAT	ATCG/CGAT	ATGA/TCAT	ATGC/GCAT	ATGG/CCAT	ATTA/TAAT	ATTC/GAAT	ATTG/CAAT	CAAA/TTTG	CAAC/GTTG	CAAG/CTTG	CACA/TGTG	CACC/GGTG	CACG/CGTG	CAGA/TCTG	CAGC/GCTG	CAGG/CCTG	CATA/TATG	CATC/GATG	CATG/CATG	CCAA/TTGG	CCAC/GTGG	CCAG/CTGG	CCCA/TGGG	CCCC/GGGG	CCCG/CGGG	CCGA/TCGG	CCGC/GCGG	CCGG/CCGG	CCTA/TAGG	CCTC/GAGG	CGAA/TTCG	CGAC/GTCG	CGAG/CTCG	CGCA/TGCG	CGCC/GGCG	CGCG/CGCG	CGGA/TCCG	CGGC/GCCG	CGTA/TACG	CGTC/GACG	CTAA/TTAG	CTAC/GTAG	CTAG/CTAG	CTCA/TGAG	CTCC/GGAG	CTGA/TCAG	CTGC/GCAG	CTTA/TAAG	CTTC/GAAG	GAAA/TTTC	GAAC/GTTC	GACA/TGTC	GACC/GGTC	GAGA/TCTC	GAGC/GCTC	GATA/TATC	GATC/GATC	GCAA/TTGC	GCAC/GTGC	GCCA/TGGC	GCCC/GGGC	GCGA/TCGC	GCGC/GCGC	GCTA/TAGC	GGAA/TTCC	GGAC/GTCC	GGCA/TGCC	GGCC/GGCC	GGGA/TCCC	GGTA/TACC	GTAA/TTAC	GTAC/GTAC	GTCA/TGAC	GTGA/TCAC	GTTA/TAAC	TAAA/TTTA	TACA/TGTA	TAGA/TCTA	TATA/TATA	TCAA/TTGA	TCCA/TGGA	TCGA/TCGA	TGAA/TTCA	TGCA/TGCA	TTAA/TTAA	Class
B_cenocepacia_au_1054_RAND_5	-142.1	-295	1000	0	0	0	0	0	0	0	0.003278689	0	0.003278689	0.003278689	0.003278689	0.003278689	0.003278689	0	0	0	0	0.006557377	0	0	0	0.003278689	0.003278689	0.003278689	0.019672131	0.009836066	0	0.013114754	0.006557377	0.013114754	0	0.003278689	0.003278689	0.016393443	0.006557377	0.003278689	0	0.003278689	0.009836066	0.02295082	0.006557377	0.003278689	0.009836066	0.006557377	0	0	0.016393443	0.003278689	0	0	0	0	0.003278689	0.016393443	0.036065574	0	0.019672131	0.003278689	0	0.003278689	0	0	0	0	0.003278689	0.02295082	0.016393443	0.006557377	0.006557377	0.006557377	0	0.013114754	0.003278689	0	0.016393443	0.009836066	0.009836066	0.013114754	0.029508197	0.032786885	0.019672131	0.009836066	0	0.009836066	0.013114754	0.026229508	0.042622951	0.026229508	0.013114754	0.009836066	0.006557377	0.036065574	0.003278689	0.009836066	0	0.003278689	0	0.003278689	0.006557377	0	0.02295082	0	0.006557377	0.003278689	0.009836066	0.003278689	0.006557377	0.003278689	0.036065574	0	0.02295082	0	0.019672131	0.013114754	0.013114754	0.026229508	0.006557377	0	0	0.006557377	0.019672131	0.006557377	0.006557377	0	0	0	0	0.009836066	0	0	0	0	0	0	0.003278689	0.02295082	0.003278689	0.003278689	0	0
B_cenocepacia_au_1054_RAND_10	-137.87	-1000	469	0	1	0	1	0	0	0	0.005494505	0.005494505	0	0.010989011	0.005494505	0.005494505	0.010989011	0.008241758	0	0	0.002747253	0.002747253	0.002747253	0	0.008241758	0.002747253	0.005494505	0.005494505	0.002747253	0.005494505	0	0.005494505	0.019230769	0.013736264	0.013736264	0	0.002747253	0.002747253	0.008241758	0.002747253	0	0.005494505	0.008241758	0.005494505	0.027472527	0.005494505	0.005494505	0.013736264	0.005494505	0	0	0	0	0	0	0	0.002747253	0.002747253	0.010989011	0.002747253	0.005494505	0.002747253	0	0.002747253	0.002747253	0	0.002747253	0.005494505	0.005494505	0.002747253	0.03021978	0.010989011	0.013736264	0.013736264	0	0.008241758	0.002747253	0	0.008241758	0.005494505	0.005494505	0.008241758	0.016483516	0.019230769	0.024725275	0.005494505	0	0.002747253	0.019230769	0.016483516	0.024725275	0.016483516	0.035714286	0.024725275	0.008241758	0.041208791	0	0.024725275	0	0	0	0.002747253	0.005494505	0.002747253	0.03021978	0	0.019230769	0.005494505	0.019230769	0.002747253	0.010989011	0	0.027472527	0	0.005494505	0.002747253	0.010989011	0	0.016483516	0.03021978	0.027472527	0	0.010989011	0.008241758	0.013736264	0.008241758	0.008241758	0	0	0	0.010989011	0.010989011	0	0	0	0	0	0.008241758	0.005494505	0.008241758	0.008241758	0.005494505	0	0
B_cenocepacia_au_1054_RAND_21	-103.1	-1000	1000	0	0	0	0	0	0	0	0	0.008849558	0	0.004424779	0.004424779	0	0	0	0	0	0	0	0	0	0.004424779	0.004424779	0.008849558	0	0.008849558	0.013274336	0.004424779	0.013274336	0.030973451	0.008849558	0	0	0	0.004424779	0	0	0	0	0.004424779	0.013274336	0.017699115	0	0	0	0.004424779	0	0	0	0	0	0.004424779	0	0.008849558	0	0.008849558	0.008849558	0.004424779	0	0	0	0	0	0.004424779	0	0.004424779	0.004424779	0.030973451	0	0.017699115	0.004424779	0.004424779	0.017699115	0	0	0.013274336	0.004424779	0.008849558	0.013274336	0.030973451	0.026548673	0.057522124	0.013274336	0	0.004424779	0.013274336	0.030973451	0.013274336	0.013274336	0.061946903	0.053097345	0.004424779	0.07079646	0	0.022123894	0	0	0	0.004424779	0	0.008849558	0.008849558	0	0	0	0.013274336	0.004424779	0.022123894	0	0.013274336	0	0	0.004424779	0.017699115	0.008849558	0.030973451	0.013274336	0.048672566	0.004424779	0	0.008849558	0.017699115	0.008849558	0.004424779	0	0	0	0.008849558	0.004424779	0	0	0	0	0	0	0	0.004424779	0	0	0	0
B_cenocepacia_au_1054_RAND_27	-63.39	-287	1000	0	0	0	0	0.013736264	0.002747253	0.008241758	0.013736264	0.005494505	0.005494505	0.002747253	0	0.008241758	0.010989011	0.005494505	0	0.008241758	0.010989011	0.021978022	0.002747253	0.005494505	0.005494505	0.008241758	0.008241758	0.008241758	0.010989011	0.002747253	0.005494505	0.008241758	0.013736264	0.008241758	0.002747253	0	0	0.002747253	0.008241758	0.002747253	0.005494505	0.008241758	0.010989011	0.008241758	0.008241758	0.005494505	0.008241758	0.002747253	0.002747253	0	0.002747253	0	0	0.005494505	0.005494505	0.002747253	0.019230769	0.013736264	0.019230769	0.019230769	0.005494505	0.010989011	0.002747253	0.013736264	0.016483516	0.010989011	0	0.008241758	0.005494505	0.010989011	0.008241758	0.005494505	0.013736264	0.008241758	0	0.010989011	0.005494505	0.016483516	0.005494505	0.008241758	0.005494505	0	0.010989011	0.019230769	0.008241758	0.005494505	0	0.005494505	0.010989011	0.013736264	0.008241758	0.005494505	0.016483516	0.008241758	0.016483516	0.016483516	0.008241758	0.016483516	0.002747253	0.002747253	0	0	0.005494505	0.010989011	0.002747253	0.002747253	0.005494505	0.013736264	0.008241758	0.010989011	0.008241758	0.008241758	0.005494505	0.002747253	0.016483516	0.008241758	0.008241758	0.013736264	0.005494505	0.008241758	0.008241758	0.008241758	0.008241758	0.013736264	0.008241758	0.002747253	0.002747253	0.005494505	0.005494505	0.002747253	0.008241758	0.005494505	0.002747253	0	0.005494505	0.002747253	0.002747253	0.005494505	0.013736264	0.008241758	0.013736264	0	0	0
B_cenocepacia_au_1054_RAND_29	-74.8	-221	1000	0	1	0	1	0.005617978	0.02247191	0	0	0	0.016853933	0.016853933	0	0.005617978	0	0.005617978	0	0	0	0	0	0.005617978	0	0	0	0	0	0.028089888	0.005617978	0.028089888	0.039325843	0.016853933	0.016853933	0	0	0	0.005617978	0	0	0.005617978	0	0.005617978	0.02247191	0.005617978	0	0	0.005617978	0	0	0	0	0	0	0	0	0	0.016853933	0.005617978	0.005617978	0	0	0	0	0	0.005617978	0	0.005617978	0	0.028089888	0	0.011235955	0.005617978	0	0.011235955	0	0	0.011235955	0	0	0	0.016853933	0.011235955	0.033707865	0.005617978	0	0	0.011235955	0.056179775	0.02247191	0.005617978	0.033707865	0.033707865	0.011235955	0.02247191	0.005617978	0.06741573	0	0.005617978	0	0	0.005617978	0.011235955	0	0	0.011235955	0.02247191	0	0	0.011235955	0.005617978	0.02247191	0	0.005617978	0	0.016853933	0.005617978	0.016853933	0.011235955	0.02247191	0.005617978	0.011235955	0.005617978	0.005617978	0	0.005617978	0.005617978	0.005617978	0	0.016853933	0.005617978	0.005617978	0	0	0	0	0	0.005617978	0.028089888	0.005617978	0.005617978	0	0
B_cenocepacia_au_1054_RAND_30	-75	-1000	1000	0	0	0	0	0	0.004424779	0.004424779	0.004424779	0	0.004424779	0.013274336	0.004424779	0.004424779	0.004424779	0.008849558	0.004424779	0	0.004424779	0	0	0.004424779	0.004424779	0	0.004424779	0.008849558	0.008849558	0.008849558	0	0.008849558	0.022123894	0.004424779	0.004424779	0.004424779	0	0.008849558	0.008849558	0.004424779	0	0.008849558	0.008849558	0	0.013274336	0.004424779	0	0.008849558	0.004424779	0.008849558	0.004424779	0	0	0.004424779	0.004424779	0	0.004424779	0.013274336	0.008849558	0	0.008849558	0	0	0	0	0.004424779	0.013274336	0.004424779	0	0.008849558	0.008849558	0.008849558	0.017699115	0.004424779	0	0.004424779	0.004424779	0.013274336	0	0.017699115	0.008849558	0.008849558	0.017699115	0.017699115	0.039823009	0.013274336	0	0	0.004424779	0.03539823	0.013274336	0.013274336	0.026548673	0.044247788	0.013274336	0.048672566	0	0.026548673	0	0.004424779	0	0	0	0.004424779	0.017699115	0.004424779	0.008849558	0.008849558	0.004424779	0.008849558	0.013274336	0.004424779	0.008849558	0.008849558	0.008849558	0.004424779	0.008849558	0.008849558	0.008849558	0.026548673	0.026548673	0	0.008849558	0.008849558	0.008849558	0.017699115	0.013274336	0	0.004424779	0	0.004424779	0.004424779	0	0	0.004424779	0.004424779	0	0	0.004424779	0.004424779	0	0.004424779	0	0
B_cenocepacia_au_1054_RAND_31	-149.9	-1000	1000	0	0	20	1	0.005494505	0	0.005494505	0.008241758	0.002747253	0	0.002747253	0	0.002747253	0	0.013736264	0.002747253	0.002747253	0.016483516	0.008241758	0	0.013736264	0.002747253	0.002747253	0.008241758	0.005494505	0.005494505	0.010989011	0.002747253	0.016483516	0.010989011	0.010989011	0.002747253	0	0	0	0.002747253	0	0	0.005494505	0	0.005494505	0.002747253	0	0	0.013736264	0.013736264	0	0.002747253	0	0	0.002747253	0	0	0.016483516	0.008241758	0.013736264	0.013736264	0.016483516	0.002747253	0	0.013736264	0.005494505	0.008241758	0.002747253	0.010989011	0.008241758	0.005494505	0.019230769	0.005494505	0.005494505	0.010989011	0	0.010989011	0.010989011	0.005494505	0.010989011	0.002747253	0.005494505	0.019230769	0.010989011	0.005494505	0.03021978	0.013736264	0	0.005494505	0.010989011	0.035714286	0.002747253	0.013736264	0.049450549	0.032967033	0.008241758	0.043956044	0.008241758	0.013736264	0	0	0	0.002747253	0	0.008241758	0.008241758	0	0.002747253	0.005494505	0	0.013736264	0.013736264	0	0.002747253	0	0.008241758	0.005494505	0.013736264	0.010989011	0.021978022	0.03021978	0.03021978	0	0.002747253	0	0.03021978	0.002747253	0.002747253	0.005494505	0.002747253	0.005494505	0.008241758	0.008241758	0.002747253	0	0.002747253	0	0	0.002747253	0	0.005494505	0.005494505	0	0	0
B_cenocepacia_au_1054_RAND_32	-42.4	-1000	1000	0	0	0	0	0	0.024	0	0.008	0.008	0.016	0.008	0.008	0	0	0.008	0	0	0.008	0.008	0	0	0	0.008	0	0	0	0.016	0.008	0.016	0.032	0	0	0	0	0.016	0	0	0.008	0.008	0	0.008	0.016	0	0.016	0.008	0	0	0.008	0	0	0	0	0	0.016	0.008	0.032	0	0.008	0.008	0.008	0	0	0.024	0.016	0	0	0	0.008	0.008	0.024	0.008	0	0.008	0	0.008	0.008	0.024	0.008	0.016	0	0.008	0.04	0.008	0	0.016	0	0.008	0.008	0.016	0.032	0.008	0.016	0.032	0.016	0.016	0	0.008	0	0	0	0	0.032	0	0.008	0.008	0	0	0.008	0	0	0	0.024	0.016	0	0.024	0.008	0.008	0	0	0.016	0.024	0	0.016	0	0	0.008	0	0	0	0	0	0	0.008	0	0.016	0.016	0.008	0	0.016	0	0
B_cenocepacia_au_1054_RAND_33	-64.8	-1000	723	0	1	0	1	0	0	0	0.007692308	0	0	0	0	0	0	0	0	0	0.007692308	0	0	0	0	0	0	0	0	0	0	0.015384615	0.046153846	0.007692308	0	0	0	0	0	0	0	0	0.007692308	0.015384615	0.015384615	0	0	0.007692308	0.007692308	0	0	0	0	0	0.007692308	0	0.007692308	0.015384615	0.030769231	0	0.038461538	0	0	0	0	0	0	0	0	0	0.023076923	0	0.007692308	0.007692308	0.007692308	0	0.015384615	0	0.007692308	0.007692308	0	0.007692308	0.023076923	0.007692308	0.046153846	0.015384615	0.007692308	0	0	0.023076923	0.030769231	0.030769231	0.030769231	0.076923077	0.015384615	0.046153846	0	0.046153846	0	0	0	0	0	0	0.007692308	0	0	0.007692308	0	0	0	0	0.030769231	0	0.023076923	0	0	0.007692308	0.015384615	0.046153846	0.046153846	0	0	0.023076923	0.007692308	0.007692308	0.015384615	0	0	0	0	0.015384615	0	0	0	0	0	0	0.007692308	0.007692308	0.007692308	0	0	0
B_cenocepacia_au_1054_RAND_1	-41.6	-1000	1000	0	1	0	1	0	0.007751938	0	0	0	0.007751938	0.007751938	0	0.015503876	0	0.007751938	0	0.007751938	0.007751938	0	0	0	0	0	0	0	0.007751938	0.023255814	0	0.015503876	0.015503876	0	0.007751938	0	0	0	0	0.007751938	0	0.007751938	0.007751938	0.007751938	0.007751938	0.007751938	0	0.007751938	0	0	0	0	0	0.007751938	0	0	0.015503876	0.023255814	0.03875969	0	0.023255814	0.007751938	0	0.015503876	0	0	0	0.007751938	0	0.015503876	0.015503876	0	0.015503876	0	0	0.015503876	0.007751938	0	0	0.015503876	0.007751938	0	0.023255814	0.023255814	0.031007752	0.015503876	0	0	0.031007752	0.007751938	0.023255814	0.023255814	0.023255814	0.031007752	0.015503876	0.023255814	0.007751938	0.015503876	0	0.007751938	0	0	0	0	0	0	0.015503876	0.007751938	0.007751938	0	0	0	0.023255814	0	0.031007752	0	0.015503876	0.007751938	0.015503876	0.046511628	0.015503876	0.007751938	0.007751938	0	0.007751938	0.007751938	0.007751938	0.007751938	0	0	0	0.015503876	0	0	0	0	0	0.007751938	0.007751938	0.007751938	0.007751938	0	0	0
