"SS"	"PromoterDistance"	"DistTerm"	"Distance"	"sameStrand"	"DownDistance"	"sameDownStrand"
"RAND_136"	-12.9	-37	1000	0	1	0	1
"RAND_151"	-10	-1000	1000	0	0	0	0
"RAND_147"	-18.1	-1000	1000	0	0	0	0
"RAND_62"	-10.6	-12	1000	0	1	0	1
"RAND_169"	-81.7	-318	1000	0	1	0	1
"RAND_49"	-45.2	-303	1000	0	1	0	1
"RAND_94"	-37.8	-965	1000	0	0	0	0
"RAND_106"	-53.4	-1000	1000	0	0	0	0
"RAND_95"	-50.8	-1000	1000	0	0	236	0
"RAND_34"	-1.4	-1000	1000	0	0	0	0
"RAND_37"	-26.7	-1000	1000	0	1	0	1
"RAND_38"	-44.1	-1000	1000	0	0	0	0
"RAND_18"	-32	-1000	1000	0	0	0	1
"RAND_98"	-17.6	-1000	1000	0	0	0	0
"RAND_180"	-86.2	-1000	1000	0	0	0	1
"RAND_5"	-2.7	-1000	1000	0	0	0	0
"RAND_28"	-74.2	0	1000	0	1	0	1
"RAND_168"	-31.9	-1000	1000	0	1	0	1
"RAND_66"	-85	-1000	1000	0	0	0	0
"RAND_60"	-11.2	-165	1000	0	1	0	1
"RAND_138"	-16.7	-1000	1000	0	1	0	1
"RAND_32"	-13.3	-1000	1000	0	0	0	0
"RAND_45"	-19.2	-67	1000	0	0	0	0
"RAND_112"	-21.77	-279	1000	0	1	0	1
"RAND_190"	-41.9	-1000	1000	0	1	0	1
"RAND_44"	-24.9	-749	1000	0	1	0	1
"RAND_149"	-27.9	-72	1000	0	0	0	0
"RAND_107"	-79	-1000	1000	0	0	0	0
"RAND_67"	-95.1	-576	1000	0	0	0	0
"RAND_22"	-14.5	-976	1000	0	1	0	1
"RAND_163"	-45.6	-1000	1000	0	1	0	1
"RAND_8"	-38.2	-1000	1000	0	1	0	1
"RAND_6"	-22.1	-1000	757	0	1	0	1
"RAND_116"	-73.3	-1000	1000	0	0	0	0
"RAND_141"	-21.9	-1000	1000	0	1	0	1
"RAND_118"	-10.4	-1000	228	0	1	0	1
"RAND_104"	-96.2	-1000	1000	0	0	0	0
"RAND_4"	-20.3	-59	1000	0	0	0	0
"RAND_79"	-13.4	-1000	1000	0	1	7	1
"RAND_114"	-32.2	-1000	1000	0	0	0	0
"RAND_142"	-72.7	-1000	1000	0	1	0	1
"RAND_160"	-26.9	-1000	1000	0	1	0	1
"RAND_42"	-30.4	-220	1000	0	1	0	1
"RAND_102"	-14.1	-1000	0	-18	1	286	1
"RAND_41"	-13	-1000	1000	0	0	0	0
"RAND_185"	-3.9	-1000	1000	0	0	0	0
"RAND_121"	-8.51	-98	1000	0	1	0	1
"RAND_103"	-36.2	-667	1000	0	1	0	1
"RAND_13"	-15.7	-1000	1000	0	0	0	0
"RAND_3"	-10.1	-82	1000	0	0	0	0
"RAND_170"	-38.9	-738	1000	0	0	0	0
"RAND_135"	-92.34	-557	1000	0	1	0	1
"RAND_29"	-95.2	-1000	424	-897	0	612	0
"RAND_113"	-19.3	-987	1000	0	1	0	1
"RAND_19"	-67.2	-1000	1000	0	0	0	0
"RAND_26"	-12.5	-1000	1000	-1511	0	0	0
"RAND_68"	-34.8	-1000	1000	0	1	0	1
"RAND_53"	-8.1	-1000	1000	0	0	0	0
"RAND_51"	-5.2	-1000	1000	0	0	0	0
"RAND_178"	-14.6	0	1000	0	0	0	0
"RAND_130"	-33.6	-875	1000	0	0	0	0
"RAND_21"	-112.1	0	1000	0	1	0	1
"RAND_154"	-125.9	-1000	1000	-148	0	0	0
"RAND_122"	-22.6	-1000	1000	0	1	0	1
"RAND_88"	-70.8	-1000	1000	0	0	0	0
"RAND_17"	-65	-1000	1000	0	0	0	0
"RAND_105"	-92.3	-1000	1000	0	1	0	1
"RAND_72"	-14.3	-1000	1000	0	1	0	1
