"SS"	"PromoterDistance"	"DistTerm"	"Distance"	"sameStrand"	"DownDistance"	"sameDownStrand"
"candidate_54"	-12.2	-1000	1000	0	0	0	0
"candidate_1080"	-80.8	0	1000	-121	0	0	0
"candidate_135"	-102.5	-1000	1000	0	0	0	0
"candidate_1096"	0	0	1000	-81	1	99	0
"candidate_149"	-2.7	-1000	1000	-185	0	162	1
"candidate_1137"	-34.3	-282	1000	-61	0	627	1
"candidate_161"	-18.5	-1000	1000	-106	1	127	1
"candidate_1149"	-12.9	0	1000	-37	1	129	1
"candidate_189"	-9.4	-1000	1000	-60	1	144	1
"candidate_193"	-10.6	0	128	-5248	1	250	0
"candidate_224"	-8.1	-1000	1000	-282	1	229	1
"candidate_294"	-36.9	-1000	1000	-58	0	436	0
"candidate_1502"	-46.9	-656	1000	-37	1	195	0
"candidate_488"	-43.9	-1000	1000	0	1	0	0
"candidate_498"	-89.37	-1000	1000	-42	0	0	0
"candidate_1542"	-24.8	-340	1000	-11	1	104	1
"candidate_1556"	-33.8	-1000	1000	-62	1	1	0
"candidate_1565"	-60.6	-1000	312	0	1	97	1
"candidate_540"	-20.7	-23	1000	0	0	260	1
