"SS"	"PromoterDistance"	"DistTerm"	"Distance"	"sameStrand"	"DownDistance"	"sameDownStrand"
"E_coli_RAND_88"	-11.2	-22	1000	0	1	0	1
"E_coli_RAND_143"	-10.3	-431	1000	0	0	0	0
"E_coli_RAND_173"	-13.8	-429	1000	0	0	0	0
"E_coli_RAND_190"	-10.7	-201	1000	0	1	0	1
"E_coli_RAND_209"	-31.2	-1000	1000	0	1	0	1
"E_coli_RAND_227"	-9.5	-1000	1000	0	0	0	0
"E_coli_RAND_8"	-14.3	0	159	0	1	0	1
"E_coli_RAND_24"	-12.4	-171	1000	0	1	0	1
"E_coli_RAND_41"	-16.7	-328	193	0	1	0	1
"E_coli_RAND_47"	-44.2	-23	35	0	0	57	0
"E_coli_RAND_66"	-13.8	-514	1000	-3446	1	2222	1
"E_coli_RAND_69"	-10.5	-621	1000	0	0	0	0
"E_coli_RAND_78"	-17.3	0	1000	-79	1	0	1
"E_coli_RAND_86"	-42.8	0	1000	0	0	0	0
"E_coli_RAND_101"	-31.3	0	1000	0	1	0	1
"E_coli_RAND_127"	-50.9	0	1000	-75	0	0	1
"E_coli_RAND_139"	-54.3	-996	1000	0	0	0	0
"E_coli_RAND_142"	-14.7	-331	1000	0	0	0	0
"E_coli_RAND_151"	-12.8	-961	1000	0	1	0	1
"E_coli_RAND_152"	-9.5	-726	1000	0	0	0	0
"E_coli_RAND_156"	-18.6	-1000	1000	0	0	0	0
"E_coli_RAND_166"	-18.94	-328	629	0	0	326	1
"E_coli_RAND_175"	-34.8	-493	1000	0	1	0	1
"E_coli_RAND_179"	-10.3	-195	1000	0	0	139	1
"E_coli_RAND_183"	-59.12	0	1000	0	1	0	0
"E_coli_RAND_208"	-56.4	-1000	200	0	0	0	0
"E_coli_RAND_210"	-35	0	892	0	0	0	0
"E_coli_RAND_211"	-14.1	-273	156	0	1	0	1
"E_coli_RAND_212"	-43.3	-1000	1000	0	1	0	1
"E_coli_RAND_213"	-23.9	-672	793	0	1	0	1
"E_coli_RAND_214"	1.2	-717	954	0	1	0	1
"E_coli_RAND_215"	-12.3	-1000	1000	0	0	0	0
"E_coli_RAND_216"	-20.9	-473	1000	-25	1	88	1
"E_coli_RAND_217"	-19.1	-103	64	0	1	0	1
"E_coli_RAND_218"	-21.9	-74	1000	0	1	0	1
"E_coli_RAND_219"	-29.7	-1000	1000	0	1	0	1
"E_coli_RAND_220"	-28.1	-1000	1000	0	0	0	0
"E_coli_RAND_221"	-31.1	-1000	423	0	1	0	1
"E_coli_RAND_222"	-6.7	0	275	0	0	0	0
"E_coli_RAND_223"	-1.6	-806	1000	0	0	0	0
"E_coli_RAND_224"	-26.14	-960	1000	-1792	1	0	1
"E_coli_RAND_225"	-7	-1000	1000	0	0	0	0
"E_coli_RAND_226"	-79.17	0	1000	0	0	0	0
"E_coli_RAND_228"	-22.7	-690	1000	0	1	0	1
