"SS"	"PromoterDistance"	"DistTerm"	"Distance"	"sameStrand"	"DownDistance"	"sameDownStrand"
"RAND_712"	-16.4	-321	1000	0	1	0	1
"RAND_1024"	-82.8	0	1000	-266	0	0	1
"RAND_216"	-23.37	-290	1000	0	1	0	1
"RAND_752"	-29	-825	1000	0	0	0	0
"RAND_254"	-9.5	-244	1000	0	0	0	0
"RAND_997"	-21.9	-252	84	0	1	0	1
"RAND_93"	-29	-438	761	0	0	0	0
"RAND_564"	-33.9	-1000	1000	0	1	0	1
"RAND_406"	-58	0	1000	0	0	0	0
"RAND_278"	-39.2	-623	1000	0	1	0	1
"RAND_1026"	-3.9	0	1000	0	0	0	0
"RAND_334"	-18.9	-3	1000	0	1	0	1
"RAND_1130"	-20.3	-1000	1000	0	1	0	1
"RAND_84"	-10.7	-1000	1000	0	1	0	1
"RAND_935"	-23.9	-987	998	0	1	0	1
"RAND_179"	-18	-321	1000	0	1	0	1
"RAND_840"	-13.1	-280	1000	0	0	0	0
"RAND_706"	-5	-305	1000	-19	1	0	1
"RAND_1046"	0	-1000	561	0	0	63	1
"RAND_487"	-8.4	-661	1000	0	1	0	1
"RAND_288"	-87.27	0	1000	0	1	343	0
"RAND_233"	-135.7	-615	1000	0	0	0	0
"RAND_394"	-39.2	0	1000	0	0	0	0
"RAND_1088"	-13	-355	1000	0	0	0	0
"RAND_467"	-34	-1000	1000	0	1	0	1
"RAND_1127"	-17.3	-626	1000	0	1	0	1
"RAND_989"	-72.2	-113	1000	-52	1	0	1
"RAND_961"	-19.8	-629	1000	0	1	0	1
"RAND_252"	-20.7	0	1000	0	0	0	0
"RAND_885"	-17.4	-1000	1000	0	0	0	0
"RAND_140"	-28.2	-994	1000	0	0	0	0
"RAND_501"	-17.8	-381	1000	0	0	0	0
"RAND_536"	-19.9	-179	96	0	0	0	0
"RAND_535"	-12.3	-894	453	0	0	0	0
"RAND_517"	-69.7	-201	1000	0	0	0	0
"RAND_421"	-23.1	-90	1000	0	1	0	1
"RAND_105"	-17.5	0	0	-80	1	25	1
"RAND_272"	-74.37	-96	1000	0	1	0	1
"RAND_530"	-4.85	-517	311	0	1	0	1
"RAND_864"	-39.5	-837	0	0	1	157	1
"RAND_159"	-57.3	0	1000	0	0	0	0
"RAND_1017"	-18.9	-794	1000	0	0	0	0
"RAND_876"	-53.7	-329	1000	0	1	0	1
"RAND_416"	-41.2	-264	70	0	1	224	1
"RAND_740"	-88.52	-217	1000	0	0	0	0
"RAND_46"	-59.5	0	1000	0	1	0	1
"RAND_666"	-22.7	-61	1000	0	1	0	1
"RAND_1020"	-8.8	-1000	1000	0	1	0	1
"RAND_684"	-3.7	0	1000	-10	0	297	1
"RAND_674"	-10.3	0	1000	-29	1	0	1
"RAND_901"	-14.9	-1000	1000	0	0	0	0
"RAND_194"	-75.2	-304	1000	0	1	0	1
"RAND_710"	-26	-587	1000	0	1	0	1
"RAND_763"	-59.7	-636	1000	0	1	161	1
"RAND_351"	-0.7	-1000	1000	0	0	0	0
"RAND_829"	-52.7	0	1000	0	0	0	0
"RAND_20"	-16.8	-1000	1000	0	0	0	0
"RAND_448"	-24.8	-257	1000	0	0	0	0
"RAND_809"	-21.4	-190	1000	0	0	0	0
"RAND_960"	-43.4	0	35	0	1	88	0
"RAND_241"	-7.5	0	1000	-20	0	0	0
"RAND_737"	-23.8	-148	1000	0	1	0	1
"RAND_222"	-45.3	-1000	1000	0	0	89	0
"RAND_1008"	0	-1000	1000	0	0	489	1
"RAND_948"	-81.54	0	1000	0	1	0	1
"RAND_857"	-20.1	-1000	1000	0	0	0	0
"RAND_75"	-79.2	0	1000	0	0	0	0
"RAND_1116"	-59.7	-235	1000	0	1	0	1
"RAND_483"	-24.5	-224	1000	0	1	0	1
"RAND_732"	-46	-46	1000	0	1	0	1
"RAND_627"	-86.1	-1000	1000	0	0	0	0
"RAND_235"	-0.7	-115	1000	0	0	0	0
"RAND_27"	0	-1000	1000	0	0	0	0
"RAND_362"	-11.1	-273	1000	-466	1	5686	1
"RAND_914"	-18.9	-382	264	0	1	0	1
"RAND_1051"	-4.5	0	685	-74	1	0	1
"RAND_765"	-23.98	0	1000	0	0	0	0
"RAND_1047"	-28.4	-1000	188	-470	0	0	1
"RAND_731"	-52.9	-386	1000	0	0	0	0
"RAND_1002"	-7.6	-1000	1000	0	0	0	0
"RAND_332"	-82.2	-988	1000	0	1	0	1
"RAND_789"	-16.9	0	1000	-13	0	25	0
"RAND_206"	-6.6	-401	1000	0	0	0	0
"RAND_541"	-35.5	-1000	1000	0	0	0	0
"RAND_567"	-2.2	-213	900	0	1	0	1
"RAND_590"	-35	0	600	0	1	104	1
"RAND_150"	-16.6	-617	541	0	1	46	1
"RAND_230"	-17.7	-1000	1000	0	0	0	0
"RAND_356"	-12.32	-661	1000	0	0	0	0
"RAND_1101"	-12.9	-328	1000	0	0	0	0
"RAND_19"	-22.9	-149	1000	0	1	0	1
"RAND_429"	-48.2	-357	1000	0	1	0	1
"RAND_533"	-36.7	0	0	-179	1	28	1
"RAND_652"	-12.6	0	411	0	0	0	0
"RAND_387"	-88.5	0	1000	0	1	0	1
"RAND_373"	-7.7	-695	1000	0	0	0	0
"RAND_775"	-30.7	0	1000	0	0	0	0
"RAND_100"	-38.2	0	0	-1	1	0	1
"RAND_786"	-1.87	0	1000	0	0	0	0
"RAND_801"	-20.5	-408	1000	0	1	0	1
"RAND_403"	-54.2	-311	1000	0	0	0	0
"RAND_422"	-16.2	-348	1000	0	0	257	0
"RAND_888"	-14	-368	1000	0	0	0	0
"RAND_30"	-48.4	0	0	0	0	0	1
"RAND_855"	-20.44	-229	373	0	0	0	0
"RAND_462"	-6.7	-11	1000	0	1	0	1
"RAND_727"	-25.6	0	0	-24	0	0	1
"RAND_456"	-13.6	-290	1000	0	0	0	0
"RAND_588"	-24.1	-221	1000	0	1	0	1
"RAND_715"	-24.5	0	1000	0	1	0	1
"RAND_239"	-32.7	-155	1000	0	1	0	1
"RAND_371"	-14.7	-674	466	0	0	178	1
"RAND_63"	-36.5	-177	1000	0	0	0	0
"RAND_171"	-6.4	-232	1000	0	0	0	0
"RAND_279"	-25.45	-998	1000	0	1	0	1
"RAND_329"	-10.84	-372	465	0	1	0	1
"RAND_604"	-6.2	0	1000	0	1	0	1
"RAND_700"	-13	0	1000	0	1	166	1
"RAND_906"	-5.9	-117	1000	0	1	0	1
"RAND_529"	-28.1	-136	1000	0	1	189	1
"RAND_550"	-18.4	-239	364	0	1	0	1
"RAND_1068"	-27.3	-440	1000	0	1	0	1
"RAND_1111"	-38.1	-1000	79	0	0	0	0
"RAND_126"	-10.17	-161	1000	0	0	0	0
"RAND_59"	-20.8	-837	1000	0	0	0	0
"RAND_783"	-21.5	-291	1000	0	0	0	0
"RAND_1092"	-117.04	0	1000	0	0	0	0
"RAND_558"	-49.12	0	1000	0	0	0	0
"RAND_251"	-47.9	0	1000	-76	0	0	1
"RAND_1055"	-54.1	-1000	1000	0	0	0	0
"RAND_388"	-13.8	-1000	1000	0	0	0	0
"RAND_10"	-10.7	-233	1000	0	0	0	0
"RAND_31"	-21.4	-66	1000	0	0	0	0
"RAND_574"	-7.2	0	1000	0	1	54	0
"RAND_871"	-101.1	-188	1000	-42	0	0	1
"RAND_56"	-25.6	0	1000	-44	0	0	0
