"SS"	"PromoterDistance"	"DistTerm"	"Distance"	"sameStrand"	"DownDistance"	"sameDownStrand"
"STnc1010"	-23.3	-621	0	-5	1	16	1
"Stnc1020"	-21.6	-1000	0	-6	1	168	1
"STnc470"	-16.3	0	1000	-103	0	34	1
"SroA"	-28.3	0	1000	-40	1	50	1
"SgrS"	-71.6	0	0	0	1	0	1
"sRNA1"	-16.9	0	0	-24	1	53	1
"IsrA"	-96.7	0	595	-63	1	285	1
"STnc1060"	-26.2	0	122	-324	0	241	1
"SraA"	-12.5	0	0	-28	0	104	0
"STnc930"	-29.2	-603	0	0	1	9	0
"ChiX"	-28.5	0	845	-80	0	7	0
"sRNA10"	-14.2	0	0	-73	1	64	1
"SroC"	-55.6	0	0	-12	1	0	1
"RybD"	-29.5	-277	0	0	1	1512	1
"RybA"	-14	0	1000	-348	1	136	0
"RybB"	-22.7	-72	1000	0	0	78	1
"STnc490"	-36.1	0	70	-111	0	0	0
"IsrB-2"	-27.8	-856	1000	-32	1	3	1
"IsrB-1"	-39.5	0	738	-33	0	1	0
"STnc1080"	-24	-287	1000	-19	0	6	0
"STnc500"	-14.2	0	1000	-82	1	124	1
"STnc840"	-31.6	0	0	-5	1	181	0
"SraB"	-27.8	0	1000	-53	0	38	1
"STnc850"	-18.2	-189	0	0	1	21	0
"STnc150"	-16.2	0	0	-33	0	260	0
"IsrC"	-82	0	0	-168	0	35	0
"STnc520"	-37.4	0	0	-929	0	225	1
"STnc1210"	-25.3	-237	1000	-120	1	162	1
"IsrD"	-15.3	0	1000	-95	0	53	0
"RyhB-2"	-37.2	0	845	-51	0	0	0
"STnc1640"	-39.4	-1000	0	0	1	1	0
"STnc540"	-24.1	0	0	-50	1	61	1
"RprA"	-20.1	0	0	-167	1	184	1
"RydB"	-33.5	-384	0	-172	1	24	0
"STnc1220"	3.5	0	1000	0	0	0	0
"STnc730"	-15.8	0	1000	-121	1	81	1
"MgrR"	-20.3	0	0	-170	1	424	0
"IsrF"	-73.2	-746	0	-229	1	246	1
"STnc1110"	-58.2	-1000	1000	-87	0	30	0
"RyjB"	-42.1	0	1000	0	0	42	0
"RydC"	-20.2	0	0	-121	1	86	0
"MicC"	-30.9	0	0	-29	0	346	0
"STnc580"	-22.7	0	0	-270	1	97	1
"STnc1270"	-79.8	0	0	-7	0	31	0
"STnc2040"	-11.2	0	0	-343	1	0	1
"SraC"	-97.6	0	0	-53	1	12	0
"SdsR"	-34.5	-685	0	-131	0	142	1
"RyeF"	-101	0	0	-157	0	0	1
"DsrA"	-27.1	0	1000	-9	0	216	0
"RseX"	-17.6	-40	1000	-256	0	301	1
"STnc1290"	-72.5	0	0	0	1	0	1
"STnc1300"	-50.7	0	1000	0	0	0	0
"STnc1650"	-18.62	-1000	1000	0	0	19	0
"STnc700"	-66.3	-1000	1000	-132	0	51	1
"RyeC"	-61.9	-1000	0	-64	1	241	1
"STnc1150"	-36.2	0	227	-4	1	429	1
"CyaR"	-21.1	0	0	-86	1	281	1
"STnc740"	-14.6	-247	0	0	0	183	1
"STnc1340"	-9.9	0	1000	-148	1	163	1
"IsrG"	-54.3	-1000	1000	0	0	2	1
"MicF"	-18.4	-1000	1000	-502	0	304	1
"IsrH-1"	-85.7	0	1000	-3	0	43	0
"IsrH-2"	-71.5	-17	1000	-3	0	214	0
"RyfA"	-129.9	0	0	-272	1	5	0
"GlmY"	-63	0	0	-48	1	408	1
"STnc1380"	-28.9	0	1000	-46	0	553	1
"IsrI"	-63.8	0	0	-175	0	489	1
"IsrJ"	-13.8	0	204	-803	0	37	1
"STnc1160"	-45.3	-105	930	-56	1	139	1
"IsrK"	-30.5	0	0	-164	1	34	1
"STnc1390"	-24.4	-1000	1000	-11	0	19	0
"STnc1400"	-44.6	0	778	-160	0	36	0
"STnc2090"	-39.92	-221	0	0	1	207	1
"sRNA3"	-51.9	-1000	0	-85	1	26	1
"IsrL"	-103.81	0	1000	-2	0	0	0
"IsrM"	-24.8	-1000	1000	-153	0	57	1
"IsrN"	-42.6	-1000	695	-6	0	0	0
"MicA"	-22.6	0	1000	-68	0	10	0
"InvR"	-15.8	-2	0	-92	1	254	1
"CsrB"	-92.1	0	0	-42	1	209	1
"GcvB"	-44.9	-1000	1000	-128	0	20	0
"OmrA"	-27.9	0	1000	-91	1	417	0
"OmrB"	-27.8	0	1000	-292	1	217	0
"STnc290"	-19.8	-814	0	-569	1	160	1
"IsrO"	-44.4	0	597	-47	0	19	1
"SsrS"	-119	0	789	0	1	143	1
"RygC"	-64.6	0	0	-51	1	187	0
"STnc750"	-36.6	0	0	-26	1	92	1
"RygD"	-52.9	0	0	0	0	0	0
"SraF"	-84.6	0	0	-65	1	22	1
"ArcZ"	-46.8	-1000	1000	-118	0	0	0
"STnc1590"	-63	0	1000	-25	0	0	0
"RyhB-1"	-26	0	1000	-252	1	123	0
"STnc770"	-27.7	0	1000	-95	1	60	1
"STnc710"	-26.4	-1000	0	-237	1	162	1
"STnc780"	-49	0	0	0	0	60	1
"IstR-1,2"	-47.4	0	331	-206	1	553	0
"STnc400"	-12.3	-1000	16	-92	1	161	1
"GlmZ"	-57.1	-1000	0	-842	1	69	0
"Spf"	-32.6	-1000	0	-149	1	78	0
"CsrC"	-61.1	0	1000	-306	0	68	1
"STnc870"	-17.4	-544	0	-7	1	85	1
"IsrP"	-19.3	-1000	1000	-36	0	19	0
"STnc1600"	-13.4	-12	1000	-136	0	6	0
"OxyS"	-36.5	0	13	-72	0	96	0
"STnc1460"	-90.3	0	1000	-93	1	33	1
"STnc2130"	-27.6	0	0	0	1	124	1
"STnc880"	-26.4	-1000	0	-85	1	13	0
"SraL"	-32.1	0	0	-32	0	122	0
"STnc440"	-13.8	0	0	-116	1	99	0
"STnc2160"	-19.7	-80	0	-302	0	0	1
"IsrQ"	-21.3	0	1000	-152	0	0	1
"STnc1470"	-40.4	0	126	0	0	159	0
