"SS"	"PromoterDistance"	"DistTerm"	"Distance"	"sameStrand"	"DownDistance"	"sameDownStrand"
"Spy_sRNA93359"	-25	-1000	0	-38	1	132	1
"Spy_sRNA190336"	-26.8	-2	1000	-211	0	111	1
"Spy_sRNA195261"	-58	0	1000	-230	1	1312	0
"Spy_sRNA318404"	-34.2	0	576	-55	1	22	1
"Spy_sRNA392987"	-17.6	0	0	-879	1	485	1
"Spy_sRNA477741"	-15.8	0	383	-29	0	296	1
"Spy_sRNA480642"	-13.3	-210	1000	-36	1	24	0
"Spy_sRNA480696"	0	-165	1000	-48	0	18	1
"Spy_sRNA482963"	-29.9	0	0	-7	1	117	1
"Spy_sRNA500055"	-30	0	0	-81	1	34	1
"Spy_sRNA531081"	-23.2	0	1000	-39	0	0	0
"Spy_sRNA532788"	-7.5	0	1000	-12	0	11	0
"Spy_sRNA542268"	0	-84	1000	-202	0	62	0
"Spy_sRNA544833"	-12.5	0	120	-60	1	167	1
"Spy_sRNA680207"	-9.9	0	17	-253	1	73	1
"Spy_sRNA694150"	-7.6	0	1000	-425	1	402	1
"Spy_sRNA728180"	0	-355	1000	0	0	0	0
"Spy_sRNA779816"	-28.2	0	12	-42	0	121	0
"Spy_sRNA792465"	-7.6	0	871	-379	0	25	0
"Spy_sRNA800369"	-26.3	0	0	-6	0	55	0
"Spy_sRNA924338"	0	-89	1000	0	0	0	0
"Spy_sRNA930739"	-45.2	0	1000	-119	1	17	1
"Spy_sRNA1032107"	0	-47	1000	0	0	0	0
"Spy_sRNA1046345"	-57.2	0	1000	-222	0	59	1
"Spy_sRNA1063616"	0	-96	1000	0	0	0	0
"Spy_sRNA1065030"	-83.64	-32	945	-97	0	297	1
"Spy_sRNA1110925"	-20.9	0	1000	-76	1	101	0
"Spy_sRNA1126903"	-58.4	0	1000	-107	1	155	1
"Spy_sRNA1167444"	-0.7	-69	1000	0	0	0	0
"Spy_sRNA1186876"	4.81	0	93	-144	0	40	1
"Spy_sRNA1212757"	-14.8	-6	1000	-36	0	190	0
"Spy_sRNA1221370"	-36.8	0	1000	-8	0	32	0
"Spy_sRNA1222613"	-11.2	-155	0	-36	0	19	1
"Spy_sRNA1260092"	-31.8	0	585	-35	1	60	0
"Spy_sRNA1300419"	-27.1	0	0	-200	1	158	0
"Spy_sRNA1365555"	-32	0	283	-327	1	0	1
"Spy_sRNA1571135"	-10.8	0	0	-139	1	62	1
"Spy_sRNA1663522"	-50.5	-10	1000	-92	1	203	1
"Spy_sRNA1718031"	-10.6	0	0	0	0	12	1
"Spy_sRNA1721621"	-23.3	0	0	-68	0	1008	1
"Spy_sRNA1755445"	-25.2	0	0	-15	0	664	0
"Spy_sRNA1774740"	0	-15	219	-146	0	1074	0
"Spy_sRNA1775122"	-26.7	0	0	-408	1	731	1
"Spy_sRNA1778807"	-2.72	0	1000	-29	0	132	0
"Spy_sRNA1786666"	-25	-10	0	-268	1	262	0
"Spy_sRNA1842269"	-10.7	0	1000	-209	1	126	0
