"SS"	"PromoterDistance"	"DistTerm"	"Distance"	"sameStrand"	"DownDistance"	"sameDownStrand"
"RAND_262"	-24.9	-7	1000	0	0	0	0
"RAND_361"	-22.4	-1000	8	-61	1	0	1
"RAND_387"	-40	-573	1000	0	0	0	0
"RAND_44"	-22.4	-1000	1000	0	1	0	1
"RAND_376"	-28.8	-1000	1000	0	1	0	1
"RAND_76"	-28	-1000	1000	0	1	0	1
"RAND_329"	-36	-1000	1000	0	0	0	0
"RAND_337"	-25.3	-1000	1000	0	1	0	1
"RAND_185"	-24.4	-1000	257	0	0	0	0
"RAND_215"	-72.9	-1000	1000	0	0	0	0
"RAND_327"	-22.6	-1000	1000	0	0	0	0
"RAND_138"	-9.7	-376	1000	0	1	0	1
"RAND_306"	-52.3	-971	1000	0	0	0	0
"RAND_330"	-42	-1000	1000	0	1	0	1
"RAND_245"	-52.1	0	1000	0	1	0	1
"RAND_92"	-24.2	-1000	1000	0	0	0	0
"RAND_118"	-10.9	-1000	1000	0	0	0	0
"RAND_424"	-55	-1000	1000	0	1	0	1
"RAND_220"	-12.45	-1000	1000	0	0	0	0
"RAND_296"	-68.1	-511	1000	0	0	0	0
"RAND_34"	-54.9	-898	1000	0	1	0	1
"RAND_36"	-112.7	-422	1000	0	1	0	1
"RAND_90"	-24.9	-1000	302	0	0	0	0
"RAND_350"	-46	-1000	1000	0	1	0	1
"RAND_247"	-29.5	-1000	1000	0	1	0	1
"RAND_334"	-37.4	-479	1000	0	1	0	1
"RAND_335"	-61.9	-1000	1000	0	1	0	1
"RAND_180"	-5.8	-1000	1000	0	1	0	1
"RAND_244"	-36.8	-1000	1000	0	1	0	1
"RAND_112"	-24.1	-96	1000	0	1	0	1
"RAND_415"	-17.8	-1000	1000	0	0	0	0
"RAND_164"	-17.05	-1000	1000	0	0	0	0
"RAND_192"	-22.9	-1000	1000	0	0	0	0
"RAND_343"	-16.7	-31	1000	0	0	0	0
"RAND_5"	-19.1	0	509	0	0	0	0
"RAND_114"	-46.9	-1000	1000	0	0	0	0
"RAND_382"	-18.4	-1000	1000	0	0	0	0
"RAND_120"	-46.4	-1000	892	0	0	0	0
"RAND_53"	-22.3	-1000	873	0	0	169	1
"RAND_31"	-26.1	-531	563	0	1	0	1
"RAND_386"	-52.78	-579	597	0	1	0	1
"RAND_167"	-21.4	-1000	1000	0	0	0	0
"RAND_29"	-43.2	-1000	837	0	0	0	0
"RAND_223"	-16	-579	1000	0	0	0	0
"RAND_154"	-40.8	-1000	1000	0	1	0	1
"RAND_325"	-11.7	-1000	1000	0	1	0	1
"RAND_123"	-18.4	-1000	534	0	1	0	1
"RAND_128"	-43	-1000	45	0	0	0	0
"RAND_49"	-35.1	-1000	577	0	1	0	1
"RAND_125"	-35.34	-1000	1000	0	1	0	1
"RAND_261"	-53.7	-1000	1000	0	1	6	1
"RAND_405"	-25.6	-1000	1000	0	0	0	0
"RAND_411"	-13.6	-1000	453	0	1	0	1
"RAND_445"	-21.7	0	108	0	1	0	1
"RAND_199"	-58.2	-1000	1000	0	0	0	0
"RAND_194"	-21.8	-1000	1000	0	0	0	0
"RAND_338"	-74.6	-1000	1000	0	0	0	0
"RAND_252"	-63.5	-1000	1000	0	0	0	0
"RAND_189"	-57.3	-1000	1000	-192	1	0	1
"RAND_15"	-43.2	-48	518	0	1	0	1
"RAND_239"	-19.5	-1000	174	0	0	0	0
"RAND_132"	-74.8	-720	651	0	0	0	0
"RAND_236"	-58.9	-23	1000	0	1	0	1
"RAND_82"	-36.1	-1000	1000	0	1	0	1
"RAND_205"	-55.5	-1000	1000	0	1	0	1
"RAND_81"	-62.9	-1000	1000	0	0	0	0
"RAND_280"	-7.8	-1000	1000	0	1	0	1
"RAND_175"	-34.7	-1000	1000	0	1	0	1
"RAND_233"	-14.2	-641	1000	0	1	0	1
"RAND_270"	-6.2	-1000	1000	0	0	0	0
"RAND_124"	-32.1	-24	1000	-224	0	0	1
"RAND_391"	-66.7	-1000	1000	0	0	0	0
"RAND_75"	-37.4	-1000	1000	0	1	0	1
"RAND_27"	-28.4	0	1000	0	0	0	0
"RAND_266"	-24.1	-1000	682	0	1	0	1
"RAND_292"	-18.2	-1000	846	0	1	237	1
"RAND_22"	-37.8	-1000	1000	0	1	0	1
"RAND_41"	-16.5	-1000	1000	0	1	0	1
"RAND_432"	-42.6	-369	1000	0	1	0	1
"RAND_421"	-21.3	-1000	1000	-71	1	0	0
"RAND_98"	-19.5	-1000	1000	0	1	0	1
"RAND_316"	0.1	-1000	1000	0	1	0	1
"RAND_70"	-79.6	-187	208	0	1	0	1
"RAND_434"	-47.5	-1000	127	-250	1	485	1
"RAND_312"	-62.1	-1000	1000	0	0	0	0
"RAND_423"	-79.4	-1000	1000	0	1	0	1
"RAND_147"	-39.3	-209	1000	0	1	0	1
"RAND_142"	-9.7	-1000	1000	0	0	0	0
"RAND_349"	-32	-1000	1000	0	0	0	0
"RAND_88"	-25.9	-1000	1000	0	1	0	1
"RAND_298"	-5.4	-1000	1000	0	0	0	0
"RAND_57"	-30.1	-1000	1000	0	1	0	1
"RAND_133"	-11.9	-1000	1000	0	0	0	0
"RAND_19"	-39.12	-1000	1000	0	0	0	0
"RAND_208"	-5.6	-611	1000	0	1	0	1
