	SS	PromoterDistance	DistTerm	Distance	sameStrand	DownDistance	sameDownStrand	AAAA/TTTT	AAAC/GTTT	AAAG/CTTT	AAAT/ATTT	AACA/TGTT	AACC/GGTT	AACG/CGTT	AACT/AGTT	AAGA/TCTT	AAGC/GCTT	AAGG/CCTT	AAGT/ACTT	AATA/TATT	AATC/GATT	AATG/CATT	AATT/AATT	ACAA/TTGT	ACAC/GTGT	ACAG/CTGT	ACAT/ATGT	ACCA/TGGT	ACCC/GGGT	ACCG/CGGT	ACCT/AGGT	ACGA/TCGT	ACGC/GCGT	ACGG/CCGT	ACGT/ACGT	ACTA/TAGT	ACTC/GAGT	ACTG/CAGT	AGAA/TTCT	AGAC/GTCT	AGAG/CTCT	AGAT/ATCT	AGCA/TGCT	AGCC/GGCT	AGCG/CGCT	AGCT/AGCT	AGGA/TCCT	AGGC/GCCT	AGGG/CCCT	AGTA/TACT	AGTC/GACT	AGTG/CACT	ATAA/TTAT	ATAC/GTAT	ATAG/CTAT	ATAT/ATAT	ATCA/TGAT	ATCC/GGAT	ATCG/CGAT	ATGA/TCAT	ATGC/GCAT	ATGG/CCAT	ATTA/TAAT	ATTC/GAAT	ATTG/CAAT	CAAA/TTTG	CAAC/GTTG	CAAG/CTTG	CACA/TGTG	CACC/GGTG	CACG/CGTG	CAGA/TCTG	CAGC/GCTG	CAGG/CCTG	CATA/TATG	CATC/GATG	CATG/CATG	CCAA/TTGG	CCAC/GTGG	CCAG/CTGG	CCCA/TGGG	CCCC/GGGG	CCCG/CGGG	CCGA/TCGG	CCGC/GCGG	CCGG/CCGG	CCTA/TAGG	CCTC/GAGG	CGAA/TTCG	CGAC/GTCG	CGAG/CTCG	CGCA/TGCG	CGCC/GGCG	CGCG/CGCG	CGGA/TCCG	CGGC/GCCG	CGTA/TACG	CGTC/GACG	CTAA/TTAG	CTAC/GTAG	CTAG/CTAG	CTCA/TGAG	CTCC/GGAG	CTGA/TCAG	CTGC/GCAG	CTTA/TAAG	CTTC/GAAG	GAAA/TTTC	GAAC/GTTC	GACA/TGTC	GACC/GGTC	GAGA/TCTC	GAGC/GCTC	GATA/TATC	GATC/GATC	GCAA/TTGC	GCAC/GTGC	GCCA/TGGC	GCCC/GGGC	GCGA/TCGC	GCGC/GCGC	GCTA/TAGC	GGAA/TTCC	GGAC/GTCC	GGCA/TGCC	GGCC/GGCC	GGGA/TCCC	GGTA/TACC	GTAA/TTAC	GTAC/GTAC	GTCA/TGAC	GTGA/TCAC	GTTA/TAAC	TAAA/TTTA	TACA/TGTA	TAGA/TCTA	TATA/TATA	TCAA/TTGA	TCCA/TGGA	TCGA/TCGA	TGAA/TTCA	TGCA/TGCA	TTAA/TTAA
Thr_leader	-48.3	-54	0	0	1	14	1	0.06837606837606838	0.008547008547008548	0.017094017094017096	0.0	0.017094017094017096	0.008547008547008548	0.008547008547008548	0.0	0.0	0.017094017094017096	0.0	0.0	0.0	0.0	0.017094017094017096	0.0	0.0	0.008547008547008548	0.03418803418803419	0.0	0.05982905982905983	0.0	0.017094017094017096	0.017094017094017096	0.0	0.017094017094017096	0.008547008547008548	0.0	0.0	0.0	0.008547008547008548	0.008547008547008548	0.0	0.0	0.0	0.008547008547008548	0.025641025641025644	0.0	0.0	0.008547008547008548	0.0	0.0	0.0	0.0	0.008547008547008548	0.0	0.0	0.0	0.0	0.017094017094017096	0.0	0.0	0.0	0.008547008547008548	0.02564102564102564	0.017094017094017096	0.0	0.0	0.0	0.0	0.0	0.017094017094017096	0.059829059829059825	0.0	0.008547008547008548	0.017094017094017096	0.025641025641025644	0.0	0.017094017094017096	0.0	0.0	0.03418803418803419	0.0	0.0	0.0	0.025641025641025644	0.0	0.03418803418803419	0.0	0.0	0.0	0.0	0.0	0.0	0.03418803418803419	0.0	0.008547008547008548	0.0	0.0	0.008547008547008548	0.008547008547008548	0.0	0.0	0.0	0.0	0.0	0.025641025641025644	0.0	0.0	0.0	0.025641025641025644	0.017094017094017096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03418803418803419	0.0	0.025641025641025644	0.0	0.0	0.0	0.008547008547008548	0.0	0.0	0.0	0.0	0.025641025641025644	0.025641025641025644	0.008547008547008548	0.008547008547008548	0.008547008547008548	0.008547008547008548	0.0	0.008547008547008548	0.0	0.0	0.0	0.0	0.0	0.008547008547008548	0.0	0.0
STnc10	-8.8	0	1000	-24	0	0	0	0.09836065573770492	0.01639344262295082	0.01639344262295082	0.01639344262295082	0.0	0.0	0.01639344262295082	0.0	0.0	0.0	0.0	0.04918032786885246	0.01639344262295082	0.0	0.01639344262295082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03278688524590164	0.01639344262295082	0.0	0.0	0.01639344262295082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01639344262295082	0.0	0.0	0.0	0.0	0.04918032786885246	0.01639344262295082	0.0	0.0	0.01639344262295082	0.03278688524590164	0.01639344262295082	0.0	0.0	0.04918032786885246	0.0	0.0	0.0	0.01639344262295082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01639344262295082	0.01639344262295082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01639344262295082	0.0	0.01639344262295082	0.0	0.0	0.01639344262295082	0.01639344262295082	0.01639344262295082	0.0	0.01639344262295082	0.0	0.03278688524590164	0.01639344262295082	0.03278688524590164	0.0	0.01639344262295082	0.0	0.0	0.0	0.0	0.0	0.0	0.01639344262295082	0.01639344262295082	0.01639344262295082	0.0	0.0	0.0	0.0	0.01639344262295082	0.0	0.0	0.0	0.01639344262295082	0.0	0.0	0.0	0.0	0.01639344262295082	0.0	0.03278688524590164	0.0	0.0	0.0	0.0	0.03278688524590164	0.0	0.0	0.0	0.0	0.03278688524590164	0.0	0.0	0.01639344262295082	0.0	0.0	0.0	0.03278688524590164	0.0	0.0
STnc20	-37.35	0	0	-98	0	20	0	0.06646525679758308	0.02416918429003021	0.015105740181268883	0.01812688821752266	0.006042296072507553	0.012084592145015106	0.00906344410876133	0.012084592145015106	0.012084592145015106	0.0030211480362537764	0.012084592145015106	0.012084592145015106	0.021148036253776436	0.012084592145015106	0.00906344410876133	0.0030211480362537764	0.006042296072507553	0.0030211480362537764	0.006042296072507553	0.00906344410876133	0.006042296072507553	0.012084592145015106	0.0030211480362537764	0.00906344410876133	0.0030211480362537764	0.00906344410876133	0.006042296072507553	0.0030211480362537764	0.00906344410876133	0.006042296072507553	0.00906344410876133	0.00906344410876133	0.0	0.006042296072507553	0.006042296072507553	0.00906344410876133	0.006042296072507553	0.012084592145015106	0.0030211480362537764	0.00906344410876133	0.006042296072507553	0.006042296072507553	0.015105740181268883	0.0030211480362537764	0.006042296072507553	0.01812688821752266	0.0030211480362537764	0.006042296072507553	0.0	0.00906344410876133	0.0030211480362537764	0.0030211480362537764	0.012084592145015106	0.006042296072507553	0.0	0.01812688821752266	0.0030211480362537764	0.00906344410876133	0.012084592145015106	0.0030211480362537764	0.0030211480362537764	0.0030211480362537764	0.006042296072507553	0.006042296072507553	0.006042296072507553	0.00906344410876133	0.00906344410876133	0.0030211480362537764	0.00906344410876133	0.0030211480362537764	0.0	0.0030211480362537764	0.006042296072507553	0.0	0.0030211480362537764	0.00906344410876133	0.0030211480362537764	0.00906344410876133	0.0	0.0030211480362537764	0.006042296072507553	0.0	0.006042296072507553	0.006042296072507553	0.0030211480362537764	0.0	0.0030211480362537764	0.0	0.006042296072507553	0.006042296072507553	0.0030211480362537764	0.00906344410876133	0.00906344410876133	0.0	0.00906344410876133	0.0030211480362537764	0.015105740181268881	0.006042296072507553	0.01812688821752266	0.0030211480362537764	0.030211480362537766	0.0030211480362537764	0.0030211480362537764	0.00906344410876133	0.0	0.012084592145015106	0.0030211480362537764	0.0	0.00906344410876133	0.0	0.0030211480362537764	0.0	0.0030211480362537764	0.0	0.00906344410876133	0.006042296072507553	0.0	0.00906344410876133	0.0	0.0030211480362537764	0.0030211480362537764	0.01812688821752266	0.0030211480362537764	0.012084592145015106	0.015105740181268881	0.00906344410876133	0.01812688821752266	0.012084592145015106	0.0030211480362537764	0.0	0.012084592145015106	0.0	0.0030211480362537764	0.02416918429003021	0.0	0.00906344410876133
STnc30	-26.3	-2	0	-47	1	17	1	0.0625	0.015625	0.015625	0.0078125	0.0	0.0234375	0.015625	0.0	0.03125	0.0	0.015625	0.0	0.0234375	0.0078125	0.015625	0.0078125	0.015625	0.0	0.0078125	0.0078125	0.0234375	0.0	0.0	0.0078125	0.015625	0.0078125	0.0078125	0.0	0.0078125	0.0	0.0	0.0234375	0.0	0.0	0.0078125	0.03125	0.0	0.0	0.0	0.0078125	0.0078125	0.0	0.0	0.0078125	0.0	0.0078125	0.0	0.0078125	0.0078125	0.0078125	0.0078125	0.0078125	0.015625	0.0078125	0.0	0.0078125	0.03125	0.015625	0.0234375	0.0234375	0.0	0.015625	0.0078125	0.0	0.0078125	0.015625	0.0078125	0.0	0.015625	0.0	0.0078125	0.0078125	0.015625	0.0078125	0.0078125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015625	0.0	0.0078125	0.0078125	0.0	0.0078125	0.0	0.0078125	0.0078125	0.0078125	0.0078125	0.0	0.0	0.0	0.0078125	0.0	0.0234375	0.0078125	0.015625	0.0	0.0078125	0.0	0.0	0.0	0.0078125	0.0	0.0234375	0.015625	0.0	0.0078125	0.0078125	0.0	0.015625	0.0078125	0.0	0.0078125	0.0	0.0	0.0	0.0	0.0	0.0078125	0.0	0.0	0.0	0.0	0.0	0.0	0.015625	0.0	0.0	0.0234375	0.0	0.0078125
STnc470	-41.74	0	1000	-2	0	1	1	0.0228310502283105	0.0136986301369863	0.0045662100456621	0.0045662100456621	0.0136986301369863	0.0045662100456621	0.0136986301369863	0.0045662100456621	0.0182648401826484	0.0091324200913242	0.0091324200913242	0.0	0.0136986301369863	0.0091324200913242	0.0045662100456621	0.0	0.0045662100456621	0.0	0.0091324200913242	0.0091324200913242	0.0	0.0	0.0045662100456621	0.0045662100456621	0.0091324200913242	0.0	0.0182648401826484	0.0045662100456621	0.0	0.0045662100456621	0.0136986301369863	0.0	0.0091324200913242	0.0182648401826484	0.0045662100456621	0.0091324200913242	0.0136986301369863	0.0045662100456621	0.0045662100456621	0.0	0.0091324200913242	0.0182648401826484	0.0045662100456621	0.0	0.0091324200913242	0.0228310502283105	0.0	0.0	0.0	0.0136986301369863	0.0136986301369863	0.0	0.0136986301369863	0.0091324200913242	0.0091324200913242	0.0045662100456621	0.0091324200913242	0.0091324200913242	0.0045662100456621	0.0091324200913242	0.0091324200913242	0.0091324200913242	0.0045662100456621	0.0045662100456621	0.0091324200913242	0.0136986301369863	0.0136986301369863	0.0045662100456621	0.0182648401826484	0.0091324200913242	0.0045662100456621	0.0045662100456621	0.0182648401826484	0.0	0.0045662100456621	0.0091324200913242	0.0	0.0045662100456621	0.0045662100456621	0.0	0.0091324200913242	0.0045662100456621	0.0	0.0045662100456621	0.0182648401826484	0.0091324200913242	0.0091324200913242	0.0091324200913242	0.0091324200913242	0.0045662100456621	0.0136986301369863	0.0	0.0	0.0	0.0045662100456621	0.0	0.0091324200913242	0.0136986301369863	0.0182648401826484	0.0045662100456621	0.0091324200913242	0.0045662100456621	0.0	0.0	0.0045662100456621	0.0091324200913242	0.0045662100456621	0.0	0.0182648401826484	0.0136986301369863	0.0228310502283105	0.0273972602739726	0.0	0.0228310502283105	0.0	0.0091324200913242	0.0	0.0273972602739726	0.0091324200913242	0.0	0.0	0.0091324200913242	0.0	0.0045662100456621	0.0091324200913242	0.0091324200913242	0.0091324200913242	0.0	0.0	0.0	0.0045662100456621	0.0136986301369863	0.0	0.0136986301369863	0.0	0.0045662100456621
TPP	-26.2	0	1000	-23	0	47	0	0.010416666666666666	0.0	0.0	0.020833333333333332	0.0	0.010416666666666666	0.010416666666666666	0.010416666666666666	0.0	0.0	0.010416666666666666	0.0	0.010416666666666666	0.010416666666666666	0.010416666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.020833333333333332	0.0	0.020833333333333332	0.0	0.0	0.020833333333333332	0.0	0.0	0.010416666666666666	0.0	0.010416666666666666	0.0	0.010416666666666666	0.0	0.0	0.010416666666666666	0.020833333333333332	0.0	0.0	0.010416666666666666	0.010416666666666666	0.0	0.0	0.0	0.010416666666666666	0.010416666666666666	0.0	0.0	0.010416666666666666	0.03125	0.0	0.010416666666666666	0.020833333333333332	0.0	0.010416666666666666	0.0	0.0	0.010416666666666666	0.010416666666666666	0.0	0.0	0.010416666666666666	0.0	0.0	0.010416666666666666	0.010416666666666666	0.0	0.0	0.010416666666666666	0.0	0.0	0.0	0.0	0.010416666666666666	0.020833333333333332	0.010416666666666666	0.010416666666666666	0.020833333333333332	0.0	0.020833333333333332	0.03125	0.010416666666666666	0.0	0.010416666666666666	0.010416666666666666	0.03125	0.020833333333333332	0.03125	0.0	0.010416666666666666	0.0	0.010416666666666666	0.0	0.05208333333333333	0.0	0.020833333333333332	0.0	0.0	0.010416666666666666	0.010416666666666666	0.020833333333333332	0.0	0.0	0.020833333333333332	0.010416666666666666	0.010416666666666666	0.010416666666666666	0.0	0.010416666666666666	0.0	0.0	0.010416666666666666	0.041666666666666664	0.010416666666666666	0.0	0.0	0.020833333333333332	0.0	0.010416666666666666	0.020833333333333332	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.020833333333333332	0.0	0.010416666666666666	0.0	0.0	0.0
sgrS	-73.4	0	112	-53	0	245	0	0.04680851063829787	0.00425531914893617	0.00425531914893617	0.012765957446808512	0.0	0.00425531914893617	0.00425531914893617	0.00851063829787234	0.00851063829787234	0.02127659574468085	0.0	0.0	0.012765957446808512	0.00851063829787234	0.00425531914893617	0.00425531914893617	0.0	0.00851063829787234	0.0	0.00851063829787234	0.00851063829787234	0.00425531914893617	0.00851063829787234	0.00425531914893617	0.0	0.0	0.00425531914893617	0.00425531914893617	0.00425531914893617	0.00425531914893617	0.01702127659574468	0.00425531914893617	0.00425531914893617	0.00851063829787234	0.012765957446808512	0.01702127659574468	0.02127659574468085	0.012765957446808512	0.0	0.00851063829787234	0.01702127659574468	0.0	0.00425531914893617	0.00425531914893617	0.00851063829787234	0.00425531914893617	0.00425531914893617	0.00851063829787234	0.00851063829787234	0.012765957446808512	0.0	0.00851063829787234	0.00851063829787234	0.01276595744680851	0.0	0.00425531914893617	0.0	0.01702127659574468	0.00425531914893617	0.00425531914893617	0.00851063829787234	0.00851063829787234	0.012765957446808512	0.0	0.01702127659574468	0.01702127659574468	0.00851063829787234	0.00425531914893617	0.00851063829787234	0.00425531914893617	0.00851063829787234	0.00425531914893617	0.025531914893617023	0.00425531914893617	0.0	0.00425531914893617	0.00425531914893617	0.01702127659574468	0.0	0.00851063829787234	0.01276595744680851	0.0	0.00851063829787234	0.00425531914893617	0.012765957446808512	0.01702127659574468	0.00851063829787234	0.00851063829787234	0.00425531914893617	0.0	0.00851063829787234	0.00425531914893617	0.00425531914893617	0.0	0.01276595744680851	0.00425531914893617	0.01276595744680851	0.02127659574468085	0.00425531914893617	0.01276595744680851	0.00425531914893617	0.00851063829787234	0.00425531914893617	0.00851063829787234	0.00425531914893617	0.00851063829787234	0.01702127659574468	0.0	0.01702127659574468	0.00425531914893617	0.02553191489361702	0.0	0.01702127659574468	0.01276595744680851	0.00425531914893617	0.01276595744680851	0.00425531914893617	0.00851063829787234	0.0	0.00425531914893617	0.0	0.0	0.0	0.00851063829787234	0.012765957446808512	0.0	0.00851063829787234	0.00425531914893617	0.0	0.0	0.00851063829787234	0.0	0.0	0.00851063829787234	0.00851063829787234	0.00425531914893617
Leu_leader	-49.4	0	0	-22	0	0	0	0.027777777777777776	0.027777777777777776	0.0	0.006944444444444444	0.013888888888888888	0.013888888888888888	0.027777777777777776	0.0	0.0	0.0	0.0	0.013888888888888888	0.006944444444444444	0.0	0.027777777777777776	0.006944444444444444	0.013888888888888888	0.0	0.0	0.020833333333333332	0.0	0.013888888888888888	0.020833333333333332	0.0	0.013888888888888888	0.006944444444444444	0.006944444444444444	0.0	0.013888888888888888	0.006944444444444444	0.006944444444444444	0.0	0.006944444444444444	0.0	0.0	0.0	0.006944444444444444	0.0	0.013888888888888888	0.0	0.0	0.0	0.020833333333333332	0.013888888888888888	0.006944444444444444	0.006944444444444444	0.0	0.0	0.006944444444444444	0.0	0.0	0.006944444444444444	0.0	0.013888888888888888	0.0	0.020833333333333332	0.013888888888888888	0.006944444444444444	0.013888888888888888	0.020833333333333332	0.0	0.013888888888888888	0.006944444444444444	0.0	0.0	0.013888888888888888	0.0	0.006944444444444444	0.0	0.0	0.0	0.006944444444444444	0.013888888888888888	0.013888888888888888	0.0	0.013888888888888888	0.0	0.027777777777777776	0.006944444444444444	0.0	0.0	0.013888888888888888	0.0	0.006944444444444444	0.020833333333333332	0.013888888888888888	0.020833333333333332	0.0	0.013888888888888888	0.0	0.0	0.0	0.027777777777777776	0.0	0.006944444444444444	0.006944444444444444	0.013888888888888888	0.0	0.006944444444444444	0.006944444444444444	0.006944444444444444	0.006944444444444444	0.006944444444444444	0.006944444444444444	0.0	0.013888888888888888	0.006944444444444444	0.0	0.006944444444444444	0.006944444444444444	0.0	0.013888888888888888	0.0	0.020833333333333332	0.006944444444444444	0.0	0.0	0.006944444444444444	0.0	0.0	0.006944444444444444	0.0	0.0	0.020833333333333332	0.013888888888888888	0.0	0.006944444444444444	0.0	0.006944444444444444	0.0	0.020833333333333332	0.006944444444444444	0.006944444444444444	0.020833333333333332	0.0	0.013888888888888888
STnc40	-26.0	0	0	-71	1	0	1	0.07142857142857142	0.0	0.02857142857142857	0.0	0.014285714285714285	0.0	0.0	0.0	0.0	0.014285714285714285	0.02857142857142857	0.0	0.014285714285714285	0.0	0.014285714285714285	0.0	0.0	0.014285714285714285	0.014285714285714285	0.0	0.0	0.0	0.0	0.0	0.0	0.014285714285714285	0.0	0.0	0.0	0.0	0.014285714285714285	0.0	0.0	0.0	0.014285714285714285	0.0	0.0	0.02857142857142857	0.0	0.0	0.05714285714285714	0.0	0.0	0.014285714285714285	0.0	0.04285714285714286	0.0	0.0	0.0	0.0	0.014285714285714285	0.0	0.0	0.014285714285714285	0.014285714285714285	0.0	0.014285714285714285	0.014285714285714285	0.0	0.0	0.0	0.014285714285714285	0.0	0.0	0.014285714285714285	0.0	0.02857142857142857	0.014285714285714285	0.0	0.0	0.0	0.0	0.014285714285714285	0.0	0.0	0.0	0.014285714285714285	0.0	0.0	0.0	0.0	0.014285714285714285	0.014285714285714285	0.0	0.02857142857142857	0.05714285714285714	0.0	0.0	0.014285714285714285	0.014285714285714285	0.0	0.0	0.014285714285714285	0.0	0.0	0.0	0.0	0.02857142857142857	0.014285714285714285	0.0	0.0	0.014285714285714285	0.0	0.0	0.0	0.0	0.014285714285714285	0.0	0.0	0.0	0.014285714285714285	0.014285714285714285	0.014285714285714285	0.04285714285714286	0.014285714285714285	0.0	0.0	0.014285714285714285	0.014285714285714285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02857142857142857	0.0	0.0	0.0	0.014285714285714285	0.014285714285714285	0.0	0.014285714285714285	0.0	0.0
STnc50	-17.7	-697	0	-28	0	175	0	0.08974358974358974	0.0	0.038461538461538464	0.02564102564102564	0.0	0.0	0.01282051282051282	0.0	0.0	0.038461538461538464	0.01282051282051282	0.0	0.0	0.01282051282051282	0.01282051282051282	0.0	0.01282051282051282	0.01282051282051282	0.01282051282051282	0.01282051282051282	0.0	0.0	0.0	0.0	0.01282051282051282	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01282051282051282	0.0	0.02564102564102564	0.02564102564102564	0.0	0.01282051282051282	0.0	0.0	0.0	0.0	0.0	0.02564102564102564	0.01282051282051282	0.0	0.0	0.02564102564102564	0.01282051282051282	0.0	0.01282051282051282	0.02564102564102564	0.02564102564102564	0.0	0.0	0.0	0.038461538461538464	0.0	0.0	0.01282051282051282	0.0	0.0	0.01282051282051282	0.01282051282051282	0.0	0.01282051282051282	0.02564102564102564	0.01282051282051282	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02564102564102564	0.0	0.0	0.0	0.02564102564102564	0.0	0.0	0.0	0.01282051282051282	0.0	0.0	0.02564102564102564	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01282051282051282	0.0	0.0	0.01282051282051282	0.01282051282051282	0.0	0.01282051282051282	0.0	0.0	0.0	0.02564102564102564	0.0	0.01282051282051282	0.0	0.02564102564102564	0.0	0.01282051282051282	0.0	0.0	0.0	0.0	0.01282051282051282	0.0	0.0	0.0	0.01282051282051282	0.0	0.01282051282051282	0.0	0.01282051282051282	0.02564102564102564	0.02564102564102564	0.0	0.0	0.01282051282051282	0.0	0.0	0.0	0.01282051282051282	0.0
