"SS"	"PromoterDistance"	"DistTerm"	"Distance"	"sameStrand"	"DownDistance"	"sameDownStrand"
"ECK125203390"	-28.5	-168	1000	0	1	0	1
"ECK125135291"	-17.7	-142	1000	-827	1	1447	0
"ECK125146691"	-27.5	-8	1000	-42	1	466	1
"ECK120002574"	-11.1	0	0	-29	0	104	0
"ECK120002469"	-52.5	-28	1000	-78	0	111	1
"ECK125203396"	-46.8	0	0	0	1	110	1
"ECK120002642"	-23.9	-2	1000	-123	0	0	0
"ECK125122009"	-60.4	-1000	0	-27	0	206	1
"ECK125121984"	-22.7	-28	1000	-352	1	44	0
"ECK120002643"	-58.8	0	0	-13	1	0	1
"ECK120002591"	-23.3	-448	0	-19	0	77	1
"ECK120002575"	-25.9	0	1000	0	0	37	1
"ECK120002608"	-12.6	-275	10	-342	1	81	0
"ECK125203392"	-38.5	0	1000	0	0	0	0
"ECK120002609"	-8.5	-514	1000	-236	0	60	1
"ECK120002656"	-26.6	-2	238	-49	0	314	0
"ECK120002658"	-26.2	-2	239	-49	0	315	0
"ECK120002660"	-25.8	-2	252	-49	0	289	0
"ECK125203398"	-15.1	-130	1000	0	0	0	0
"ECK120002661"	-42.9	0	504	0	1	0	1
"ECK125135293"	-313.85	0	1000	-230	1	255	1
"ECK125203386"	-29.1	0	1000	-63	0	116	0
"ECK120002610"	-28.9	0	1000	-11	0	228	0
"ECK125095415"	-24.2	-2	0	-97	1	264	1
"ECK120002611"	0	0	1000	-331	1	74	1
"ECK125165375"	-21.4	0	212	0	0	0	0
"ECK120002612"	-17.3	-2	0	-229	0	31	0
"ECK120030076"	-13.8	0	1000	-12	0	171	0
"ECK120002663"	-22.2	0	1000	0	0	296	1
"ECK120002613"	-138.4	-4	0	-11	1	12	0
"ECK125095180"	-25.4	0	0	-77	0	46	1
"ECK120002557"	-15.9	-148	1000	-342	1	175	1
"ECK125135295"	-46.33	0	0	0	0	240	0
"ECK120002588"	-14.8	-366	5	-328	1	154	1
"ECK120002576"	-20.5	0	0	-187	1	139	1
"ECK125121999"	-13.9	-45	0	-124	1	33	1
"ECK120002644"	-30.8	-499	0	-27	1	0	1
"ECK120002577"	-56.1	-2	0	-98	0	51	0
"ECK120002594"	-33.4	-319	0	-136	1	158	1
"ECK125165376"	-28.3	-1000	0	-310	1	0	1
"ECK120002614"	-14.1	-143	0	-49	0	20	0
"ECK120002615"	-14.3	0	0	0	1	0	1
"ECK125229289"	-12.5	0	0	-130	1	455	1
"ECK125135297"	-22.4	0	1000	-75	0	0	0
"ECK120003633"	-31.2	-31	601	-15	0	198	0
