id	SS	PromoterDistance	DistTerm	Distance	sameStrand	DownDistance	sameDownStrand	AAAA/TTTT	AAAC/GTTT	AAAG/CTTT	AAAT/ATTT	AACA/TGTT	AACC/GGTT	AACG/CGTT	AACT/AGTT	AAGA/TCTT	AAGC/GCTT	AAGG/CCTT	AAGT/ACTT	AATA/TATT	AATC/GATT	AATG/CATT	AATT/AATT	ACAA/TTGT	ACAC/GTGT	ACAG/CTGT	ACAT/ATGT	ACCA/TGGT	ACCC/GGGT	ACCG/CGGT	ACCT/AGGT	ACGA/TCGT	ACGC/GCGT	ACGG/CCGT	ACGT/ACGT	ACTA/TAGT	ACTC/GAGT	ACTG/CAGT	AGAA/TTCT	AGAC/GTCT	AGAG/CTCT	AGAT/ATCT	AGCA/TGCT	AGCC/GGCT	AGCG/CGCT	AGCT/AGCT	AGGA/TCCT	AGGC/GCCT	AGGG/CCCT	AGTA/TACT	AGTC/GACT	AGTG/CACT	ATAA/TTAT	ATAC/GTAT	ATAG/CTAT	ATAT/ATAT	ATCA/TGAT	ATCC/GGAT	ATCG/CGAT	ATGA/TCAT	ATGC/GCAT	ATGG/CCAT	ATTA/TAAT	ATTC/GAAT	ATTG/CAAT	CAAA/TTTG	CAAC/GTTG	CAAG/CTTG	CACA/TGTG	CACC/GGTG	CACG/CGTG	CAGA/TCTG	CAGC/GCTG	CAGG/CCTG	CATA/TATG	CATC/GATG	CATG/CATG	CCAA/TTGG	CCAC/GTGG	CCAG/CTGG	CCCA/TGGG	CCCC/GGGG	CCCG/CGGG	CCGA/TCGG	CCGC/GCGG	CCGG/CCGG	CCTA/TAGG	CCTC/GAGG	CGAA/TTCG	CGAC/GTCG	CGAG/CTCG	CGCA/TGCG	CGCC/GGCG	CGCG/CGCG	CGGA/TCCG	CGGC/GCCG	CGTA/TACG	CGTC/GACG	CTAA/TTAG	CTAC/GTAG	CTAG/CTAG	CTCA/TGAG	CTCC/GGAG	CTGA/TCAG	CTGC/GCAG	CTTA/TAAG	CTTC/GAAG	GAAA/TTTC	GAAC/GTTC	GACA/TGTC	GACC/GGTC	GAGA/TCTC	GAGC/GCTC	GATA/TATC	GATC/GATC	GCAA/TTGC	GCAC/GTGC	GCCA/TGGC	GCCC/GGGC	GCGA/TCGC	GCGC/GCGC	GCTA/TAGC	GGAA/TTCC	GGAC/GTCC	GGCA/TGCC	GGCC/GGCC	GGGA/TCCC	GGTA/TACC	GTAA/TTAC	GTAC/GTAC	GTCA/TGAC	GTGA/TCAC	GTTA/TAAC	TAAA/TTTA	TACA/TGTA	TAGA/TCTA	TATA/TATA	TCAA/TTGA	TCCA/TGGA	TCGA/TCGA	TGAA/TTCA	TGCA/TGCA	TTAA/TTAA	Class
S_enterica_LT2_RAND_77	-92.1	-529	970	0	1	0	1	0.014319809	0.011933174	0.021479714	0.00477327	0.00477327	0.016706444	0.009546539	0.011933174	0.016706444	0.007159905	0.002386635	0.016706444	0.002386635	0.00477327	0.00477327	0	0	0.002386635	0.002386635	0.007159905	0.014319809	0.007159905	0.021479714	0.014319809	0.014319809	0.002386635	0.009546539	0.002386635	0.00477327	0.00477327	0.002386635	0.016706444	0.007159905	0.002386635	0.011933174	0.002386635	0.009546539	0.007159905	0.002386635	0	0.007159905	0.002386635	0.00477327	0.009546539	0.002386635	0.002386635	0.00477327	0.007159905	0.002386635	0.014319809	0.002386635	0.019093079	0.002386635	0.007159905	0.00477327	0.00477327	0	0.002386635	0.007159905	0.016706444	0	0.002386635	0.019093079	0.00477327	0.014319809	0.011933174	0.016706444	0	0.007159905	0.00477327	0.00477327	0.011933174	0.014319809	0.00477327	0	0.002386635	0.009546539	0.014319809	0.002386635	0	0.00477327	0.016706444	0.011933174	0.014319809	0.014319809	0.007159905	0.002386635	0.00477327	0.009546539	0.009546539	0.007159905	0	0.002386635	0	0	0	0.009546539	0.019093079	0.002386635	0.019093079	0.023866348	0.011933174	0.002386635	0.009546539	0.002386635	0.00477327	0.016706444	0.009546539	0.00477327	0.002386635	0.014319809	0.002386635	0.009546539	0.00477327	0	0.002386635	0.002386635	0.011933174	0.002386635	0	0.011933174	0.007159905	0.007159905	0.007159905	0.011933174	0.002386635	0.00477327	0.002386635	0.00477327	0	0.016706444	0.002386635	0.014319809	0.019093079	0.002386635	0.002386635	0
S_enterica_LT2_RAND_225	-14.5	-6	554	0	1	0	1	0.035897436	0.005128205	0.015384615	0.030769231	0	0.01025641	0.01025641	0.01025641	0	0.015384615	0.005128205	0.005128205	0.025641026	0.020512821	0.015384615	0.01025641	0.005128205	0	0	0.005128205	0	0	0.005128205	0.01025641	0.01025641	0	0.005128205	0	0.005128205	0	0.015384615	0	0.005128205	0	0	0.005128205	0.015384615	0.015384615	0	0.01025641	0.005128205	0	0.005128205	0.005128205	0.005128205	0.020512821	0	0.015384615	0.005128205	0.030769231	0.005128205	0.015384615	0.025641026	0.020512821	0	0.01025641	0.020512821	0.020512821	0.015384615	0	0	0	0	0	0	0.005128205	0.01025641	0.01025641	0.015384615	0.005128205	0	0	0.01025641	0	0	0.005128205	0.01025641	0.005128205	0	0	0.01025641	0.020512821	0.005128205	0	0.005128205	0.005128205	0	0.005128205	0.005128205	0.005128205	0	0.005128205	0.005128205	0	0.01025641	0.005128205	0.015384615	0.005128205	0.005128205	0.005128205	0.005128205	0.020512821	0.01025641	0.005128205	0	0.005128205	0.005128205	0.005128205	0.005128205	0	0.005128205	0.005128205	0.01025641	0.005128205	0.01025641	0.01025641	0	0	0	0	0	0.005128205	0	0.01025641	0.005128205	0.005128205	0.030769231	0	0.005128205	0.005128205	0.025641026	0.005128205	0.005128205	0.020512821	0.01025641	0.01025641	0
S_enterica_LT2_RAND_960	-19.1	0	1000	-355	0	0	1	0.049382716	0.012345679	0.012345679	0.024691358	0.00617284	0.018518519	0.00617284	0.00617284	0.018518519	0	0.00617284	0.00617284	0.012345679	0.012345679	0.012345679	0.00617284	0.012345679	0.00617284	0	0.00617284	0.00617284	0	0.00617284	0.00617284	0.00617284	0.00617284	0.00617284	0	0.00617284	0	0.012345679	0.00617284	0	0.012345679	0.018518519	0.00617284	0.00617284	0	0	0.012345679	0.012345679	0.00617284	0.00617284	0.00617284	0.00617284	0.024691358	0.00617284	0.00617284	0.00617284	0.012345679	0.00617284	0.012345679	0	0.018518519	0	0.00617284	0	0.018518519	0.012345679	0.00617284	0	0	0	0.00617284	0.00617284	0	0.018518519	0.00617284	0.00617284	0	0.00617284	0	0.012345679	0	0	0	0	0.018518519	0	0.00617284	0.00617284	0.012345679	0	0.00617284	0.012345679	0.024691358	0	0	0.018518519	0.00617284	0	0.00617284	0.00617284	0	0.00617284	0	0.018518519	0.00617284	0	0.018518519	0.012345679	0.00617284	0.00617284	0	0.012345679	0.00617284	0.00617284	0.012345679	0.00617284	0	0.00617284	0.00617284	0.012345679	0	0.00617284	0.012345679	0	0	0.00617284	0	0	0.012345679	0	0.012345679	0.00617284	0.012345679	0.024691358	0.012345679	0	0.00617284	0.012345679	0.00617284	0.00617284	0.00617284	0.00617284	0	0
S_enterica_LT2_RAND_1057	-35	0	1000	0	0	0	0	0.011111111	0	0.011111111	0.016666667	0	0	0.005555556	0	0	0.011111111	0.005555556	0.011111111	0.027777778	0.011111111	0.011111111	0.005555556	0.005555556	0	0.016666667	0	0	0	0.011111111	0	0	0.011111111	0.005555556	0.005555556	0	0	0.005555556	0.005555556	0.011111111	0	0.005555556	0.005555556	0.022222222	0.011111111	0	0.022222222	0.022222222	0.005555556	0.005555556	0.005555556	0.005555556	0.022222222	0.011111111	0.005555556	0.005555556	0.016666667	0.005555556	0.005555556	0.005555556	0.005555556	0.005555556	0.027777778	0.005555556	0.011111111	0.016666667	0	0.005555556	0	0	0.011111111	0.011111111	0.011111111	0.016666667	0	0.005555556	0	0	0.011111111	0.005555556	0.005555556	0	0.005555556	0.022222222	0.005555556	0	0.005555556	0.022222222	0.005555556	0.005555556	0.016666667	0.022222222	0.005555556	0	0.005555556	0.011111111	0	0.011111111	0.011111111	0	0	0.005555556	0.016666667	0.005555556	0.016666667	0.005555556	0.011111111	0.005555556	0	0.016666667	0	0.011111111	0.005555556	0	0.005555556	0.016666667	0	0.005555556	0.011111111	0.011111111	0.005555556	0.011111111	0.011111111	0.011111111	0.011111111	0.005555556	0.005555556	0.011111111	0.011111111	0	0.005555556	0.005555556	0.005555556	0.005555556	0.005555556	0	0.011111111	0.011111111	0.011111111	0	0	0	0	0
S_enterica_LT2_RAND_1097	-0.7	0	1000	0	0	0	0	0.019230769	0.038461538	0	0.038461538	0	0.019230769	0.019230769	0.019230769	0	0	0	0	0.038461538	0	0	0	0	0	0	0	0.019230769	0.019230769	0.019230769	0.019230769	0.019230769	0.038461538	0.019230769	0	0	0	0.019230769	0	0	0	0	0	0.019230769	0	0	0	0	0	0	0	0	0.019230769	0.019230769	0	0	0	0	0.019230769	0.019230769	0	0	0	0	0	0	0	0	0	0.038461538	0	0	0.019230769	0	0	0.019230769	0	0	0.019230769	0	0	0	0.019230769	0	0	0.019230769	0.019230769	0	0	0	0	0	0	0.019230769	0	0.019230769	0.038461538	0.019230769	0.019230769	0	0	0	0	0.019230769	0.019230769	0	0	0	0	0	0.019230769	0	0	0	0	0	0.019230769	0	0	0	0	0	0	0	0	0	0	0	0.019230769	0	0.019230769	0	0.019230769	0.076923077	0	0	0	0	0	0	0.019230769	0.019230769	0.019230769	0
S_enterica_LT2_RAND_1102	-27.3	-62	186	0	1	0	1	0.0078125	0.015625	0	0.0078125	0.0078125	0.03125	0	0.015625	0.0078125	0.0078125	0	0.0078125	0.015625	0	0.0234375	0	0.015625	0	0	0.0078125	0.03125	0	0.015625	0.015625	0.0078125	0	0.0078125	0	0.0078125	0.0078125	0.0078125	0	0	0	0.0078125	0.015625	0	0.0234375	0	0	0	0	0	0.0078125	0.0078125	0.015625	0.0078125	0.0078125	0	0.0078125	0.0078125	0.015625	0.0078125	0.0078125	0.015625	0.015625	0.0078125	0.0078125	0.015625	0.015625	0.0078125	0.0078125	0.0078125	0	0	0.0078125	0.015625	0.0078125	0.0078125	0	0	0	0.0234375	0	0	0	0.0078125	0.0078125	0	0	0	0.0078125	0.0234375	0	0.0078125	0.0078125	0.015625	0	0.0078125	0	0.015625	0.015625	0	0	0.015625	0	0	0.0078125	0.0078125	0.0078125	0	0.015625	0.0078125	0.0078125	0	0.0078125	0	0.015625	0.0078125	0	0	0	0.015625	0.0234375	0.015625	0.0078125	0	0	0	0	0.015625	0.0078125	0	0.015625	0.0234375	0.0078125	0.0078125	0	0	0.0078125	0.0234375	0.0078125	0.0078125	0.015625	0	0	0
S_enterica_LT2_RAND_1114	-11.1	0	0	0	1	31	0	0.012658228	0.012658228	0	0.037974684	0.025316456	0	0.012658228	0.012658228	0	0	0	0.012658228	0.012658228	0	0.037974684	0.012658228	0.012658228	0	0.012658228	0.012658228	0	0.012658228	0	0	0.025316456	0	0	0	0.012658228	0	0	0.012658228	0	0	0	0	0	0.012658228	0	0	0	0	0.012658228	0	0	0.050632911	0.037974684	0	0.012658228	0.012658228	0	0.012658228	0.012658228	0.050632911	0.012658228	0.012658228	0.025316456	0	0.025316456	0	0	0	0	0.012658228	0.012658228	0.012658228	0	0.050632911	0	0	0	0	0	0	0	0.012658228	0.012658228	0.012658228	0	0	0	0.025316456	0	0	0	0	0	0	0.012658228	0	0	0.012658228	0	0	0	0	0	0.012658228	0.012658228	0	0.025316456	0	0	0	0	0	0.025316456	0	0.012658228	0.012658228	0.012658228	0	0	0	0	0	0	0.025316456	0	0	0.012658228	0	0	0	0	0.037974684	0	0.012658228	0	0.012658228	0	0	0	0	0.025316456	0	0
S_enterica_LT2_RAND_1154	-15.1	-1000	406	0	0	0	0	0.034482759	0.020689655	0.013793103	0.006896552	0.020689655	0.013793103	0.006896552	0.006896552	0.020689655	0	0	0	0.006896552	0.006896552	0.013793103	0.020689655	0.013793103	0	0.013793103	0.006896552	0.006896552	0	0.020689655	0	0.006896552	0.020689655	0.013793103	0	0	0.006896552	0	0.006896552	0	0	0.020689655	0.006896552	0	0.006896552	0	0	0	0	0	0	0	0.006896552	0.034482759	0	0	0	0.013793103	0.020689655	0.006896552	0.006896552	0.020689655	0.027586207	0.013793103	0.020689655	0.006896552	0.013793103	0.006896552	0.006896552	0	0.013793103	0.006896552	0.013793103	0	0.006896552	0.020689655	0	0.006896552	0.006896552	0	0	0	0.006896552	0.013793103	0.006896552	0.006896552	0	0	0	0	0	0	0.020689655	0	0	0.020689655	0.013793103	0.006896552	0	0	0	0.006896552	0	0.006896552	0	0	0	0.013793103	0.006896552	0	0	0	0	0.013793103	0.006896552	0.020689655	0.013793103	0.006896552	0	0	0	0	0.020689655	0	0.006896552	0	0.006896552	0.020689655	0.006896552	0	0.006896552	0	0.006896552	0.020689655	0.006896552	0	0.006896552	0.006896552	0.020689655	0	0.006896552	0.013793103	0.020689655	0
S_enterica_LT2_RAND_1484	-63.9	0	1000	0	1	39	1	0.029166667	0.016666667	0.004166667	0.008333333	0	0.008333333	0.0125	0.004166667	0.004166667	0.008333333	0.004166667	0	0.008333333	0.004166667	0.008333333	0.004166667	0.004166667	0.004166667	0.008333333	0	0.008333333	0.004166667	0.008333333	0.004166667	0.008333333	0.0125	0.0125	0.004166667	0.004166667	0	0.008333333	0.004166667	0.004166667	0.008333333	0.0125	0.008333333	0.0125	0.016666667	0	0.004166667	0.020833333	0	0.004166667	0	0.004166667	0.008333333	0.004166667	0.008333333	0.008333333	0.008333333	0.008333333	0.025	0.0125	0	0.016666667	0.0125	0	0.008333333	0.008333333	0	0.004166667	0	0.004166667	0.004166667	0.004166667	0.008333333	0.016666667	0	0.0125	0.004166667	0	0	0.0125	0.004166667	0.008333333	0.0125	0	0.020833333	0.004166667	0.004166667	0.004166667	0.004166667	0.004166667	0.004166667	0.008333333	0.020833333	0.0125	0.016666667	0	0.016666667	0.008333333	0.004166667	0.016666667	0	0.004166667	0.008333333	0.004166667	0.0125	0	0.008333333	0.0125	0.004166667	0	0.008333333	0.016666667	0.004166667	0.020833333	0.008333333	0.008333333	0.004166667	0.0125	0.008333333	0.020833333	0.008333333	0.016666667	0.0125	0	0.008333333	0	0.004166667	0.004166667	0.0125	0.004166667	0.008333333	0.004166667	0.004166667	0.008333333	0.016666667	0.004166667	0.004166667	0.008333333	0.004166667	0.004166667	0.004166667	0	0	0
S_enterica_LT2_RAND_1545	-18.05	-418	1000	0	1	0	1	0.00729927	0.00729927	0.01459854	0.02189781	0	0	0.00729927	0.00729927	0.00729927	0.01459854	0	0.01459854	0.00729927	0.00729927	0.02919708	0	0.00729927	0.00729927	0.00729927	0.01459854	0.00729927	0	0.00729927	0	0.00729927	0.00729927	0	0	0	0	0	0	0	0	0.01459854	0.00729927	0.01459854	0	0.00729927	0	0.00729927	0.00729927	0	0	0.00729927	0.02189781	0	0	0	0.01459854	0.00729927	0.02189781	0.00729927	0.02919708	0.01459854	0.00729927	0	0.01459854	0.02189781	0	0.00729927	0.02189781	0	0	0.00729927	0.02189781	0.01459854	0	0.02189781	0.00729927	0.01459854	0.02189781	0.02189781	0	0.00729927	0	0.00729927	0.00729927	0.00729927	0	0	0	0.01459854	0	0.00729927	0.02189781	0	0.01459854	0.00729927	0.00729927	0	0	0	0	0	0	0.00729927	0.00729927	0.01459854	0	0.00729927	0.00729927	0.01459854	0.01459854	0	0	0.01459854	0.00729927	0.01459854	0	0.058394161	0	0.00729927	0.00729927	0	0.00729927	0.01459854	0.03649635	0	0.00729927	0	0.00729927	0	0	0	0	0.01459854	0	0	0	0.00729927	0.00729927	0.00729927	0.00729927	0	0	0
