"SS"	"PromoterDistance"	"DistTerm"	"Distance"	"sameStrand"	"DownDistance"	"sameDownStrand"
"X_nematophila_RAND_577"	-11	-604	1000	0	1	0	1
"X_nematophila_RAND_600"	0	-867	1000	-48	1	9	1
"X_nematophila_RAND_30"	0	-511	1000	-84	0	455	0
"X_nematophila_RAND_79"	-3.9	-12	1000	0	1	0	1
"X_nematophila_RAND_365"	-68.3	0	1000	0	0	33	0
"X_nematophila_RAND_403"	-22.7	0	1000	-520	0	15	0
"X_nematophila_RAND_437"	-0.4	-1000	1000	-240	1	56	1
"X_nematophila_RAND_549"	-18	0	1000	0	0	0	0
"X_nematophila_RAND_552"	0	-242	1000	0	1	0	1
"X_nematophila_RAND_559"	-5.1	-267	94	-4068	0	1561	0
"X_nematophila_RAND_602"	-32.9	-592	1000	0	1	0	1
"X_nematophila_RAND_632"	-19.8	0	1000	0	0	0	0
"X_nematophila_RAND_633"	-10.3	-215	1000	0	1	0	1
"X_nematophila_RAND_635"	-6.6	0	1000	0	1	0	1
"X_nematophila_RAND_649"	-29.5	0	1000	0	1	0	1
"X_nematophila_RAND_650"	-8.4	-168	1000	-14	1	105	1
"X_nematophila_RAND_4"	-10.3	0	155	0	0	0	0
"X_nematophila_RAND_9"	-6.6	0	1000	-160	0	118	0
"X_nematophila_RAND_35"	-47.7	-811	1000	-359	0	551	0
"X_nematophila_RAND_37"	-18.4	-526	1000	-98	1	805	1
"X_nematophila_RAND_43"	-4.1	0	1000	0	0	0	0
"X_nematophila_RAND_50"	-13.9	-213	1000	0	0	0	0
"X_nematophila_RAND_55"	-3.6	-1000	1000	0	1	0	1
"X_nematophila_RAND_62"	-2.2	0	1000	-135	0	0	0
"X_nematophila_RAND_69"	-9.5	0	1000	0	1	0	1
"X_nematophila_RAND_80"	-5.7	-486	1000	0	0	0	0
"X_nematophila_RAND_121"	-0.2	-108	895	-998	0	167	1
"X_nematophila_RAND_122"	3.7	-251	1000	-1191	1	0	0
"X_nematophila_RAND_135"	-9.2	0	1000	0	1	0	1
"X_nematophila_RAND_138"	-23	0	1000	-24	0	0	0
"X_nematophila_RAND_196"	-17.4	-217	1000	-236	1	1594	0
"X_nematophila_RAND_205"	-9.5	-85	594	0	0	0	0
"X_nematophila_RAND_227"	-20	-177	843	0	1	0	1
"X_nematophila_RAND_236"	-6.6	-67	621	0	1	0	1
"X_nematophila_RAND_241"	0	-10	1000	0	0	0	0
"X_nematophila_RAND_245"	-10	-350	1000	-3416	1	150	0
"X_nematophila_RAND_246"	-43.1	-1000	1000	0	0	0	0
"X_nematophila_RAND_255"	-27.37	-465	925	0	0	0	0
"X_nematophila_RAND_260"	-20.04	0	752	0	0	0	0
"X_nematophila_RAND_290"	-8.8	0	847	0	1	0	1
"X_nematophila_RAND_296"	-20.9	-717	1000	-200	0	5148	1
"X_nematophila_RAND_303"	-54.3	-23	32	-3289	0	1942	1
"X_nematophila_RAND_323"	-3.5	-1000	1000	0	1	0	1
"X_nematophila_RAND_325"	-42.8	-202	1000	0	0	0	0
"X_nematophila_RAND_337"	-5.7	-106	1000	0	1	0	1
"X_nematophila_RAND_360"	-14	0	1000	0	1	0	1
"X_nematophila_RAND_364"	-19.9	-449	1000	-178	0	1050	1
"X_nematophila_RAND_380"	-43.05	0	1000	0	0	0	0
"X_nematophila_RAND_385"	-39.8	-1000	1000	0	0	0	0
"X_nematophila_RAND_397"	-37	-503	1000	0	1	0	1
"X_nematophila_RAND_399"	-11.2	-731	1000	0	1	0	1
"X_nematophila_RAND_402"	-18.8	-129	513	0	1	0	1
"X_nematophila_RAND_408"	-0.7	-488	1000	0	0	0	0
"X_nematophila_RAND_410"	-8.1	-79	1000	0	1	0	1
"X_nematophila_RAND_422"	-0.8	-48	1000	0	0	0	0
"X_nematophila_RAND_428"	-4.7	-1000	1000	0	1	0	1
"X_nematophila_RAND_434"	3	-305	1000	-391	0	140	1
"X_nematophila_RAND_445"	-4	-830	1000	0	1	0	1
"X_nematophila_RAND_451"	-6.3	-54	1000	-186	1	107	1
"X_nematophila_RAND_452"	-12.5	-500	1000	0	1	0	1
